date_obj,Dragon%20spear price
2016-05-26,87166
2016-05-27,82859
2016-05-28,79371
2016-05-29,75436
2016-05-30,71944
2016-05-31,70463
2016-06-01,72543
2016-06-02,71106
2016-06-03,72663
2016-06-04,74504
2016-06-05,76309
2016-06-06,78439
2016-06-07,81485
2016-06-08,83866
2016-06-09,85538
2016-06-10,84691
2016-06-11,82043
2016-06-12,81876
2016-06-13,78822
2016-06-14,75639
2016-06-15,71899
2016-06-16,68459
2016-06-17,65183
2016-06-18,61923
2016-06-19,58826
2016-06-20,56149
2016-06-21,54759
2016-06-22,52893
2016-06-23,51055
2016-06-24,52350
2016-06-25,52973
2016-06-26,52330
2016-06-27,52141
2016-06-28,52039
2016-06-29,51766
2016-06-30,51905
2016-07-01,50272
2016-07-02,48064
2016-07-03,47839
2016-07-04,49226
2016-07-05,47603
2016-07-06,45356
2016-07-07,43088
2016-07-08,41628
2016-07-09,41043
2016-07-10,42777
2016-07-11,43940
2016-07-12,44406
2016-07-13,45276
2016-07-14,45187
2016-07-15,44779
2016-07-16,44172
2016-07-17,44441
2016-07-18,43863
2016-07-23,42453
2016-07-24,43777
2016-07-25,45798
2016-07-26,46289
2016-07-27,46416
2016-07-28,44230
2016-07-29,42046
2016-07-30,40696
2016-07-31,41145
2016-08-01,41493
2016-08-02,42409
2016-08-03,42664
2016-08-04,43397
2016-08-05,42926
2016-08-06,41965
2016-08-07,40669
2016-08-08,40536
2016-08-09,40334
2016-08-10,40094
2016-08-11,40470
2016-08-12,41263
2016-08-13,41628
2016-08-14,41571
2016-08-15,41829
2016-08-16,42705
2016-08-17,42353
2016-08-18,40736
2016-08-19,40027
2016-08-20,40824
2016-08-21,40367
2016-08-22,40534
2016-08-23,41043
2016-08-24,41978
2016-08-25,43504
2016-08-26,43504
2016-08-28,43290
2016-08-31,43038
2016-09-01,43690
2016-09-02,43690
2016-09-03,43422
2016-09-04,41669
2016-09-05,41227
2016-09-06,41686
2016-09-07,41321
2016-09-08,41129
2016-09-09,39451
2016-09-10,40355
2016-09-11,40975
2016-09-12,41861
2016-09-13,41990
2016-09-14,42348
2016-09-15,43063
2016-09-16,43791
2016-09-17,42759
2016-09-18,41704
2016-09-19,41414
2016-09-20,41057
2016-09-21,42206
2016-09-22,42274
2016-09-23,42685
2016-09-24,42685
2016-09-25,43162
2016-09-26,42721
2016-09-27,42260
2016-09-28,40883
2016-09-29,40674
2016-09-30,41343
2016-10-01,41572
2016-10-02,41511
2016-10-03,42764
2016-10-04,42371
2016-10-05,43006
2016-10-06,43542
2016-10-07,43186
2016-10-08,43426
2016-10-09,43858
2016-10-10,44170
2016-10-11,43725
2016-10-12,42908
2016-10-13,41526
2016-10-14,41873
2016-10-15,41919
2016-10-16,42031
2016-10-17,41176
2016-10-18,40085
2016-10-19,39991
2016-10-20,39517
2016-10-21,40528
2016-10-22,40852
2016-10-23,41087
2016-10-24,40413
2016-10-25,40660
2016-10-26,40807
2016-10-27,40441
2016-10-28,40048
2016-10-29,41112
2016-10-30,41552
2016-10-31,42310
2016-11-01,43512
2016-11-02,44052
2016-11-03,43616
2016-11-04,42919
2016-11-05,42816
2016-11-06,41882
2016-11-07,41443
2016-11-08,41222
2016-11-09,41786
2016-11-10,41402
2016-11-11,41319
2016-11-12,41551
2016-11-13,42578
2016-11-14,41583
2016-11-15,41778
2016-12-07,41191
2016-12-08,41062
2016-12-09,41326
2016-12-10,40740
2016-12-11,41253
2016-12-12,41329
2016-12-13,41105
2016-12-14,41301
2016-12-15,40653
2016-12-16,40831
2016-12-17,41142
2016-12-18,41257
2016-12-19,40598
2016-12-20,39953
2016-12-21,41047
2016-12-22,40863
2016-12-23,40416
2016-12-24,41185
2016-12-25,40421
2016-12-26,39803
2016-12-27,41046
2016-12-28,42150
2016-12-29,41555
2016-12-30,41723
2016-12-31,41626
2017-01-01,41887
2017-01-02,42030
2017-01-03,41152
2017-01-04,39905
2017-01-05,39145
2017-01-06,40558
2017-01-07,40505
2017-01-08,40548
2017-01-09,41163
2017-01-10,41648
2017-01-11,41894
2017-01-12,42178
2017-01-13,42022
2017-01-14,41706
2017-01-15,41978
2017-01-16,42133
2017-01-17,41788
2017-01-18,41344
2017-01-19,41537
2017-01-20,41640
2017-01-21,41959
2017-01-22,41616
2017-01-23,42005
2017-01-27,40492
2017-01-28,41038
2017-01-29,41380
2017-01-30,41906
2017-01-31,41909
2017-02-01,42452
2017-02-02,40918
2017-02-03,40991
2017-02-04,41776
2017-02-05,41669
2017-02-06,41431
2017-02-07,42061
2017-02-08,42601
2017-02-09,42256
2017-02-10,41715
2017-02-11,41641
2017-02-12,42024
2017-02-13,41650
2017-02-14,41553
2017-02-15,41395
2017-02-16,41292
2017-02-18,42353
2017-02-19,42031
2017-02-20,41833
2017-02-21,41705
2017-02-22,41646
2017-02-23,41787
2017-02-24,41368
2017-02-25,41352
2017-02-26,41047
2017-02-27,41269
2017-02-28,41348
2017-03-01,41610
2017-03-02,42077
2017-03-03,42401
2017-03-04,42878
2017-03-05,43303
2017-03-06,41872
2017-03-07,41626
2017-03-08,42148
2017-03-09,42833
2017-03-10,42506
2017-03-11,41699
2017-03-12,41905
2017-03-13,42104
2017-03-14,42408
2017-03-15,42480
2017-03-16,42844
2017-03-17,42836
2017-03-18,42580
2017-03-19,42083
2017-03-20,41455
2017-03-21,41535
2017-03-22,42316
2017-03-23,43947
2017-03-24,42644
2017-03-25,41847
2017-03-26,41580
2017-03-27,42283
2017-03-28,42575
2017-03-29,42018
2017-03-30,40964
2017-03-31,42232
2017-04-01,43335
2017-04-02,43410
2017-04-03,42803
2017-04-04,43511
2017-04-12,42847
2017-04-13,42151
2017-04-14,42074
2017-04-15,41696
2017-04-16,41168
2017-04-17,41247
2017-04-18,41970
2017-04-19,41489
2017-04-20,41654
2017-04-21,41255
2017-04-22,39669
2017-04-23,38614
2017-04-24,38042
2017-04-25,37663
2017-04-26,37899
2017-04-27,38266
2017-04-28,40028
2017-04-29,41130
2017-04-30,41471
2017-05-01,41601
2017-05-02,42202
2017-05-03,42210
2017-05-04,41447
2017-05-05,42041
2017-05-06,43396
2017-05-07,43388
2017-05-08,42634
2017-05-09,42019
2017-05-10,42202
2017-05-11,42271
2017-05-12,42518
2017-05-13,42791
2017-05-14,43028
2017-05-15,42730
2017-05-16,42161
2017-05-17,42169
2017-05-18,41320
2017-05-19,41816
2017-05-20,41413
2017-05-21,40873
2017-05-22,41376
2017-05-23,42388
2017-05-24,43497
2017-05-25,41855
2017-05-26,39977
2017-05-27,38472
2017-05-28,37660
2017-05-29,37702
2017-05-30,37683
2017-05-31,37253
2017-06-01,37021
2017-06-02,37483
2017-06-03,37123
2017-06-04,37013
2017-06-05,37444
2017-06-06,37098
2017-06-07,37108
2017-06-08,37128
2017-06-09,37451
2017-06-10,37448
2017-06-11,38387
2017-06-12,37637
2017-06-13,37753
2017-06-14,37505
2017-06-15,38298
2017-06-16,39205
2017-06-17,38377
2017-06-18,37208
2017-06-19,37230
2017-06-20,37358
2017-06-21,37377
2017-06-22,37292
2017-06-23,36666
2017-06-24,37191
2017-06-25,37472
2017-06-26,37553
2017-06-27,37629
2017-06-28,37413
2017-06-29,37218
2017-06-30,36981
2017-07-01,36930
2017-07-02,37404
2017-07-03,37201
2017-07-04,37187
2017-07-05,36951
2017-07-06,37019
2017-07-07,37021
2017-07-08,37212
2017-07-13,37506
2017-07-14,37426
2017-07-15,37034
2017-07-16,36878
2017-07-17,37287
2017-07-18,37352
2017-07-19,37316
2017-07-20,37350
2017-07-21,37212
2017-07-22,37358
2017-07-23,37630
2017-07-24,37477
2017-07-25,37241
2017-07-26,37428
2017-07-27,37216
2017-07-28,37237
2017-07-29,37177
2017-07-30,37176
2017-07-31,37043
2017-08-01,37075
2017-08-02,37248
2017-08-03,37424
2017-08-04,37171
2017-08-05,37661
2017-08-06,37191
2017-08-09,37313
2017-08-10,37218
2017-08-11,37207
2017-08-12,37334
2017-08-13,37690
2017-08-14,37482
2017-08-15,36959
2017-08-16,37214
2017-08-17,37256
2017-08-18,37399
2017-08-19,37166
2017-08-20,37653
2017-08-21,37951
2017-08-22,37857
2017-08-23,37639
2017-08-24,37461
2017-08-25,37457
2017-08-26,37635
2017-08-27,37508
2017-08-28,37383
2017-08-29,37669
2017-08-30,37223
2017-08-31,37175
2017-09-01,37697
2017-09-03,38535
2017-09-04,38505
2017-09-05,38652
2017-09-06,38874
2017-09-07,38509
2017-09-08,38511
2017-09-09,38465
2017-09-10,38395
2017-09-11,37630
2017-09-12,37472
2017-09-13,38203
2017-09-14,38603
2017-09-15,37398
2017-09-16,36955
2017-09-17,37117
2017-09-18,37279
2017-09-19,37407
2017-09-20,37412
2017-09-21,37718
2017-09-22,37544
2017-09-23,37175
2017-09-24,37526
2017-09-25,37527
2017-09-26,36942
2017-09-27,37207
2017-09-28,37748
2017-09-29,37965
2017-09-30,37540
2017-10-01,38099
2017-10-02,38535
2017-10-03,38878
2017-10-04,39060
2017-10-05,40012
2017-10-06,39452
2017-10-07,38256
2017-10-08,38195
2017-10-09,37959
2017-10-10,38100
2017-10-11,37762
2017-10-12,37854
2017-10-13,37468
2017-10-14,37323
2017-10-15,37345
2017-10-16,37289
2017-10-17,37325
2017-10-18,37268
2017-10-19,37362
2017-10-20,37359
2017-10-21,37287
2017-10-22,37769
2017-10-23,39462
2017-10-24,41055
2017-10-25,39403
2017-10-26,39197
2017-10-27,40689
2017-10-28,42709
2017-10-29,44040
2017-10-30,46216
2017-10-31,46994
2017-11-01,45271
2017-11-02,43352
2017-11-03,41184
2017-11-04,39130
2017-11-05,37942
2017-11-06,37866
2017-11-07,38068
2017-11-08,38412
2017-11-09,37749
2017-11-10,37292
2017-11-11,37060
2017-11-12,37476
2017-11-13,37482
2017-11-14,37208
2017-11-15,37180
2017-11-16,37865
2017-11-17,39708
2017-11-18,41694
2017-11-19,43778
2017-11-20,45639
2017-11-21,47252
2017-11-22,46477
2017-11-23,44636
2017-11-24,44334
2017-11-25,44335
2017-11-26,45105
2017-11-27,43492
2017-11-28,43310
2017-11-29,44343
2017-11-30,44316
2017-12-01,42193
2017-12-02,40944
2017-12-03,39329
2017-12-04,37979
2017-12-05,38520
2017-12-06,37962
2017-12-07,37560
2017-12-08,37822
2017-12-09,37796
2017-12-10,37747
2017-12-11,38312
2017-12-12,37835
2017-12-13,38984
2017-12-14,40305
2017-12-15,40117
2017-12-16,40422
2017-12-17,41099
2017-12-18,41192
2017-12-19,41327
2017-12-20,40833
2017-12-21,40573
