date_obj,Dark%20tuxedo%20jacket price
2017-06-13,4510136
2017-06-14,4510136
2017-06-15,4510136
2017-06-16,4510136
2017-06-17,4510136
2017-06-18,4510136
2017-06-19,4510136
2017-06-20,4510136
2017-06-21,4510136
2017-06-22,4510136
2017-06-23,4510136
2017-06-24,4510136
2017-06-25,4510136
2017-06-26,4510136
2017-06-27,4510136
2017-06-28,4510136
2017-06-29,4510136
2017-06-30,4510136
2017-07-01,4510136
2017-07-02,4510136
2017-07-03,4510136
2017-07-04,4510136
2017-07-05,4510136
2017-07-06,4510136
2017-07-07,4510136
2017-07-08,4510136
2017-07-13,4284629
2017-07-14,4284629
2017-07-15,4284629
2017-07-16,4284629
2017-07-17,4284629
2017-07-18,4284629
2017-07-19,4284629
2017-07-20,4284629
2017-07-21,4284629
2017-07-22,4284629
2017-07-23,4284629
2017-07-24,4284629
2017-07-25,4284629
2017-07-26,4284629
2017-07-27,4284629
2017-07-28,4284629
2017-07-29,4284629
2017-07-30,4284629
2017-07-31,4284629
2017-08-01,4284629
2017-08-02,4284629
2017-08-03,4284629
2017-08-04,4071927
2017-08-05,4071927
2017-08-06,4071927
2017-08-09,4071927
2017-08-10,4071927
2017-08-11,4071927
2017-08-12,4071927
2017-08-13,4071927
2017-08-14,4071927
2017-08-15,4071927
2017-08-16,4071927
2017-08-17,4071927
2017-08-18,4071927
2017-08-19,4071927
2017-08-20,4071927
2017-08-21,4071927
2017-08-22,4071927
2017-08-23,4071927
2017-08-24,4071927
2017-08-25,4071927
2017-08-26,4071927
2017-08-27,4071927
2017-08-28,4071927
2017-08-29,4071927
2017-08-30,3906961
2017-08-31,3906961
2017-09-01,3906961
2017-09-03,3906961
2017-09-04,3906961
2017-09-05,3906961
2017-09-06,3906961
2017-09-07,3906961
2017-09-08,3906961
2017-09-09,3906961
2017-09-10,3906961
2017-09-11,3906961
2017-09-12,3906961
2017-09-13,3906961
2017-09-14,3906961
2017-09-15,3906961
2017-09-16,3906961
2017-09-17,3906961
2017-09-18,3906961
2017-09-19,3906961
2017-09-20,3906961
2017-09-21,3906961
2017-09-22,3906961
2017-09-23,3906961
2017-09-24,3827572
2017-09-25,3827572
2017-09-26,3827572
2017-09-27,3827572
2017-09-28,3827572
2017-09-29,3827572
2017-09-30,3827572
2017-10-01,3827572
2017-10-02,3827572
2017-10-03,3827572
2017-10-04,3827572
2017-10-05,3827572
2017-10-06,3827572
2017-10-07,3827572
2017-10-08,3827572
2017-10-09,3827572
2017-10-10,3827572
2017-10-11,3827572
2017-10-12,3827572
2017-10-13,3827572
2017-10-14,3827572
2017-10-15,3827572
2017-10-16,3827572
2017-10-17,3827572
2017-10-18,3827572
2017-10-19,3827572
2017-10-20,3641361
2017-10-21,3641361
2017-10-22,3641361
2017-10-23,3641361
2017-10-24,3641361
2017-10-25,3641361
2017-10-26,3641361
2017-10-27,3641361
2017-10-28,3641361
2017-10-29,3641361
2017-10-30,3641361
2017-10-31,3641361
2017-11-01,3641361
2017-11-02,3641361
2017-11-03,3641361
2017-11-04,3641361
2017-11-05,3641361
2017-11-06,3641361
2017-11-07,3641361
2017-11-08,3641361
2017-11-09,3641361
2017-11-10,3641361
2017-11-11,3641361
2017-11-12,3641361
2017-11-13,3641361
2017-11-14,3461478
2017-11-15,3461478
2017-11-16,3461478
2017-11-17,3461478
2017-11-18,3461478
2017-11-19,3461478
2017-11-20,3461478
2017-11-21,3461478
2017-11-22,3461478
2017-11-23,3461478
2017-11-24,3461478
2017-11-25,3461478
2017-11-26,3461478
2017-11-27,3461478
2017-11-28,3461478
2017-11-29,3461478
2017-11-30,3461478
2017-12-01,3461478
2017-12-02,3461478
2017-12-03,3461478
2017-12-04,3461478
2017-12-05,3461478
2017-12-06,3461478
2017-12-07,3461478
2017-12-08,3461478
2017-12-09,3461478
2017-12-10,3292459
2017-12-11,3292459
2017-12-12,3292459
2017-12-13,3292459
2017-12-14,3292459
2017-12-15,3292459
2017-12-16,3292459
2017-12-17,3292459
2017-12-18,3292459
2017-12-19,3292459
2017-12-20,3292459
2017-12-21,3292459
2017-12-22,3292459
2017-12-23,3292459
2017-12-24,3292459
2017-12-25,3292459
2017-12-26,3292459
2017-12-27,3292459
2017-12-28,3292459
2017-12-29,3292459
2017-12-30,3292459
2017-12-31,3292459
2018-01-01,3292459
2018-01-02,3292459
2018-01-03,3292459
2018-01-04,3132886
2018-01-05,3132886
2018-01-06,3132886
2018-01-07,3132886
2018-01-08,3132886
2018-01-09,3132886
2018-01-10,3132886
2018-01-11,3132886
2018-01-12,3132886
2018-01-13,3132886
2018-01-14,3132886
2018-01-15,3132886
2018-01-16,3132886
