date_obj,Raw%20rabbit price
2015-10-22,7622
2015-10-23,7622
2015-10-24,7622
2015-10-25,7622
2015-10-26,7622
2015-10-27,7622
2015-10-29,7622
2015-10-30,7622
2015-10-31,7622
2015-11-01,7622
2015-11-02,7622
2015-11-03,7622
2015-11-04,7622
2015-11-05,7622
2015-11-06,7622
2015-11-07,7622
2015-11-08,7622
2015-11-09,7622
2015-11-10,7622
2015-11-11,7245
2015-11-12,7245
2015-11-13,7245
2015-11-14,7245
2015-11-15,7245
2015-11-16,7245
2015-11-17,7245
2015-11-18,7245
2015-11-19,7245
2015-11-20,7245
2015-11-21,7245
2015-11-22,7245
2015-11-23,7245
2015-11-24,7245
2015-11-25,7245
2015-11-26,7245
2015-11-27,7245
2015-11-28,7245
2015-11-29,7245
2015-11-30,7245
2015-12-01,7245
2015-12-02,7245
2015-12-03,7245
2015-12-04,7245
2015-12-05,7245
2015-12-06,7245
2015-12-07,7245
2015-12-08,6919
2015-12-09,6919
2015-12-10,6919
2015-12-11,6919
2015-12-12,6919
2015-12-13,6919
2015-12-14,6919
2015-12-15,6919
2015-12-16,6919
2015-12-17,6919
2015-12-18,6919
2015-12-19,6919
2015-12-20,6919
2015-12-21,6919
2015-12-22,6919
2015-12-23,6919
2015-12-24,6919
2015-12-25,6919
2015-12-26,6919
2015-12-27,6577
2015-12-28,6577
2015-12-29,6577
2015-12-30,6577
2015-12-31,6577
2016-01-01,6577
2016-01-02,6577
2016-01-03,6577
2016-01-04,6577
2016-01-05,6577
2016-01-06,6249
2016-01-07,6249
2016-01-08,6249
2016-01-09,6249
2016-01-10,6249
2016-01-11,6249
2016-01-12,6249
2016-01-13,6249
2016-01-14,6249
2016-01-15,6249
2016-01-16,6249
2016-01-17,6249
2016-01-18,6249
2016-01-19,5940
2016-01-20,5940
2016-01-21,5940
2016-01-22,5940
2016-01-23,5940
2016-01-24,5940
2016-01-25,5940
2016-01-26,5940
2016-01-27,5940
2016-01-28,5940
2016-01-29,5940
2016-01-30,5940
2016-01-31,5644
2016-02-01,5644
2016-02-02,5644
2016-02-03,5644
2016-02-04,5644
2016-02-05,5644
2016-02-06,5644
2016-02-07,5644
2016-02-08,5644
2016-02-09,5644
2016-02-10,5371
2016-02-11,5371
2016-02-12,5371
2016-02-13,5371
2016-02-14,5371
2016-02-15,5371
2016-02-16,5371
2016-02-17,5371
2016-02-18,5371
2016-02-19,5371
2016-02-20,5371
2016-02-21,5105
2016-02-22,5105
2016-02-23,5105
2016-02-24,5105
2016-02-25,5105
2016-02-26,5105
2016-02-27,5105
2016-02-28,5105
2016-02-29,5105
2016-03-01,5105
2016-03-02,4852
2016-03-03,4852
2016-03-04,4852
2016-03-05,4852
2016-03-06,4852
2016-03-07,4852
2016-03-08,4852
2016-03-09,4614
2016-03-10,4614
2016-03-11,4614
2016-03-12,4614
2016-03-13,4614
2016-03-14,4614
2016-03-15,4614
2016-03-16,4390
2016-03-17,4390
2016-03-18,4390
2016-03-19,4390
2016-03-20,4390
2016-03-21,4390
2016-03-22,4390
2016-03-23,4390
2016-03-24,4390
2016-03-25,4390
2016-03-26,4174
2016-03-27,4174
2016-03-28,4174
2016-03-29,4174
2016-03-30,4174
2016-03-31,4174
2016-04-01,4174
2016-04-02,4174
2016-04-03,4174
2016-04-04,4174
2016-04-05,3971
2016-04-06,3971
2016-04-07,3971
2016-04-08,3971
2016-04-09,3971
2016-04-10,3971
2016-04-11,3971
2016-04-12,3971
2016-04-13,3971
2016-04-14,3971
2016-04-15,3971
2016-04-16,3777
2016-04-17,3777
2016-04-18,3777
2016-04-19,3777
2016-04-20,3777
2016-04-21,3777
2016-04-22,3777
2016-04-23,3777
2016-04-24,3777
2016-04-25,3777
2016-04-26,3777
2016-04-27,3588
2016-04-28,3588
2016-04-29,3588
2016-04-30,3588
2016-05-01,3588
2016-05-02,3588
2016-05-03,3588
2016-05-04,3409
2016-05-05,3409
2016-05-06,3409
2016-05-07,3409
2016-05-08,3409
2016-05-09,3409
2016-05-10,3409
2016-05-11,3409
2016-05-12,3409
2016-05-13,3241
2016-05-14,3241
2016-05-15,3241
2016-05-16,3241
