date_obj,Dragon%20chainbody%20ornament%20kit price
2016-06-24,210268
2016-06-25,210663
2016-06-26,212110
2016-06-27,212320
2016-06-28,212658
2016-06-29,210729
2016-06-30,211109
2016-07-01,213667
2016-07-02,210356
2016-07-03,202442
2016-07-04,194761
2016-07-05,190730
2016-07-06,185826
2016-07-07,180023
2016-07-08,175870
2016-07-09,175037
2016-07-10,177682
2016-07-11,179213
2016-07-12,173466
2016-07-13,172288
2016-07-14,169317
2016-07-15,164990
2016-07-16,161318
2016-07-17,161466
2016-07-18,156557
2016-07-23,148508
2016-07-24,148072
2016-07-25,143876
2016-07-26,143876
2016-07-27,140506
2016-07-28,137359
2016-07-29,135509
2016-07-30,136407
2016-07-31,136407
2016-08-01,135651
2016-08-02,135493
2016-08-03,135350
2016-08-04,135542
2016-08-05,135542
2016-08-06,134786
2016-08-07,132462
2016-08-08,132462
2016-08-09,127457
2016-08-10,121392
2016-08-11,121392
2016-08-12,115675
2016-08-13,109891
2016-08-14,104396
2016-08-15,99176
2016-08-16,99324
2016-08-17,99324
2016-08-18,104156
2016-08-19,107721
2016-08-20,108605
2016-08-21,108605
2016-08-22,107235
2016-08-23,106532
2016-08-24,106532
2016-08-25,104632
2016-08-26,104632
2016-08-28,105065
2016-08-31,109414
2016-09-01,111253
2016-09-02,111253
2016-09-03,113071
2016-09-04,108898
2016-09-05,103453
2016-09-06,100014
2016-09-07,100052
2016-09-08,100482
2016-09-09,100482
2016-09-10,103479
2016-09-11,103479
2016-09-12,108553
2016-09-13,111478
2016-09-14,111478
2016-09-15,114316
2016-09-16,114316
2016-09-17,111813
2016-09-18,109157
2016-09-19,110133
2016-09-20,110133
2016-09-21,109256
2016-09-22,109705
2016-09-23,108504
2016-09-24,108504
2016-09-25,107761
2016-09-26,107761
2016-09-27,107411
2016-09-28,109077
2016-09-29,109077
2016-09-30,110021
2016-10-01,109703
2016-10-02,109703
2016-10-03,110918
2016-10-04,110918
2016-10-05,110762
2016-10-06,111928
2016-10-07,111928
2016-10-08,111251
2016-10-09,111251
2016-10-10,110772
2016-10-11,111377
2016-10-12,111377
2016-10-13,112499
2016-10-14,115256
2016-10-15,114980
2016-10-16,113735
2016-10-17,113129
2016-10-18,115873
2016-10-19,117238
2016-10-20,117238
2016-10-21,117200
2016-10-22,117200
2016-10-23,119845
2016-10-24,125092
2016-10-25,125092
2016-10-26,130445
2016-10-27,130445
2016-10-28,135909
2016-10-29,135474
2016-10-30,134707
2016-10-31,135737
2016-11-01,135737
2016-11-02,136736
2016-11-03,136736
2016-11-04,138287
2016-11-05,138287
2016-11-06,139761
2016-11-07,139761
2016-11-08,138152
2016-11-09,135023
2016-11-10,134879
2016-11-11,134879
2016-11-12,133713
2016-11-13,132762
2016-11-14,133396
2016-11-15,133396
2016-12-07,168137
2016-12-08,176474
2016-12-09,185260
2016-12-10,185260
2016-12-11,194523
2016-12-12,204237
2016-12-13,212215
2016-12-14,217215
2016-12-15,217215
2016-12-16,222420
2016-12-17,231335
2016-12-18,231335
2016-12-19,239393
2016-12-20,247408
2016-12-21,251720
2016-12-22,251720
2016-12-23,258355
2016-12-24,258355
2016-12-25,268987
2016-12-26,281134
2016-12-27,293329
2016-12-28,305245
2016-12-29,314702
2016-12-30,327409
2016-12-31,338491
2017-01-01,352028
2017-01-02,365538
2017-01-03,364622
2017-01-04,350063
2017-01-05,350063
2017-01-06,336678
2017-01-07,322170
2017-01-08,306312
2017-01-09,291360
2017-01-10,276792
2017-01-11,262952
2017-01-12,249817
2017-01-13,249817
2017-01-14,238353
2017-01-15,226435
2017-01-16,217212
2017-01-17,207594
2017-01-18,197253
2017-01-19,188133
2017-01-20,179920
2017-01-21,173008
2017-01-22,166239
2017-01-23,163169
2017-01-27,150918
2017-01-28,150294
2017-01-29,150312
2017-01-30,150312
2017-01-31,152933
2017-02-01,156369
2017-02-02,159719
2017-02-03,162514
2017-02-04,165789
2017-02-05,169444
2017-02-06,171108
2017-02-07,173459
2017-02-08,177190
2017-02-09,177190
2017-02-10,180859
2017-02-11,181325
2017-02-12,181325
2017-02-13,184952
2017-02-14,185617
2017-02-15,185617
2017-02-16,192148
2017-02-18,195577
2017-02-19,199790
2017-02-20,202643
2017-02-21,205493
2017-02-22,205493
2017-02-23,208276
