date_obj,Rune%20scimitar%20ornament%20kit%20(guthix) price
2020-04-19,46837
2020-04-20,46670
2020-04-21,46289
2020-04-22,46534
2020-04-23,46437
2020-04-24,46230
2020-04-25,46245
2020-04-26,46020
2020-04-27,45911
2020-04-28,44708
2020-04-29,44118
2020-04-30,43144
2020-05-01,41732
2020-05-02,40396
2020-05-03,40160
2020-05-04,39597
2020-05-05,39566
2020-05-06,39181
2020-05-07,38631
2020-05-08,38170
2020-05-09,37485
2020-05-10,36881
2020-05-11,36800
2020-05-12,37093
2020-05-13,36196
