date_obj,Rock-shell%20helm price
2015-10-30,305356
2015-10-31,305356
2015-11-01,305356
2015-11-02,305356
2015-11-03,305356
2015-11-04,305356
2015-11-05,305356
2015-11-06,305356
2015-11-07,305356
2015-11-08,305356
2015-11-09,305356
2015-11-10,305356
2015-11-11,305356
2015-11-12,305356
2015-11-13,305356
2015-11-14,305356
2015-11-15,305356
2015-11-16,305356
2015-11-17,305356
2015-11-18,305356
2015-11-19,305356
2015-11-20,305356
2015-11-21,305356
2015-11-22,305356
2015-11-23,305356
2015-11-24,305356
2015-11-25,305356
2015-11-26,305356
2015-11-27,305356
2015-11-28,305356
2015-11-29,305356
2015-11-30,305356
2015-12-01,305356
2015-12-02,305356
2015-12-03,305356
2015-12-04,305356
2015-12-05,290780
2015-12-06,290780
2015-12-07,290780
2015-12-08,290780
2015-12-09,290780
2015-12-10,290780
2015-12-11,290780
2015-12-12,290780
2015-12-13,290780
2015-12-14,290780
2015-12-15,290780
2015-12-16,290780
2015-12-17,290780
2015-12-18,290780
2015-12-19,290780
2015-12-20,290780
2015-12-21,290780
2015-12-22,290780
2015-12-23,290780
2015-12-24,290780
2015-12-25,290780
2015-12-26,290780
2015-12-27,290780
2015-12-28,290780
2015-12-29,290780
2015-12-30,290780
2015-12-31,290780
2016-01-01,290780
2016-01-02,290780
2016-01-03,290780
2016-01-04,290780
2016-01-05,290780
2016-01-06,290780
2016-01-07,290780
2016-01-08,290780
2016-01-09,290780
2016-01-10,290780
2016-01-11,290780
2016-01-12,290780
2016-01-13,290780
2016-01-14,290780
2016-01-15,290780
2016-01-16,290780
2016-01-17,290780
2016-01-18,290780
2016-01-19,290780
2016-01-20,290780
2016-01-21,290780
2016-01-22,290780
2016-01-23,290780
2016-01-24,290780
2016-01-25,290780
2016-01-26,290780
2016-01-27,290780
2016-01-28,290780
2016-01-29,290780
2016-01-30,290780
2016-01-31,290780
2016-02-01,290780
2016-02-02,290780
2016-02-03,290780
2016-02-04,290780
2016-02-05,290780
2016-02-06,290780
2016-02-07,290780
