date_obj,Yew%20shortbow price
2017-07-27,392
2017-07-28,395
2017-07-29,395
2017-07-30,386
2017-07-31,386
2017-08-01,377
2017-08-02,372
2017-08-03,375
2017-08-04,372
2017-08-05,366
2017-08-06,361
2017-08-09,372
2017-08-10,373
2017-08-11,369
2017-08-12,377
2017-08-13,374
2017-08-14,375
2017-08-15,377
2017-08-16,380
2017-08-17,383
2017-08-18,383
2017-08-19,378
2017-08-20,375
2017-08-21,376
2017-08-22,381
2017-08-23,383
2017-08-24,374
2017-08-25,380
2017-08-26,377
2017-08-27,367
2017-08-28,371
2017-08-29,364
2017-08-30,366
2017-08-31,363
2017-09-01,358
2017-09-02,359
2017-09-03,359
2017-09-04,361
2017-09-05,364
2017-09-06,364
2017-09-07,359
2017-09-08,359
2017-09-09,350
2017-09-10,351
2017-09-11,361
2017-09-12,369
2017-09-13,379
2017-09-14,373
2017-09-15,373
2017-09-16,374
2017-09-17,383
2017-09-18,382
2017-09-19,373
2017-09-20,372
2017-09-21,373
2017-09-22,374
2017-09-23,373
2017-09-24,367
2017-09-25,367
2017-09-26,363
2017-09-27,361
2017-09-28,358
2017-09-29,355
2017-09-30,350
2017-10-01,351
2017-10-02,358
2017-10-03,360
2017-10-04,364
2017-10-05,370
2017-10-06,362
2017-10-07,361
2017-10-08,358
2017-10-09,359
2017-10-10,365
2017-10-11,365
2017-10-12,372
2017-10-13,378
2017-10-14,378
2017-10-15,378
2017-10-16,369
2017-10-17,369
2017-10-18,367
2017-10-19,365
2017-10-20,361
2017-10-21,357
2017-10-22,353
2017-10-23,355
2017-10-24,360
2017-10-25,359
2017-10-26,362
2017-10-27,358
2017-10-28,358
2017-10-29,355
2017-10-30,363
2017-10-31,359
2017-11-01,359
2017-11-02,354
2017-11-03,357
2017-11-04,358
2017-11-05,361
2017-11-06,358
2017-11-07,357
2017-11-08,356
2017-11-09,358
2017-11-10,361
2017-11-11,356
2017-11-12,355
2017-11-13,356
2017-11-14,352
2017-11-15,348
2017-11-16,354
2017-11-17,351
2017-11-18,348
2017-11-19,348
2017-11-20,354
2017-11-21,358
2017-11-22,360
2017-11-23,355
2017-11-24,361
2017-11-25,359
2017-11-26,352
2017-11-27,352
2017-11-28,346
2017-11-29,351
2017-11-30,352
2017-12-01,361
2017-12-02,360
2017-12-03,360
2017-12-04,364
2017-12-05,356
2017-12-06,352
