date_obj,Top%20hat price
2015-08-17,283429
2015-08-18,283429
2015-08-19,282794
2015-08-20,282794
2015-08-21,283737
2015-08-22,283737
2015-08-23,283737
2015-08-24,284704
2015-08-25,284704
2015-08-26,284704
2015-08-27,285680
2015-08-28,285680
2015-08-29,285680
2015-08-30,285689
2015-08-31,285689
2015-09-01,282237
2015-09-02,282237
2015-09-03,282237
2015-09-04,283401
2015-09-05,283401
2015-09-06,283401
2015-09-07,285275
2015-09-08,285275
2015-09-09,285275
2015-09-10,293764
2015-09-11,293764
2015-09-12,293764
2015-09-13,303458
2015-09-14,303458
2015-09-15,313851
2015-09-16,313851
2015-09-17,313851
2015-09-18,328498
2015-09-19,328498
2015-09-20,328498
2015-09-21,340395
2015-09-22,340395
2015-09-23,340395
2015-09-24,340395
2015-09-25,340967
2015-09-27,340967
2015-09-28,339210
2015-09-29,339210
2015-09-30,339210
2015-10-05,342103
2015-10-06,342103
2015-10-07,342103
2015-10-08,336991
2015-10-09,336991
2015-10-10,336991
2015-10-11,341368
2015-10-12,341368
2015-10-13,341368
2015-10-14,341368
2015-10-15,346713
2015-10-16,346713
2015-10-17,346713
2015-10-18,346713
2015-10-19,340850
2015-10-20,340850
2015-10-22,338714
2015-10-23,338714
2015-10-24,338714
2015-10-25,344973
2015-10-26,344973
2015-10-27,344973
2015-10-29,348469
2015-10-30,348469
2015-10-31,348469
2015-11-01,348469
2015-11-02,360296
2015-11-03,360296
2015-11-04,360296
2015-11-05,360296
2015-11-06,371926
2015-11-07,371926
2015-11-08,371926
2015-11-09,371926
2015-11-10,383932
2015-11-11,383932
2015-11-12,383932
2015-11-13,388957
2015-11-14,388957
2015-11-15,388957
2015-11-16,388957
2015-11-17,394398
2015-11-18,394398
2015-11-19,394398
2015-11-20,409255
2015-11-21,409255
2015-11-22,409255
2015-11-23,409255
2015-11-24,424823
2015-11-25,424823
2015-11-26,424823
2015-11-27,426208
2015-11-28,426208
2015-11-29,426208
2015-11-30,432439
2015-12-01,432439
2015-12-02,432439
2015-12-03,442738
2015-12-04,442738
2015-12-05,442738
2015-12-06,454485
2015-12-07,454485
2015-12-08,454485
2015-12-09,454485
2015-12-10,455248
2015-12-11,455248
2015-12-13,455248
2015-12-14,447291
2015-12-15,447291
2015-12-16,447291
2015-12-17,447291
2015-12-18,432052
2015-12-19,432052
2015-12-20,432052
2015-12-21,432052
2015-12-22,425823
2015-12-23,425823
2015-12-24,425823
2015-12-25,425823
2015-12-26,424911
2015-12-27,424911
2015-12-28,424911
2015-12-29,426204
2015-12-30,426204
2015-12-31,426204
2016-01-01,426204
2016-01-02,432155
2016-01-03,432155
2016-01-04,417471
2016-01-05,417471
2016-01-06,417471
2016-01-07,402414
2016-01-08,402414
2016-01-09,402414
2016-01-10,386142
2016-01-11,386142
2016-01-12,386142
2016-01-13,373112
2016-01-14,373112
2016-01-15,364680
2016-01-16,364680
2016-01-17,350059
2016-01-18,350059
2016-01-19,350059
2016-01-20,340626
2016-01-21,340626
2016-01-22,340626
2016-01-23,328631
2016-01-24,328631
2016-01-25,318021
2016-01-26,318021
2016-01-27,317039
2016-01-28,317039
2016-01-29,326778
2016-01-30,326778
2016-01-31,326778
2016-02-01,317558
2016-02-02,317558
2016-02-03,317558
2016-02-04,303999
2016-02-05,303999
2016-02-06,296165
2016-02-07,296165
2016-02-08,296165
2016-02-09,284476
2016-02-10,284476
2016-02-11,272181
2016-02-12,272181
2016-02-13,272206
2016-02-14,272206
2016-02-15,270605
2016-02-16,270605
2016-02-17,270605
2016-02-18,264763
2016-02-19,264763
2016-02-20,264763
2016-02-21,262712
2016-02-22,262712
2016-02-23,262712
2016-02-24,262071
2016-02-25,262071
2016-02-26,262071
2016-02-27,259809
2016-02-28,259809
2016-02-29,264821
2016-03-01,264821
2016-03-02,264821
2016-03-03,271438
2016-03-04,271438
2016-03-05,271438
2016-03-06,274997
2016-03-07,274997
2016-03-08,274997
2016-03-09,275528
2016-03-10,275528
2016-03-11,275528
2016-03-12,270956
2016-03-13,270956
2016-03-14,270956
2016-03-15,269729
2016-03-16,269729
2016-03-17,269729
2016-03-18,264713
2016-03-19,264713
2016-03-20,264713
2016-03-21,258908
2016-03-22,258908
2016-03-23,258908
2016-03-24,252492
2016-03-25,252492
2016-03-26,252492
2016-03-27,244175
2016-03-28,244175
2016-03-29,237752
2016-03-30,237752
2016-03-31,237752
2016-04-01,228877
2016-04-02,228877
2016-04-03,221023
2016-04-04,221023
2016-04-05,221023
2016-04-06,226394
2016-04-07,226394
2016-04-08,226394
2016-04-09,225877
2016-04-10,225877
2016-04-11,225877
2016-04-12,220666
2016-04-13,220666
2016-04-14,220666
2016-04-15,227552
2016-04-16,227552
2016-04-17,227552
2016-04-18,228837
2016-04-19,228837
2016-04-20,228837
2016-04-21,235400
2016-04-22,235400
2016-04-23,235400
2016-04-24,243453
2016-04-25,243453
2016-04-26,243453
2016-04-27,237411
2016-04-28,237411
2016-04-29,237411
2016-04-30,236756
2016-05-01,236756
2016-05-02,236756
2016-05-03,231893
2016-05-04,231893
2016-05-05,224455
2016-05-06,224455
2016-05-07,224455
2016-05-08,217511
2016-05-09,217511
2016-05-10,208931
2016-05-11,208931
2016-05-12,208931
2016-05-13,198672
2016-05-14,198672
2016-05-15,188738
2016-05-16,188738
2016-05-17,179301
2016-05-18,179301
2016-05-19,171678
2016-05-22,163291
2016-05-23,155670
2016-05-24,155670
2016-05-25,149395
2016-05-26,149395
2016-05-27,142210
2016-05-28,142210
2016-05-29,139345
2016-05-30,139345
2016-05-31,142307
2016-06-01,142307
2016-06-02,147740
2016-06-03,147740
2016-06-04,153074
2016-06-05,153074
2016-06-06,156723
2016-06-07,156723
2016-06-08,161196
2016-06-09,161196
2016-06-10,166774
2016-06-11,166774
2016-06-12,172095
2016-06-13,172095
2016-06-14,176727
2016-06-15,176727
2016-06-16,176727
2016-06-17,180632
2016-06-18,180632
2016-06-19,187997
2016-06-20,187997
2016-06-21,195194
2016-06-22,195194
2016-06-23,202453
2016-06-24,202453
2016-06-25,202453
2016-06-26,208378
2016-06-27,208378
2016-06-28,208378
2016-06-29,209757
2016-06-30,209757
2016-07-01,210129
2016-07-02,210129
2016-07-03,210129
2016-07-04,209647
2016-07-05,209647
2016-07-06,207669
2016-07-07,207669
2016-07-08,210503
2016-07-09,210503
2016-07-10,215627
2016-07-11,215627
2016-07-12,220864
2016-07-13,220864
2016-07-14,220864
2016-07-15,224463
2016-07-16,224463
2016-07-17,224463
2016-07-18,222421
2016-07-24,223847
2016-07-25,223507
2016-07-26,223507
2016-07-27,223507
2016-07-28,223748
2016-07-29,223748
2016-07-30,221351
2016-07-31,221351
2016-08-01,221351
2016-08-02,216100
2016-08-03,216100
2016-08-04,216100
2016-08-05,206950
2016-08-06,206950
2016-08-07,206950
2016-08-08,199121
2016-08-09,199121
2016-08-10,194682
2016-08-11,194682
2016-08-12,194682
2016-08-13,194682
2016-08-14,192662
2016-08-15,192662
2016-08-16,194836
2016-08-17,194836
2016-08-18,194836
2016-08-19,202143
2016-08-20,202143
2016-08-21,202143
2016-08-22,202143
2016-08-23,201713
2016-08-24,201713
2016-08-25,201713
2016-08-26,201713
2016-08-28,191644
2016-08-31,182566
2016-09-01,182566
2016-09-02,180312
2016-09-03,180312
2016-09-04,178977
2016-09-05,178977
2016-09-06,178977
2016-09-07,172574
2016-09-08,172574
2016-09-09,172574
2016-09-10,172574
2016-09-11,173265
2016-09-12,173265
2016-09-13,174850
2016-09-14,174850
2016-09-15,174850
2016-09-16,174850
2016-09-17,174874
2016-09-18,174874
2016-09-19,174874
2016-09-20,174805
2016-09-21,174805
2016-09-22,174805
2016-09-23,171137
2016-09-24,171137
2016-09-25,171137
2016-09-26,171137
2016-09-27,170627
2016-09-28,170627
2016-09-29,170627
2016-09-30,172736
2016-10-01,172736
2016-10-02,172736
2016-10-03,172736
2016-10-04,179705
2016-10-05,179705
2016-10-06,179705
2016-10-07,179705
2016-10-08,182719
2016-10-09,182719
2016-10-10,182719
2016-10-11,182719
2016-10-12,181777
2016-10-13,181777
2016-10-14,178597
2016-10-15,178597
2016-10-16,178597
2016-10-17,174140
2016-10-18,174140
2016-10-19,174140
2016-10-20,172445
2016-10-21,172445
2016-10-22,172445
2016-10-23,177233
2016-10-24,177233
2016-10-25,177233
2016-10-26,181219
2016-10-27,181219
2016-10-28,181219
2016-10-29,186473
2016-10-30,186473
2016-10-31,186473
2016-11-01,188832
2016-11-02,188832
2016-11-03,188832
2016-11-04,189100
2016-11-05,189100
2016-11-06,189100
2016-11-07,189100
2016-11-08,191400
2016-11-09,191400
2016-11-10,191400
2016-11-11,199474
2016-11-12,199474
2016-11-13,199474
2016-11-14,199474
2016-12-08,190476
2016-12-09,192261
2016-12-10,192261
2016-12-11,192261
2016-12-12,191345
2016-12-13,191345
2016-12-14,191345
2016-12-15,191402
2016-12-16,191402
2016-12-17,191402
2016-12-18,191468
2016-12-19,191468
2016-12-20,191468
2016-12-21,190175
2016-12-22,190175
2016-12-23,190175
2016-12-24,189676
2016-12-25,189676
2016-12-26,189676
2016-12-27,182838
2016-12-28,182838
2016-12-29,182838
2016-12-30,180330
2016-12-31,180330
2017-01-01,180330
2017-01-02,177514
2017-01-03,177514
2017-01-04,177514
2017-01-05,170572
2017-01-06,170572
2017-01-07,170572
2017-01-08,169586
2017-01-09,169586
2017-01-10,169586
2017-01-11,170060
2017-01-12,170060
2017-01-13,168836
2017-01-14,168836
2017-01-15,167389
2017-01-16,167389
2017-01-17,163031
2017-01-18,163031
2017-01-19,163031
2017-01-20,159655
2017-01-21,159655
2017-01-22,155845
2017-01-27,152094
2017-01-28,151621
2017-01-29,151621
2017-01-30,151621
2017-01-31,154361
2017-02-01,154361
2017-02-02,153694
2017-02-03,153694
2017-02-04,153334
2017-02-05,153334
2017-02-06,153334
2017-02-07,155048
2017-02-08,155048
2017-02-09,155048
2017-02-10,155025
2017-02-11,155025
2017-02-12,155025
2017-02-13,154484
2017-02-14,154484
2017-02-15,154484
2017-02-16,155892
2017-02-18,155892
2017-02-19,157352
2017-02-20,157352
2017-02-21,157352
2017-02-22,158879
2017-02-23,158879
2017-02-24,158879
2017-02-25,160864
2017-02-26,160864
2017-02-27,160864
2017-02-28,161418
2017-03-01,161418
2017-03-02,161418
2017-03-03,160716
2017-03-04,160716
2017-03-05,160887
2017-03-06,160887
2017-03-07,161859
2017-03-08,161859
2017-03-09,161859
2017-03-10,162295
2017-03-11,162295
2017-03-12,164855
2017-03-13,164855
2017-03-14,165180
2017-03-15,165180
2017-03-16,165180
2017-03-17,164470
2017-03-18,164470
2017-03-19,163930
2017-03-20,163930
2017-03-21,161551
2017-03-22,161551
2017-03-23,161551
2017-03-24,162731
2017-03-25,162731
2017-03-26,162731
2017-03-27,161918
2017-03-28,161918
2017-03-29,161918
2017-03-30,162367
2017-03-31,162367
2017-04-01,162573
2017-04-02,162573
2017-04-03,163387
2017-04-04,163387
2017-04-12,174781
2017-04-13,174781
2017-04-14,174781
2017-04-15,175594
2017-04-16,175594
2017-04-17,175594
2017-04-18,179726
2017-04-19,179726
2017-04-20,179726
2017-04-21,182489
2017-04-22,182489
2017-04-23,182489
2017-04-24,183698
2017-04-25,183698
2017-04-26,183698
2017-04-27,186736
2017-04-28,186736
2017-04-29,186736
2017-04-30,190930
2017-05-01,190930
2017-05-02,190930
2017-05-03,190930
2017-05-04,194720
2017-05-05,194720
2017-05-06,194720
2017-05-07,194720
2017-05-08,196707
2017-05-09,196707
2017-05-10,196707
2017-05-11,198163
2017-05-12,198163
2017-05-13,197263
2017-05-14,197263
2017-05-15,197263
2017-05-16,193464
2017-05-17,193464
2017-05-18,193464
2017-05-19,188161
2017-05-20,188161
2017-05-21,188161
2017-05-22,188269
2017-05-23,188269
2017-05-24,188269
2017-05-25,185091
2017-05-26,185091
2017-05-27,183978
2017-05-28,183978
2017-05-29,183978
2017-05-30,181720
2017-05-31,181720
2017-06-01,177846
2017-06-02,177846
2017-06-03,177846
2017-06-06,184881
2017-06-07,184881
2017-06-08,184881
2017-06-09,183181
2017-06-10,183181
2017-06-11,177709
2017-06-12,177709
2017-06-13,177709
2017-06-14,174437
2017-06-15,174437
2017-06-16,177578
2017-06-17,177578
2017-06-18,178749
2017-06-19,178749
2017-06-20,178749
2017-06-21,180071
2017-06-22,180071
2017-06-23,180071
2017-06-24,181962
2017-06-25,181962
2017-06-26,181962
2017-06-27,183094
2017-06-28,183094
2017-06-29,183094
2017-06-30,183259
2017-07-01,183259
2017-07-02,183259
2017-07-03,180214
2017-07-04,180214
2017-07-05,180214
2017-07-06,180189
2017-07-07,180189
2017-07-08,180189
2017-07-13,183269
2017-07-14,183269
2017-07-15,183269
2017-07-16,185230
2017-07-17,185230
2017-07-18,185230
2017-07-19,183494
2017-07-20,183494
2017-07-21,181606
2017-07-22,181606
2017-07-23,181713
2017-07-24,181713
2017-07-25,181713
2017-07-26,177719
2017-07-27,177719
2017-07-28,177719
2017-07-29,178266
2017-07-30,178266
2017-07-31,175559
2017-08-01,175559
2017-08-02,170471
2017-08-03,170471
2017-08-04,170471
2017-08-05,164439
2017-08-06,164439
2017-08-09,160873
2017-08-10,159112
2017-08-11,159112
2017-08-12,159112
2017-08-13,158905
2017-08-14,158905
2017-08-15,159302
2017-08-16,159302
2017-08-17,156487
2017-08-18,156487
