date_obj,Mithril%202h%20sword price
2016-05-15,1344
2016-05-16,1353
2016-05-17,1347
2016-05-18,1343
2016-05-19,1365
2016-05-22,1380
2016-05-23,1349
2016-05-24,1352
2016-05-25,1384
2016-05-26,1355
2016-05-27,1358
2016-05-28,1358
2016-05-29,1361
2016-05-30,1361
2016-05-31,1361
2016-06-01,1378
2016-06-02,1381
2016-06-03,1369
2016-06-04,1334
2016-06-05,1336
2016-06-06,1353
2016-06-07,1353
2016-06-08,1376
2016-06-09,1367
2016-06-10,1367
2016-06-11,1341
2016-06-12,1345
2016-06-13,1342
2016-06-14,1354
2016-06-15,1362
2016-06-16,1362
2016-06-17,1395
2016-06-18,1395
2016-06-19,1383
2016-06-20,1413
2016-06-21,1396
2016-06-22,1404
2016-06-23,1425
2016-06-24,1417
2016-06-25,1417
2016-06-26,1417
2016-06-27,1378
2016-06-28,1368
2016-06-29,1364
2016-06-30,1339
2016-07-01,1362
2016-07-02,1392
2016-07-03,1376
2016-07-04,1385
2016-07-05,1324
2016-07-06,1316
2016-07-07,1346
2016-07-08,1386
2016-07-09,1359
2016-07-10,1406
2016-07-11,1372
2016-07-12,1407
2016-07-13,1414
2016-07-14,1402
2016-07-15,1373
2016-07-16,1385
2016-07-17,1385
2016-07-18,1356
2016-07-23,1348
2016-07-24,1362
2016-07-25,1398
2016-07-26,1398
2016-07-27,1378
2016-07-28,1378
2016-07-29,1388
2016-07-30,1402
2016-07-31,1402
2016-08-01,1404
2016-08-02,1421
2016-08-03,1404
2016-08-04,1444
2016-08-05,1444
2016-08-06,1424
2016-08-07,1388
2016-08-08,1388
2016-08-09,1379
2016-08-10,1345
2016-08-11,1345
2016-08-12,1325
2016-08-13,1325
2016-08-14,1316
2016-08-15,1347
2016-08-16,1304
2016-08-17,1304
2016-08-18,1326
2016-08-19,1362
2016-08-20,1349
2016-08-21,1349
2016-08-22,1343
2016-08-23,1333
2016-08-24,1333
2016-08-25,1338
2016-08-26,1338
2016-08-28,1341
2016-08-31,1340
2016-09-01,1343
2016-09-02,1343
2016-09-03,1353
2016-09-04,1360
2016-09-05,1352
2016-09-06,1332
2016-09-07,1332
2016-09-08,1337
2016-09-09,1337
2016-09-10,1336
2016-09-11,1336
2016-09-12,1343
2016-09-13,1342
2016-09-14,1342
2016-09-15,1323
2016-09-16,1323
2016-09-17,1346
2016-09-18,1366
2016-09-19,1331
