date_obj,Mage's%20book price
2016-11-11,6804921
2016-11-12,6948648
2016-11-13,6953999
2016-11-14,6809909
2016-12-07,7109267
2016-12-08,7085150
2016-12-09,6840081
2016-12-10,6728725
2016-12-11,6728069
2016-12-12,6849915
2016-12-13,6831647
2016-12-14,6926174
2016-12-15,6927886
2016-12-16,7063398
2016-12-17,7248578
2016-12-18,7343484
2016-12-19,7366090
2016-12-20,7383188
2016-12-21,7611979
2016-12-22,7611490
2016-12-23,7927427
2016-12-24,7984283
2016-12-25,7812738
2016-12-26,7777194
2016-12-27,7665781
2016-12-28,7594169
2016-12-29,7524726
2016-12-30,7477249
2016-12-31,7303949
2017-01-01,7195087
2017-01-02,7058635
2017-01-03,6963865
2017-01-04,6735373
2017-01-05,6401242
2017-01-06,6099330
2017-01-07,6044786
2017-01-08,6148455
2017-01-09,6252812
2017-01-10,6473561
2017-01-11,6762115
2017-01-12,7003707
2017-01-13,7310074
2017-01-14,7401931
2017-01-15,7656391
2017-01-16,7315677
2017-01-17,7165807
2017-01-18,7089335
2017-01-19,7151672
2017-01-20,7303347
2017-01-21,7444341
2017-01-22,7214971
2017-01-27,7903111
2017-01-28,8040154
2017-01-29,8164667
2017-01-30,8527345
2017-01-31,8694031
2017-02-01,8909357
2017-02-02,8734185
2017-02-03,8686201
2017-02-04,8816117
2017-02-05,9070670
2017-02-06,8930501
2017-02-07,8981220
2017-02-08,9164822
2017-02-09,9460361
2017-02-10,9728190
2017-02-11,9352029
2017-02-12,9010811
2017-02-13,8785506
2017-02-14,8794599
2017-02-15,9132154
2017-02-16,9406695
2017-02-18,9493073
2017-02-19,9422455
2017-02-20,9460892
2017-02-21,9783876
2017-02-22,10118136
2017-02-23,10344488
2017-02-24,10640928
2017-02-25,11123298
2017-02-26,11560838
2017-02-27,11804104
2017-02-28,12392405
2017-03-01,12196389
2017-03-02,11586569
2017-03-03,11007240
2017-03-04,10456878
2017-03-05,9934034
2017-03-06,9865641
2017-03-07,10217976
2017-03-08,10360733
2017-03-09,10234510
2017-03-10,9893114
2017-03-11,9899208
2017-03-12,9907502
2017-03-13,9835378
2017-03-14,9796673
2017-03-15,9507082
2017-03-16,9245346
2017-03-17,8866358
2017-03-18,8469540
2017-03-19,8049131
2017-03-20,7652624
2017-03-21,7541322
2017-03-22,7918389
2017-03-23,8254930
2017-03-24,8549525
2017-03-25,8303227
2017-03-26,8110139
2017-03-27,8131445
2017-03-28,8220231
2017-03-29,8313512
2017-03-30,8364877
2017-03-31,8625248
2017-04-01,8402703
2017-04-02,8284521
2017-04-03,8199509
2017-04-04,8259721
2017-04-12,8305343
2017-04-13,8139833
2017-04-14,8158045
2017-04-15,8196881
2017-04-16,8128269
2017-04-17,7902755
2017-04-18,7757538
2017-04-19,7774662
2017-04-20,7646062
2017-04-21,7807299
2017-04-22,7935188
2017-04-23,8005676
2017-04-24,8403137
2017-04-25,8504539
2017-04-26,8352414
2017-04-27,8278657
2017-04-28,8260409
2017-04-29,8112636
2017-04-30,7796706
2017-05-01,7713280
2017-05-02,7606065
2017-05-03,7548921
2017-05-04,7546375
2017-05-05,7546034
2017-05-06,7377828
2017-05-07,7042227
2017-05-08,6953865
2017-05-09,6969462
2017-05-10,6832124
2017-05-11,6941514
2017-05-12,7015831
2017-05-13,7189185
2017-05-14,7303708
2017-05-15,7281412
2017-05-16,7298317
2017-05-17,7282710
2017-05-18,7220596
2017-05-19,7176005
2017-05-20,6976304
2017-05-21,6741573
2017-05-22,6566662
2017-05-23,6709474
2017-05-24,6598836
2017-05-25,6271371
2017-05-26,5957802
2017-05-27,5683514
2017-05-28,5797834
2017-05-29,5714100
2017-05-30,5615149
2017-05-31,5552815
2017-06-01,5306137
2017-06-02,5045964
2017-06-03,5095164
2017-06-06,5228385
2017-06-07,5385218
2017-06-08,5357879
2017-06-09,5330267
2017-06-10,5225303
2017-06-11,5026026
2017-06-12,4853067
2017-06-13,4792931
2017-06-14,5032282
