date_obj,Skirt%20(lilac) price
2015-09-26,3326
2015-09-27,3326
2015-09-28,3326
2015-09-29,3326
2015-09-30,3326
2015-10-01,3326
2015-10-02,3326
2015-10-03,3326
2015-10-04,3326
2015-10-05,3326
2015-10-06,3326
2015-10-07,3326
2015-10-08,3326
2015-10-09,3326
2015-10-10,3326
2015-10-11,3326
2015-10-12,3326
2015-10-13,3326
2015-10-14,3326
2015-10-15,3326
2015-10-16,3326
2015-10-17,3326
2015-10-18,3326
2015-10-19,3326
2015-10-20,3326
2015-10-21,3326
2015-10-22,3326
2015-10-23,3326
2015-10-24,3326
2015-10-25,3326
2015-10-26,3326
2015-10-27,3326
2015-10-28,3326
2015-10-29,3274
2015-10-30,3274
2015-10-31,3274
2015-11-01,3274
2015-11-02,3274
2015-11-03,3274
2015-11-04,3274
2015-11-05,3274
2015-11-06,3274
2015-11-07,3274
2015-11-08,3274
2015-11-09,3274
2015-11-10,3274
2015-11-11,3274
2015-11-12,3274
2015-11-13,3274
2015-11-14,3274
2015-11-15,3274
2015-11-16,3274
2015-11-17,3274
2015-11-18,3274
2015-11-19,3274
2015-11-20,3274
2015-11-21,3274
2015-11-22,3274
2015-11-23,3274
2015-11-24,3274
2015-11-25,3274
2015-11-26,3274
2015-11-27,3274
2015-11-28,3184
2015-11-29,3184
2015-11-30,3184
2015-12-01,3184
2015-12-02,3184
2015-12-03,3184
2015-12-04,3184
2015-12-05,3184
2015-12-06,3184
2015-12-07,3184
2015-12-08,3184
2015-12-09,3184
2015-12-10,3184
2015-12-11,3184
2015-12-12,3184
2015-12-13,3184
2015-12-14,3184
2015-12-15,3184
2015-12-16,3184
2015-12-17,3184
2015-12-18,3184
2015-12-19,3184
2015-12-20,3184
2015-12-21,3184
2015-12-22,3184
2015-12-23,3184
2015-12-24,3184
2015-12-25,3184
2015-12-26,3184
2015-12-27,3184
2015-12-28,3132
2015-12-29,3132
2015-12-30,3132
2015-12-31,3132
2016-01-01,3132
2016-01-02,3132
2016-01-03,3132
2016-01-04,3132
2016-01-05,3132
2016-01-06,3132
2016-01-07,3132
2016-01-08,3132
2016-01-09,3132
2016-01-10,3132
2016-01-11,3132
2016-01-12,3132
2016-01-13,3132
2016-01-14,3132
2016-01-15,3132
2016-01-16,3132
2016-01-17,3132
2016-01-18,3132
2016-01-19,3132
2016-01-20,3132
2016-01-21,3132
2016-01-22,3097
2016-01-23,3097
2016-01-24,3097
2016-01-25,3097
2016-01-26,3097
2016-01-27,3097
2016-01-28,3097
2016-01-29,3097
2016-01-30,3097
2016-01-31,3097
2016-02-01,3097
2016-02-02,3097
2016-02-03,3097
2016-02-04,3097
2016-02-05,3097
2016-02-06,3097
2016-02-07,3097
2016-02-08,3097
2016-02-09,3097
2016-02-10,3097
2016-02-11,3097
2016-02-12,3097
2016-02-13,3097
2016-02-14,3097
2016-02-15,3097
2016-02-16,3097
2016-02-17,3085
2016-02-18,3085
2016-02-19,3085
2016-02-20,3085
2016-02-21,3085
2016-02-22,3085
2016-02-23,3085
2016-02-24,3085
2016-02-25,3085
2016-02-26,3085
2016-02-27,3085
2016-02-28,3085
2016-02-29,3085
2016-03-01,3085
2016-03-02,3085
2016-03-03,3085
2016-03-04,3085
2016-03-05,3085
2016-03-06,3085
2016-03-07,3085
2016-03-08,3085
2016-03-09,3085
2016-03-10,3085
2016-03-11,3085
2016-03-12,3085
2016-03-13,3085
2016-03-14,3085
2016-03-15,2999
2016-03-16,2999
2016-03-17,2999
2016-03-18,2999
2016-03-19,2999
2016-03-20,2999
2016-03-21,2999
2016-03-22,2999
2016-03-23,2999
2016-03-24,2999
2016-03-25,2999
2016-03-26,2999
2016-03-27,2999
2016-03-28,2999
2016-03-29,2999
2016-03-30,2999
2016-03-31,2999
2016-04-01,2999
2016-04-02,2999
2016-04-03,2999
2016-04-04,2999
2016-04-05,2999
2016-04-06,2999
2016-04-07,2999
2016-04-08,2999
2016-04-09,2999
2016-04-10,2999
2016-04-11,2999
2016-04-12,2930
2016-04-13,2930
2016-04-14,2930
2016-04-15,2930
2016-04-16,2930
2016-04-17,2930
2016-04-18,2930
2016-04-19,2930
2016-04-20,2930
2016-04-21,2930
2016-04-22,2930
2016-04-23,2930
2016-04-24,2930
2016-04-25,2930
2016-04-26,2930
2016-04-27,2930
2016-04-28,2930
2016-04-29,2930
2016-04-30,2930
2016-05-01,2930
2016-05-02,2930
2016-05-03,2930
2016-05-04,2930
2016-05-05,2930
2016-05-06,2930
2016-05-07,2930
2016-05-08,2930
2016-05-09,2827
2016-05-10,2827
2016-05-11,2827
2016-05-12,2827
2016-05-13,2827
2016-05-14,2827
2016-05-15,2827
2016-05-16,2827
2016-05-17,2827
2016-05-18,2827
2016-05-19,2827
2016-05-20,2827
2016-05-21,2827
2016-05-22,2827
2016-05-23,2827
2016-05-24,2827
2016-05-25,2827
2016-05-26,2827
2016-05-27,2827
2016-05-28,2827
2016-05-29,2827
2016-05-30,2827
2016-05-31,2827
2016-06-01,2827
2016-06-02,2827
2016-06-03,2827
2016-06-04,2827
2016-06-05,2746
2016-06-06,2746
2016-06-07,2746
2016-06-08,2746
2016-06-09,2746
2016-06-10,2746
2016-06-11,2746
2016-06-12,2746
2016-06-13,2746
2016-06-14,2746
2016-06-15,2746
2016-06-16,2746
2016-06-17,2746
2016-06-18,2746
2016-06-19,2746
2016-06-20,2746
2016-06-21,2746
2016-06-22,2746
2016-06-23,2746
2016-06-24,2746
2016-06-25,2746
2016-06-26,2746
2016-06-27,2746
2016-06-28,2648
2016-06-29,2648
2016-06-30,2648
2016-07-01,2648
2016-07-02,2648
2016-07-03,2648
2016-07-04,2648
2016-07-05,2648
2016-07-06,2648
2016-07-07,2648
2016-07-08,2648
2016-07-09,2648
2016-07-10,2648
2016-07-11,2648
2016-07-12,2648
2016-07-13,2648
2016-07-14,2648
2016-07-15,2648
2016-07-16,2648
2016-07-17,2648
2016-07-18,2579
2016-07-19,2579
2016-07-20,2579
2016-07-21,2579
2016-07-22,2579
2016-07-23,2579
2016-07-24,2579
2016-07-25,2579
2016-07-26,2579
2016-07-27,2579
2016-07-28,2579
2016-07-29,2579
2016-07-30,2579
2016-07-31,2579
2016-08-01,2579
2016-08-02,2579
2016-08-03,2579
2016-08-04,2579
2016-08-05,2579
2016-08-06,2579
2016-08-07,2579
2016-08-08,2579
2016-08-09,2579
2016-08-10,2579
2016-08-11,2579
2016-08-12,2579
2016-08-13,2504
2016-08-14,2504
2016-08-15,2504
2016-08-16,2504
2016-08-17,2504
2016-08-18,2504
2016-08-19,2504
2016-08-20,2504
2016-08-21,2504
2016-08-22,2504
2016-08-23,2504
2016-08-24,2504
2016-08-25,2504
2016-08-26,2504
2016-08-27,2504
2016-08-28,2504
2016-08-29,2504
2016-08-30,2504
2016-08-31,2504
2016-09-01,2504
2016-09-02,2504
2016-09-03,2504
2016-09-04,2504
2016-09-05,2504
2016-09-06,2504
2016-09-07,2504
2016-09-08,2504
2016-09-09,2504
2016-09-10,2504
2016-09-11,2504
2016-09-12,2504
2016-09-13,2504
2016-09-14,2392
2016-09-15,2392
2016-09-16,2392
2016-09-17,2392
2016-09-18,2392
2016-09-19,2392
2016-09-20,2392
2016-09-21,2392
2016-09-22,2392
2016-09-23,2392
2016-09-24,2392
2016-09-25,2392
2016-09-26,2392
2016-09-27,2392
2016-09-28,2392
2016-09-29,2392
2016-09-30,2392
2016-10-01,2392
2016-10-02,2392
2016-10-03,2392
2016-10-04,2392
2016-10-05,2392
2016-10-06,2392
2016-10-07,2392
2016-10-08,2392
2016-10-09,2392
2016-10-10,2392
2016-10-11,2392
2016-10-12,2392
2016-10-13,2392
2016-10-14,2392
2016-10-15,2392
2016-10-16,2321
2016-10-17,2321
2016-10-18,2321
2016-10-19,2321
2016-10-20,2321
2016-10-21,2321
2016-10-22,2321
2016-10-23,2321
2016-10-24,2321
2016-10-25,2321
2016-10-26,2321
2016-10-27,2321
2016-10-28,2321
2016-10-29,2321
2016-10-30,2321
2016-10-31,2321
2016-11-01,2321
2016-11-02,2321
2016-11-03,2321
2016-11-04,2321
2016-11-05,2321
2016-11-06,2321
2016-11-07,2321
2016-11-08,2321
2016-11-09,2321
2016-11-10,2321
2016-11-11,2321
2016-11-12,2321
2016-11-13,2321
2016-11-14,2321
2016-11-15,2321
2016-11-16,2321
2016-11-17,2321
2016-11-18,2221
2016-11-19,2221
2016-11-20,2221
2016-11-21,2221
2016-11-22,2221
2016-11-23,2221
2016-11-24,2221
2016-11-25,2221
2016-11-26,2221
2016-11-27,2221
2016-11-28,2221
2016-11-29,2221
2016-11-30,2221
2016-12-01,2221
2016-12-02,2221
2016-12-03,2221
2016-12-04,2221
2016-12-05,2221
2016-12-06,2221
2016-12-07,2221
2016-12-08,2221
2016-12-09,2221
2016-12-10,2221
2016-12-11,2221
2016-12-12,2221
2016-12-13,2221
2016-12-14,2221
2016-12-15,2221
2016-12-16,2221
2016-12-17,2221
2016-12-18,2117
2016-12-19,2117
2016-12-20,2117
2016-12-21,2117
2016-12-22,2117
2016-12-23,2117
2016-12-24,2117
2016-12-25,2117
2016-12-26,2117
2016-12-27,2117
2016-12-28,2117
2016-12-29,2117
2016-12-30,2117
2016-12-31,2117
2017-01-01,2117
2017-01-02,2117
2017-01-03,2117
2017-01-04,2117
2017-01-05,2117
2017-01-06,2117
2017-01-07,2117
2017-01-08,2117
2017-01-09,2117
2017-01-10,2117
2017-01-11,2117
2017-01-12,2117
2017-01-13,2053
2017-01-14,2053
2017-01-15,2053
2017-01-16,2053
2017-01-17,2053
2017-01-18,2053
2017-01-19,2053
2017-01-20,2053
2017-01-21,2053
2017-01-22,2053
2017-01-23,2053
2017-01-24,2053
2017-01-25,2053
2017-01-26,2053
2017-01-27,2053
2017-01-28,2053
2017-01-29,2053
2017-01-30,2053
2017-01-31,2053
2017-02-01,2053
2017-02-02,2053
2017-02-03,2053
2017-02-04,2053
2017-02-05,2053
2017-02-06,2053
2017-02-07,1999
2017-02-08,1999
2017-02-09,1999
2017-02-10,1999
2017-02-11,1999
2017-02-12,1999
2017-02-13,1999
2017-02-14,1999
2017-02-15,1999
2017-02-16,1999
2017-02-17,1999
2017-02-18,1999
2017-02-19,1999
2017-02-20,1999
2017-02-21,1999
2017-02-22,1999
2017-02-23,1999
2017-02-24,1999
2017-02-25,1999
2017-02-26,1999
2017-02-27,1999
2017-02-28,1999
2017-03-01,1999
2017-03-02,1999
2017-03-03,1999
2017-03-04,1999
2017-03-05,1999
2017-03-06,1999
2017-03-07,1947
2017-03-08,1947
2017-03-09,1947
2017-03-10,1947
2017-03-11,1947
2017-03-12,1947
2017-03-13,1947
2017-03-14,1947
2017-03-15,1947
2017-03-16,1947
2017-03-17,1947
2017-03-18,1947
2017-03-19,1947
2017-03-20,1947
2017-03-21,1947
2017-03-22,1947
2017-03-23,1947
2017-03-24,1947
2017-03-25,1947
2017-03-26,1947
2017-03-27,1947
2017-03-28,1947
2017-03-29,1947
2017-03-30,1947
2017-03-31,1947
2017-04-01,1947
2017-04-02,1947
2017-04-03,1877
2017-04-04,1877
2017-04-05,1877
2017-04-06,1877
2017-04-07,1877
2017-04-08,1877
2017-04-09,1877
2017-04-10,1877
2017-04-11,1877
2017-04-12,1877
2017-04-13,1877
2017-04-14,1877
2017-04-15,1877
2017-04-16,1877
2017-04-17,1877
2017-04-18,1877
2017-04-19,1877
2017-04-20,1877
2017-04-21,1877
2017-04-22,1877
2017-04-23,1877
2017-04-24,1877
