date_obj,Boots%20of%20brimstone price
2019-07-02,1166870
2019-07-03,1183580
2019-07-04,1200705
2019-07-05,1256781
2019-07-06,1298430
2019-07-07,1282324
2019-07-08,1273837
2019-07-09,1265617
2019-07-10,1236656
2019-07-11,1204670
2019-07-12,1216616
2019-07-13,1222514
2019-07-14,1221519
2019-07-15,1197274
2019-07-16,1204237
2019-07-17,1173567
2019-07-18,1133319
2019-07-19,1093705
2019-07-20,1065932
2019-07-21,1069406
2019-07-22,1077123
2019-07-23,1066079
2019-07-24,1066777
2019-07-25,1068851
2019-07-26,1050398
2019-07-27,1032141
2019-07-28,1023948
2019-07-29,1014091
2019-07-30,1001868
2019-07-31,997731
2019-08-01,1000604
2019-08-02,1007310
2019-08-03,1022606
2019-08-04,1044668
2019-08-05,1036387
2019-08-06,1020718
2019-08-07,1016374
2019-08-08,997033
2019-08-09,994836
2019-08-10,981351
2019-08-11,993390
2019-08-12,1016373
2019-08-13,1008960
2019-08-14,1009405
2019-08-15,1001483
2019-08-16,987555
2019-08-17,978313
2019-08-18,962165
2019-08-19,952233
2019-08-20,944494
2019-08-21,941989
2019-08-22,940737
2019-08-23,932497
2019-08-24,925497
2019-08-24,925497
2019-08-25,922378
2019-08-25,922378
2019-08-26,919959
2019-08-27,916834
2019-08-27,916834
2019-08-28,910892
2019-08-29,904377
2019-08-30,895992
2019-08-31,882074
2019-09-01,894190
2019-09-02,894245
2019-09-03,888758
2019-09-04,885579
2019-09-05,880392
2019-09-06,878952
2019-09-07,888432
2019-09-08,922166
2019-09-09,934540
2019-09-10,933258
2019-09-11,932088
2019-09-12,925469
2019-09-13,926296
2019-09-14,929388
2019-09-15,922747
2019-09-16,921237
2019-09-17,923519
2019-09-18,957941
2019-09-19,946594
2019-09-20,940288
2019-09-21,943912
2019-09-22,943108
2019-09-23,939070
2019-09-24,933909
2019-09-25,937431
2019-09-26,930421
2019-09-27,924619
2019-09-28,924578
2019-09-29,966792
2019-09-30,956183
2019-10-01,946843
2019-10-02,936731
2019-10-03,941571
2019-10-04,962636
2019-10-05,963999
2019-10-06,955461
2019-10-07,953353
2019-10-08,947133
2019-10-09,942042
2019-10-10,942209
2019-10-11,936112
2019-10-12,929189
2019-10-13,925234
2019-10-14,917579
2019-10-15,917541
2019-10-16,907340
2019-10-17,907784
2019-10-18,903654
2019-10-19,926518
2019-10-20,921544
2019-10-21,933076
2019-10-22,937469
2019-10-23,930797
2019-10-24,918228
2019-10-25,916890
2019-10-26,952891
2019-10-27,992433
2019-10-28,962832
2019-10-29,943292
2019-10-30,931769
2019-10-31,908601
2019-11-01,909995
2019-11-02,910685
2019-11-03,908290
2019-11-04,899585
2019-11-05,896135
2019-11-06,895810
2019-11-07,886839
2019-11-08,894628
2019-11-09,909105
2019-11-10,932060
2019-11-11,938857
2019-11-12,960626
2019-11-13,957245
2019-11-14,966192
2019-11-15,977158
2019-11-16,1020894
2019-11-17,1020405
2019-11-18,1010990
2019-11-19,1043898
2019-11-20,1042339
2019-11-21,1044989
2019-11-22,1050827
2019-11-23,1092722
2019-11-24,1133379
2019-11-25,1147151
2019-11-26,1143480
2019-11-27,1173235
2019-11-28,1164817
2019-11-29,1146554
2019-11-30,1140818
2019-12-01,1146484
2019-12-02,1151818
2019-12-03,1197235
2019-12-04,1186305
2019-12-05,1182685
2019-12-06,1170648
2019-12-07,1179210
2019-12-08,1211080
2019-12-09,1270507
2019-12-10,1286786
2019-12-11,1275750
2019-12-12,1269896
2019-12-13,1275879
2019-12-14,1279196
2019-12-15,1257527
2019-12-16,1252963
2019-12-17,1234032
2019-12-18,1222845
2019-12-19,1206834
2019-12-20,1199491
2019-12-21,1179132
2019-12-22,1157648
2019-12-23,1122782
2019-12-24,1106900
2019-12-25,1088795
2019-12-26,1081403
2019-12-27,1076619
2019-12-28,1082247
2019-12-29,1111287
2019-12-30,1067130
2019-12-31,1054201
2020-01-01,1043291
2020-01-02,1076784
2020-01-03,1096928
2020-01-04,1127200
2020-01-05,1174499
2020-01-06,1173817
2020-01-07,1172368
2020-01-08,1218834
2020-01-09,1239765
2020-01-10,1274890
2020-01-11,1321979
2020-01-12,1344726
2020-01-13,1331700
2020-01-14,1353310
2020-01-15,1355107
2020-01-16,1335836
2020-01-17,1328968
2020-01-18,1328941
2020-01-19,1317108
2020-01-20,1306656
2020-01-21,1311384
2020-01-22,1295032
2020-01-23,1267349
2020-01-24,1227275
2020-01-25,1188048
2020-01-26,1167023
2020-01-27,1154929
2020-01-28,1139585
2020-01-29,1130312
2020-01-30,1113054
2020-01-31,1088484
2020-02-01,1072633
2020-02-02,1068749
2020-02-03,1050879
2020-02-04,1038372
2020-02-05,1025561
2020-02-06,978408
2020-02-07,929973
2020-02-08,888720
2020-02-09,887271
2020-02-10,911133
2020-02-11,919937
2020-02-12,894023
2020-02-13,884238
2020-02-14,905925
2020-02-15,911253
2020-02-16,913961
2020-02-17,920884
2020-02-18,964919
2020-02-19,1007366
2020-02-20,1054191
2020-02-21,1008558
2020-02-22,960030
2020-02-23,912028
2020-02-24,895241
2020-02-25,886068
2020-02-26,899644
2020-02-27,929041
2020-02-28,927862
2020-02-29,949065
2020-03-01,974458
2020-03-02,979606
2020-03-03,964943
2020-03-04,941145
2020-03-05,942235
2020-03-06,946507
2020-03-07,958022
2020-03-08,958003
2020-03-09,967322
2020-03-10,965860
2020-03-11,959059
2020-03-12,954629
2020-03-13,952641
2020-03-14,954737
2020-03-15,946641
2020-03-16,940354
2020-03-17,937103
2020-03-18,943755
2020-03-19,950370
2020-03-20,978017
2020-03-21,1026629
2020-03-22,1011693
2020-03-23,1030765
2020-03-24,1042104
2020-03-25,1051578
2020-03-26,1068685
2020-03-27,1067705
2020-03-28,1065740
2020-03-29,1087315
2020-03-30,1115908
2020-03-31,1149907
2020-04-01,1143828
2020-04-02,1196294
2020-04-03,1255998
2020-04-04,1281336
2020-04-05,1345225
2020-04-06,1395682
2020-04-07,1408520
2020-04-08,1344542
2020-04-09,1277314
2020-04-10,1213448
2020-04-11,1154539
2020-04-12,1109609
2020-04-13,1066619
2020-04-14,1042674
2020-04-15,1027556
2020-04-16,1004316
2020-04-17,1010497
2020-04-18,1038422
2020-04-19,1082826
2020-04-20,1126841
2020-04-21,1117905
2020-04-22,1070292
2020-04-23,1057644
2020-04-24,1053490
2020-04-25,1047924
2020-04-26,1032826
2020-04-27,1016049
2020-04-28,1033500
2020-04-29,1058356
2020-04-30,1059681
2020-05-01,1049758
2020-05-02,1050666
2020-05-03,1083568
2020-05-04,1081599
2020-05-05,1116747
2020-05-06,1135527
2020-05-07,1148499
2020-05-08,1195564
2020-05-09,1228212
2020-05-10,1238996
2020-05-11,1288698
2020-05-12,1330070
2020-05-13,1339495
