date_obj,Dinh's%20bulwark price
2019-02-25,5740352
2019-02-26,5738562
2019-02-27,5688310
2019-02-28,5558749
2019-03-01,5512963
2019-03-02,5440296
2019-03-03,5428711
2019-03-04,5549873
2019-03-05,5769332
2019-03-06,5894356
2019-03-07,5973413
2019-03-08,5949913
2019-03-09,5891152
2019-03-10,5921799
2019-03-11,5828342
2019-03-12,5804758
2019-03-13,5756605
2019-03-14,5722917
2019-03-15,5729062
2019-03-16,5674978
2019-03-17,5662116
2019-03-18,5615939
2019-03-19,5589315
2019-03-20,5594450
2019-03-21,5609451
2019-03-22,5485580
2019-03-23,5462448
2019-03-24,5453751
2019-03-25,5520499
2019-03-26,5580879
2019-03-27,5533696
2019-03-28,5561729
2019-03-29,5495763
2019-03-30,5455263
2019-03-31,5440178
2019-04-01,5426828
2019-04-02,5614364
2019-04-03,5768459
2019-04-04,5773597
2019-04-05,5819046
2019-04-06,5613782
2019-04-07,5607681
2019-04-08,5683280
2019-04-09,5809903
2019-04-10,5854776
2019-04-11,5799035
2019-04-12,5810991
2019-04-13,5768017
2019-04-14,5802124
2019-04-15,5789957
2019-04-16,5739460
2019-04-17,5654765
2019-04-18,5618759
2019-04-19,5652076
2019-04-20,5729593
2019-04-21,5919074
2019-04-22,5890734
2019-04-23,5732901
2019-04-24,5743595
2019-04-25,5783919
2019-04-26,5888523
2019-04-27,6162780
2019-04-28,6242667
2019-04-29,6469805
2019-04-30,6479444
2019-05-01,6796413
2019-05-02,6865552
2019-05-03,6628883
2019-05-04,6491011
2019-05-05,6374102
2019-05-06,6312446
2019-05-07,6234853
2019-05-08,6202361
2019-05-09,6081633
2019-05-10,5854464
2019-05-11,5847649
2019-05-12,5781448
2019-05-13,5810178
2019-05-14,6034135
2019-05-15,6044106
2019-05-16,5954210
2019-05-17,6016085
2019-05-18,5964362
2019-05-19,5932510
2019-05-20,6035289
2019-05-21,6167192
2019-05-22,6475552
2019-05-23,6765184
2019-05-24,7036538
2019-05-25,7165764
2019-05-26,7522157
2019-05-27,7851626
2019-05-28,7770003
2019-05-29,7502488
2019-05-30,7295393
2019-05-31,7235558
2019-06-01,7199341
2019-06-02,6957311
2019-06-03,6611120
2019-06-04,6829961
2019-06-05,6529377
2019-06-06,6261071
2019-06-07,5965636
2019-06-08,5678368
2019-06-09,5622541
2019-06-10,5748495
2019-06-11,6000292
2019-06-12,6170736
2019-06-13,6144931
2019-06-14,6055957
2019-06-15,5994537
2019-06-16,5947244
2019-06-17,5947537
2019-06-18,5980707
2019-06-19,6050456
2019-06-20,6185704
2019-06-21,6115818
2019-06-22,6054959
2019-06-23,5989034
2019-06-24,5926445
2019-06-25,6166291
2019-06-26,6473873
2019-06-27,6746873
2019-06-28,7029658
2019-06-29,7188062
2019-06-30,7124535
2019-07-01,7120995
2019-07-02,7023691
2019-07-03,6940472
2019-07-04,6664038
2019-07-05,6561826
2019-07-06,6513539
2019-07-07,6497733
2019-07-08,6478349
2019-07-09,6267197
2019-07-10,6353453
2019-07-11,6594987
2019-07-12,6466259
2019-07-13,6471276
2019-07-14,6511848
2019-07-15,6459111
2019-07-16,6383209
2019-07-17,6402404
2019-07-18,6397816
2019-07-19,6276388
2019-07-20,6276614
2019-07-21,6314937
2019-07-22,6624816
2019-07-23,6910865
2019-07-24,6823689
2019-07-25,6724517
2019-07-26,6601099
2019-07-27,6388343
2019-07-28,6136672
2019-07-29,5902759
2019-07-30,5607621
2019-07-31,5490288
2019-08-01,5491022
2019-08-02,5643198
2019-08-03,5769915
2019-08-04,5692076
2019-08-05,5683429
2019-08-06,5648061
2019-08-07,5681574
2019-08-08,5790991
2019-08-09,5760397
2019-08-10,5669528
2019-08-11,5628850
2019-08-12,5582849
2019-08-13,5532889
2019-08-14,5542883
2019-08-15,5536499
2019-08-16,5479385
2019-08-17,5433424
2019-08-18,5398864
2019-08-19,5378910
2019-08-20,5375828
2019-08-21,5484969
2019-08-22,5434544
2019-08-23,5402457
2019-08-24,5384011
2019-08-24,5384011
2019-08-25,5370945
2019-08-25,5370945
2019-08-26,5390506
2019-08-27,5460706
2019-08-27,5460706
2019-08-28,5650787
2019-08-29,5780268
2019-08-30,5744029
2019-08-31,5715090
2019-09-01,5624272
2019-09-02,5574444
2019-09-03,5561091
2019-09-04,5390445
2019-09-05,5124180
2019-09-06,5047667
2019-09-07,4983518
2019-09-08,4929314
2019-09-09,4884672
2019-09-10,4774645
2019-09-11,4562881
2019-09-12,4535145
2019-09-13,4485699
2019-09-14,4511315
2019-09-15,4500819
2019-09-16,4471657
2019-09-17,4453509
2019-09-18,4478686
2019-09-19,4534475
2019-09-20,4553110
2019-09-21,4559713
2019-09-22,4597346
2019-09-23,4595996
2019-09-24,4619312
2019-09-25,4649507
2019-09-26,4811645
2019-09-27,4823624
2019-09-28,4770820
2019-09-29,4750667
2019-09-30,4758640
2019-10-01,4755900
2019-10-02,4746115
2019-10-03,4789069
2019-10-04,4747503
2019-10-05,4684797
2019-10-06,4690109
2019-10-07,4658934
2019-10-08,4644130
2019-10-09,4643099
2019-10-10,4680317
2019-10-11,4658053
2019-10-12,4641208
2019-10-13,4637783
2019-10-14,4646779
2019-10-15,4629004
2019-10-16,4638758
2019-10-17,4487281
2019-10-18,4397938
2019-10-19,4326215
2019-10-20,4256872
2019-10-21,4230624
2019-10-22,4260507
2019-10-23,4241910
2019-10-24,4190579
2019-10-25,4161699
2019-10-26,4139856
2019-10-27,4106413
2019-10-28,4113034
2019-10-29,4118675
2019-10-30,4147193
2019-10-31,4191749
2019-11-01,4122718
2019-11-02,4145345
2019-11-03,4115474
2019-11-04,4100170
2019-11-05,4034941
2019-11-06,4071982
2019-11-07,4097412
2019-11-08,4139046
2019-11-09,4083851
2019-11-10,4215275
2019-11-11,4249279
2019-11-12,4227473
2019-11-13,4194910
2019-11-14,4154139
2019-11-15,4108716
2019-11-16,4019828
2019-11-17,3961175
2019-11-18,3949268
2019-11-19,3956177
2019-11-20,3997525
2019-11-21,4016254
2019-11-22,4132339
2019-11-23,4070580
2019-11-24,4011647
2019-11-25,4030379
2019-11-26,4001687
2019-11-27,3983991
2019-11-28,4015084
2019-11-29,4005265
2019-11-30,4010495
2019-12-01,4068892
2019-12-02,4056031
2019-12-03,4047151
2019-12-04,4119527
2019-12-05,4098613
2019-12-06,4065790
2019-12-07,4013315
2019-12-08,4006181
2019-12-09,4015968
2019-12-10,3956660
2019-12-11,3953456
2019-12-12,3960917
2019-12-13,3946601
2019-12-14,3904140
2019-12-15,3892921
2019-12-16,4035378
2019-12-17,3999283
2019-12-18,4012582
2019-12-19,4034966
2019-12-20,4001949
2019-12-21,4033081
2019-12-22,4075522
2019-12-23,4007077
2019-12-24,3958156
2019-12-25,4071924
2019-12-26,4117449
2019-12-27,4149997
2019-12-28,4110478
2019-12-29,4125040
2019-12-30,4054116
2019-12-31,3977092
2020-01-01,3953383
2020-01-02,4004333
2020-01-03,4145446
2020-01-04,4128146
2020-01-05,4114807
2020-01-06,4046952
2020-01-07,3989030
2020-01-08,3970752
2020-01-09,3962637
2020-01-10,3992715
2020-01-11,4045905
2020-01-12,4052581
2020-01-13,4052428
2020-01-14,4037367
2020-01-15,4043764
2020-01-16,4101482
2020-01-17,4136696
2020-01-18,4097594
2020-01-19,4149568
2020-01-20,4194105
2020-01-21,4200842
2020-01-22,4239890
2020-01-23,4360281
2020-01-24,4495958
2020-01-25,4436943
2020-01-26,4587181
2020-01-27,4810451
2020-01-28,5049415
2020-01-29,5206539
2020-01-30,5155014
2020-01-31,5122890
2020-02-01,4970544
2020-02-02,4884914
2020-02-03,4869203
2020-02-04,5076760
2020-02-05,5208126
2020-02-06,4968362
2020-02-07,4719943
2020-02-08,4483945
2020-02-09,4259747
2020-02-10,4046759
2020-02-11,3844917
2020-02-12,3781814
2020-02-13,3775843
2020-02-14,3947463
2020-02-15,4052489
2020-02-16,4079754
2020-02-17,3978505
2020-02-18,3965860
2020-02-19,3857906
2020-02-20,3879291
2020-02-21,3870246
2020-02-22,3879106
2020-02-23,3935825
2020-02-24,3991112
2020-02-25,4047161
2020-02-26,4035446
2020-02-27,4050753
2020-02-28,4050109
2020-02-29,4037207
2020-03-01,4002496
2020-03-02,3993050
2020-03-03,4022998
2020-03-04,4052810
2020-03-05,4192315
2020-03-06,4214426
2020-03-07,4298998
2020-03-08,4197936
2020-03-09,4201479
2020-03-10,4294534
2020-03-11,4289935
2020-03-12,4330813
2020-03-13,4234535
2020-03-14,4105126
2020-03-15,4086967
2020-03-16,4042813
2020-03-17,4024385
2020-03-18,4037538
2020-03-19,4056265
2020-03-20,4140167
2020-03-21,4081003
2020-03-22,4053367
2020-03-23,4027591
2020-03-24,3962044
2020-03-25,3972569
2020-03-26,4069435
2020-03-27,4058866
2020-03-28,4061156
2020-03-29,4104296
2020-03-30,4175086
2020-03-31,4334193
2020-04-01,4543144
2020-04-02,4649786
2020-04-03,4658330
2020-04-04,4538713
2020-04-05,4417321
2020-04-06,4442387
2020-04-07,4428923
2020-04-08,4592408
2020-04-09,4822029
2020-04-10,5063131
2020-04-11,5308100
2020-04-12,5573505
2020-04-13,5833358
2020-04-14,6087288
2020-04-15,6363237
2020-04-16,6341236
2020-04-17,6248124
2020-04-18,6015549
