date_obj,Anti-dragon%20shield price
2016-07-08,107
2016-07-09,109
2016-07-10,107
2016-07-11,108
2016-07-12,109
2016-07-13,111
2016-07-14,110
2016-07-15,111
2016-07-16,115
2016-07-17,115
2016-07-18,117
2016-07-23,129
2016-07-24,124
2016-07-25,122
2016-07-26,127
2016-07-27,130
2016-07-28,135
2016-07-29,136
2016-07-30,133
2016-07-31,131
2016-08-01,126
2016-08-02,123
2016-08-03,120
2016-08-04,118
2016-08-05,118
2016-08-06,116
2016-08-07,112
2016-08-08,109
2016-08-09,106
2016-08-10,100
2016-08-11,102
2016-08-12,106
2016-08-13,109
2016-08-14,108
2016-08-15,108
2016-08-16,113
2016-08-17,113
2016-08-18,117
2016-08-19,117
2016-08-20,116
2016-08-21,117
2016-08-22,120
2016-08-23,123
2016-08-24,127
2016-08-25,130
2016-08-26,130
2016-08-28,125
2016-08-31,116
2016-09-01,115
2016-09-02,115
2016-09-03,114
2016-09-04,111
2016-09-05,112
2016-09-06,114
2016-09-07,116
2016-09-08,116
2016-09-09,119
2016-09-10,119
2016-09-11,119
2016-09-12,119
2016-09-13,119
2016-09-14,119
2016-09-15,117
2016-09-16,117
2016-09-17,114
2016-09-18,110
2016-09-19,109
2016-09-20,109
2016-09-21,110
2016-09-22,104
2016-09-23,102
2016-09-24,102
2016-09-25,101
2016-09-26,101
2016-09-27,104
2016-09-28,106
2016-09-29,106
2016-09-30,109
2016-10-01,112
2016-10-02,112
2016-10-03,111
2016-10-04,108
2016-10-05,104
2016-10-06,106
2016-10-07,110
2016-10-08,112
2016-10-09,112
2016-10-10,108
2016-10-11,110
2016-10-12,112
2016-10-13,116
2016-10-14,117
2016-10-15,117
2016-10-16,115
2016-10-17,114
2016-10-18,114
2016-10-19,110
2016-10-20,113
2016-10-21,114
2016-10-22,114
2016-10-23,113
2016-10-24,115
2016-10-25,115
2016-10-26,117
2016-10-27,116
2016-10-28,116
2016-10-29,116
2016-10-30,117
2016-10-31,116
2016-11-01,116
2016-11-02,115
2016-11-03,114
2016-11-04,113
2016-11-05,113
2016-11-06,111
2016-11-07,109
2016-11-08,113
2016-11-09,117
2016-11-10,120
2016-11-11,120
2016-11-12,118
2016-11-13,113
2016-11-14,115
2016-11-15,117
2016-12-07,96
2016-12-08,99
2016-12-09,100
2016-12-10,103
2016-12-11,106
2016-12-12,111
2016-12-13,110
2016-12-14,112
2016-12-15,112
2016-12-16,107
2016-12-17,101
2016-12-18,95
2016-12-19,90
2016-12-20,85
2016-12-21,80
2016-12-22,76
2016-12-23,78
2016-12-24,81
2016-12-25,85
2016-12-26,90
2016-12-27,94
2016-12-28,99
2016-12-29,104
2016-12-30,110
2016-12-31,116
2017-01-01,122
2017-01-02,123
2017-01-03,119
2017-01-04,115
2017-01-05,115
2017-01-06,118
2017-01-07,117
2017-01-08,117
2017-01-09,116
2017-01-10,119
2017-01-11,123
2017-01-12,127
2017-01-13,130
2017-01-14,126
2017-01-15,124
2017-01-16,120
2017-01-17,122
2017-01-18,126
2017-01-19,124
2017-01-20,128
2017-01-21,123
2017-01-22,116
2017-01-23,110
2017-01-27,104
2017-01-28,104
2017-01-29,109
2017-01-30,109
2017-01-31,114
2017-02-01,118
2017-02-02,120
2017-02-03,121
2017-02-04,122
2017-02-05,123
2017-02-06,126
2017-02-07,126
2017-02-08,125
2017-02-09,125
2017-02-10,127
2017-02-11,128
2017-02-12,124
2017-02-13,126
2017-02-14,130
2017-02-15,131
2017-02-16,135
2017-02-17,135
2017-02-18,138
2017-02-19,138
2017-02-20,137
2017-02-21,141
2017-02-22,144
2017-02-23,143
2017-02-24,138
2017-02-25,135
2017-02-26,132
2017-02-27,126
2017-02-28,127
2017-03-01,126
2017-03-02,122
2017-03-03,120
2017-03-04,119
2017-03-05,117
2017-03-06,116
2017-03-07,122
2017-03-08,128
2017-03-09,133
2017-03-10,132
2017-03-11,132
2017-03-12,129
2017-03-13,126
2017-03-14,128
2017-03-15,125
2017-03-16,121
2017-03-17,122
2017-03-18,125
2017-03-19,130
2017-03-20,131
2017-03-21,130
2017-03-22,132
2017-03-23,136
2017-03-24,136
2017-03-25,136
2017-03-26,134
2017-03-27,132
2017-03-28,136
2017-03-29,136
2017-03-30,137
2017-03-31,138
2017-04-01,137
2017-04-02,138
2017-04-03,137
2017-04-04,132
2017-04-05,126
2017-04-12,111
2017-04-13,113
2017-04-14,113
2017-04-15,112
2017-04-16,115
2017-04-17,119
2017-04-18,122
2017-04-19,123
2017-04-20,126
2017-04-21,126
2017-04-22,124
2017-04-23,123
2017-04-24,119
2017-04-25,118
2017-04-26,113
2017-04-27,115
2017-04-28,118
2017-04-29,118
2017-04-30,116
2017-05-01,111
2017-05-02,111
2017-05-03,110
2017-05-04,108
2017-05-05,108
2017-05-06,110
2017-05-07,113
2017-05-08,113
2017-05-09,114
2017-05-10,116
2017-05-11,115
2017-05-12,118
2017-05-13,120
2017-05-14,116
2017-05-15,111
2017-05-16,113
2017-05-17,111
2017-05-18,112
2017-05-19,111
2017-05-20,109
2017-05-21,109
2017-05-22,112
2017-05-23,111
2017-05-24,113
2017-05-25,116
2017-05-26,118
2017-05-27,116
2017-05-28,114
2017-05-29,114
2017-05-30,115
2017-05-31,111
2017-06-01,114
2017-06-02,112
2017-06-03,112
2017-06-04,111
2017-06-05,106
2017-06-06,108
2017-06-07,110
2017-06-08,112
2017-06-09,110
2017-06-10,108
2017-06-11,106
2017-06-12,102
2017-06-13,99
2017-06-14,100
2017-06-15,101
2017-06-16,99
2017-06-17,99
2017-06-18,96
2017-06-19,96
2017-06-20,94
2017-06-21,94
2017-06-22,96
2017-06-23,97
2017-06-24,98
2017-06-25,96
2017-06-26,96
2017-06-27,95
2017-06-28,98
2017-06-29,96
2017-06-30,94
2017-07-01,94
2017-07-02,90
2017-07-03,88
2017-07-04,88
2017-07-05,92
2017-07-06,95
2017-07-07,96
2017-07-08,97
2017-07-09,93
2017-07-13,93
2017-07-14,89
2017-07-15,88
2017-07-16,87
2017-07-17,86
2017-07-18,87
2017-07-19,88
2017-07-20,84
2017-07-21,86
2017-07-22,85
2017-07-23,87
2017-07-24,87
2017-07-25,91
2017-07-26,92
2017-07-27,94
2017-07-28,92
2017-07-29,95
2017-07-30,92
2017-07-31,92
2017-08-01,90
2017-08-02,88
2017-08-03,86
2017-08-04,87
2017-08-05,82
2017-08-06,78
2017-08-07,79
2017-08-08,80
2017-08-09,78
2017-08-10,80
2017-08-11,83
2017-08-12,84
2017-08-13,83
2017-08-14,78
2017-08-15,81
2017-08-16,81
2017-08-17,80
2017-08-18,79
2017-08-19,79
2017-08-20,81
2017-08-21,85
2017-08-22,89
2017-08-23,88
2017-08-24,85
2017-08-25,82
2017-08-26,81
2017-08-27,83
2017-08-28,84
2017-08-29,83
2017-08-30,81
2017-08-31,79
2017-09-01,77
2017-09-02,76
2017-09-03,75
2017-09-04,76
2017-09-05,77
2017-09-06,80
2017-09-07,83
2017-09-08,85
2017-09-09,85
2017-09-10,85
2017-09-11,84
2017-09-12,85
2017-09-13,86
2017-09-14,85
2017-09-15,85
2017-09-16,85
2017-09-17,86
2017-09-18,84
2017-09-19,85
2017-09-20,84
2017-09-22,81
2017-09-23,79
2017-09-24,76
2017-09-25,74
2017-09-26,75
2017-09-27,72
2017-09-28,69
2017-09-29,66
2017-09-30,62
2017-10-01,60
2017-10-02,59
2017-10-03,57
2017-10-04,57
2017-10-05,58
2017-10-06,60
2017-10-07,62
2017-10-08,61
2017-10-09,63
2017-10-10,63
2017-10-11,63
2017-10-12,65
2017-10-13,68
2017-10-14,66
2017-10-15,66
2017-10-16,64
2017-10-17,64
2017-10-18,64
2017-10-19,61
2017-10-20,63
2017-10-21,63
2017-10-22,64
2017-10-23,67
2017-10-24,67
2017-10-25,67
2017-10-26,70
2017-10-27,69
2017-10-28,69
2017-10-29,68
2017-10-30,68
2017-10-31,70
2017-11-01,70
2017-11-02,72
2017-11-03,73
2017-11-04,71
2017-11-05,69
2017-11-06,68
2017-11-07,65
2017-11-08,66
2017-11-09,66
2017-11-10,69
2017-11-11,70
2017-11-12,70
2017-11-13,72
2017-11-14,76
2017-11-15,77
2017-11-16,79
2017-11-17,80
2017-11-18,83
2017-11-19,84
2017-11-20,82
2017-11-21,81
2017-11-22,79
2017-11-23,80
2017-11-24,77
2017-11-25,77
2017-11-26,80
2017-11-27,80
2017-11-28,81
2017-11-29,80
2017-11-30,78
2017-12-01,78
2017-12-02,76
2017-12-03,73
2017-12-04,70
2017-12-05,73
2017-12-06,73
2017-12-07,76
2017-12-08,80
2017-12-09,82
2017-12-10,83
2017-12-11,85
2017-12-12,84
2017-12-13,86
2017-12-14,89
2017-12-15,91
2017-12-16,88
2017-12-17,87
2017-12-18,83
2017-12-19,83
2017-12-20,86
2017-12-21,89
2017-12-22,92
2017-12-23,92
2017-12-24,93
2017-12-25,90
2017-12-26,88
2017-12-27,84
2017-12-28,85
2017-12-29,89
2017-12-30,92
2017-12-31,95
2018-01-01,92
2018-01-02,87
2018-01-03,82
2018-01-04,77
2018-01-05,73
2018-01-06,69
2018-01-07,67
2018-01-08,66
2018-01-09,63
2018-01-10,65
2018-01-11,65
2018-01-12,66
2018-01-13,67
2018-01-14,68
2018-01-15,68
2018-01-16,68
2018-01-17,68
2018-01-18,68
2018-01-19,65
2018-01-20,66
2018-01-21,68
2018-01-22,70
2018-01-23,68
2018-01-24,69
2018-01-25,67
2018-01-26,65
2018-01-27,64
2018-01-29,64
2018-01-30,62
2018-01-31,65
2018-02-01,68
2018-02-02,66
2018-02-03,69
2018-02-04,70
2018-02-05,73
2018-02-06,72
2018-02-07,72
2018-02-08,73
2018-02-09,74
2018-02-10,75
2018-02-11,77
2018-02-12,75
2018-02-13,74
2018-02-14,74
2018-02-15,72
2018-02-16,71
2018-02-17,73
2018-02-18,73
2018-02-19,72
2018-02-20,71
2018-02-21,73
2018-02-22,74
2018-02-23,71
2018-02-24,68
2018-02-26,64
2018-02-27,65
2018-02-28,67
2018-03-01,66
2018-03-02,66
2018-03-03,64
2018-03-04,64
2018-03-05,66
2018-03-06,67
2018-03-07,70
2018-03-08,66
2018-03-09,67
2018-03-10,65
2018-03-11,66
2018-03-12,67
2018-03-13,67
2018-03-14,69
2018-03-15,71
2018-03-16,73
2018-03-17,75
2018-03-18,74
2018-03-19,74
2018-03-20,75
2018-03-21,76
2018-03-22,76
2018-03-23,79
2018-03-24,77
2018-03-25,76
2018-03-26,75
2018-03-27,73
2018-03-28,71
2018-03-29,72
2018-03-30,75
2018-03-31,77
2018-04-01,74
2018-04-02,73
2018-04-03,71
2018-04-04,69
2018-04-05,70
2018-04-06,72
2018-04-07,75
2018-04-08,74
2018-04-09,73
2018-04-10,71
2018-04-11,70
2018-04-12,71
2018-04-13,74
2018-04-14,76
2018-04-15,76
2018-04-16,76
2018-04-17,73
2018-04-18,70
2018-04-19,69
2018-04-20,70
2018-04-21,69
2018-04-22,68
2018-04-23,70
2018-04-24,71
2018-04-25,71
2018-04-26,68
2018-04-27,69
2018-04-28,71
2018-04-29,71
2018-04-30,68
2018-05-01,67
2018-05-02,69
2018-05-03,70
2018-05-04,67
2018-05-05,65
2018-05-06,65
2018-05-07,66
2018-05-08,66
2018-05-09,67
2018-05-10,65
2018-05-11,63
2018-05-12,64
2018-05-13,64
2018-05-14,67
2018-05-15,66
2018-05-16,66
2018-05-17,68
2018-05-18,70
2018-05-19,70
2018-05-20,67
2018-05-21,69
2018-05-22,69
2018-05-23,66
2018-05-24,68
2018-05-25,69
2018-05-26,70
2018-05-27,69
2018-05-28,67
2018-05-29,67
2018-05-30,64
2018-05-31,62
2018-06-01,64
2018-06-02,63
2018-06-03,63
2018-06-04,64
2018-06-05,64
2018-06-06,64
2018-06-07,66
2018-06-08,68
2018-06-09,68
2018-06-10,68
2018-06-11,69
2018-06-12,69
2018-06-13,67
2018-06-14,69
2018-06-15,71
2018-06-16,72
2018-06-17,70
2018-06-18,71
2018-06-19,70
2018-06-20,70
2018-06-21,72
2018-06-22,73
2018-06-23,71
2018-06-24,70
2018-06-25,70
2018-06-26,68
2018-06-27,68
2018-06-28,69
2018-06-29,69
2018-06-30,68
2018-07-01,66
2018-07-02,66
2018-07-03,70
2018-07-04,70
2018-07-05,72
2018-07-06,72
2018-07-07,70
2018-07-08,70
2018-07-09,71
2018-07-10,72
2018-07-11,72
2018-07-12,70
2018-07-13,67
2018-07-14,64
2018-07-15,62
2018-07-16,60
2018-07-17,60
2018-07-18,59
2018-07-19,59
2018-07-20,60
2018-07-21,59
2018-07-22,59
2018-07-23,59
2018-07-24,62
2018-07-25,60
2018-07-26,59
2018-07-27,61
2018-07-28,60
2018-07-29,61
2018-07-30,64
2018-07-31,66
2018-08-01,68
2018-08-02,70
2018-08-03,71
2018-08-04,73
2018-08-05,73
2018-08-06,75
2018-08-07,77
2018-08-08,78
2018-08-09,80
2018-08-10,79
2018-08-11,78
2018-08-12,79
2018-08-14,80
2018-08-16,86
2018-08-17,89
2018-08-18,89
2018-08-19,89
2018-08-20,85
2018-08-21,87
2018-08-22,88
2018-08-23,86
2018-08-24,85
2018-08-25,85
2018-08-26,87
2018-08-27,86
2018-08-28,87
2018-08-29,89
2018-08-30,90
2018-08-31,91
2018-09-01,90
2018-09-02,88
2018-09-03,86
2018-09-04,84
2018-09-05,83
2018-09-06,84
2018-09-07,81
2018-09-08,82
2018-09-09,81
2018-09-10,80
2018-09-11,81
2018-09-12,81
2018-09-13,79
2018-09-14,79
2018-09-15,79
2018-09-16,78
2018-09-17,79
2018-09-18,79
2018-09-19,81
2018-09-20,82
2018-09-21,85
2018-09-22,85
2018-09-23,83
2018-09-24,83
2018-09-25,80
2018-09-26,79
2018-09-27,81
2018-09-28,82
2018-09-29,83
2018-09-30,82
2018-10-01,81
2018-10-02,79
2018-10-03,77
2018-10-04,79
2018-10-05,78
2018-10-06,80
2018-10-07,78
2018-10-08,76
2018-10-09,74
2018-10-10,75
2018-10-11,76
2018-10-12,73
2018-10-13,73
2018-10-14,73
2018-10-15,71
2018-10-16,72
2018-10-17,70
2018-10-18,68
2018-10-19,67
2018-10-20,64
2018-10-21,63
2018-10-22,62
2018-10-23,62
2018-10-24,62
2018-10-25,60
2018-10-26,61
2018-10-27,60
2018-10-28,61
2018-10-29,63
2018-10-30,63
2018-10-31,63
2018-11-01,61
2018-11-03,59
2018-11-04,59
2018-11-05,60
2018-11-06,59
2018-11-07,60
2018-11-08,61
2018-11-09,59
2018-11-10,57
2018-11-11,57
2018-11-12,58
2018-11-13,58
2018-11-14,58
2018-11-15,58
2018-11-16,58
2018-11-17,60
2018-11-18,60
2018-11-19,61
2018-11-20,63
2018-11-21,60
2018-11-22,59
2018-11-23,60
2018-11-24,60
2018-11-25,59
2018-11-26,59
2018-11-27,60
2018-11-28,60
2018-11-29,60
2018-12-01,60
2018-12-02,60
2018-12-03,60
2018-12-04,60
2018-12-05,59
2018-12-07,55
2018-12-09,56
2018-12-10,57
2018-12-11,58
2018-12-12,59
2018-12-13,61
2018-12-14,62
2018-12-15,62
2018-12-16,62
2018-12-17,60
2018-12-18,60
2018-12-19,60
2018-12-20,61
2018-12-21,64
2018-12-22,65
2018-12-23,65
2018-12-24,66
2018-12-25,67
2018-12-26,67
2018-12-27,68
2018-12-28,71
2018-12-29,71
2018-12-30,72
2018-12-31,73
2019-01-01,74
2019-01-02,74
2019-01-03,75
2019-01-04,75
2019-01-05,76
2019-01-06,75
2019-01-08,73
2019-01-10,72
2019-01-11,71
2019-01-12,71
2019-01-13,71
2019-01-14,72
2019-01-15,72
2019-01-16,70
2019-01-17,70
2019-01-18,68
2019-01-19,70
2019-01-20,69
2019-01-21,68
2019-01-22,69
2019-01-23,71
