date_obj,Nature%20impling%20jar price
2017-02-04,3874
2017-02-05,3874
2017-02-06,3927
2017-02-07,3927
2017-02-08,3927
2017-02-09,3927
2017-02-10,4024
2017-02-11,4024
2017-02-12,4024
2017-02-13,3996
2017-02-14,3996
2017-02-15,3996
2017-02-16,3880
2017-02-18,3880
2017-02-19,3880
2017-02-20,3731
2017-02-21,3731
2017-02-22,3731
2017-02-23,3731
2017-02-24,3754
2017-02-25,3754
2017-02-26,3754
2017-02-27,3846
2017-02-28,3846
2017-03-01,3846
2017-03-02,4039
2017-03-03,4039
2017-03-04,4039
2017-03-05,4039
2017-03-06,4155
2017-03-07,4155
2017-03-08,4155
2017-03-09,4155
2017-03-10,4074
2017-03-11,4074
2017-03-12,4074
2017-03-13,4162
2017-03-14,4162
2017-03-15,4162
2017-03-16,4321
2017-03-17,4321
2017-03-18,4321
2017-03-19,4273
2017-03-20,4273
2017-03-21,4273
2017-03-22,4204
2017-03-23,4204
2017-03-24,4204
2017-03-25,4158
2017-03-26,4158
2017-03-27,4158
2017-03-28,4366
2017-03-29,4366
2017-03-30,4366
2017-03-31,4230
2017-04-01,4230
2017-04-02,4230
2017-04-03,4070
2017-04-04,4070
2017-04-12,3924
2017-04-13,3795
2017-04-14,3795
2017-04-15,3795
2017-04-16,3667
2017-04-17,3667
2017-04-18,3525
2017-04-19,3525
2017-04-20,3525
2017-04-21,3358
2017-04-22,3358
2017-04-23,3358
2017-04-24,3219
2017-04-25,3219
2017-04-26,3219
2017-04-27,3082
2017-04-28,3082
2017-04-29,3082
2017-04-30,2980
2017-05-01,2980
2017-05-02,2980
2017-05-03,2939
2017-05-04,2939
2017-05-05,2929
2017-05-06,2929
2017-05-07,2929
2017-05-08,2984
2017-05-09,2984
2017-05-10,2936
2017-05-11,2936
2017-05-12,2936
2017-05-13,2937
2017-05-14,2937
2017-05-15,2937
2017-05-16,2926
2017-05-17,2926
2017-05-18,2926
2017-05-19,2900
2017-05-20,2900
2017-05-21,2900
2017-05-22,2879
2017-05-23,2879
2017-05-24,2879
2017-05-25,2805
2017-05-26,2805
2017-05-27,2805
2017-05-28,2797
2017-05-29,2797
2017-05-30,2797
2017-05-31,2811
2017-06-01,2811
2017-06-02,2799
2017-06-03,2799
2017-06-06,2764
2017-06-07,2790
2017-06-08,2790
2017-06-09,2790
2017-06-10,2878
2017-06-11,2878
2017-06-12,2878
2017-06-13,2782
2017-06-14,2782
2017-06-15,2782
2017-06-16,2651
2017-06-17,2651
2017-06-18,2651
2017-06-19,2651
2017-06-20,2521
2017-06-21,2521
2017-06-22,2521
2017-06-23,2521
2017-06-24,2433
2017-06-25,2433
2017-06-26,2433
2017-06-27,2463
2017-06-28,2463
2017-06-29,2463
2017-06-30,2491
2017-07-01,2491
2017-07-02,2491
2017-07-03,2491
2017-07-04,2410
2017-07-05,2410
2017-07-06,2410
2017-07-07,2410
2017-07-08,2422
2017-07-13,2408
2017-07-14,2478
2017-07-15,2478
2017-07-16,2478
2017-07-17,2478
2017-07-18,2478
2017-07-19,2478
2017-07-20,2602
2017-07-21,2602
2017-07-22,2602
2017-07-23,2602
2017-07-24,2602
2017-07-25,2602
2017-07-26,2733
2017-07-27,2733
2017-07-28,2733
2017-07-29,2733
2017-07-30,2869
2017-07-31,2869
2017-08-01,2869
2017-08-02,2869
2017-08-03,2869
2017-08-04,3011
2017-08-05,3011
2017-08-06,3011
2017-08-09,3161
2017-08-10,3284
2017-08-11,3284
2017-08-12,3284
2017-08-13,3284
2017-08-14,3391
2017-08-15,3391
2017-08-16,3391
2017-08-17,3557
2017-08-18,3557
2017-08-19,3557
2017-08-20,3557
2017-08-22,3735
2017-08-23,3735
2017-08-24,3641
2017-08-25,3641
2017-08-26,3641
2017-08-27,3525
2017-08-28,3525
2017-08-29,3525
2017-08-30,3482
2017-08-31,3482
2017-09-01,3482
2017-09-02,3485
2017-09-03,3485
2017-09-04,3485
2017-09-05,3502
2017-09-06,3502
2017-09-07,3502
2017-09-08,3502
2017-09-09,3432
2017-09-10,3432
2017-09-11,3432
2017-09-12,3432
2017-09-13,3383
2017-09-14,3383
2017-09-15,3383
2017-09-16,3383
2017-09-17,3375
2017-09-19,3375
2017-09-20,3476
2017-09-21,3476
2017-09-22,3476
2017-09-23,3476
2017-09-24,3407
2017-09-25,3407
2017-09-26,3407
2017-09-27,3506
2017-09-28,3506
2017-09-29,3509
2017-09-30,3509
2017-10-01,3509
2017-10-02,3391
2017-10-03,3391
2017-10-04,3391
2017-10-05,3251
2017-10-06,3251
2017-10-07,3251
2017-10-08,3130
2017-10-09,3130
2017-10-10,3130
2017-10-11,3087
2017-10-12,3087
2017-10-13,3139
2017-10-14,3139
2017-10-15,3139
2017-10-16,3096
2017-10-17,3096
2017-10-18,3096
2017-10-19,3096
2017-10-20,3131
2017-10-21,3131
2017-10-22,3131
2017-10-23,3088
2017-10-24,3088
2017-10-25,3088
2017-10-26,2965
2017-10-27,2965
2017-10-28,2965
2017-10-29,2902
2017-10-30,2902
2017-10-31,2902
2017-11-01,2841
2017-11-02,2841
2017-11-03,2841
2017-11-04,2884
2017-11-05,2884
2017-11-06,2884
2017-11-07,2884
2017-11-08,2935
2017-11-09,2935
2017-11-10,2935
2017-11-11,3079
2017-11-12,3079
2017-11-13,3079
2017-11-14,3196
2017-11-15,3196
2017-11-16,3196
2017-11-17,3196
2017-11-18,3196
2017-11-19,3196
2017-11-20,3266
2017-11-21,3266
2017-11-22,3266
2017-11-23,3148
2017-11-24,3148
2017-11-25,3148
2017-11-26,3029
2017-11-27,3029
2017-11-28,3029
2017-11-29,2963
2017-11-30,2963
2017-12-01,2844
2017-12-02,2844
2017-12-03,2844
2017-12-04,2775
2017-12-05,2775
2017-12-06,2799
2017-12-07,2799
2017-12-08,2799
2017-12-09,2826
2017-12-10,2826
2017-12-11,2867
2017-12-12,2867
2017-12-14,2884
2017-12-15,2884
2017-12-17,2872
2017-12-18,2772
2017-12-19,2772
2017-12-20,2648
2017-12-21,2648
2017-12-22,2651
2017-12-23,2651
2017-12-24,2651
2017-12-25,2682
2017-12-26,2682
2017-12-27,2635
2017-12-28,2635
2017-12-29,2635
2017-12-30,2566
2017-12-31,2566
2018-01-01,2566
2018-01-02,2566
2018-01-03,2623
2018-01-04,2623
2018-01-05,2623
2018-01-06,2650
2018-01-07,2650
2018-01-08,2650
2018-01-09,2610
2018-01-10,2610
2018-01-11,2610
2018-01-12,2722
2018-01-13,2722
2018-01-14,2701
2018-01-15,2701
2018-01-16,2655
2018-01-17,2655
2018-01-18,2736
2018-01-19,2736
2018-01-20,2736
2018-01-21,2827
2018-01-22,2827
2018-01-23,2960
2018-01-24,3056
2018-01-25,3045
2018-01-26,3107
2018-01-27,3093
2018-01-28,3080
2018-01-29,3172
2018-01-31,3092
2018-02-01,3209
2018-02-02,3178
2018-02-03,3157
2018-02-04,3138
2018-02-05,3142
2018-02-06,3139
2018-02-07,3055
2018-02-08,3055
2018-02-09,3089
2018-02-10,2991
2018-02-11,2889
2018-02-12,2945
2018-02-13,2857
2018-02-14,2982
2018-02-15,3090
2018-02-16,3110
2018-02-17,3143
2018-02-18,3134
2018-02-19,3132
2018-02-20,3192
2018-02-21,3216
2018-02-22,3335
2018-02-23,3312
2018-02-24,3266
2018-02-25,3213
2018-02-26,3117
2018-02-27,3191
2018-03-01,3235
2018-03-02,3260
2018-03-03,3276
2018-03-04,3276
2018-03-05,3296
2018-03-06,3242
2018-03-07,3216
2018-03-08,3320
2018-03-09,3424
2018-03-10,3552
2018-03-11,3613
2018-03-12,3698
2018-03-13,3723
2018-03-14,3719
2018-03-15,3634
2018-03-16,3606
2018-03-17,3433
2018-03-18,3416
2018-03-19,3453
2018-03-20,3442
2018-03-21,3517
2018-03-23,3401
2018-03-24,3455
2018-03-26,3230
2018-03-27,3358
2018-03-28,3501
2018-03-29,3510
2018-03-30,3398
2018-03-31,3256
2018-04-01,3211
2018-04-02,3252
2018-04-03,3143
2018-04-04,3128
2018-04-05,3128
2018-04-06,3177
2018-04-07,3177
2018-04-08,3182
2018-04-09,3163
2018-04-10,3255
2018-04-11,3158
2018-04-12,3175
2018-04-13,3165
2018-04-14,3177
2018-04-15,3062
2018-04-16,3062
2018-04-17,3054
2018-04-18,3083
2018-04-19,3161
2018-04-20,3096
2018-04-21,3138
2018-04-22,3158
2018-04-23,3145
2018-04-24,3085
2018-04-25,3001
2018-04-26,2945
2018-04-27,2833
2018-04-28,2850
2018-04-29,2897
2018-04-30,2930
2018-05-01,3029
2018-05-02,3081
