date_obj,White%20lily%20seed price
2019-05-03,5378
2019-05-04,5345
2019-05-05,5254
2019-05-06,5157
2019-05-07,5252
2019-05-08,5182
2019-05-09,5032
2019-05-10,5041
2019-05-11,4931
2019-05-12,4921
2019-05-13,5055
2019-05-14,5129
2019-05-15,5107
2019-05-16,5061
2019-05-17,5122
2019-05-18,5010
2019-05-19,4894
2019-05-20,4836
2019-05-21,4828
2019-05-22,4840
2019-05-23,4782
2019-05-24,4722
2019-05-25,4814
2019-05-26,5034
2019-05-27,5286
2019-05-28,5551
2019-05-29,5683
2019-05-30,5647
2019-05-31,5745
2019-06-01,5810
2019-06-02,6017
2019-06-03,6212
2019-06-04,6183
2019-06-05,5952
2019-06-06,5918
2019-06-07,5793
2019-06-08,5890
2019-06-09,5812
2019-06-10,5835
2019-06-11,5736
2019-06-12,5569
2019-06-13,5402
2019-06-14,5408
2019-06-15,5213
2019-06-16,5066
2019-06-17,4986
2019-06-18,4820
2019-06-19,4651
2019-06-20,4509
2019-06-21,4348
2019-06-22,4176
2019-06-23,4119
2019-06-24,3950
2019-06-25,3837
2019-06-26,3765
2019-06-27,3750
2019-06-28,3857
2019-06-29,4045
2019-06-30,4248
2019-07-01,4461
2019-07-02,4685
2019-07-03,4920
2019-07-04,5151
2019-07-05,5237
2019-07-06,5077
2019-07-07,4877
2019-07-08,5052
2019-07-09,5121
2019-07-10,4997
2019-07-11,4838
2019-07-12,4679
2019-07-13,4535
2019-07-14,4499
2019-07-15,4524
2019-07-16,4413
2019-07-17,4324
2019-07-18,4327
2019-07-19,4342
2019-07-20,4419
2019-07-21,4292
2019-07-22,4125
2019-07-23,4151
2019-07-24,4223
2019-07-25,4321
2019-07-26,4448
2019-07-27,4456
2019-07-28,4530
2019-07-29,4654
2019-07-30,4742
2019-07-31,4707
2019-08-01,4567
2019-08-02,4430
2019-08-03,4304
2019-08-04,4221
2019-08-05,4250
2019-08-06,4348
2019-08-07,4454
2019-08-08,4456
2019-08-09,4606
2019-08-10,4621
2019-08-11,4647
2019-08-12,4481
2019-08-13,4505
2019-08-14,4411
2019-08-15,4354
2019-08-16,4373
2019-08-17,4362
2019-08-18,4459
2019-08-19,4359
2019-08-20,4243
2019-08-21,4114
2019-08-22,4095
2019-08-23,4032
2019-08-24,3952
2019-08-24,3952
2019-08-25,3779
2019-08-25,3779
2019-08-26,3719
2019-08-26,3719
2019-08-27,3730
2019-08-27,3730
2019-08-28,3751
2019-08-29,3820
2019-08-30,3884
2019-08-31,3866
2019-09-01,3819
2019-09-02,3753
2019-09-03,3664
2019-09-04,3696
2019-09-05,3743
2019-09-06,3839
2019-09-07,3725
2019-09-08,3677
2019-09-09,3644
2019-09-10,3648
2019-09-11,3595
2019-09-12,3579
2019-09-13,3519
2019-09-14,3487
2019-09-15,3504
2019-09-16,3513
2019-09-17,3665
2019-09-18,3592
2019-09-19,3616
2019-09-20,3646
2019-09-21,3614
2019-09-22,3551
2019-09-23,3540
2019-09-24,3526
2019-09-25,3538
2019-09-26,3493
2019-09-27,3514
2019-09-28,3469
2019-09-29,3419
2019-09-30,3396
2019-10-01,3388
2019-10-02,3304
2019-10-03,3239
2019-10-04,3180
2019-10-05,3106
2019-10-06,3007
2019-10-07,2902
2019-10-08,2827
2019-10-09,2810
2019-10-10,2766
2019-10-11,2798
2019-10-12,2784
2019-10-13,2764
2019-10-14,2835
2019-10-15,2901
2019-10-16,3017
2019-10-17,3126
2019-10-18,3273
2019-10-19,3432
2019-10-20,3604
2019-10-21,3785
2019-10-22,3975
2019-10-23,4138
2019-10-24,4263
2019-10-25,4270
2019-10-26,4195
2019-10-27,4107
2019-10-28,4027
2019-10-29,3909
2019-10-30,3895
2019-10-31,3806
2019-11-01,3676
2019-11-02,3543
2019-11-03,3557
2019-11-04,3456
2019-11-05,3383
2019-11-06,3355
2019-11-07,3355
2019-11-08,3273
2019-11-09,3197
2019-11-10,3151
2019-11-11,3132
2019-11-12,3093
2019-11-13,3162
2019-11-14,3204
2019-11-15,3278
2019-11-16,3266
2019-11-17,3169
2019-11-18,3170
2019-11-19,3204
2019-11-20,3184
2019-11-21,3185
2019-11-22,3300
2019-11-23,3386
2019-11-24,3396
2019-11-25,3364
2019-11-26,3532
2019-11-27,3709
2019-11-28,3887
2019-11-29,4045
2019-11-30,4184
2019-12-01,4322
2019-12-02,4304
2019-12-03,4422
2019-12-04,4642
2019-12-05,4875
2019-12-06,5095
2019-12-07,5350
2019-12-08,5523
2019-12-09,5766
2019-12-10,6055
2019-12-11,6162
2019-12-12,6332
2019-12-13,6219
2019-12-14,5939
2019-12-15,5764
2019-12-16,5601
2019-12-17,5418
2019-12-18,5228
2019-12-19,4994
2019-12-20,4807
2019-12-21,4617
2019-12-22,4502
2019-12-23,4366
2019-12-24,4323
2019-12-25,4329
2019-12-26,4364
2019-12-27,4376
2019-12-28,4435
2019-12-29,4349
2019-12-30,4250
2019-12-31,4187
2020-01-01,4312
2020-01-02,4412
2020-01-03,4444
2020-01-04,4487
2020-01-05,4580
2020-01-06,4481
2020-01-07,4564
2020-01-08,4625
2020-01-09,4487
2020-01-10,4335
2020-01-11,4235
2020-01-12,4153
2020-01-13,3945
2020-01-14,3841
2020-01-15,3846
2020-01-16,3754
2020-01-17,3648
2020-01-18,3581
2020-01-19,3627
2020-01-20,3694
2020-01-21,3726
2020-01-22,3654
2020-01-23,3563
2020-01-24,3458
2020-01-25,3285
2020-01-26,3120
2020-01-27,2974
2020-01-28,2862
2020-01-29,2814
2020-01-30,2897
2020-01-31,3014
2020-02-01,3136
2020-02-02,3236
2020-02-03,3370
2020-02-04,3537
2020-02-05,3509
2020-02-06,3340
2020-02-07,3216
2020-02-08,3078
2020-02-09,2992
2020-02-10,2891
2020-02-11,2983
2020-02-12,3117
2020-02-13,3262
2020-02-14,3233
2020-02-15,3237
2020-02-16,3105
2020-02-17,3052
2020-02-18,3016
2020-02-19,3042
2020-02-20,2982
2020-02-21,3103
2020-02-22,3130
2020-02-23,3082
2020-02-24,3052
2020-02-25,3097
2020-02-26,3070
2020-02-27,3155
2020-02-28,3202
2020-02-29,3256
2020-03-01,3364
2020-03-02,3480
2020-03-03,3461
2020-03-04,3509
2020-03-05,3438
2020-03-06,3399
2020-03-07,3402
2020-03-08,3406
2020-03-09,3498
2020-03-10,3518
2020-03-11,3482
2020-03-12,3429
2020-03-13,3598
2020-03-14,3778
2020-03-15,3967
2020-03-16,4166
2020-03-17,4375
2020-03-18,4456
2020-03-19,4542
2020-03-20,4382
2020-03-21,4180
2020-03-22,3990
2020-03-23,3909
2020-03-24,3985
2020-03-25,4066
2020-03-26,4204
2020-03-27,4096
2020-03-28,3891
2020-03-29,3787
2020-03-30,3767
2020-03-31,3685
2020-04-01,3631
2020-04-02,3627
2020-04-03,3762
2020-04-04,3902
2020-04-05,4098
2020-04-06,4220
2020-04-07,4216
2020-04-08,4297
2020-04-09,4331
2020-04-10,4488
2020-04-11,4353
2020-04-12,4154
2020-04-13,3954
2020-04-14,3806
2020-04-15,3898
2020-04-16,3705
2020-04-17,3669
2020-04-18,3781
2020-04-19,3685
2020-04-20,3597
2020-04-21,3750
2020-04-22,3824
2020-04-23,3750
2020-04-24,3614
2020-04-25,3521
2020-04-26,3469
2020-04-27,3471
2020-04-28,3467
2020-04-29,3470
2020-04-30,3471
2020-05-01,3433
2020-05-02,3549
2020-05-03,3604
2020-05-04,3628
2020-05-05,3728
2020-05-06,3764
2020-05-07,3800
2020-05-08,3886
2020-05-09,4055
2020-05-10,4043
2020-05-11,4133
2020-05-12,4188
2020-05-13,4173
