date_obj,Grimy%20toadflax price
2016-06-09,2588
2016-06-10,2588
2016-06-11,2563
2016-06-12,2563
2016-06-13,2601
2016-06-14,2601
2016-06-15,2688
2016-06-16,2688
2016-06-17,2713
2016-06-18,2713
2016-06-19,2707
2016-06-20,2707
2016-06-21,2759
2016-06-22,2759
2016-06-23,2738
2016-06-24,2738
2016-06-25,2767
2016-06-26,2767
2016-06-27,2767
2016-06-28,2730
2016-06-29,2730
2016-06-30,2654
2016-07-01,2654
2016-07-02,2700
2016-07-03,2700
2016-07-04,2785
2016-07-05,2785
2016-07-06,2724
2016-07-07,2724
2016-07-08,2637
2016-07-09,2637
2016-07-10,2537
2016-07-11,2537
2016-07-12,2456
2016-07-13,2456
2016-07-14,2417
2016-07-15,2417
2016-07-16,2410
2016-07-17,2410
2016-07-18,2402
2016-07-23,2370
2016-07-24,2370
2016-07-25,2335
2016-07-26,2335
2016-07-27,2335
2016-07-28,2363
2016-07-29,2363
2016-07-30,2368
2016-07-31,2368
2016-08-01,2368
2016-08-02,2382
2016-08-03,2382
2016-08-04,2365
2016-08-05,2365
2016-08-06,2365
2016-08-07,2313
2016-08-08,2313
2016-08-09,2272
2016-08-10,2272
2016-08-11,2272
2016-08-12,2258
2016-08-13,2258
2016-08-14,2258
2016-08-15,2282
2016-08-16,2282
2016-08-17,2282
2016-08-18,2221
2016-08-19,2221
2016-08-20,2144
2016-08-21,2144
2016-08-22,2144
2016-08-23,2123
2016-08-24,2123
2016-08-25,2123
2016-08-26,2113
2016-08-28,2065
2016-08-31,2032
2016-09-01,2032
2016-09-02,1944
2016-09-03,1944
2016-09-04,1848
2016-09-05,1848
2016-09-06,1858
2016-09-07,1858
2016-09-08,1858
2016-09-09,1881
2016-09-10,1881
2016-09-11,1881
2016-09-12,1937
2016-09-13,1937
2016-09-14,1937
2016-09-15,1966
2016-09-16,1966
2016-09-17,1966
2016-09-18,2019
2016-09-19,2019
2016-09-20,2019
2016-09-21,2078
2016-09-22,2078
2016-09-23,2078
2016-09-24,2175
2016-09-25,2175
2016-09-26,2175
2016-09-27,2242
2016-09-28,2242
2016-09-29,2242
2016-09-30,2353
2016-10-01,2353
2016-10-02,2353
2016-10-03,2353
2016-10-04,2453
2016-10-05,2453
2016-10-06,2453
2016-10-07,2530
2016-10-08,2530
2016-10-09,2530
2016-10-10,2484
2016-10-11,2484
2016-10-12,2484
2016-10-13,2544
2016-10-14,2544
2016-10-15,2544
2016-10-16,2585
2016-10-17,2585
2016-10-18,2585
2016-10-19,2598
2016-10-20,2598
2016-10-21,2598
2016-10-22,2651
2016-10-23,2651
2016-10-24,2627
2016-10-25,2627
2016-10-26,2627
2016-10-27,2644
2016-10-28,2644
2016-10-29,2644
2016-10-30,2739
2016-10-31,2739
2016-11-01,2739
2016-11-02,2852
2016-11-03,2852
2016-11-04,2852
2016-11-05,2977
2016-11-06,2977
2016-11-07,3096
2016-11-08,3096
2016-11-09,3217
2016-11-10,3217
2016-11-11,3217
2016-11-12,3378
2016-11-13,3378
2016-11-14,3378
2016-11-15,3394
2016-12-07,2785
2016-12-08,2825
2016-12-09,2825
2016-12-10,2825
2016-12-11,2858
2016-12-12,2858
2016-12-13,2858
2016-12-14,2784
2016-12-15,2784
2016-12-16,2784
2016-12-17,2721
2016-12-18,2721
2016-12-19,2721
2016-12-20,2700
2016-12-21,2700
2016-12-22,2779
2016-12-23,2779
2016-12-24,2874
2016-12-25,2874
2016-12-26,2980
2016-12-27,2980
2016-12-28,3078
2016-12-29,3078
2016-12-30,3071
2016-12-31,3071
2017-01-01,2993
2017-01-02,2993
2017-01-03,2974
2017-01-04,2972
2017-01-05,2972
2017-01-06,2959
2017-01-07,3076
2017-01-08,3079
2017-01-09,3014
2017-01-10,3014
2017-01-11,2937
2017-01-12,2877
2017-01-13,2877
2017-01-14,2813
2017-01-15,2719
2017-01-16,2595
2017-01-17,2566
2017-01-18,2556
2017-01-19,2556
2017-01-20,2473
2017-01-21,2368
2017-01-22,2368
2017-01-23,2256
2017-01-27,2049
2017-01-28,1950
2017-01-29,1889
2017-01-30,1889
2017-01-31,1931
2017-02-01,1985
2017-02-02,1985
2017-02-03,2053
2017-02-04,2013
2017-02-05,2013
2017-02-06,1956
2017-02-07,1956
2017-02-08,1992
2017-02-09,1992
2017-02-10,2031
2017-02-11,2031
2017-02-12,2020
2017-02-13,2020
2017-02-14,2015
2017-02-15,2015
2017-02-16,2051
2017-02-18,1992
2017-02-19,1915
2017-02-20,1915
2017-02-21,1831
2017-02-22,1831
2017-02-23,1771
2017-02-24,1771
2017-02-25,1713
2017-02-26,1713
2017-02-27,1763
2017-02-28,1764
2017-03-01,1764
2017-03-02,1779
2017-03-03,1779
2017-03-04,1812
2017-03-05,1812
2017-03-06,1788
2017-03-07,1788
2017-03-08,1768
2017-03-09,1768
2017-03-10,1743
2017-03-11,1781
2017-03-12,1781
2017-03-13,1840
2017-03-14,1825
2017-03-15,1741
2017-03-16,1741
2017-03-17,1743
2017-03-18,1743
2017-03-19,1747
2017-03-20,1690
2017-03-21,1690
2017-03-22,1658
2017-03-23,1652
2017-03-24,1710
2017-03-25,1710
2017-03-26,1706
2017-03-27,1706
2017-03-28,1725
2017-03-29,1748
2017-03-30,1748
2017-03-31,1778
2017-04-01,1778
2017-04-02,1766
2017-04-03,1784
2017-04-04,1784
2017-04-12,1856
2017-04-13,1937
2017-04-14,1937
2017-04-15,2033
2017-04-16,2134
2017-04-17,2241
2017-04-18,2241
2017-04-19,2343
2017-04-20,2343
2017-04-21,2404
2017-04-22,2404
2017-04-23,2435
2017-04-24,2435
2017-04-25,2445
2017-04-26,2445
2017-04-27,2372
2017-04-28,2372
2017-04-29,2415
2017-04-30,2415
2017-05-01,2459
2017-05-02,2505
2017-05-03,2505
2017-05-04,2495
2017-05-05,2495
2017-05-06,2375
2017-05-07,2362
2017-05-08,2362
2017-05-09,2415
2017-05-10,2415
2017-05-11,2438
2017-05-12,2406
2017-05-13,2421
2017-05-14,2421
2017-05-15,2442
2017-05-16,2453
2017-05-17,2453
2017-05-18,2435
2017-05-19,2435
2017-05-20,2375
2017-05-21,2375
2017-05-22,2387
2017-05-23,2387
2017-05-24,2346
2017-05-25,2346
2017-05-26,2433
2017-05-27,2540
2017-05-28,2540
2017-05-29,2654
2017-05-30,2654
2017-05-31,2770
2017-06-01,2864
2017-06-02,2781
2017-06-03,2781
2017-06-04,2666
2017-06-05,2666
2017-06-06,2636
2017-06-07,2629
2017-06-08,2629
2017-06-09,2749
2017-06-10,2818
2017-06-11,2885
2017-06-12,2885
2017-06-13,2990
2017-06-14,2921
2017-06-15,2921
2017-06-16,3019
2017-06-17,3019
2017-06-18,3095
2017-06-19,3095
2017-06-20,3137
2017-06-21,3133
2017-06-22,3133
2017-06-23,3117
2017-06-24,3087
2017-06-25,3087
2017-06-26,2994
2017-06-27,2997
2017-06-28,2997
2017-06-29,2989
2017-06-30,3023
2017-07-01,3023
2017-07-02,3029
2017-07-03,2958
2017-07-04,2899
2017-07-05,2899
2017-07-06,2854
2017-07-07,2854
2017-07-08,2870
2017-07-13,2771
2017-07-14,2708
2017-07-15,2708
2017-07-16,2583
2017-07-17,2505
2017-07-18,2505
2017-07-19,2454
2017-07-20,2529
2017-07-21,2525
2017-07-22,2532
2017-07-23,2554
2017-07-24,2554
2017-07-25,2503
2017-07-26,2469
2017-07-27,2465
2017-07-28,2465
2017-07-29,2516
2017-07-30,2508
2017-07-31,2508
2017-08-01,2492
2017-08-02,2532
2017-08-03,2532
2017-08-04,2548
2017-08-05,2505
2017-08-06,2505
2017-08-09,2499
2017-08-10,2512
2017-08-11,2512
2017-08-12,2500
2017-08-13,2500
2017-08-14,2482
2017-08-15,2475
2017-08-16,2466
2017-08-17,2471
2017-08-18,2471
2017-08-19,2464
2017-08-20,2434
2017-08-21,2469
2017-08-22,2486
2017-08-23,2486
2017-08-24,2505
2017-08-25,2505
2017-08-26,2458
2017-08-27,2493
2017-08-28,2486
2017-08-29,2486
2017-08-30,2451
2017-08-31,2451
2017-09-01,2440
2017-09-02,2437
2017-09-03,2437
2017-09-04,2432
2017-09-05,2464
2017-09-06,2464
2017-09-07,2481
2017-09-08,2481
2017-09-09,2481
2017-09-10,2448
2017-09-11,2448
2017-09-12,2426
2017-09-13,2419
2017-09-14,2375
2017-09-15,2375
2017-09-16,2364
2017-09-17,2356
2017-09-18,2356
2017-09-19,2364
2017-09-20,2370
