date_obj,Black%20set%20(lg) price
2016-07-17,8104
2016-07-18,7783
2016-07-23,6822
2016-07-24,6789
2016-07-25,6739
2016-07-26,6820
2016-07-27,6921
2016-07-28,6895
2016-07-29,6895
2016-07-30,7047
2016-07-31,7047
2016-08-01,6958
2016-08-02,7056
2016-08-03,7218
2016-08-04,7351
2016-08-05,7351
2016-08-06,7064
2016-08-07,6928
2016-08-08,7013
2016-08-09,7184
2016-08-10,7361
2016-08-11,7596
2016-08-12,7782
2016-08-13,7941
2016-08-14,8212
2016-08-15,8331
2016-08-16,8554
2016-08-17,8129
2016-08-18,7837
2016-08-19,7628
2016-08-20,7393
2016-08-21,7023
2016-08-22,6677
2016-08-23,6628
2016-08-24,6517
2016-08-25,6606
2016-08-26,6606
2016-08-28,6576
2016-08-31,6492
2016-09-01,6355
2016-09-02,6355
2016-09-03,6303
2016-09-04,6327
2016-09-05,6223
2016-09-06,5951
2016-09-07,5857
2016-09-08,5857
2016-09-09,5829
2016-09-10,5850
2016-09-11,5850
2016-09-12,5966
2016-09-13,6138
2016-09-14,6138
2016-09-15,6294
2016-09-16,6294
2016-09-17,6470
2016-09-18,6657
2016-09-19,6858
2016-09-20,6858
2016-09-21,7075
2016-09-22,7282
2016-09-23,7298
2016-09-24,7298
2016-09-25,7358
2016-09-26,7358
2016-09-27,7076
2016-09-28,6940
2016-09-29,6940
2016-09-30,6972
2016-10-01,7153
2016-10-02,7153
2016-10-03,7000
2016-10-04,6961
2016-10-05,6871
2016-10-06,6932
2016-10-07,7063
2016-10-08,7225
2016-10-09,7358
2016-10-10,7616
2016-10-11,7833
2016-10-12,8034
2016-10-13,8306
2016-10-14,8457
2016-10-15,8649
2016-10-16,8361
2016-10-17,8521
2016-10-18,8395
2016-10-19,8180
2016-10-20,7940
2016-10-21,7937
2016-10-22,7937
2016-10-23,7898
2016-10-24,7852
2016-10-25,7852
2016-10-26,7933
2016-10-27,8011
2016-10-28,8011
2016-10-29,8099
2016-10-30,7953
2016-10-31,7882
2016-11-01,7882
2016-11-02,7856
2016-11-03,7856
2016-11-04,7992
2016-11-05,7992
2016-11-06,8235
2016-11-07,8143
2016-11-08,8480
2016-11-09,8751
2016-11-10,9065
2016-11-11,9395
2016-11-12,9722
2016-11-13,10042
2016-11-14,10397
2016-11-15,10331
2016-12-07,8591
2016-12-08,8542
2016-12-09,8268
2016-12-10,7977
2016-12-11,7785
2016-12-12,7977
2016-12-13,8164
2016-12-14,8353
2016-12-15,8630
2016-12-16,8877
2016-12-17,9072
2016-12-18,9284
2016-12-19,9256
2016-12-20,9030
2016-12-21,8849
2016-12-22,8706
2016-12-23,8488
2016-12-24,8199
2016-12-25,7935
2016-12-26,7538
2016-12-27,7342
2016-12-28,7193
2016-12-29,7393
2016-12-30,7342
2016-12-31,7291
2017-01-01,7283
2017-01-02,7240
2017-01-03,7426
2017-01-04,7443
2017-01-05,7469
2017-01-06,7615
2017-01-07,7445
2017-01-08,7455
2017-01-09,7467
2017-01-10,7417
2017-01-11,7386
2017-01-12,7315
2017-01-13,7444
2017-01-14,7340
2017-01-15,7298
2017-01-16,7148
2017-01-17,7276
2017-01-18,7162
2017-01-19,7396
2017-01-20,7619
2017-01-21,7718
2017-01-22,7488
2017-01-23,7574
2017-01-27,7343
2017-01-28,7383
2017-01-29,7413
2017-01-30,7366
2017-01-31,7265
2017-02-01,7181
2017-02-02,7047
2017-02-03,6783
2017-02-04,6803
2017-02-05,6911
2017-02-06,6993
2017-02-07,7040
2017-02-08,6889
2017-02-09,6889
2017-02-10,6840
2017-02-11,6630
2017-02-12,6832
2017-02-13,6909
2017-02-14,7018
2017-02-15,7099
2017-02-16,7040
2017-02-18,7151
2017-02-19,6962
2017-02-20,7070
2017-02-21,7363
2017-02-22,7658
2017-02-23,7757
2017-02-24,7785
2017-02-25,7773
2017-02-26,7890
2017-02-27,8149
2017-02-28,8169
2017-03-01,8367
2017-03-02,8209
2017-03-03,7890
2017-03-04,7530
2017-03-05,7379
2017-03-06,7106
2017-03-07,7049
2017-03-08,7246
2017-03-09,7247
2017-03-10,7161
2017-03-11,6973
2017-03-12,6918
2017-03-13,6853
2017-03-14,6888
2017-03-15,6861
2017-03-16,6869
2017-03-17,6904
2017-03-18,6911
2017-03-19,6925
2017-03-20,6975
2017-03-21,6921
2017-03-22,6593
2017-03-23,6487
2017-03-24,6465
2017-03-25,6406
2017-03-26,6396
2017-03-27,6365
2017-03-28,6476
2017-03-29,6409
2017-03-30,6395
2017-03-31,6320
2017-04-01,6286
2017-04-02,6305
2017-04-03,6475
2017-04-04,6652
2017-04-12,7790
2017-04-13,8097
2017-04-14,8279
2017-04-15,8395
2017-04-16,8393
2017-04-17,8278
2017-04-18,8328
2017-04-19,8315
2017-04-20,8379
2017-04-21,8343
2017-04-22,8156
2017-04-23,8116
2017-04-24,8122
2017-04-25,8173
2017-04-26,8043
2017-04-27,7908
2017-04-28,7809
2017-04-29,7710
2017-04-30,7383
2017-05-01,7323
2017-05-02,7253
2017-05-03,7334
2017-05-04,7362
2017-05-05,7521
2017-05-06,7609
2017-05-07,7367
2017-05-08,7109
2017-05-09,7084
2017-05-10,7103
2017-05-11,6990
2017-05-12,7255
2017-05-13,7058
2017-05-14,7089
2017-05-15,7158
2017-05-16,7161
2017-05-17,7143
2017-05-18,7181
2017-05-19,7352
2017-05-20,7590
2017-05-21,7590
2017-05-22,7742
2017-05-23,8081
2017-05-24,8449
2017-05-25,8859
2017-05-26,9222
2017-05-27,9382
2017-05-28,8912
2017-05-29,8767
2017-05-30,8328
2017-05-31,8358
2017-06-01,8536
2017-06-02,8389
2017-06-03,8359
2017-06-04,8564
2017-06-05,8860
2017-06-06,8876
2017-06-07,8932
2017-06-08,8932
2017-06-09,8807
2017-06-10,8902
2017-06-11,8686
2017-06-12,8612
2017-06-13,8453
2017-06-14,8135
2017-06-15,7933
2017-06-16,7765
2017-06-17,7760
2017-06-18,7613
2017-06-19,7613
