date_obj,Clockwork price
2017-07-22,1841
2017-07-23,1841
2017-07-24,1841
2017-07-25,1841
2017-07-26,1841
2017-07-27,1841
2017-07-28,1841
2017-07-29,1841
2017-07-30,1840
2017-07-31,1840
2017-08-01,1840
2017-08-02,1840
2017-08-03,1840
2017-08-04,1840
2017-08-05,1840
2017-08-06,1840
2017-08-09,1840
2017-08-10,1840
2017-08-11,1800
2017-08-12,1800
2017-08-13,1800
2017-08-14,1800
2017-08-15,1800
2017-08-16,1800
2017-08-17,1800
2017-08-18,1800
2017-08-19,1800
2017-08-20,1800
2017-08-21,1800
2017-08-22,1800
2017-08-23,1735
2017-08-24,1735
2017-08-25,1735
2017-08-26,1735
2017-08-27,1735
2017-08-28,1735
2017-08-29,1735
2017-08-30,1735
2017-08-31,1735
2017-09-01,1735
2017-09-02,1735
2017-09-03,1735
2017-09-04,1735
2017-09-05,1685
2017-09-06,1685
2017-09-07,1685
2017-09-08,1685
2017-09-09,1685
2017-09-10,1657
2017-09-11,1657
2017-09-12,1657
2017-09-13,1657
2017-09-14,1657
2017-09-15,1657
2017-09-16,1657
2017-09-17,1657
2017-09-18,1657
2017-09-19,1657
2017-09-20,1657
2017-09-21,1574
2017-09-22,1574
2017-09-23,1574
2017-09-24,1574
2017-09-25,1574
2017-09-26,1574
2017-09-27,1574
2017-09-28,1574
2017-09-29,1574
2017-09-30,1574
2017-10-01,1574
2017-10-02,1495
2017-10-03,1495
2017-10-04,1495
2017-10-05,1495
2017-10-06,1495
2017-10-07,1495
2017-10-08,1495
2017-10-09,1495
2017-10-10,1495
2017-10-11,1495
2017-10-12,1495
2017-10-13,1421
2017-10-14,1421
2017-10-15,1421
2017-10-16,1421
2017-10-17,1421
2017-10-18,1421
2017-10-19,1421
2017-10-20,1421
2017-10-21,1421
2017-10-22,1421
2017-10-23,1350
2017-10-24,1350
2017-10-25,1350
2017-10-26,1350
2017-10-27,1350
2017-10-28,1350
2017-10-29,1350
2017-10-30,1350
2017-10-31,1350
2017-11-01,1350
2017-11-02,1350
2017-11-03,1350
2017-11-04,1282
2017-11-05,1282
2017-11-06,1282
2017-11-07,1282
2017-11-08,1282
2017-11-09,1282
2017-11-10,1282
2017-11-11,1282
2017-11-12,1282
2017-11-13,1282
2017-11-14,1282
2017-11-15,1282
2017-11-16,1282
2017-11-17,1248
2017-11-18,1248
2017-11-19,1248
2017-11-20,1248
2017-11-21,1248
2017-11-22,1248
2017-11-23,1248
2017-11-24,1248
2017-11-25,1248
2017-11-26,1248
2017-11-27,1248
2017-11-28,1214
2017-11-29,1214
2017-11-30,1214
2017-12-01,1214
2017-12-02,1214
2017-12-03,1214
2017-12-04,1214
2017-12-05,1214
2017-12-06,1214
2017-12-07,1214
2017-12-08,1214
2017-12-09,1194
2017-12-10,1194
2017-12-11,1194
2017-12-12,1194
2017-12-13,1194
2017-12-14,1194
2017-12-15,1194
2017-12-16,1194
2017-12-17,1194
2017-12-18,1194
2017-12-19,1194
2017-12-20,1135
2017-12-21,1135
2017-12-22,1135
2017-12-23,1135
2017-12-24,1135
2017-12-25,1135
2017-12-26,1135
2017-12-27,1135
2017-12-28,1135
2017-12-29,1135
2017-12-30,1135
2017-12-31,1095
2018-01-01,1095
2018-01-02,1095
2018-01-03,1095
2018-01-04,1095
2018-01-05,1095
2018-01-06,1095
2018-01-07,1095
2018-01-08,1095
2018-01-09,1080
2018-01-10,1080
2018-01-11,1080
2018-01-12,1080
2018-01-13,1080
2018-01-14,1080
2018-01-15,1080
2018-01-16,1080
2018-01-17,1076
2018-01-18,1076
2018-01-19,1076
2018-01-20,1076
2018-01-21,1076
2018-01-22,1044
2018-01-23,1044
2018-01-24,1044
2018-01-25,1044
2018-01-26,1044
2018-01-27,991
2018-01-28,991
2018-01-29,991
2018-01-30,991
2018-01-31,991
2018-02-01,991
2018-02-02,941
2018-02-03,941
2018-02-04,941
2018-02-05,941
2018-02-06,941
2018-02-07,902
2018-02-08,902
2018-02-09,902
2018-02-10,902
2018-02-11,902
2018-02-12,902
2018-02-13,902
2018-02-14,865
2018-02-15,865
2018-02-16,865
2018-02-17,865
2018-02-18,865
2018-02-19,855
2018-02-20,855
2018-02-21,855
2018-02-22,855
2018-02-23,855
2018-02-24,855
2018-02-25,845
2018-02-26,845
2018-02-27,845
2018-02-28,845
2018-03-01,845
2018-03-02,861
2018-03-03,861
2018-03-04,861
2018-03-05,861
2018-03-06,897
2018-03-07,897
2018-03-08,897
2018-03-09,897
2018-03-10,897
2018-03-11,921
2018-03-12,921
2018-03-13,921
2018-03-14,921
2018-03-15,921
2018-03-16,921
2018-03-17,942
2018-03-18,942
2018-03-20,942
2018-03-21,942
2018-03-23,951
2018-03-24,951
2018-03-25,951
2018-03-26,951
2018-03-27,951
2018-03-28,982
2018-03-29,982
2018-03-30,982
2018-03-31,982
2018-04-02,983
2018-04-03,983
2018-04-04,983
2018-04-05,983
2018-04-06,934
2018-04-07,934
2018-04-08,934
2018-04-09,934
2018-04-10,934
2018-04-11,899
2018-04-12,899
2018-04-13,899
2018-04-14,899
2018-04-15,899
2018-04-16,913
2018-04-17,913
2018-04-18,913
2018-04-19,913
2018-04-20,913
2018-04-21,916
2018-04-22,916
2018-04-23,916
2018-04-24,916
2018-04-25,916
2018-04-26,916
2018-04-27,937
2018-04-28,937
2018-04-29,937
2018-04-30,937
2018-05-01,937
2018-05-03,931
2018-05-04,931
2018-05-05,931
2018-05-07,949
2018-05-08,949
2018-05-09,949
2018-05-10,949
2018-05-11,958
2018-05-12,958
2018-05-13,958
2018-05-14,958
2018-05-15,981
2018-05-16,981
2018-05-17,981
2018-05-18,1000
2018-05-19,1000
2018-05-20,1000
2018-05-21,1047
2018-05-22,1047
2018-05-23,1047
2018-05-24,1047
2018-05-25,1074
2018-05-26,1074
2018-05-27,1074
2018-05-28,1067
2018-05-29,1067
2018-05-30,1067
2018-05-31,1048
2018-06-01,1048
2018-06-02,995
2018-06-03,995
2018-06-04,974
2018-06-05,974
2018-06-06,985
2018-06-07,985
2018-06-08,985
2018-06-09,955
2018-06-10,955
2018-06-11,916
2018-06-12,916
2018-06-13,934
2018-06-14,934
2018-06-15,934
2018-06-16,929
2018-06-17,929
2018-06-18,926
2018-06-19,926
2018-06-20,926
2018-06-21,950
2018-06-22,950
2018-06-23,950
2018-06-24,940
2018-06-25,940
2018-06-26,940
2018-06-27,942
2018-06-28,942
2018-06-29,942
2018-06-30,938
2018-07-01,938
2018-07-02,938
2018-07-03,982
2018-07-04,982
2018-07-05,982
2018-07-06,1023
2018-07-07,1023
2018-07-08,1023
2018-07-09,1065
2018-07-10,1065
2018-07-11,1117
2018-07-12,1117
2018-07-13,1117
2018-07-14,1154
2018-07-15,1154
2018-07-16,1154
2018-07-17,1135
2018-07-18,1135
2018-07-19,1135
2018-07-20,1121
2018-07-21,1121
2018-07-22,1095
2018-07-23,1095
2018-07-24,1083
2018-07-25,1083
2018-07-26,1088
2018-07-27,1088
2018-07-28,1068
2018-07-29,1068
2018-07-30,1045
2018-07-31,1045
2018-08-01,1062
2018-08-02,1062
2018-08-03,1059
2018-08-04,1059
2018-08-05,1101
2018-08-06,1101
2018-08-07,1101
2018-08-08,1065
2018-08-09,1065
2018-08-10,1065
2018-08-11,1012
2018-08-12,1012
2018-08-14,965
2018-08-16,987
2018-08-17,987
2018-08-18,960
2018-08-19,960
2018-08-20,959
2018-08-21,959
2018-08-22,959
2018-08-23,971
2018-08-24,971
2018-08-25,989
2018-08-26,989
2018-08-27,989
2018-08-28,954
2018-08-29,954
2018-08-30,954
2018-08-31,945
2018-09-01,945
2018-09-02,983
2018-09-03,983
2018-09-04,1007
2018-09-05,1007
2018-09-06,1007
2018-09-07,1005
2018-09-08,1005
2018-09-09,998
2018-09-10,998
2018-09-11,998
2018-09-12,999
2018-09-13,999
2018-09-14,1031
2018-09-15,1031
2018-09-16,1043
2018-09-17,1043
2018-09-18,1068
2018-09-19,1068
2018-09-20,1037
2018-09-21,1037
2018-09-22,1018
2018-09-23,1018
2018-09-24,1054
2018-09-25,1054
2018-09-26,1060
2018-09-27,1060
2018-09-28,1062
2018-09-29,1062
2018-09-30,1096
2018-10-01,1096
2018-10-02,1103
2018-10-03,1090
2018-10-04,1090
2018-10-05,1090
2018-10-06,1078
2018-10-07,1078
2018-10-08,1078
2018-10-09,1069
2018-10-10,1069
2018-10-11,1070
2018-10-12,1070
2018-10-13,1058
2018-10-14,1058
2018-10-15,1079
2018-10-16,1079
2018-10-17,1085
2018-10-18,1085
2018-10-19,1071
2018-10-20,1071
2018-10-21,1053
2018-10-22,1053
2018-10-23,1060
2018-10-24,1060
2018-10-25,1101
2018-10-26,1101
2018-10-27,1062
2018-10-28,1054
2018-10-29,1054
2018-10-30,1047
2018-10-31,1047
2018-11-01,1021
2018-11-03,998
2018-11-04,998
2018-11-05,1010
2018-11-06,1010
2018-11-07,997
2018-11-08,1019
2018-11-09,1019
2018-11-10,1056
2018-11-11,1056
2018-11-12,1091
2018-11-13,1138
2018-11-14,1138
2018-11-15,1194
2018-11-16,1160
2018-11-17,1160
2018-11-18,1149
2018-11-19,1149
2018-11-20,1147
2018-11-21,1147
2018-11-22,1155
2018-11-23,1155
2018-11-24,1136
2018-11-25,1093
2018-11-26,1093
2018-11-27,1045
2018-11-28,1020
2018-11-29,983
2018-12-01,1021
2018-12-02,1033
2018-12-03,1033
2018-12-04,1035
2018-12-05,995
2018-12-07,947
2018-12-09,913
2018-12-10,926
2018-12-11,926
2018-12-12,961
2018-12-13,961
2018-12-14,945
2018-12-15,945
2018-12-16,917
2018-12-17,917
2018-12-18,918
2018-12-19,918
2018-12-20,894
2018-12-21,894
2018-12-22,895
2018-12-23,911
2018-12-24,919
2018-12-25,919
2018-12-26,939
2018-12-27,954
2018-12-28,954
2018-12-29,972
2018-12-30,972
2018-12-31,961
2019-01-01,961
2019-01-02,986
2019-01-03,1010
2019-01-04,1010
2019-01-05,1037
2019-01-06,1048
2019-01-08,1099
2019-01-10,1188
2019-01-11,1228
2019-01-12,1194
2019-01-13,1167
2019-01-14,1147
2019-01-15,1140
2019-01-16,1127
2019-01-17,1113
2019-01-18,1113
2019-01-19,1112
2019-01-20,1130
2019-01-21,1130
2019-01-22,1125
2019-01-23,1169
2019-01-24,1169
2019-01-25,1168
2019-01-26,1119
2019-01-27,1097
2019-01-28,1067
2019-01-29,1031
2019-01-30,987
2019-01-31,987
2019-02-01,937
2019-02-02,937
2019-02-03,902
2019-02-04,902
2019-02-05,872
2019-02-06,872
2019-02-07,857
2019-02-08,857
2019-02-09,833
2019-02-10,840
2019-02-11,818
2019-02-12,818
2019-02-13,838
2019-02-14,838
2019-02-15,809
2019-02-16,789
2019-02-17,789
2019-02-18,801
2019-02-19,801
2019-02-20,818
2019-02-21,820
2019-02-22,854
2019-02-23,885
2019-02-24,908
2019-02-25,926
2019-02-26,913
2019-02-27,913
2019-02-28,913
2019-03-01,875
2019-03-02,863
2019-03-03,871
2019-03-04,885
2019-03-05,900
2019-03-06,898
2019-03-07,912
2019-03-08,912
2019-03-09,935
2019-03-10,915
2019-03-11,931
2019-03-12,940
2019-03-13,940
2019-03-14,962
2019-03-15,962
2019-03-16,978
2019-03-17,971
2019-03-18,971
2019-03-19,958
2019-03-20,952
2019-03-21,944
2019-03-22,944
2019-03-23,921
2019-03-24,901
2019-03-25,901
2019-03-26,887
2019-03-27,887
2019-03-28,925
2019-03-29,937
2019-03-30,937
2019-03-31,949
2019-04-01,959
2019-04-02,959
2019-04-03,947
2019-04-04,932
2019-04-05,932
2019-04-06,922
2019-04-07,900
2019-04-08,907
2019-04-09,932
2019-04-10,926
2019-04-11,919
2019-04-12,910
2019-04-13,916
2019-04-14,932
2019-04-15,932
2019-04-16,956
2019-04-17,962
2019-04-18,955
2019-04-19,936
2019-04-20,947
2019-04-21,947
2019-04-22,920
2019-04-23,919
2019-04-24,888
