date_obj,Purple%20hat price
2015-12-23,1186
2015-12-24,1186
2015-12-25,1195
2015-12-26,1195
2015-12-27,1195
2015-12-28,1195
2015-12-29,1195
2015-12-30,1195
2015-12-31,1220
2016-01-01,1220
2016-01-02,1220
2016-01-03,1220
2016-01-04,1220
2016-01-05,1220
2016-01-06,1220
2016-01-07,1250
2016-01-08,1250
2016-01-09,1250
2016-01-10,1250
2016-01-11,1250
2016-01-12,1250
2016-01-13,1250
2016-01-14,1282
2016-01-15,1282
2016-01-16,1282
2016-01-17,1282
2016-01-18,1282
2016-01-19,1282
2016-01-20,1282
2016-01-21,1303
2016-01-22,1303
2016-01-23,1303
2016-01-24,1303
2016-01-25,1303
2016-01-26,1303
2016-01-27,1325
2016-01-28,1325
2016-01-29,1325
2016-01-30,1325
2016-01-31,1325
2016-02-01,1325
2016-02-02,1325
2016-02-03,1324
2016-02-04,1324
2016-02-05,1324
2016-02-06,1324
2016-02-07,1324
2016-02-08,1324
2016-02-09,1324
2016-02-10,1324
2016-02-11,1339
2016-02-12,1339
2016-02-13,1339
2016-02-14,1339
2016-02-15,1339
2016-02-16,1339
2016-02-17,1339
2016-02-18,1319
2016-02-19,1319
2016-02-20,1319
2016-02-21,1319
2016-02-22,1319
2016-02-23,1319
2016-02-24,1319
2016-02-25,1344
2016-02-26,1344
2016-02-27,1344
2016-02-28,1344
2016-02-29,1344
2016-03-01,1344
2016-03-02,1344
2016-03-03,1362
2016-03-04,1362
2016-03-05,1362
2016-03-06,1362
2016-03-07,1362
2016-03-08,1362
2016-03-09,1362
2016-03-10,1363
2016-03-11,1363
2016-03-12,1363
2016-03-13,1363
2016-03-14,1363
2016-03-15,1363
2016-03-16,1363
2016-03-17,1365
2016-03-18,1365
2016-03-19,1365
2016-03-20,1365
2016-03-21,1365
2016-03-22,1365
2016-03-23,1301
2016-03-24,1301
2016-03-25,1301
2016-03-26,1301
2016-03-27,1301
2016-03-28,1301
2016-03-29,1236
2016-03-30,1236
2016-03-31,1236
2016-04-01,1236
2016-04-02,1236
2016-04-03,1236
