date_obj,Staff%20of%20fire price
2016-01-04,970
2016-01-05,967
2016-01-06,961
2016-01-07,955
2016-01-08,956
2016-01-09,965
2016-01-10,990
2016-01-11,1008
2016-01-12,1026
2016-01-13,1032
2016-01-14,1077
2016-01-15,1116
2016-01-16,1124
2016-01-17,1127
2016-01-18,1116
2016-01-19,1082
2016-01-20,1079
2016-01-21,1057
2016-01-22,1062
2016-01-23,1045
2016-01-24,1034
2016-01-25,1022
2016-01-26,1002
2016-01-27,1002
2016-01-28,997
2016-01-29,979
2016-01-30,990
2016-01-31,990
2016-02-01,981
2016-02-02,975
2016-02-03,971
2016-02-04,990
2016-02-05,990
2016-02-06,987
2016-02-07,1004
2016-02-08,999
2016-02-09,1000
2016-02-10,1006
2016-02-11,1030
2016-02-12,1020
2016-02-13,1043
2016-02-14,1047
2016-02-15,1046
2016-02-16,1058
2016-02-17,1026
2016-02-18,1038
2016-02-19,1020
2016-02-20,1027
2016-02-21,1008
2016-02-22,999
2016-02-23,1016
2016-02-24,1011
2016-02-25,1030
2016-02-26,1042
2016-02-27,1028
2016-02-28,1013
2016-02-29,1013
2016-03-01,1009
2016-03-02,1003
2016-03-03,998
2016-03-04,998
2016-03-05,1001
2016-03-06,1012
2016-03-07,993
2016-03-08,1002
2016-03-09,1013
2016-03-10,1033
2016-03-11,1044
2016-03-12,1048
2016-03-13,997
2016-03-14,997
2016-03-15,985
2016-03-16,986
2016-03-17,983
2016-03-18,997
2016-03-19,1037
2016-03-20,1089
2016-03-21,1141
2016-03-22,1199
2016-03-23,1251
2016-03-24,1195
2016-03-25,1177
2016-03-26,1155
2016-03-27,1128
2016-03-28,1096
2016-03-29,1094
2016-03-30,1085
2016-03-31,1061
2016-04-01,1085
2016-04-02,1115
2016-04-03,1141
2016-04-04,1197
2016-04-05,1230
2016-04-06,1220
2016-04-07,1272
2016-04-08,1299
2016-04-09,1293
2016-04-10,1286
2016-04-11,1221
2016-04-12,1172
2016-04-13,1129
2016-04-14,1088
2016-04-15,1036
2016-04-16,999
2016-04-17,992
2016-04-18,985
2016-04-19,996
2016-04-20,1007
2016-04-21,1003
2016-04-22,1000
2016-04-23,1001
2016-04-24,1011
2016-04-25,1005
2016-04-26,1011
2016-04-27,1004
2016-04-28,993
2016-04-29,987
2016-04-30,987
2016-05-01,991
2016-05-02,1010
2016-05-03,1003
2016-05-04,984
2016-05-05,997
2016-05-06,970
2016-05-07,963
2016-05-08,959
2016-05-09,958
2016-05-10,935
2016-05-11,943
2016-05-12,953
2016-05-13,952
2016-05-14,966
2016-05-15,1009
2016-05-16,1060
2016-05-17,1088
2016-05-18,1105
2016-05-19,1104
2016-05-22,1048
2016-05-23,1028
2016-05-24,1036
2016-05-25,1049
2016-05-26,1042
2016-05-27,1040
2016-05-28,1028
2016-05-29,1001
2016-05-30,977
2016-05-31,966
2016-06-01,936
2016-06-02,928
2016-06-03,920
2016-06-04,958
2016-06-05,985
2016-06-06,988
2016-06-07,993
2016-06-08,958
2016-06-09,923
2016-06-10,891
2016-06-11,869
2016-06-12,854
2016-06-13,864
2016-06-14,892
2016-06-15,919
2016-06-16,925
2016-06-17,928
2016-06-18,914
2016-06-19,914
2016-06-20,937
2016-06-21,934
2016-06-22,919
2016-06-23,912
2016-06-24,893
2016-06-25,883
2016-06-26,897
2016-06-27,910
2016-06-28,923
2016-06-29,913
2016-06-30,892
2016-07-01,882
2016-07-02,872
2016-07-03,877
2016-07-04,876
2016-07-05,887
2016-07-06,905
2016-07-07,900
2016-07-08,880
2016-07-09,853
2016-07-10,853
2016-07-11,846
2016-07-12,843
2016-07-13,866
2016-07-14,857
2016-07-15,856
2016-07-16,842
2016-07-17,843
2016-07-18,842
2016-07-24,866
2016-07-25,868
2016-07-26,870
2016-07-27,865
2016-07-28,866
2016-07-29,850
2016-07-30,862
2016-07-31,874
2016-08-01,872
2016-08-02,897
2016-08-03,914
2016-08-04,951
2016-08-05,985
2016-08-06,1028
2016-08-07,1061
2016-08-08,1084
2016-08-09,1041
2016-08-10,988
2016-08-11,947
2016-08-12,899
2016-08-13,875
2016-08-14,838
2016-08-15,819
2016-08-16,795
2016-08-17,795
2016-08-18,785
2016-08-19,790
2016-08-20,801
2016-08-21,805
2016-08-22,789
2016-08-23,801
2016-08-24,819
2016-08-25,804
2016-08-26,798
2016-08-28,833
2016-08-31,853
2016-09-01,856
2016-09-02,856
2016-09-03,858
2016-09-04,850
2016-09-05,846
2016-09-06,868
2016-09-07,858
2016-09-08,869
2016-09-09,886
2016-09-10,891
2016-09-11,908
2016-09-12,923
2016-09-13,958
2016-09-14,1006
2016-09-15,1024
2016-09-16,1038
2016-09-17,1054
2016-09-18,1031
2016-09-19,985
2016-09-20,935
2016-09-21,932
2016-09-22,913
2016-09-23,886
2016-09-24,886
2016-09-25,881
2016-09-26,889
2016-09-27,887
2016-09-28,879
2016-09-29,878
2016-09-30,890
2016-10-01,902
2016-10-02,937
2016-10-03,966
2016-10-04,1012
2016-10-05,1039
2016-10-06,1056
2016-10-07,1045
2016-10-08,1027
2016-10-09,1029
2016-10-11,996
2016-10-12,1001
2016-10-13,980
2016-10-14,968
2016-10-15,962
2016-10-16,945
2016-10-17,975
2016-10-18,1021
2016-10-19,1046
2016-10-20,1062
2016-10-21,1042
2016-10-22,1017
2016-10-23,1016
2016-10-24,1036
2016-10-25,1041
2016-10-26,1061
2016-10-27,1048
2016-10-28,1029
2016-10-29,996
2016-10-30,993
2016-10-31,1011
2016-11-01,1023
2016-11-02,1003
2016-11-03,994
2016-11-04,1001
2016-11-05,986
2016-11-06,1014
2016-11-07,1006
2016-11-08,1011
2016-11-09,983
2016-11-10,946
2016-11-11,932
2016-11-12,893
2016-11-13,886
2016-11-14,893
2016-12-08,961
2016-12-09,964
2016-12-10,951
2016-12-11,976
2016-12-12,964
2016-12-13,979
2016-12-14,988
2016-12-15,1004
2016-12-16,995
2016-12-17,999
2016-12-18,1021
2016-12-19,1046
2016-12-20,1078
2016-12-21,1094
2016-12-22,1112
2016-12-23,1096
2016-12-24,1072
2016-12-25,1089
2016-12-26,1076
2016-12-27,1065
2016-12-28,1030
2016-12-29,1007
2016-12-30,987
2016-12-31,987
2017-01-01,1014
2017-01-02,1034
2017-01-03,1063
2017-01-04,1093
2017-01-05,1075
2017-01-06,1069
2017-01-07,1079
2017-01-08,1078
2017-01-09,1092
2017-01-10,1100
2017-01-11,1087
2017-01-12,1075
2017-01-13,1065
2017-01-14,1085
2017-01-15,1092
2017-01-16,1086
2017-01-17,1057
2017-01-18,1030
2017-01-19,996
2017-01-20,974
2017-01-21,981
2017-01-22,991
2017-01-27,1016
2017-01-28,1019
2017-01-29,1002
2017-01-30,974
2017-01-31,964
2017-02-01,972
2017-02-02,966
2017-02-03,968
2017-02-04,969
2017-02-05,972
2017-02-06,939
2017-02-07,933
2017-02-08,936
2017-02-09,943
2017-02-10,940
2017-02-11,909
2017-02-12,912
2017-02-13,890
2017-02-14,899
2017-02-15,910
2017-02-16,897
2017-02-18,889
2017-02-19,873
2017-02-20,875
2017-02-21,901
2017-02-22,918
2017-02-23,886
2017-02-24,869
2017-02-25,887
2017-02-26,883
2017-02-27,877
2017-02-28,907
2017-03-01,928
2017-03-02,957
2017-03-03,961
2017-03-04,978
2017-03-05,1010
2017-03-06,1016
2017-03-07,1031
2017-03-08,1029
2017-03-09,1024
2017-03-10,1040
2017-03-11,1020
2017-03-12,1000
2017-03-13,996
2017-03-14,986
2017-03-15,963
2017-03-16,963
2017-03-17,986
2017-03-18,1001
2017-03-19,1009
2017-03-20,1050
2017-03-21,1051
2017-03-22,1065
2017-03-23,1065
2017-03-24,1059
2017-03-25,1053
2017-03-26,1053
2017-03-27,1061
2017-03-28,1071
2017-03-29,1085
2017-03-30,1114
2017-03-31,1133
2017-04-01,1128
2017-04-02,1102
2017-04-03,1083
2017-04-04,1085
2017-04-12,1258
2017-04-13,1292
2017-04-14,1305
2017-04-15,1286
2017-04-16,1254
2017-04-17,1255
2017-04-18,1300
2017-04-19,1353
2017-04-20,1370
2017-04-21,1336
2017-04-22,1299
2017-04-23,1272
2017-04-24,1247
2017-04-25,1207
2017-04-26,1162
2017-04-27,1125
2017-04-28,1095
2017-04-29,1059
2017-04-30,1010
2017-05-01,998
2017-05-02,985
2017-05-03,1011
2017-05-04,1057
2017-05-05,1067
2017-05-06,1076
2017-05-07,1110
2017-05-08,1145
2017-05-09,1194
2017-05-10,1224
2017-05-11,1262
2017-05-12,1268
2017-05-13,1279
2017-05-14,1283
2017-05-15,1242
2017-05-16,1253
2017-05-17,1250
2017-05-18,1202
2017-05-19,1190
2017-05-20,1203
2017-05-21,1167
2017-05-22,1162
2017-05-23,1177
2017-05-24,1192
2017-05-25,1219
2017-05-26,1199
2017-05-27,1210
2017-05-28,1202
2017-05-29,1181
2017-05-30,1163
2017-05-31,1160
2017-06-01,1152
2017-06-02,1163
2017-06-03,1169
2017-06-06,1114
2017-06-07,1089
2017-06-08,1049
2017-06-09,1048
2017-06-10,1034
2017-06-11,1013
2017-06-12,999
2017-06-13,993
2017-06-14,1030
2017-06-15,1018
2017-06-16,1034
2017-06-17,1044
2017-06-18,1068
2017-06-19,1079
2017-06-20,1072
2017-06-21,1062
2017-06-22,1069
2017-06-23,1076
2017-06-24,1048
2017-06-25,1025
2017-06-26,1018
2017-06-27,1003
2017-06-28,982
2017-06-29,975
2017-06-30,963
2017-07-01,951
2017-07-02,928
2017-07-03,934
2017-07-04,948
2017-07-05,962
2017-07-06,954
2017-07-07,944
2017-07-08,964
2017-07-13,1008
2017-07-14,994
2017-07-15,987
2017-07-16,997
2017-07-17,989
2017-07-18,970
2017-07-19,969
2017-07-20,955
2017-07-21,969
2017-07-22,982
2017-07-23,1006
2017-07-24,1022
2017-07-25,1042
2017-07-26,1048
2017-07-27,1065
2017-07-28,1060
2017-07-29,1068
2017-07-30,1077
2017-07-31,1080
2017-08-01,1054
2017-08-02,1048
2017-08-03,1062
2017-08-04,1061
2017-08-05,1062
2017-08-06,1054
2017-08-09,1039
2017-08-10,1035
2017-08-11,1027
2017-08-12,1007
2017-08-13,994
2017-08-14,984
2017-08-15,972
2017-08-17,998
2017-08-18,1001
2017-08-19,1008
2017-08-20,987
2017-08-21,993
2017-08-22,993
2017-08-23,992
2017-08-24,1016
2017-08-25,1031
2017-08-26,1020
2017-08-27,1005
2017-08-28,1006
2017-08-29,993
2017-08-30,994
2017-08-31,1004
2017-09-01,1025
2017-09-02,1016
2017-09-03,986
2017-09-04,1006
2017-09-05,1033
2017-09-06,1036
2017-09-07,1049
2017-09-08,1086
2017-09-09,1083
2017-09-10,1043
2017-09-11,1019
2017-09-12,1039
2017-09-13,1082
2017-09-14,1124
2017-09-15,1111
2017-09-16,1086
2017-09-17,1108
2017-09-19,1115
2017-09-20,1140
2017-09-21,1146
2017-09-22,1146
2017-09-23,1168
2017-09-24,1177
2017-09-25,1185
2017-09-26,1218
2017-09-27,1258
2017-09-28,1282
2017-09-29,1255
2017-09-30,1221
2017-10-01,1175
2017-10-02,1144
2017-10-03,1138
2017-10-04,1133
2017-10-05,1124
2017-10-06,1095
2017-10-07,1079
2017-10-08,1057
2017-10-09,1038
2017-10-10,1020
2017-10-11,1035
2017-10-12,1070
2017-10-13,1088
2017-10-14,1130
2017-10-15,1185
2017-10-16,1222
2017-10-17,1241
2017-10-18,1274
2017-10-19,1246
2017-10-20,1219
2017-10-21,1210
2017-10-22,1184
2017-10-23,1173
2017-10-24,1182
2017-10-25,1167
2017-10-26,1158
2017-10-27,1167
2017-10-28,1161
2017-10-29,1131
2017-10-30,1121
2017-10-31,1131
2017-11-01,1134
2017-11-02,1142
2017-11-03,1156
2017-11-04,1194
2017-11-05,1200
2017-11-06,1205
2017-11-07,1221
2017-11-08,1201
2017-11-09,1195
2017-11-10,1203
2017-11-11,1213
2017-11-12,1206
2017-11-13,1185
2017-11-14,1166
2017-11-15,1156
2017-11-16,1144
2017-11-17,1146
2017-11-18,1157
2017-11-19,1132
2017-11-20,1118
2017-11-21,1121
2017-11-22,1134
2017-11-23,1123
2017-11-24,1118
2017-11-25,1110
2017-11-26,1118
2017-11-27,1106
2017-11-28,1097
2017-11-29,1100
2017-11-30,1123
2017-12-01,1155
2017-12-02,1148
2017-12-03,1153
2017-12-04,1148
2017-12-05,1151
2017-12-06,1163
2017-12-07,1159
2017-12-08,1141
2017-12-09,1131
2017-12-10,1122
2017-12-11,1129
2017-12-12,1121
2017-12-13,1099
2017-12-14,1080
2017-12-15,1076
2017-12-16,1074
2017-12-17,1064
2017-12-18,1071
2017-12-19,1090
2017-12-20,1089
2017-12-21,1108
2017-12-22,1118
2017-12-23,1119
2017-12-24,1107
2017-12-25,1124
2017-12-26,1125
2017-12-27,1127
2017-12-28,1134
2017-12-29,1141
2017-12-30,1126
2017-12-31,1141
2018-01-01,1121
2018-01-02,1102
2018-01-03,1108
2018-01-04,1105
2018-01-05,1102
2018-01-06,1118
2018-01-07,1129
2018-01-08,1127
2018-01-09,1169
2018-01-10,1189
2018-01-11,1203
2018-01-12,1217
2018-01-13,1188
2018-01-14,1172
2018-01-15,1186
2018-01-16,1228
2018-01-17,1260
2018-01-18,1266
2018-01-19,1272
2018-01-20,1233
2018-01-21,1204
2018-01-22,1178
2018-01-23,1164
2018-01-24,1171
2018-01-25,1189
2018-01-26,1196
2018-01-27,1209
2018-01-28,1197
2018-01-29,1161
2018-01-30,1153
2018-02-01,1139
2018-02-02,1140
2018-02-04,1124
2018-02-05,1154
2018-02-06,1145
2018-02-07,1118
2018-02-08,1106
2018-02-09,1088
2018-02-10,1058
2018-02-11,1050
2018-02-12,1079
2018-02-13,1091
2018-02-14,1049
2018-02-15,1043
2018-02-16,1042
2018-02-17,1047
2018-02-18,1043
2018-02-19,1051
2018-02-20,1047
2018-02-21,1049
2018-02-22,1042
2018-02-23,1046
2018-02-24,1030
2018-02-25,1040
2018-02-26,1047
2018-02-27,1069
2018-02-28,1056
2018-03-01,1054
2018-03-02,1062
2018-03-03,1075
2018-03-04,1077
2018-03-05,1070
2018-03-06,1069
2018-03-07,1080
2018-03-08,1105
2018-03-09,1117
2018-03-10,1172
2018-03-11,1203
2018-03-12,1211
2018-03-13,1197
2018-03-14,1189
2018-03-15,1216
2018-03-16,1202
2018-03-17,1195
2018-03-18,1202
2018-03-19,1208
2018-03-20,1211
2018-03-21,1224
2018-03-23,1258
2018-03-24,1268
2018-03-26,1230
2018-03-27,1248
2018-03-28,1248
2018-03-29,1250
2018-03-30,1261
2018-03-31,1271
2018-04-01,1286
2018-04-02,1311
2018-04-03,1312
2018-04-04,1308
2018-04-05,1323
2018-04-06,1338
2018-04-08,1343
2018-04-09,1330
2018-04-10,1343
2018-04-11,1326
2018-04-12,1326
2018-04-13,1303
2018-04-14,1348
2018-04-16,1452
2018-04-17,1458
2018-04-18,1429
2018-04-19,1445
2018-04-20,1443
2018-04-21,1439
2018-04-22,1420
2018-04-23,1384
2018-04-24,1361
2018-04-25,1320
2018-04-26,1315
2018-04-27,1310
2018-04-28,1320
2018-04-29,1298
2018-04-30,1275
2018-05-01,1269
2018-05-02,1227
2018-05-03,1208
2018-05-04,1234
2018-05-05,1280
2018-05-06,1316
2018-05-07,1331
2018-05-08,1332
2018-05-09,1375
2018-05-10,1415
2018-05-11,1485
2018-05-12,1524
2018-05-13,1539
2018-05-14,1482
2018-05-15,1418
2018-05-16,1419
2018-05-17,1413
2018-05-18,1409
2018-05-19,1406
2018-05-20,1400
2018-05-21,1382
2018-05-22,1321
2018-05-23,1270
2018-05-24,1261
2018-05-25,1259
2018-05-26,1235
2018-05-27,1219
2018-05-28,1225
2018-05-29,1210
2018-05-30,1185
2018-05-31,1163
2018-06-01,1186
2018-06-02,1201
2018-06-03,1204
2018-06-04,1201
2018-06-05,1232
2018-06-06,1202
2018-06-07,1173
2018-06-08,1142
2018-06-09,1172
2018-06-10,1190
2018-06-11,1174
2018-06-12,1176
2018-06-13,1160
2018-06-14,1160
2018-06-15,1191
2018-06-16,1186
2018-06-17,1191
2018-06-18,1180
2018-06-19,1142
2018-06-20,1103
2018-06-21,1100
2018-06-22,1077
2018-06-23,1067
2018-06-24,1075
2018-06-25,1088
2018-06-26,1113
2018-06-27,1121
2018-06-28,1160
2018-06-29,1159
2018-06-30,1150
2018-07-01,1167
2018-07-02,1214
2018-07-03,1226
2018-07-04,1225
2018-07-05,1236
2018-07-06,1238
2018-07-07,1265
2018-07-08,1295
2018-07-09,1290
2018-07-10,1305
2018-07-11,1318
2018-07-12,1291
2018-07-13,1292
2018-07-14,1269
2018-07-15,1227
2018-07-16,1198
2018-07-17,1193
2018-07-18,1162
2018-07-19,1140
2018-07-20,1111
2018-07-21,1095
2018-07-22,1080
2018-07-23,1086
2018-07-24,1094
2018-07-25,1116
2018-07-26,1124
2018-07-27,1137
2018-07-28,1133
2018-07-29,1155
2018-07-30,1168
2018-07-31,1161
2018-08-01,1120
2018-08-02,1135
2018-08-03,1152
2018-08-04,1144
2018-08-05,1147
2018-08-06,1179
2018-08-07,1177
2018-08-08,1177
2018-08-09,1159
2018-08-10,1165
2018-08-11,1150
2018-08-12,1152
2018-08-14,1202
2018-08-16,1225
2018-08-17,1232
2018-08-18,1237
2018-08-19,1258
2018-08-20,1254
2018-08-21,1223
2018-08-22,1225
2018-08-23,1214
2018-08-24,1213
2018-08-25,1203
2018-08-26,1204
2018-08-27,1223
2018-08-28,1224
2018-08-29,1222
2018-08-30,1213
2018-08-31,1209
2018-09-01,1204
2018-09-02,1187
2018-09-03,1183
2018-09-04,1165
2018-09-05,1176
2018-09-06,1183
2018-09-07,1188
2018-09-08,1199
2018-09-09,1210
2018-09-10,1205
2018-09-11,1175
2018-09-12,1183
2018-09-13,1172
2018-09-14,1188
2018-09-15,1195
2018-09-16,1171
2018-09-17,1177
2018-09-18,1186
2018-09-19,1189
2018-09-20,1196
2018-09-21,1206
2018-09-22,1218
2018-09-23,1217
2018-09-24,1207
2018-09-25,1217
2018-09-26,1232
2018-09-27,1221
2018-09-28,1227
2018-09-29,1212
2018-09-30,1217
2018-10-02,1219
2018-10-03,1216
2018-10-04,1213
2018-10-05,1210
2018-10-06,1182
2018-10-07,1163
2018-10-08,1169
2018-10-09,1177
2018-10-10,1217
2018-10-11,1224
2018-10-12,1192
2018-10-13,1150
2018-10-14,1128
2018-10-15,1092
2018-10-16,1050
2018-10-17,1036
2018-10-18,1057
2018-10-19,1045
2018-10-20,1025
2018-10-21,1032
2018-10-22,1021
2018-10-23,1025
2018-10-24,1047
2018-10-25,1038
2018-10-26,1016
2018-10-27,1011
2018-10-28,1022
2018-10-29,988
2018-10-30,992
2018-10-31,1034
2018-11-01,1083
2018-11-03,1189
2018-11-04,1232
2018-11-05,1291
2018-11-06,1352
2018-11-07,1419
2018-11-08,1488
2018-11-09,1543
2018-11-10,1604
2018-11-11,1606
2018-11-12,1599
2018-11-13,1596
2018-11-14,1598
2018-11-15,1571
2018-11-16,1558
2018-11-17,1566
2018-11-18,1523
2018-11-19,1503
2018-11-20,1551
2018-11-21,1573
2018-11-22,1560
2018-11-23,1550
2018-11-24,1549
2018-11-25,1511
2018-11-26,1466
2018-11-27,1435
2018-11-28,1393
2018-11-29,1395
2018-12-01,1362
2018-12-02,1306
2018-12-03,1257
2018-12-05,1209
2018-12-07,1179
2018-12-09,1145
2018-12-10,1139
2018-12-11,1110
2018-12-12,1092
2018-12-13,1087
2018-12-14,1072
2018-12-15,1045
2018-12-16,1040
2018-12-17,1001
2018-12-18,982
2018-12-19,960
2018-12-20,967
2018-12-21,961
2018-12-22,937
2018-12-23,935
2018-12-24,942
2018-12-25,955
2018-12-26,954
2018-12-27,945
2018-12-28,961
2018-12-29,971
2018-12-30,989
2018-12-31,1023
2019-01-01,1023
2019-01-02,1028
2019-01-03,1057
2019-01-04,1055
2019-01-05,1040
2019-01-06,1027
2019-01-08,1072
2019-01-10,1102
2019-01-11,1097
2019-01-12,1067
2019-01-13,1028
2019-01-14,992
2019-01-15,963
2019-01-16,952
2019-01-17,970
2019-01-18,956
2019-01-19,957
2019-01-20,957
2019-01-21,922
2019-01-22,931
2019-01-23,932
2019-01-24,946
2019-01-25,958
2019-01-26,971
2019-01-27,971
2019-01-28,985
2019-01-29,1005
2019-01-30,1004
2019-01-31,991
2019-02-01,1028
2019-02-02,1068
2019-02-03,1119
2019-02-04,1153
2019-02-05,1192
2019-02-06,1187
2019-02-07,1161
2019-02-08,1127
2019-02-09,1129
2019-02-10,1168
2019-02-11,1218
2019-02-12,1246
2019-02-13,1241
2019-02-14,1219
2019-02-15,1242
2019-02-16,1276
2019-02-17,1271
2019-02-18,1283
2019-02-19,1300
2019-02-20,1257
2019-02-21,1223
2019-02-22,1213
2019-02-23,1188
2019-02-24,1186
2019-02-25,1183
2019-02-26,1145
2019-02-27,1113
2019-02-28,1091
2019-03-01,1072
2019-03-02,1047
2019-03-03,1015
2019-03-04,999
2019-03-05,1014
2019-03-06,1031
2019-03-07,1054
2019-03-08,1103
2019-03-09,1148
2019-03-10,1201
2019-03-11,1262
2019-03-12,1326
2019-03-13,1296
2019-03-14,1292
2019-03-15,1312
2019-03-16,1333
2019-03-17,1396
2019-03-18,1454
2019-03-19,1505
2019-03-20,1549
2019-03-21,1546
2019-03-22,1490
2019-03-23,1424
2019-03-24,1399
2019-03-25,1398
2019-03-26,1360
2019-03-27,1349
2019-03-28,1368
2019-03-29,1398
2019-03-30,1427
2019-03-31,1466
2019-04-01,1512
2019-04-02,1578
2019-04-03,1625
2019-04-04,1617
2019-04-05,1594
2019-04-06,1556
2019-04-07,1525
2019-04-08,1483
2019-04-09,1445
2019-04-10,1428
2019-04-11,1396
2019-04-12,1355
2019-04-13,1325
2019-04-14,1279
2019-04-15,1242
2019-04-16,1211
2019-04-17,1202
2019-04-18,1180
2019-04-19,1167
2019-04-20,1143
2019-04-21,1116
2019-04-22,1096
2019-04-23,1117
2019-04-24,1145
2019-04-25,1186
2019-04-26,1226
2019-04-27,1269
2019-04-28,1326
2019-04-29,1393
2019-04-30,1457
2019-05-01,1516
2019-05-02,1544
2019-05-03,1587
2019-05-04,1635
2019-05-05,1665
2019-05-06,1654
2019-05-07,1649
2019-05-08,1634
2019-05-09,1632
2019-05-10,1645
2019-05-11,1614
2019-05-12,1601
2019-05-13,1598
2019-05-14,1563
2019-05-15,1538
2019-05-16,1539
2019-05-17,1522
2019-05-18,1548
2019-05-19,1561
2019-05-20,1571
2019-05-21,1582
2019-05-22,1577
2019-05-23,1597
2019-05-24,1628
2019-05-25,1648
2019-05-26,1643
2019-05-27,1639
2019-05-28,1654
2019-05-29,1646
2019-05-30,1641
2019-05-31,1629
2019-06-01,1580
2019-06-02,1540
