date_obj,Jar%20of%20decay price
2018-10-23,200059
2018-10-24,200059
2018-10-25,200059
2018-10-26,203648
2018-10-27,203648
2018-10-28,203648
2018-10-29,203648
2018-10-30,211694
2018-10-31,211694
2018-11-01,211694
2018-11-03,221623
2018-11-04,221623
2018-11-05,231801
2018-11-06,231801
2018-11-07,231801
2018-11-08,237756
2018-11-09,237756
2018-11-10,241227
2018-11-11,241227
2018-11-12,241227
2018-11-13,248128
2018-11-14,248128
2018-11-15,248128
2018-11-16,248128
2018-11-17,248759
2018-11-18,248759
2018-11-19,248759
2018-11-20,249204
2018-11-21,249204
2018-11-22,249204
2018-11-23,249204
2018-11-24,242132
2018-11-25,242132
2018-11-26,242132
2018-11-27,238185
2018-11-28,238185
2018-11-29,238185
2018-12-01,231610
2018-12-02,231610
2018-12-03,220832
2018-12-04,220832
2018-12-05,220832
2018-12-07,211775
2018-12-09,201847
2018-12-10,201847
2018-12-11,201847
2018-12-12,193254
2018-12-13,193254
2018-12-14,193254
2018-12-15,188752
2018-12-16,188752
2018-12-17,188752
2018-12-18,183563
2018-12-19,183563
2018-12-20,183563
2018-12-21,176298
2018-12-22,176298
2018-12-23,176298
2018-12-24,170600
2018-12-25,170600
2018-12-26,170600
2018-12-27,163623
2018-12-28,163623
2018-12-29,159530
2018-12-30,159530
2018-12-31,159530
2019-01-01,157743
2019-01-02,157743
2019-01-03,157743
2019-01-04,153204
2019-01-05,153204
2019-01-06,150793
2019-01-08,150793
2019-01-10,148832
2019-01-11,148832
2019-01-12,142669
2019-01-13,142669
2019-01-14,142669
2019-01-15,139608
2019-01-16,139608
2019-01-17,139608
2019-01-18,140038
2019-01-19,140038
2019-01-20,138913
2019-01-21,138913
2019-01-22,138913
2019-01-23,138144
2019-01-24,138144
2019-01-25,138144
2019-01-26,137573
2019-01-27,137573
2019-01-28,136910
2019-01-29,136910
2019-01-30,139481
2019-01-31,139481
2019-02-01,146121
2019-02-02,146121
2019-02-03,152856
2019-02-04,152856
2019-02-05,159324
2019-02-06,159324
2019-02-07,164541
2019-02-08,164541
2019-02-09,165135
2019-02-10,165135
2019-02-11,165135
2019-02-12,163009
2019-02-13,163009
2019-02-14,163009
2019-02-15,163008
2019-02-16,163008
2019-02-17,163008
2019-02-18,165705
2019-02-19,165705
2019-02-20,165705
2019-02-21,173639
2019-02-22,173639
2019-02-23,173639
2019-02-24,182321
2019-02-25,182321
2019-02-26,190400
2019-02-27,190400
2019-02-28,190400
2019-03-01,190400
2019-03-02,189350
2019-03-03,189350
2019-03-04,185605
2019-03-05,185605
2019-03-06,187969
2019-03-07,187969
2019-03-08,187969
2019-03-09,191762
2019-03-10,191762
2019-03-11,198546
2019-03-12,198546
2019-03-13,198546
2019-03-14,192326
2019-03-15,192326
2019-03-16,192326
2019-03-17,185086
2019-03-18,185086
2019-03-19,185086
2019-03-20,176456
2019-03-21,176456
2019-03-22,176456
2019-03-23,168156
2019-03-24,168156
2019-03-25,168156
2019-03-26,160466
2019-03-27,160466
2019-03-28,160466
2019-03-29,152897
2019-03-30,152897
2019-03-31,152897
2019-04-01,147194
2019-04-02,147194
2019-04-03,142523
2019-04-04,142523
2019-04-05,142523
2019-04-06,140094
2019-04-07,140094
2019-04-08,136792
2019-04-09,136792
2019-04-10,135370
2019-04-11,135370
2019-04-12,134125
2019-04-13,134125
2019-04-14,130825
2019-04-15,130825
2019-04-16,130825
2019-04-17,129685
2019-04-18,129685
2019-04-19,129685
2019-04-20,125040
2019-04-21,125040
2019-04-22,125040
2019-04-23,120086
2019-04-24,120086
2019-04-25,116155
2019-04-26,116155
2019-04-27,111414
2019-04-28,111414
2019-04-29,107283
2019-04-30,107283
2019-05-01,107283
2019-05-02,104801
2019-05-03,104801
2019-05-04,100697
2019-05-05,100697
2019-05-06,100697
2019-05-07,96998
2019-05-08,96998
2019-05-09,96998
2019-05-10,92783
2019-05-11,92783
2019-05-12,92783
2019-05-13,90181
2019-05-14,90181
2019-05-15,90181
2019-05-16,89220
2019-05-17,89220
2019-05-18,85706
2019-05-19,85706
2019-05-20,85706
2019-05-21,85398
2019-05-22,85398
2019-05-23,85398
2019-05-24,84633
2019-05-25,84633
2019-05-26,84633
2019-05-27,84461
2019-05-28,84461
2019-05-29,85510
2019-05-30,85510
2019-05-31,85510
2019-06-01,84915
2019-06-02,84915
2019-06-03,84915
2019-06-04,83909
2019-06-05,83909
2019-06-06,83909
2019-06-07,83248
2019-06-08,83248
2019-06-09,82744
2019-06-10,82744
2019-06-11,82744
2019-06-12,83707
2019-06-13,83707
2019-06-14,84009
2019-06-15,84009
2019-06-16,83373
2019-06-17,83373
2019-06-18,83373
2019-06-19,79269
2019-06-20,79269
2019-06-21,76524
2019-06-22,76524
2019-06-23,74345
2019-06-24,74345
2019-06-25,74345
2019-06-26,70676
2019-06-27,70676
2019-06-28,67543
2019-06-29,67543
2019-06-30,64485
2019-07-01,64485
2019-07-02,64485
2019-07-03,61306
2019-07-04,61306
2019-07-05,58874
2019-07-06,58874
2019-07-07,58874
2019-07-08,57750
2019-07-09,57750
2019-07-10,54965
2019-07-11,54965
2019-07-12,52787
2019-07-13,52787
2019-07-14,50735
2019-07-15,50735
2019-07-16,50735
2019-07-17,48872
2019-07-18,48872
2019-07-19,48872
2019-07-20,47219
2019-07-21,47219
2019-07-22,45581
2019-07-23,45581
2019-07-24,45581
2019-07-25,43474
2019-07-26,43474
2019-07-27,43474
2019-07-28,41670
2019-07-29,41670
2019-07-30,39738
2019-07-31,39738
2019-08-01,39738
2019-08-02,37751
2019-08-03,37751
2019-08-04,36093
2019-08-05,36093
2019-08-06,36093
2019-08-07,34500
2019-08-08,34500
2019-08-09,34500
2019-08-10,32865
2019-08-11,32865
2019-08-12,32865
2019-08-13,31602
2019-08-14,31602
2019-08-15,31602
2019-08-16,31099
2019-08-17,31099
2019-08-18,31099
2019-08-19,32306
2019-08-20,32306
2019-08-21,32306
2019-08-22,33776
2019-08-23,33776
2019-08-24,33776
2019-08-24,33776
2019-08-25,35431
2019-08-25,35431
2019-08-26,35431
2019-08-26,35431
2019-08-27,35431
2019-08-27,35431
2019-08-28,37203
2019-08-29,37203
2019-08-30,38078
2019-08-31,38078
2019-09-01,38078
2019-09-02,39788
2019-09-03,39788
2019-09-04,41741
2019-09-05,41741
2019-09-06,41741
2019-09-07,43693
2019-09-08,43693
2019-09-09,43693
2019-09-10,43693
2019-09-11,45556
2019-09-12,45556
2019-09-13,45556
2019-09-14,46018
2019-09-15,46018
2019-09-16,47317
2019-09-17,47317
2019-09-18,49573
2019-09-19,49573
2019-09-20,49573
2019-09-21,52005
2019-09-22,52005
2019-09-23,54384
2019-09-24,54384
2019-09-25,54384
2019-09-26,53880
2019-09-27,53880
2019-09-28,53880
2019-09-29,51854
2019-09-30,51854
2019-10-01,49870
2019-10-02,49870
2019-10-03,49870
2019-10-04,48830
2019-10-05,48830
2019-10-06,48912
2019-10-07,48912
2019-10-08,48912
2019-10-09,48912
2019-10-10,49504
2019-10-11,49504
2019-10-12,49504
2019-10-13,50584
2019-10-14,50584
2019-10-15,50584
2019-10-16,52106
2019-10-17,52106
2019-10-18,52106
2019-10-19,54194
2019-10-20,54194
2019-10-21,54194
2019-10-22,56151
2019-10-23,56151
2019-10-24,56672
2019-10-25,56672
2019-10-26,56672
2019-10-27,57099
2019-10-28,57099
2019-10-29,57099
2019-10-30,55864
2019-10-31,55864
2019-11-01,55864
2019-11-02,54342
2019-11-03,54342
2019-11-04,54342
2019-11-05,53330
2019-11-06,53330
2019-11-07,53330
2019-11-08,51789
2019-11-09,51789
2019-11-10,51304
2019-11-11,51304
2019-11-12,51304
2019-11-13,51304
2019-11-14,51725
2019-11-15,51725
2019-11-16,52636
2019-11-17,52636
2019-11-18,52636
2019-11-19,52636
2019-11-20,54350
2019-11-21,54350
2019-11-22,54350
2019-11-23,54350
2019-11-24,54942
2019-11-25,54942
2019-11-26,54942
2019-11-27,54942
2019-11-28,55533
2019-11-29,55533
2019-11-30,55533
2019-12-01,55260
2019-12-02,55260
2019-12-03,55260
2019-12-04,53861
2019-12-05,53861
2019-12-06,53861
2019-12-07,53861
2019-12-08,51264
2019-12-09,51264
2019-12-10,51264
2019-12-11,49447
2019-12-12,49447
2019-12-13,49447
2019-12-14,47592
2019-12-15,47592
2019-12-16,46220
2019-12-17,46220
2019-12-18,46220
2019-12-19,46220
2019-12-20,43961
2019-12-21,43961
2019-12-22,43961
2019-12-23,42071
2019-12-24,42071
2019-12-25,42071
2019-12-26,41084
2019-12-27,41084
2019-12-28,41084
2019-12-29,40871
2019-12-30,40871
2019-12-31,40871
2020-01-01,42675
2020-01-02,42675
2020-01-03,42675
2020-01-04,44534
2020-01-05,44534
2020-01-06,44534
2020-01-07,45857
2020-01-08,45857
2020-01-09,45857
2020-01-10,47182
2020-01-11,47182
2020-01-12,48403
2020-01-13,48403
2020-01-14,48403
2020-01-15,48320
2020-01-16,48320
2020-01-17,49593
2020-01-18,49593
2020-01-19,52073
2020-01-20,52073
2020-01-21,52073
2020-01-22,54546
2020-01-23,54546
2020-01-24,57190
2020-01-25,57190
2020-01-26,59993
2020-01-27,59993
2020-01-28,62427
2020-01-29,62427
2020-01-30,64354
2020-01-31,64354
2020-02-01,64354
2020-02-02,65280
2020-02-03,65280
2020-02-04,65280
2020-02-05,66266
2020-02-06,67739
2020-02-07,67739
2020-02-08,69413
2020-02-09,69413
2020-02-10,72485
2020-02-11,72485
2020-02-12,72972
2020-02-13,72972
2020-02-14,72951
2020-02-15,72951
2020-02-16,74006
2020-02-17,74006
2020-02-18,74253
2020-02-19,74253
2020-02-20,74059
2020-02-21,74059
2020-02-22,74059
2020-02-23,75774
2020-02-24,75774
2020-02-25,76275
2020-02-26,76275
2020-02-27,74495
2020-02-28,74495
2020-02-29,72725
2020-03-01,72725
2020-03-02,72328
2020-03-03,72328
2020-03-04,69986
2020-03-05,69986
2020-03-06,66486
2020-03-07,66486
2020-03-08,63402
2020-03-09,63402
2020-03-10,61083
2020-03-11,61083
2020-03-12,59383
2020-03-13,59383
2020-03-14,57992
2020-03-15,57992
2020-03-16,56558
2020-03-17,56558
2020-03-18,55207
2020-03-19,55207
2020-03-20,54755
2020-03-21,54755
2020-03-22,56275
2020-03-23,56275
2020-03-24,57521
2020-03-25,57521
2020-03-26,58380
2020-03-27,58380
2020-03-28,59623
2020-03-29,60032
2020-03-30,60032
2020-03-31,61242
2020-04-01,61242
2020-04-02,62254
2020-04-03,62254
2020-04-04,64646
2020-04-05,64646
2020-04-06,63167
2020-04-07,63167
2020-04-08,60008
2020-04-09,60008
2020-04-10,57433
2020-04-11,57803
2020-04-12,57803
2020-04-13,58201
2020-04-14,59924
2020-04-15,60146
2020-04-16,60146
2020-04-17,59653
2020-04-18,60176
2020-04-19,61798
2020-04-20,61798
2020-04-21,62078
2020-04-22,61428
2020-04-23,61428
2020-04-24,61492
2020-04-25,62692
2020-04-26,65500
2020-04-27,65239
2020-04-28,64970
2020-04-29,64970
2020-04-30,63956
2020-05-01,63956
2020-05-02,62843
2020-05-03,62843
2020-05-04,62372
2020-05-05,62372
2020-05-06,59253
2020-05-07,59253
2020-05-08,56306
2020-05-09,54085
2020-05-10,52212
2020-05-11,52212
2020-05-12,51055
2020-05-13,50463
