date_obj,Diamond%20dragon%20bolts%20(e) price
2018-05-03,2268
2018-05-04,2344
2018-05-05,2378
2018-05-07,2387
2018-05-08,2341
2018-05-09,2415
2018-05-10,2507
2018-05-11,2583
2018-05-12,2532
2018-05-13,2466
2018-05-14,2423
2018-05-15,2340
2018-05-16,2347
2018-05-17,2363
2018-05-18,2366
2018-05-19,2399
2018-05-20,2370
2018-05-21,2378
2018-05-22,2374
2018-05-23,2381
2018-05-24,2404
2018-05-25,2389
2018-05-26,2379
2018-05-27,2376
2018-05-28,2367
2018-05-29,2351
2018-05-30,2328
2018-05-31,2335
2018-06-01,2321
2018-06-02,2339
2018-06-03,2352
2018-06-04,2373
2018-06-05,2341
2018-06-06,2320
2018-06-07,2208
2018-06-08,2133
2018-06-09,2107
2018-06-10,2043
2018-06-11,2028
2018-06-12,2001
2018-06-13,1917
2018-06-14,1900
2018-06-15,1847
2018-06-16,1842
2018-06-17,1820
2018-06-18,1807
2018-06-19,1843
2018-06-20,1893
2018-06-21,1873
2018-06-22,1837
2018-06-23,1814
2018-06-24,1805
2018-06-25,1799
2018-06-26,1809
2018-06-27,1824
2018-06-28,1827
2018-06-29,1847
2018-06-30,1831
2018-07-01,1818
2018-07-02,1837
2018-07-03,1818
2018-07-04,1808
2018-07-05,1818
2018-07-06,1823
2018-07-07,1843
2018-07-08,1829
2018-07-09,1861
2018-07-10,1826
2018-07-11,1805
2018-07-12,1818
2018-07-13,1864
2018-07-14,1924
2018-07-15,1916
2018-07-16,1884
2018-07-17,1853
2018-07-18,1853
2018-07-19,1851
2018-07-20,1896
2018-07-21,1860
2018-07-22,1833
2018-07-23,1829
2018-07-24,1843
2018-07-25,1863
2018-07-26,1840
2018-07-27,1840
2018-07-28,1838
2018-07-29,1837
2018-07-30,1830
2018-07-31,1836
2018-08-01,1825
2018-08-02,1831
2018-08-03,1812
2018-08-04,1821
2018-08-05,1819
2018-08-06,1827
2018-08-07,1836
2018-08-08,1827
2018-08-09,1809
2018-08-10,1780
2018-08-11,1761
2018-08-12,1762
2018-08-14,1748
2018-08-16,1740
2018-08-17,1749
2018-08-18,1758
2018-08-19,1754
2018-08-20,1761
2018-08-21,1758
2018-08-22,1749
2018-08-23,1730
2018-08-24,1728
2018-08-25,1740
2018-08-26,1735
2018-08-27,1743
2018-08-28,1729
2018-08-29,1719
2018-08-30,1699
2018-08-31,1720
2018-09-01,1729
2018-09-02,1735
2018-09-03,1745
2018-09-04,1779
2018-09-05,1792
2018-09-06,1805
2018-09-07,1791
2018-09-08,1773
2018-09-09,1778
2018-09-10,1766
2018-09-11,1766
2018-09-12,1767
2018-09-13,1770
2018-09-14,1785
2018-09-15,1789
2018-09-16,1776
2018-09-17,1792
2018-09-18,1818
2018-09-19,1823
2018-09-20,1796
2018-09-21,1785
2018-09-22,1782
2018-09-23,1785
2018-09-24,1785
2018-09-25,1786
2018-09-26,1793
2018-09-27,1786
2018-09-28,1813
2018-09-29,1806
2018-09-30,1842
2018-10-02,1825
2018-10-03,1814
2018-10-04,1804
2018-10-05,1826
2018-10-06,1837
2018-10-07,1859
2018-10-08,1856
2018-10-09,1844
2018-10-10,1847
2018-10-11,1861
2018-10-12,1878
2018-10-13,1864
2018-10-14,1834
2018-10-15,1830
2018-10-16,1828
2018-10-17,1837
2018-10-18,1853
2018-10-19,1903
2018-10-20,1947
2018-10-21,1995
2018-10-22,1918
2018-10-23,1870
2018-10-24,1868
2018-10-25,1864
2018-10-26,1876
2018-10-27,1890
2018-10-28,1936
2018-10-29,1907
2018-10-30,1892
2018-10-31,1892
2018-11-01,1867
2018-11-03,1921
2018-11-04,1922
2018-11-05,1904
2018-11-06,1888
2018-11-07,1865
2018-11-08,1860
2018-11-09,1845
2018-11-10,1853
2018-11-11,1869
2018-11-12,1845
2018-11-13,1829
2018-11-14,1851
2018-11-15,1848
2018-11-16,1833
2018-11-17,1817
2018-11-18,1788
2018-11-19,1743
2018-11-20,1719
2018-11-21,1720
2018-11-22,1719
2018-11-23,1685
2018-11-24,1675
2018-11-25,1712
2018-11-26,1749
2018-11-27,1719
2018-11-28,1695
2018-11-29,1676
2018-12-01,1709
2018-12-02,1737
2018-12-03,1747
2018-12-04,1737
2018-12-05,1732
2018-12-07,1707
2018-12-09,1712
2018-12-10,1730
2018-12-11,1752
2018-12-12,1736
2018-12-13,1730
2018-12-14,1781
2018-12-15,1762
2018-12-16,1739
2018-12-17,1728
2018-12-18,1709
2018-12-19,1698
2018-12-20,1701
2018-12-21,1708
2018-12-22,1729
2018-12-23,1761
2018-12-24,1733
2018-12-25,1714
2018-12-26,1694
2018-12-27,1687
2018-12-28,1684
2018-12-29,1694
2018-12-30,1676
2018-12-31,1670
2019-01-01,1675
2019-01-02,1671
2019-01-03,1660
2019-01-04,1663
2019-01-05,1697
2019-01-06,1685
2019-01-08,1633
2019-01-10,1620
2019-01-11,1553
2019-01-12,1515
2019-01-13,1483
2019-01-14,1487
2019-01-15,1467
2019-01-16,1446
2019-01-17,1456
2019-01-18,1476
2019-01-19,1458
2019-01-20,1423
2019-01-21,1406
2019-01-22,1417
2019-01-23,1430
2019-01-24,1419
2019-01-25,1420
2019-01-26,1405
2019-01-27,1384
2019-01-28,1397
2019-01-29,1399
2019-01-30,1440
2019-01-31,1453
2019-02-01,1494
2019-02-02,1509
2019-02-03,1518
2019-02-04,1546
2019-02-05,1606
2019-02-06,1684
2019-02-07,1680
2019-02-08,1705
2019-02-09,1699
2019-02-10,1674
2019-02-11,1673
2019-02-12,1649
2019-02-13,1657
2019-02-14,1705
2019-02-15,1719
2019-02-16,1737
2019-02-17,1696
2019-02-18,1661
2019-02-19,1678
2019-02-20,1672
2019-02-21,1665
2019-02-22,1685
2019-02-23,1665
2019-02-24,1640
2019-02-25,1644
2019-02-26,1668
2019-02-27,1743
2019-02-28,1754
2019-03-01,1751
2019-03-02,1723
2019-03-03,1724
2019-03-04,1731
2019-03-05,1731
2019-03-06,1732
2019-03-07,1775
2019-03-08,1841
2019-03-09,1838
2019-03-10,1870
2019-03-11,1849
2019-03-12,1878
2019-03-13,1861
2019-03-14,1823
2019-03-15,1816
2019-03-16,1833
2019-03-17,1883
2019-03-18,1917
2019-03-19,1908
2019-03-20,1889
2019-03-21,1875
2019-03-22,1839
2019-03-23,1843
2019-03-24,1924
2019-03-25,1939
2019-03-26,1966
2019-03-27,1905
2019-03-28,1886
2019-03-29,1921
2019-03-30,1952
2019-03-31,2000
2019-04-01,1997
2019-04-02,1952
2019-04-03,1888
2019-04-04,1901
2019-04-05,1906
2019-04-06,1919
2019-04-07,1928
2019-04-08,1913
2019-04-09,1887
2019-04-10,1893
2019-04-11,1906
2019-04-12,1906
2019-04-13,1888
2019-04-14,1848
2019-04-15,1840
2019-04-16,1833
2019-04-17,1764
2019-04-18,1687
2019-04-19,1719
2019-04-20,1743
2019-04-21,1716
2019-04-22,1660
2019-04-23,1633
2019-04-24,1621
2019-04-25,1639
2019-04-26,1648
2019-04-27,1614
2019-04-28,1593
2019-04-29,1603
2019-04-30,1623
2019-05-01,1600
2019-05-02,1597
2019-05-03,1608
2019-05-04,1646
2019-05-05,1675
2019-05-06,1656
2019-05-07,1641
2019-05-08,1636
2019-05-09,1623
2019-05-10,1619
2019-05-11,1649
2019-05-12,1651
2019-05-13,1624
2019-05-14,1623
2019-05-15,1626
2019-05-16,1662
2019-05-17,1727
2019-05-18,1668
2019-05-19,1669
2019-05-20,1665
2019-05-21,1649
2019-05-22,1642
2019-05-23,1626
2019-05-24,1616
2019-05-25,1619
2019-05-26,1626
2019-05-27,1642
2019-05-28,1609
2019-05-29,1603
2019-05-30,1619
2019-05-31,1620
2019-06-01,1610
2019-06-02,1622
2019-06-03,1630
2019-06-04,1594
2019-06-05,1579
2019-06-06,1562
2019-06-07,1583
2019-06-08,1615
2019-06-09,1623
2019-06-10,1600
2019-06-11,1588
2019-06-12,1615
2019-06-13,1602
2019-06-14,1591
2019-06-15,1573
2019-06-16,1538
2019-06-17,1539
2019-06-18,1549
2019-06-19,1522
2019-06-20,1498
2019-06-21,1540
2019-06-22,1523
2019-06-23,1483
2019-06-24,1466
2019-06-25,1446
2019-06-26,1436
2019-06-27,1452
2019-06-28,1419
2019-06-29,1412
2019-06-30,1403
2019-07-01,1378
2019-07-02,1395
2019-07-03,1387
2019-07-04,1380
2019-07-05,1372
2019-07-06,1381
2019-07-07,1354
2019-07-08,1358
2019-07-09,1340
2019-07-10,1326
2019-07-11,1320
2019-07-12,1348
2019-07-13,1391
2019-07-14,1400
2019-07-15,1365
2019-07-16,1343
2019-07-17,1336
2019-07-18,1338
2019-07-19,1382
2019-07-20,1386
2019-07-21,1367
2019-07-22,1361
2019-07-23,1363
2019-07-24,1359
2019-07-25,1343
2019-07-26,1369
2019-07-27,1372
2019-07-28,1379
2019-07-29,1363
2019-07-30,1372
2019-07-31,1409
2019-08-01,1382
2019-08-02,1386
2019-08-03,1365
2019-08-04,1355
2019-08-05,1343
2019-08-06,1321
2019-08-07,1311
2019-08-08,1307
2019-08-09,1297
2019-08-10,1316
2019-08-11,1317
2019-08-12,1301
2019-08-13,1297
2019-08-14,1285
2019-08-15,1279
2019-08-16,1288
2019-08-17,1335
2019-08-18,1323
2019-08-19,1311
2019-08-20,1302
2019-08-21,1288
2019-08-22,1286
2019-08-23,1281
2019-08-24,1284
2019-08-24,1284
2019-08-25,1300
2019-08-25,1300
2019-08-26,1286
2019-08-27,1280
2019-08-27,1280
2019-08-28,1270
2019-08-29,1258
2019-08-30,1264
2019-08-31,1285
2019-09-01,1324
2019-09-02,1301
2019-09-03,1270
2019-09-04,1275
2019-09-05,1270
2019-09-06,1275
2019-09-07,1266
2019-09-08,1268
2019-09-09,1258
2019-09-10,1254
2019-09-11,1246
2019-09-12,1237
2019-09-13,1240
2019-09-14,1234
2019-09-15,1240
2019-09-16,1228
2019-09-17,1244
2019-09-18,1239
2019-09-19,1225
2019-09-20,1220
2019-09-21,1220
2019-09-22,1245
2019-09-23,1261
2019-09-24,1260
2019-09-25,1252
2019-09-26,1249
2019-09-27,1265
2019-09-28,1300
2019-09-29,1287
2019-09-30,1276
2019-10-01,1278
2019-10-02,1261
2019-10-03,1263
2019-10-04,1263
2019-10-05,1249
2019-10-06,1219
2019-10-07,1206
2019-10-08,1214
2019-10-09,1231
2019-10-10,1234
2019-10-11,1223
2019-10-12,1239
2019-10-13,1243
2019-10-14,1232
2019-10-15,1234
2019-10-16,1231
2019-10-17,1217
2019-10-18,1214
2019-10-19,1200
2019-10-20,1203
2019-10-21,1213
2019-10-22,1216
2019-10-23,1229
2019-10-24,1208
2019-10-25,1196
2019-10-26,1198
2019-10-27,1185
2019-10-28,1170
2019-10-29,1179
2019-10-30,1185
2019-10-31,1205
2019-11-01,1205
2019-11-02,1198
2019-11-03,1182
2019-11-04,1173
2019-11-05,1176
2019-11-06,1189
2019-11-07,1211
2019-11-08,1232
2019-11-09,1219
2019-11-10,1195
2019-11-11,1180
2019-11-12,1165
2019-11-13,1153
2019-11-14,1147
2019-11-15,1134
2019-11-16,1141
2019-11-17,1118
2019-11-18,1127
2019-11-19,1151
2019-11-20,1179
2019-11-21,1191
2019-11-22,1179
2019-11-23,1215
2019-11-24,1204
2019-11-25,1195
2019-11-26,1187
2019-11-27,1171
2019-11-28,1156
2019-11-29,1166
2019-11-30,1171
2019-12-01,1226
2019-12-02,1288
2019-12-03,1334
2019-12-04,1338
2019-12-05,1378
2019-12-06,1392
2019-12-07,1353
2019-12-08,1344
2019-12-09,1319
2019-12-10,1256
2019-12-11,1242
2019-12-12,1229
2019-12-13,1251
2019-12-14,1287
2019-12-15,1307
2019-12-16,1282
2019-12-17,1258
2019-12-18,1269
2019-12-19,1318
2019-12-20,1302
2019-12-21,1276
2019-12-22,1264
2019-12-23,1263
2019-12-24,1287
2019-12-25,1304
2019-12-26,1320
2019-12-27,1325
2019-12-28,1325
2019-12-29,1317
2019-12-30,1325
2019-12-31,1370
2020-01-01,1427
2020-01-02,1429
2020-01-03,1415
2020-01-04,1473
2020-01-05,1496
2020-01-06,1522
2020-01-07,1526
2020-01-08,1499
2020-01-09,1481
2020-01-10,1513
2020-01-11,1558
2020-01-12,1598
2020-01-13,1578
2020-01-14,1566
2020-01-15,1549
2020-01-16,1539
2020-01-17,1574
2020-01-18,1586
2020-01-19,1566
2020-01-20,1579
2020-01-21,1604
2020-01-22,1596
2020-01-23,1568
2020-01-24,1530
2020-01-25,1539
2020-01-26,1541
2020-01-27,1516
2020-01-28,1501
2020-01-29,1472
2020-01-30,1459
2020-01-31,1485
2020-02-01,1549
2020-02-02,1572
2020-02-03,1562
2020-02-04,1544
2020-02-05,1535
2020-02-06,1515
2020-02-07,1485
2020-02-08,1419
2020-02-09,1360
2020-02-10,1295
2020-02-11,1263
2020-02-12,1245
2020-02-13,1226
2020-02-14,1216
2020-02-15,1270
2020-02-16,1285
2020-02-17,1279
2020-02-18,1293
2020-02-19,1279
2020-02-20,1267
2020-02-21,1247
2020-02-22,1252
2020-02-23,1301
2020-02-24,1287
2020-02-25,1279
2020-02-26,1266
2020-02-27,1254
2020-02-28,1236
2020-02-29,1228
2020-03-01,1227
2020-03-02,1256
2020-03-03,1257
2020-03-04,1294
2020-03-05,1308
2020-03-06,1297
2020-03-07,1292
2020-03-08,1299
2020-03-09,1307
2020-03-10,1297
2020-03-11,1294
2020-03-12,1277
2020-03-13,1266
2020-03-14,1264
2020-03-15,1266
2020-03-16,1304
2020-03-17,1276
2020-03-18,1275
2020-03-19,1259
2020-03-20,1266
2020-03-21,1291
2020-03-22,1323
2020-03-23,1307
2020-03-24,1290
2020-03-25,1278
2020-03-26,1272
2020-03-27,1277
2020-03-28,1278
2020-03-29,1295
2020-03-30,1286
2020-03-31,1274
2020-04-01,1260
2020-04-02,1294
2020-04-03,1299
2020-04-04,1312
2020-04-05,1306
2020-04-06,1288
2020-04-07,1289
2020-04-08,1322
2020-04-09,1316
2020-04-10,1328
2020-04-11,1330
2020-04-12,1306
2020-04-13,1277
2020-04-14,1259
2020-04-15,1274
2020-04-16,1312
2020-04-17,1337
2020-04-18,1311
2020-04-19,1305
2020-04-20,1297
2020-04-21,1294
2020-04-22,1293
2020-04-23,1291
2020-04-24,1291
2020-04-25,1293
2020-04-26,1316
2020-04-27,1308
2020-04-28,1291
2020-04-29,1284
2020-04-30,1279
2020-05-01,1292
2020-05-02,1330
2020-05-03,1319
2020-05-04,1298
2020-05-05,1290
2020-05-06,1297
2020-05-07,1294
2020-05-08,1294
2020-05-09,1302
2020-05-10,1293
2020-05-11,1265
2020-05-12,1242
2020-05-13,1255
