date_obj,Linen price
2016-06-15,521
2016-06-16,521
2016-06-17,521
2016-06-18,521
2016-06-19,538
2016-06-20,538
2016-06-21,538
2016-06-22,538
2016-06-23,554
2016-06-24,554
2016-06-25,554
2016-06-26,554
2016-06-27,554
2016-06-28,559
2016-06-29,559
2016-06-30,559
2016-07-01,559
2016-07-02,559
2016-07-03,538
2016-07-04,538
2016-07-05,538
2016-07-06,538
2016-07-07,549
2016-07-08,549
2016-07-09,549
2016-07-10,549
2016-07-11,570
2016-07-12,570
2016-07-13,570
2016-07-14,570
2016-07-15,570
2016-07-16,569
2016-07-17,569
2016-07-18,569
2016-07-23,587
2016-07-24,587
2016-07-25,587
2016-07-26,612
2016-07-27,612
2016-07-28,612
2016-07-29,612
2016-07-30,612
2016-07-31,612
2016-08-01,631
2016-08-02,631
2016-08-03,631
2016-08-04,631
2016-08-05,631
2016-08-06,653
2016-08-07,653
2016-08-08,653
2016-08-09,653
2016-08-10,653
2016-08-11,653
2016-08-12,676
2016-08-13,676
2016-08-14,676
2016-08-15,676
2016-08-16,676
2016-08-17,676
2016-08-18,694
2016-08-19,694
2016-08-20,694
2016-08-21,694
2016-08-22,694
2016-08-23,694
2016-08-24,694
2016-08-25,697
2016-08-26,697
2016-08-28,697
2016-08-31,697
2016-09-01,697
2016-09-02,697
2016-09-03,697
2016-09-04,697
2016-09-05,697
2016-09-06,708
2016-09-07,708
2016-09-08,708
2016-09-09,708
2016-09-10,708
2016-09-11,708
2016-09-12,708
2016-09-13,708
2016-09-14,697
2016-09-15,697
2016-09-16,697
2016-09-17,697
2016-09-18,697
2016-09-19,697
2016-09-20,697
2016-09-21,697
2016-09-22,693
2016-09-23,693
2016-09-24,693
2016-09-25,693
2016-09-26,693
2016-09-27,693
2016-09-28,693
2016-09-29,693
2016-09-30,714
2016-10-01,714
2016-10-02,714
2016-10-03,714
2016-10-04,714
2016-10-05,714
2016-10-06,714
2016-10-07,714
2016-10-08,738
2016-10-09,738
2016-10-10,738
2016-10-11,738
2016-10-12,738
2016-10-13,738
2016-10-14,738
2016-10-15,738
2016-10-16,744
2016-10-17,744
2016-10-18,744
2016-10-19,744
2016-10-20,744
2016-10-21,744
2016-10-22,744
2016-10-23,767
2016-10-24,767
2016-10-25,767
2016-10-26,767
2016-10-27,767
2016-10-28,767
2016-10-29,767
2016-10-30,743
2016-10-31,743
2016-11-01,743
2016-11-02,743
2016-11-03,743
2016-11-04,743
2016-11-05,743
2016-11-06,746
2016-11-07,746
2016-11-08,746
2016-11-09,746
2016-11-10,746
2016-11-11,746
2016-11-12,746
2016-11-13,775
2016-11-14,775
2016-12-07,678
2016-12-08,678
2016-12-09,696
2016-12-10,696
2016-12-11,696
2016-12-12,696
2016-12-13,696
2016-12-14,685
2016-12-15,685
2016-12-16,685
2016-12-17,685
2016-12-18,685
2016-12-19,685
2016-12-20,712
2016-12-21,712
2016-12-22,712
2016-12-23,712
2016-12-24,712
2016-12-25,699
2016-12-26,699
2016-12-27,699
2016-12-28,699
2016-12-29,699
2016-12-30,699
2016-12-31,713
2017-01-01,713
2017-01-02,713
2017-01-03,713
2017-01-04,713
2017-01-05,736
2017-01-06,736
2017-01-07,736
2017-01-08,736
2017-01-09,736
2017-01-10,753
2017-01-11,753
2017-01-12,753
2017-01-13,753
2017-01-14,753
2017-01-15,773
2017-01-16,773
2017-01-17,773
2017-01-18,773
2017-01-19,773
2017-01-20,789
2017-01-21,789
2017-01-22,789
2017-01-27,794
2017-01-28,814
2017-01-29,814
2017-01-30,814
2017-01-31,814
2017-02-01,814
2017-02-02,829
2017-02-03,829
2017-02-04,829
2017-02-05,829
2017-02-06,829
2017-02-07,846
2017-02-08,846
2017-02-09,846
2017-02-10,846
2017-02-11,864
2017-02-12,864
2017-02-13,864
2017-02-14,864
2017-02-15,864
2017-02-16,863
2017-02-18,863
2017-02-19,863
2017-02-20,863
2017-02-21,889
2017-02-22,889
2017-02-23,889
2017-02-24,889
2017-02-25,889
2017-02-26,889
2017-02-27,905
2017-02-28,905
2017-03-01,905
2017-03-02,905
2017-03-03,905
2017-03-04,931
2017-03-05,931
2017-03-06,931
2017-03-07,931
2017-03-08,931
2017-03-09,927
2017-03-10,927
2017-03-11,927
2017-03-12,927
2017-03-13,908
2017-03-14,908
2017-03-15,908
2017-03-16,908
2017-03-17,908
2017-03-18,869
2017-03-19,869
2017-03-20,869
2017-03-21,869
2017-03-22,886
2017-03-23,886
2017-03-24,886
2017-03-25,886
2017-03-26,886
2017-03-27,902
2017-03-28,902
2017-03-29,902
2017-03-30,902
2017-03-31,902
2017-04-01,908
2017-04-02,908
2017-04-03,908
2017-04-04,908
2017-04-12,891
2017-04-13,891
2017-04-14,891
2017-04-15,891
2017-04-16,902
2017-04-17,902
2017-04-18,902
2017-04-19,902
2017-04-20,899
2017-04-21,899
2017-04-22,899
2017-04-23,899
2017-04-24,899
2017-04-25,908
2017-04-26,908
2017-04-27,908
2017-04-28,908
2017-04-29,908
2017-04-30,908
2017-05-01,911
2017-05-02,911
2017-05-03,911
2017-05-04,911
2017-05-05,911
2017-05-06,922
2017-05-07,922
2017-05-08,922
2017-05-09,922
2017-05-10,922
2017-05-11,965
2017-05-12,965
2017-05-13,965
2017-05-14,965
2017-05-15,972
2017-05-16,972
2017-05-17,972
2017-05-18,972
2017-05-19,972
2017-05-20,923
2017-05-21,923
2017-05-22,923
2017-05-23,923
2017-05-24,923
2017-05-25,876
2017-05-26,876
2017-05-27,876
2017-05-28,876
2017-05-29,876
2017-05-30,832
2017-05-31,832
2017-06-01,832
2017-06-02,832
2017-06-03,832
2017-06-06,790
2017-06-07,790
2017-06-08,790
2017-06-09,750
2017-06-10,750
2017-06-11,750
2017-06-12,750
2017-06-13,712
2017-06-14,712
2017-06-15,712
2017-06-16,712
2017-06-17,712
2017-06-18,676
2017-06-19,676
2017-06-20,676
2017-06-21,676
2017-06-22,676
2017-06-23,676
2017-06-24,642
2017-06-25,642
2017-06-26,642
2017-06-27,642
2017-06-28,642
2017-06-29,609
2017-06-30,609
2017-07-01,609
2017-07-02,609
2017-07-03,609
2017-07-04,593
2017-07-05,593
2017-07-06,593
2017-07-07,593
2017-07-08,593
2017-07-13,618
2017-07-14,618
2017-07-15,617
2017-07-16,617
2017-07-17,617
2017-07-18,617
2017-07-19,617
2017-07-20,633
2017-07-21,633
2017-07-22,633
2017-07-23,633
2017-07-24,633
2017-07-25,649
2017-07-26,649
2017-07-27,649
2017-07-28,649
2017-07-29,649
2017-07-30,653
2017-07-31,653
2017-08-01,653
2017-08-02,653
2017-08-03,653
2017-08-04,653
2017-08-05,644
2017-08-06,644
2017-08-09,644
2017-08-10,644
2017-08-11,645
2017-08-12,645
2017-08-13,645
2017-08-14,645
2017-08-15,645
2017-08-17,614
2017-08-18,614
2017-08-19,614
2017-08-20,614
2017-08-21,602
2017-08-22,602
2017-08-23,602
2017-08-24,602
2017-08-25,602
2017-08-26,629
2017-08-27,629
2017-08-28,629
2017-08-29,629
2017-08-30,649
2017-08-31,649
2017-09-01,649
2017-09-02,649
2017-09-03,649
2017-09-04,661
2017-09-05,661
2017-09-06,661
2017-09-07,661
2017-09-08,661
2017-09-09,676
2017-09-10,676
2017-09-11,676
2017-09-12,676
2017-09-13,676
2017-09-14,689
2017-09-15,689
2017-09-16,689
2017-09-17,689
2017-09-19,689
2017-09-20,682
2017-09-21,682
2017-09-22,682
2017-09-23,682
2017-09-24,682
2017-09-25,657
2017-09-26,657
2017-09-27,657
2017-09-28,657
2017-09-29,657
2017-09-30,677
2017-10-01,677
2017-10-02,677
2017-10-03,677
2017-10-04,677
2017-10-05,677
2017-10-06,691
2017-10-07,691
2017-10-08,691
2017-10-09,691
2017-10-10,691
2017-10-11,691
2017-10-12,706
2017-10-13,706
2017-10-14,706
2017-10-15,706
2017-10-16,734
2017-10-17,734
2017-10-18,734
2017-10-19,734
2017-10-20,734
2017-10-21,757
2017-10-22,757
2017-10-23,757
2017-10-24,757
2017-10-25,767
2017-10-26,767
2017-10-27,767
2017-10-28,767
2017-10-29,767
2017-10-30,728
2017-10-31,728
2017-11-01,728
2017-11-02,728
2017-11-03,728
2017-11-04,725
2017-11-05,725
2017-11-06,725
2017-11-07,725
2017-11-08,725
2017-11-09,725
2017-11-10,729
2017-11-11,729
2017-11-12,729
2017-11-13,729
2017-11-14,729
2017-11-15,729
2017-11-16,693
2017-11-17,693
2017-11-18,693
2017-11-19,693
2017-11-20,693
2017-11-21,719
2017-11-22,719
2017-11-23,719
2017-11-24,719
2017-11-25,719
2017-11-26,698
2017-11-27,698
2017-11-28,698
2017-11-29,698
2017-11-30,698
2017-12-01,698
2017-12-02,702
2017-12-03,702
2017-12-04,702
2017-12-05,702
2017-12-06,702
2017-12-07,692
2017-12-08,692
2017-12-09,692
2017-12-10,692
2017-12-11,692
2017-12-12,673
2017-12-14,673
2017-12-15,673
2017-12-16,673
2017-12-17,673
2017-12-18,669
2017-12-19,669
2017-12-20,669
2017-12-21,669
2017-12-22,670
2017-12-23,670
2017-12-24,670
2017-12-25,670
2017-12-26,670
2017-12-27,658
2017-12-28,658
2017-12-29,658
2017-12-30,658
2017-12-31,660
2018-01-01,660
2018-01-02,660
2018-01-03,690
2018-01-04,690
2018-01-05,690
2018-01-06,721
2018-01-07,721
2018-01-08,721
2018-01-09,727
2018-01-10,727
2018-01-11,727
2018-01-12,727
2018-01-13,700
2018-01-14,700
2018-01-15,700
2018-01-16,698
2018-01-17,698
2018-01-18,698
2018-01-19,698
2018-01-20,729
2018-01-21,729
2018-01-22,729
2018-01-23,729
2018-01-25,750
2018-01-26,750
2018-01-27,754
2018-01-28,754
2018-01-29,782
2018-01-31,782
2018-02-01,814
2018-02-02,814
2018-02-03,831
2018-02-04,831
2018-02-05,860
2018-02-06,860
2018-02-07,892
2018-02-08,892
2018-02-09,928
2018-02-10,928
2018-02-11,947
2018-02-12,947
2018-02-13,903
2018-02-14,903
2018-02-15,903
2018-02-16,879
2018-02-17,879
2018-02-18,893
2018-02-19,893
2018-02-20,919
2018-02-21,919
2018-02-22,919
2018-02-23,884
2018-02-24,884
2018-02-25,893
2018-02-26,893
2018-02-27,925
2018-02-28,925
