date_obj,Verac's%20armour%20set price
2017-02-07,1780343
2017-02-08,1749627
2017-02-09,1730928
2017-02-10,1783513
2017-02-11,1811831
2017-02-12,1810868
2017-02-13,1795723
2017-02-14,1798127
2017-02-15,1816080
2017-02-16,1834944
2017-02-18,1904559
2017-02-19,1967703
2017-02-20,1907374
2017-02-21,1869835
2017-02-22,1782719
2017-02-23,1739571
2017-02-24,1744272
2017-02-25,1761911
2017-02-26,1731926
2017-02-27,1729102
2017-02-28,1740651
2017-03-01,1736946
2017-03-02,1742063
2017-03-03,1721151
2017-03-04,1742932
2017-03-05,1740428
2017-03-06,1730824
2017-03-07,1716847
2017-03-08,1700379
2017-03-09,1697522
2017-03-10,1710353
2017-03-11,1754688
2017-03-12,1793797
2017-03-13,1761311
2017-03-14,1690183
2017-03-15,1682234
2017-03-16,1652775
2017-03-17,1627533
2017-03-18,1632913
2017-03-19,1619589
2017-03-20,1566929
2017-03-21,1559607
2017-03-22,1572156
2017-03-23,1568470
2017-03-24,1606993
2017-03-25,1596306
2017-03-26,1572390
2017-03-27,1578546
2017-03-28,1562196
2017-03-29,1620057
2017-03-30,1701060
2017-03-31,1786113
2017-04-01,1759094
2017-04-02,1690084
2017-04-03,1624823
2017-04-04,1619607
2017-04-12,1572188
2017-04-13,1589951
2017-04-14,1638908
2017-04-15,1633671
2017-04-16,1623709
2017-04-17,1609406
2017-04-18,1584002
2017-04-19,1570263
2017-04-20,1603162
2017-04-21,1654262
2017-04-22,1704349
2017-04-23,1716254
2017-04-24,1733171
2017-04-25,1752212
2017-04-26,1745360
2017-04-27,1762139
2017-04-28,1812910
2017-04-29,1894879
2017-04-30,1962397
2017-05-01,1955707
2017-05-02,1943509
2017-05-03,1920656
2017-05-04,1926889
2017-05-05,1969312
2017-05-06,1984208
2017-05-07,2029705
2017-05-08,1997730
2017-05-09,1966836
2017-05-10,1941109
2017-05-11,1849773
2017-05-12,1869692
2017-05-13,1863508
2017-05-14,1869663
2017-05-15,1873513
2017-05-16,1829442
2017-05-17,1823435
2017-05-18,1807980
2017-05-19,1793620
2017-05-20,1833359
2017-05-21,1833359
2017-05-22,1852104
2017-05-23,1840368
2017-05-24,1816771
2017-05-25,1824749
2017-05-26,1903178
2017-05-27,1992822
2017-05-28,1993666
2017-05-29,1989843
2017-05-30,2048781
2017-05-31,2141940
2017-06-01,2155328
2017-06-02,2156339
2017-06-03,2182164
2017-06-06,2188804
2017-06-07,2118582
2017-06-08,2076622
2017-06-09,1977873
2017-06-10,1971619
2017-06-11,1919427
2017-06-12,1835556
2017-06-13,1826031
2017-06-14,1871339
2017-06-15,1938795
2017-06-16,1997074
2017-06-17,1999616
2017-06-18,1987145
2017-06-19,1987145
2017-06-20,1933848
2017-06-21,1888290
2017-06-22,1865507
2017-06-23,1888816
2017-06-24,1886117
2017-06-25,1905560
2017-06-26,1948882
2017-06-27,1928837
2017-06-28,1913028
2017-06-29,1893039
2017-06-30,1873403
2017-07-01,1873403
2017-07-02,1857205
