date_obj,Fremennik%20kilt price
2019-07-25,6827337
2019-07-26,6504479
2019-07-27,6236176
2019-07-28,6070320
2019-07-29,5813668
2019-07-30,5529250
2019-07-31,5252787
2019-08-01,5093927
2019-08-02,5019236
2019-08-03,4779305
2019-08-04,4586131
2019-08-05,4550087
2019-08-06,4712187
2019-08-07,4689167
2019-08-08,4658025
2019-08-09,4635872
2019-08-10,4565474
2019-08-11,4507081
2019-08-12,4433876
2019-08-13,4416576
2019-08-14,4332973
2019-08-15,4405649
2019-08-16,4624433
2019-08-17,4833674
2019-08-18,5033735
2019-08-19,5124951
2019-08-20,5151899
2019-08-21,5312060
2019-08-22,5558470
2019-08-23,5766768
2019-08-24,5996804
2019-08-24,5996804
2019-08-25,6133527
2019-08-25,6133527
2019-08-26,6142217
2019-08-26,6142217
2019-08-27,6110535
2019-08-27,6110535
2019-08-28,5992405
2019-08-29,5948384
2019-08-30,5843583
2019-08-31,5793253
2019-09-01,5731195
2019-09-02,5625363
2019-09-03,5558461
2019-09-04,5516268
2019-09-05,5737479
2019-09-06,5933623
2019-09-07,6125150
2019-09-08,6420761
2019-09-09,6354579
2019-09-10,6322008
2019-09-11,6417169
2019-09-12,6564831
2019-09-13,6709625
2019-09-14,6880521
2019-09-15,6846438
2019-09-16,6974686
2019-09-17,7128328
2019-09-18,7012847
2019-09-19,7092568
2019-09-20,7203107
2019-09-21,7153754
2019-09-22,7127354
2019-09-23,7005452
2019-09-24,6812797
2019-09-25,6550521
2019-09-26,6407445
2019-09-27,6146102
2019-09-28,6062776
2019-09-29,5934126
2019-09-30,5949261
2019-10-01,5853337
2019-10-02,5766917
2019-10-03,5612526
2019-10-04,5512599
2019-10-05,5388833
2019-10-06,5315359
2019-10-07,5337707
2019-10-08,5341097
2019-10-09,5312374
2019-10-10,5320485
2019-10-11,5310978
2019-10-12,5283354
2019-10-13,5120280
2019-10-14,5095674
2019-10-15,5121639
2019-10-16,5111862
2019-10-17,5078399
2019-10-18,5091427
2019-10-19,5081928
2019-10-20,5027823
2019-10-21,4997969
2019-10-22,4964646
2019-10-23,4910736
2019-10-24,4861443
2019-10-25,4869452
2019-10-26,4850882
2019-10-27,4857531
2019-10-28,4884006
2019-10-29,4960154
2019-10-30,5074530
2019-10-31,5259710
2019-11-01,5522275
2019-11-02,5447562
2019-11-03,5453023
2019-11-04,5290506
2019-11-05,5297693
2019-11-06,5299192
2019-11-07,5379071
2019-11-08,5642689
2019-11-09,5924824
2019-11-10,6166446
2019-11-11,6415513
2019-11-12,6370916
2019-11-13,6353800
2019-11-14,6663124
2019-11-15,6798127
2019-11-16,6925042
2019-11-17,7063109
2019-11-18,7023629
2019-11-19,6985024
2019-11-20,7191066
2019-11-21,7140629
2019-11-22,7149535
2019-11-23,7115380
2019-11-24,7003759
2019-11-25,6900491
2019-11-26,6825000
2019-11-27,6777523
2019-11-28,6781731
2019-11-29,6781302
2019-11-30,6723334
2019-12-01,6781077
2019-12-02,6848215
2019-12-03,7172585
2019-12-04,7225264
2019-12-05,7163879
2019-12-06,7103246
2019-12-07,6959741
2019-12-08,7008057
2019-12-09,6887952
2019-12-10,6879143
2019-12-11,6799308
2019-12-12,6738645
2019-12-13,6680878
2019-12-14,6627612
2019-12-15,6577824
2019-12-16,6553126
2019-12-17,6533696
2019-12-18,6537323
2019-12-19,6497457
2019-12-20,6438824
2019-12-21,6447432
2019-12-22,6358538
2019-12-23,6383699
2019-12-24,6439911
2019-12-25,6448867
2019-12-26,6440186
2019-12-27,6435767
2019-12-28,6408269
2019-12-29,6434310
2019-12-30,6335316
2019-12-31,6295954
2020-01-01,6336134
2020-01-02,6595187
2020-01-03,6846369
2020-01-04,7136975
2020-01-05,7152467
2020-01-06,7092485
2020-01-07,6889972
2020-01-08,6780746
2020-01-09,6727793
2020-01-10,6674058
2020-01-11,6567646
2020-01-12,6570263
2020-01-13,6535461
2020-01-14,6374607
2020-01-15,6373810
2020-01-16,6295993
2020-01-17,6257816
2020-01-18,6244983
2020-01-19,6185797
2020-01-20,6181855
2020-01-21,6180166
2020-01-22,6173690
2020-01-23,6204912
2020-01-24,6155339
2020-01-25,6183667
2020-01-26,6279785
2020-01-27,6244486
2020-01-28,6198947
2020-01-29,6141696
2020-01-30,6065218
2020-01-31,6055411
2020-02-01,6110929
2020-02-02,6059373
2020-02-03,5944164
2020-02-04,5927474
2020-02-05,5856811
2020-02-06,5737050
2020-02-07,5515907
2020-02-08,5358851
2020-02-09,5223678
2020-02-10,5075229
2020-02-11,4979788
2020-02-12,4824894
2020-02-13,4757240
2020-02-14,4606772
2020-02-15,4436702
2020-02-16,4451505
2020-02-17,4523696
2020-02-18,4518546
2020-02-19,4582123
2020-02-20,4528117
2020-02-21,4523909
2020-02-22,4624645
2020-02-23,4845924
2020-02-24,4898814
2020-02-25,4858651
2020-02-26,4868976
2020-02-27,4902377
2020-02-28,5025381
2020-02-29,5253383
2020-03-01,5412505
2020-03-02,5353309
2020-03-03,5279305
2020-03-04,5197863
2020-03-05,5096762
2020-03-06,5023691
2020-03-07,4885991
2020-03-08,4890046
2020-03-09,4901212
2020-03-10,4971884
2020-03-11,4989347
2020-03-12,5067456
2020-03-13,5113059
2020-03-14,5099549
2020-03-15,5048687
2020-03-16,5051180
2020-03-17,5079553
2020-03-18,5178301
2020-03-19,5250068
2020-03-20,5439118
2020-03-21,5381600
2020-03-22,5387202
2020-03-23,5332258
2020-03-24,5288728
2020-03-25,5339444
2020-03-26,5466208
2020-03-27,5605201
2020-03-28,5686643
2020-03-29,5584860
2020-03-30,5560652
2020-03-31,5557792
2020-04-01,5583148
2020-04-02,5614057
2020-04-03,5610773
2020-04-04,5574519
2020-04-05,5473233
2020-04-06,5387178
2020-04-07,5244132
2020-04-08,5251777
2020-04-09,5183184
2020-04-10,5130051
2020-04-11,5073830
2020-04-12,4963875
2020-04-13,4839362
2020-04-14,4718857
2020-04-15,4510130
2020-04-16,4519032
2020-04-17,4604717
2020-04-18,4781867
2020-04-19,4896710
2020-04-20,5086855
2020-04-21,5283149
2020-04-22,5218859
2020-04-23,5066321
2020-04-24,4875286
2020-04-25,4631774
2020-04-26,4611388
2020-04-27,4626510
2020-04-28,4568573
2020-04-29,4591531
2020-04-30,4530064
2020-05-01,4543950
2020-05-02,4537152
2020-05-03,4584865
2020-05-04,4482575
2020-05-05,4552199
2020-05-06,4515144
2020-05-07,4482058
2020-05-08,4460414
2020-05-09,4444880
2020-05-10,4386540
2020-05-11,4269290
2020-05-12,4186035
2020-05-13,4128671
