date_obj,Adamant%20crossbow price
2016-07-31,4230
2016-08-01,4442
2016-08-02,4665
2016-08-03,4750
2016-08-04,4750
2016-08-05,4760
2016-08-06,4714
2016-08-07,4688
2016-08-08,4688
2016-08-09,4516
2016-08-10,4403
2016-08-11,4403
2016-08-12,4326
2016-08-13,4326
2016-08-14,4110
2016-08-15,3916
2016-08-16,3744
2016-08-17,3744
2016-08-18,3556
2016-08-19,3420
2016-08-20,3349
2016-08-21,3349
2016-08-22,3271
2016-08-23,3228
2016-08-24,3228
2016-08-25,3097
2016-08-26,3097
2016-08-28,3057
2016-08-31,2925
2016-09-01,2945
2016-09-02,2945
2016-09-03,2812
2016-09-04,2688
2016-09-05,2644
2016-09-06,2644
2016-09-07,2583
2016-09-08,2583
2016-09-09,2558
2016-09-10,2600
2016-09-11,2600
2016-09-12,2659
2016-09-13,2659
2016-09-14,2730
2016-09-15,2730
2016-09-16,2830
2016-09-17,2830
2016-09-18,2954
2016-09-19,2954
2016-09-20,3094
2016-09-21,3094
2016-09-22,3118
2016-09-23,3118
2016-09-24,3005
2016-09-25,2922
2016-09-26,2922
2016-09-27,2775
2016-09-28,2775
2016-09-29,2648
2016-09-30,2515
2016-10-01,2515
2016-10-02,2403
2016-10-03,2403
2016-10-04,2326
2016-10-05,2326
2016-10-06,2314
2016-10-07,2314
2016-10-08,2281
2016-10-09,2281
2016-10-10,2275
2016-10-11,2275
2016-10-12,2242
2016-10-13,2242
2016-10-14,2239
2016-10-15,2239
2016-10-16,2245
2016-10-17,2144
2016-10-18,2144
2016-10-19,2070
2016-10-20,2070
2016-10-21,2027
2016-10-22,2027
2016-10-23,2000
2016-10-24,1983
2016-10-25,1983
2016-10-26,1985
2016-10-27,1985
2016-10-28,1970
2016-10-29,1960
2016-10-30,1960
2016-10-31,1949
2016-11-01,1949
2016-11-02,1980
2016-11-03,1980
2016-11-04,1998
2016-11-05,1998
2016-11-06,2065
2016-11-07,2065
2016-11-08,2130
2016-11-09,2130
2016-11-10,2172
2016-11-11,2172
2016-11-12,2205
2016-11-13,2205
2016-11-14,2271
2016-11-15,2271
2016-12-07,2418
2016-12-08,2373
2016-12-09,2258
2016-12-10,2258
2016-12-11,2166
2016-12-12,2166
2016-12-13,2071
2016-12-14,2000
2016-12-15,2000
2016-12-16,1965
2016-12-17,1960
2016-12-18,1960
2016-12-19,1978
2016-12-20,1978
2016-12-21,1961
2016-12-22,1961
2016-12-23,2027
2016-12-24,2027
2016-12-25,2112
2016-12-26,2112
2016-12-27,2148
2016-12-28,2191
2016-12-29,2227
2016-12-30,2273
2016-12-31,2273
2017-01-01,2349
2017-01-02,2420
2017-01-03,2420
2017-01-04,2499
2017-01-05,2499
2017-01-06,2541
2017-01-07,2593
2017-01-08,2653
2017-01-09,2733
2017-01-10,2769
2017-01-11,2837
2017-01-12,2888
2017-01-13,2888
2017-01-14,2928
2017-01-15,2929
2017-01-16,2977
2017-01-17,3059
2017-01-18,3151
2017-01-19,3151
2017-01-20,3218
2017-01-21,3292
2017-01-22,3391
2017-01-23,3519
2017-01-27,3672
2017-01-28,3707
2017-01-29,3801
2017-01-30,3801
2017-01-31,3946
2017-02-01,3991
2017-02-02,3991
2017-02-03,3978
2017-02-04,3909
2017-02-05,3996
2017-02-06,3908
2017-02-07,3736
2017-02-08,3566
2017-02-09,3566
2017-02-10,3457
2017-02-11,3382
2017-02-12,3382
2017-02-13,3260
2017-02-14,3140
2017-02-15,3140
2017-02-16,3164
2017-02-17,3164
2017-02-18,3207
2017-02-19,3086
2017-02-20,3104
2017-02-21,3100
2017-02-22,3100
2017-02-23,2981
2017-02-24,2981
2017-02-25,2993
2017-02-26,2993
2017-02-27,2940
2017-02-28,2921
2017-03-01,2948
2017-03-02,2979
2017-03-03,2979
2017-03-04,2991
2017-03-05,2957
2017-03-06,2932
2017-03-07,2936
2017-03-08,2936
2017-03-09,2980
2017-03-10,3052
2017-03-11,3019
2017-03-12,2924
2017-03-13,2970
2017-03-14,2838
2017-03-15,2696
2017-03-16,2586
2017-03-17,2608
2017-03-18,2604
2017-03-19,2663
2017-03-20,2678
2017-03-21,2730
2017-03-22,2684
2017-03-23,2555
2017-03-24,2502
2017-03-25,2502
2017-03-26,2547
2017-03-27,2589
2017-03-28,2689
2017-03-29,2807
2017-03-30,2810
2017-03-31,2721
2017-04-01,2726
2017-04-02,2726
2017-04-03,2730
2017-04-04,2730
2017-04-05,2730
2017-04-12,2894
2017-04-13,3001
2017-04-14,3151
2017-04-15,3305
2017-04-16,3432
2017-04-17,3377
2017-04-18,3456
2017-04-19,3413
2017-04-20,3290
2017-04-21,3257
2017-04-22,3257
2017-04-23,3305
2017-04-24,3204
2017-04-25,3197
2017-04-26,3197
2017-04-27,3168
2017-04-28,3150
2017-04-29,3186
2017-04-30,3228
2017-05-01,3228
2017-05-02,3202
