date_obj,Ham%20hood price
2016-08-17,224
2016-08-18,224
2016-08-19,222
2016-08-20,222
2016-08-21,227
2016-08-22,227
2016-08-23,227
2016-08-24,227
2016-08-25,224
2016-08-26,224
2016-08-28,221
2016-08-31,217
2016-09-01,215
2016-09-02,215
2016-09-03,215
2016-09-04,215
2016-09-05,211
2016-09-06,211
2016-09-07,212
2016-09-08,212
2016-09-09,212
2016-09-10,213
2016-09-11,213
2016-09-12,213
2016-09-13,211
2016-09-14,211
2016-09-15,209
2016-09-16,209
2016-09-17,205
2016-09-18,205
2016-09-19,206
2016-09-20,206
2016-09-21,205
2016-09-22,205
2016-09-23,211
2016-09-24,211
2016-09-25,214
2016-09-26,214
2016-09-27,214
2016-09-28,214
2016-09-29,216
2016-09-30,216
2016-10-01,220
2016-10-02,220
2016-10-03,220
2016-10-04,226
2016-10-05,226
2016-10-06,224
2016-10-07,224
2016-10-08,220
2016-10-09,220
2016-10-10,215
2016-10-11,215
2016-10-12,213
2016-10-13,213
2016-10-14,210
2016-10-15,210
2016-10-16,210
2016-10-17,210
2016-10-18,211
2016-10-19,211
2016-10-20,211
2016-10-21,211
2016-10-22,213
2016-10-23,216
2016-10-24,216
2016-10-25,215
2016-10-26,210
2016-10-27,210
2016-10-28,210
2016-10-29,209
2016-10-30,209
2016-10-31,208
2016-11-01,208
2016-11-02,209
2016-11-03,209
2016-11-04,208
2016-11-05,208
2016-11-06,208
2016-11-07,208
2016-11-08,202
2016-11-09,202
2016-11-10,200
2016-11-11,200
2016-11-12,195
2016-11-13,195
2016-11-14,197
2016-11-15,197
2016-12-07,221
2016-12-08,209
2016-12-09,199
2016-12-10,199
2016-12-11,198
2016-12-12,198
2016-12-13,194
2016-12-14,196
2016-12-15,196
2016-12-16,198
2016-12-17,203
2016-12-18,203
2016-12-19,206
2016-12-20,206
2016-12-21,202
2016-12-22,202
2016-12-23,201
2016-12-24,201
2016-12-25,201
2016-12-26,201
2016-12-27,202
2016-12-28,202
2016-12-29,200
2016-12-30,200
2016-12-31,199
2017-01-01,199
2017-01-02,204
2017-01-03,204
2017-01-04,204
2017-01-05,204
2017-01-06,213
2017-01-07,223
2017-01-08,235
2017-01-09,233
2017-01-10,233
2017-01-11,237
2017-01-12,244
2017-01-13,244
2017-01-14,247
2017-01-15,242
2017-01-16,242
2017-01-17,243
2017-01-18,242
2017-01-19,242
2017-01-20,238
2017-01-21,233
2017-01-22,233
2017-01-23,233
2017-01-27,237
2017-01-28,237
2017-01-29,238
2017-01-30,238
2017-01-31,239
2017-02-01,241
2017-02-02,241
2017-02-03,241
2017-02-04,243
2017-02-05,245
2017-02-06,245
2017-02-07,253
2017-02-08,259
2017-02-09,259
2017-02-10,262
2017-02-11,268
2017-02-12,268
2017-02-13,273
2017-02-14,271
2017-02-15,271
2017-02-16,268
2017-02-18,260
2017-02-19,258
2017-02-20,258
2017-02-21,256
2017-02-22,256
2017-02-23,254
2017-02-24,254
2017-02-25,245
2017-02-26,245
2017-02-27,238
2017-02-28,233
2017-03-01,233
2017-03-02,229
2017-03-03,229
2017-03-04,225
2017-03-05,225
2017-03-06,225
2017-03-07,225
2017-03-08,222
2017-03-09,222
2017-03-10,222
2017-03-11,221
2017-03-12,221
2017-03-13,220
2017-03-14,225
2017-03-15,225
2017-03-16,225
2017-03-17,222
2017-03-18,222
2017-03-19,219
2017-03-20,213
2017-03-21,215
2017-03-22,215
2017-03-23,219
2017-03-24,222
2017-03-25,222
2017-03-26,228
2017-03-27,223
2017-03-28,223
2017-03-29,228
2017-03-30,228
2017-03-31,237
2017-04-01,237
2017-04-02,247
2017-04-03,256
2017-04-04,256
2017-04-12,267
2017-04-13,269
2017-04-14,269
2017-04-15,276
2017-04-16,283
2017-04-17,293
2017-04-18,293
2017-04-19,304
2017-04-20,304
2017-04-21,300
2017-04-22,300
2017-04-23,300
2017-04-24,300
2017-04-25,305
2017-04-26,305
2017-04-27,306
2017-04-28,306
2017-04-29,313
2017-04-30,313
2017-05-01,310
2017-05-02,320
