date_obj,Icy%20basalt price
2019-08-03,937
2019-08-04,918
2019-08-05,927
2019-08-06,928
2019-08-07,962
2019-08-08,978
2019-08-09,1001
2019-08-10,1001
2019-08-11,997
2019-08-12,1024
2019-08-13,1054
2019-08-14,1061
2019-08-15,1032
2019-08-16,1001
2019-08-17,965
2019-08-18,956
2019-08-19,950
2019-08-20,957
2019-08-21,965
2019-08-22,957
2019-08-23,950
2019-08-24,942
2019-08-24,942
2019-08-25,940
2019-08-25,940
2019-08-26,957
2019-08-26,957
2019-08-27,953
2019-08-27,953
2019-08-28,946
2019-08-29,940
2019-08-30,920
2019-08-31,895
2019-09-01,922
2019-09-02,955
2019-09-03,944
2019-09-04,926
2019-09-05,915
2019-09-06,906
2019-09-07,862
2019-09-08,832
2019-09-09,840
2019-09-10,827
2019-09-11,797
2019-09-12,793
2019-09-13,821
2019-09-14,837
2019-09-15,842
2019-09-16,825
2019-09-17,806
2019-09-18,791
2019-09-19,761
2019-09-20,784
2019-09-21,778
2019-09-22,795
2019-09-23,810
2019-09-24,803
2019-09-25,802
2019-09-26,800
2019-09-27,813
2019-09-28,849
2019-09-29,888
2019-09-30,924
2019-10-01,914
2019-10-02,947
2019-10-03,989
2019-10-04,982
2019-10-05,985
2019-10-06,944
2019-10-07,935
2019-10-08,920
2019-10-09,907
2019-10-10,902
2019-10-11,893
2019-10-12,879
2019-10-13,848
2019-10-14,845
2019-10-15,845
2019-10-16,824
2019-10-17,835
2019-10-18,838
2019-10-19,835
2019-10-20,843
2019-10-21,831
2019-10-22,836
2019-10-23,824
2019-10-24,784
2019-10-25,748
2019-10-26,731
2019-10-27,745
2019-10-28,760
2019-10-29,777
2019-10-30,797
2019-10-31,791
2019-11-01,770
2019-11-02,800
2019-11-03,840
2019-11-04,882
2019-11-05,923
2019-11-06,951
2019-11-07,977
2019-11-08,966
2019-11-09,948
2019-11-10,992
2019-11-11,995
2019-11-12,1040
2019-11-13,1092
2019-11-14,1135
2019-11-15,1163
2019-11-16,1219
2019-11-17,1276
2019-11-18,1328
2019-11-19,1315
2019-11-20,1317
2019-11-21,1333
2019-11-22,1277
2019-11-23,1223
2019-11-24,1161
2019-11-25,1133
2019-11-26,1121
2019-11-27,1090
2019-11-28,1079
2019-11-29,1060
2019-11-30,1067
2019-12-01,1111
2019-12-02,1167
2019-12-03,1225
2019-12-04,1272
2019-12-05,1317
2019-12-06,1352
2019-12-07,1398
2019-12-08,1457
2019-12-09,1438
2019-12-10,1366
2019-12-11,1297
2019-12-12,1232
2019-12-13,1170
2019-12-14,1111
2019-12-15,1059
2019-12-16,1087
2019-12-17,1139
2019-12-18,1196
2019-12-19,1243
2019-12-20,1190
2019-12-21,1137
2019-12-22,1152
2019-12-23,1204
2019-12-24,1177
2019-12-25,1121
2019-12-26,1074
2019-12-27,1098
2019-12-28,1150
2019-12-29,1179
2019-12-30,1170
2019-12-31,1160
2020-01-01,1168
2020-01-02,1211
2020-01-03,1233
2020-01-04,1265
2020-01-05,1319
2020-01-06,1335
2020-01-07,1291
2020-01-08,1329
2020-01-09,1300
2020-01-10,1318
2020-01-11,1359
2020-01-12,1354
2020-01-13,1422
2020-01-14,1446
2020-01-15,1463
2020-01-16,1389
2020-01-17,1319
2020-01-18,1253
2020-01-19,1190
2020-01-20,1130
2020-01-21,1073
2020-01-22,1019
2020-01-23,968
2020-01-24,919
2020-01-25,873
2020-01-26,829
2020-01-27,791
2020-01-28,803
2020-01-29,816
2020-01-30,838
2020-01-31,828
2020-02-01,814
2020-02-02,831
2020-02-03,819
2020-02-04,836
2020-02-05,858
2020-02-06,838
2020-02-07,824
2020-02-08,787
2020-02-09,763
2020-02-10,755
2020-02-11,790
2020-02-12,824
2020-02-13,817
2020-02-14,819
2020-02-15,829
2020-02-16,826
2020-02-17,868
2020-02-18,912
2020-02-19,947
2020-02-20,953
2020-02-21,953
2020-02-22,941
2020-02-23,935
2020-02-24,929
2020-02-25,895
2020-02-26,905
2020-02-27,935
2020-02-28,900
2020-02-29,899
2020-03-01,889
2020-03-02,895
2020-03-03,909
2020-03-04,909
2020-03-05,900
2020-03-06,917
2020-03-07,932
2020-03-08,915
2020-03-09,900
2020-03-10,897
2020-03-11,895
2020-03-12,912
2020-03-13,933
2020-03-14,927
2020-03-15,889
2020-03-16,845
2020-03-17,805
2020-03-18,806
2020-03-19,814
2020-03-20,845
2020-03-21,875
2020-03-22,889
2020-03-23,844
2020-03-24,874
2020-03-25,885
2020-03-26,926
2020-03-27,965
2020-03-28,1010
2020-03-29,1024
2020-03-30,1017
2020-03-31,1017
2020-04-01,987
2020-04-02,1019
2020-04-03,1058
2020-04-04,1083
2020-04-05,1117
2020-04-06,1092
2020-04-07,1108
2020-04-08,1080
2020-04-09,1026
2020-04-10,996
2020-04-11,962
2020-04-12,944
2020-04-13,952
2020-04-14,983
2020-04-15,988
2020-04-16,1030
2020-04-17,1033
2020-04-18,1036
2020-04-19,1049
2020-04-20,1020
2020-04-21,982
2020-04-22,992
2020-04-23,1019
2020-04-24,1024
2020-04-25,1052
2020-04-26,1094
2020-04-27,1088
2020-04-28,1064
2020-04-29,1041
2020-04-30,1034
2020-05-01,1015
2020-05-02,1027
2020-05-03,1050
2020-05-04,1051
2020-05-05,1042
2020-05-06,1027
2020-05-07,1023
2020-05-08,1006
2020-05-09,1023
2020-05-10,1020
2020-05-11,1008
2020-05-12,999
2020-05-13,1013
