date_obj,Green%20dragonhide%20set price
2016-12-30,8119
2016-12-31,8188
2017-01-01,8188
2017-01-02,8092
2017-01-03,8092
2017-01-04,8042
2017-01-05,8042
2017-01-06,8135
2017-01-07,8132
2017-01-08,8132
2017-01-09,8356
2017-01-10,8356
2017-01-11,8251
2017-01-12,8480
2017-01-13,8480
2017-01-14,8516
2017-01-15,8518
2017-01-16,8518
2017-01-17,8434
2017-01-18,8434
2017-01-19,8335
2017-01-20,8335
2017-01-21,8358
2017-01-22,8541
2017-01-23,8708
2017-01-27,8779
2017-01-28,8697
2017-01-29,8560
2017-01-30,8560
2017-01-31,8423
2017-02-01,8234
2017-02-02,8234
2017-02-03,8152
2017-02-04,8199
2017-02-05,8199
2017-02-06,8079
2017-02-07,8079
2017-02-08,8193
2017-02-09,8193
2017-02-10,8308
2017-02-11,8318
2017-02-12,8318
2017-02-13,8254
2017-02-14,8297
2017-02-15,8297
2017-02-16,8328
2017-02-18,8452
2017-02-19,8251
2017-02-20,8251
2017-02-21,8255
2017-02-22,8255
2017-02-23,8211
2017-02-24,8211
2017-02-25,8251
2017-02-26,8251
2017-02-27,8401
2017-02-28,8516
2017-03-01,8516
2017-03-02,8266
2017-03-03,8266
2017-03-04,8211
2017-03-05,8211
2017-03-06,8242
2017-03-07,8242
2017-03-08,8293
2017-03-09,8293
2017-03-10,8180
2017-03-11,8231
2017-03-12,8231
2017-03-13,8266
2017-03-14,8232
2017-03-15,8222
2017-03-16,8222
2017-03-17,8181
2017-03-18,8181
2017-03-19,8051
2017-03-20,8093
2017-03-21,8052
2017-03-22,8052
2017-03-23,8179
2017-03-24,7969
2017-03-25,7969
2017-03-26,8041
2017-03-27,8041
2017-03-28,8041
2017-03-29,7988
2017-03-30,7988
2017-03-31,8168
2017-04-01,8168
2017-04-02,8143
2017-04-03,8156
2017-04-04,8156
2017-04-12,8243
2017-04-13,8098
2017-04-14,8098
2017-04-15,8059
2017-04-16,8338
2017-04-17,8374
2017-04-18,8374
2017-04-19,8499
2017-04-20,8499
2017-04-21,8357
2017-04-22,8357
2017-04-23,8203
2017-04-24,8203
2017-04-25,8254
2017-04-26,8254
2017-04-27,8364
2017-04-28,8364
2017-04-29,8196
2017-04-30,8196
2017-05-01,8363
2017-05-02,8411
2017-05-03,8411
2017-05-04,8265
2017-05-05,8265
2017-05-06,8259
2017-05-07,8259
2017-05-08,8150
2017-05-09,8286
2017-05-10,8286
2017-05-11,8317
2017-05-12,8108
2017-05-13,8334
2017-05-14,8334
2017-05-15,8447
2017-05-16,8357
2017-05-17,8357
2017-05-18,8254
2017-05-19,8254
2017-05-20,8184
2017-05-21,8184
2017-05-22,8075
2017-05-23,8075
2017-05-24,8064
2017-05-25,8064
2017-05-26,8005
2017-05-27,8005
2017-05-28,7975
2017-05-29,7975
2017-05-30,7908
2017-05-31,8079
2017-06-01,8258
2017-06-02,8192
2017-06-03,8192
2017-06-04,8102
2017-06-05,8102
2017-06-06,8117
2017-06-07,8116
2017-06-08,8116
2017-06-09,8170
2017-06-10,8205
