date_obj,Grey%20toy%20horsey price
2016-08-22,170
2016-08-23,170
2016-08-24,175
2016-08-25,175
2016-08-26,175
2016-08-28,175
2016-08-31,175
2016-09-01,175
2016-09-02,175
2016-09-03,175
2016-09-04,175
2016-09-05,175
2016-09-06,175
2016-09-07,175
2016-09-08,175
2016-09-09,175
2016-09-10,175
2016-09-11,175
2016-09-12,175
2016-09-13,175
2016-09-14,175
2016-09-15,175
2016-09-16,175
2016-09-17,175
2016-09-18,175
2016-09-19,175
2016-09-20,175
2016-09-21,175
2016-09-22,175
2016-09-23,175
2016-09-24,175
2016-09-25,175
2016-09-26,175
2016-09-27,175
2016-09-28,175
2016-09-29,175
2016-09-30,175
2016-10-01,175
2016-10-02,175
2016-10-03,175
2016-10-04,175
2016-10-05,175
2016-10-06,175
2016-10-07,175
2016-10-08,175
2016-10-09,175
2016-10-10,175
2016-10-11,175
2016-10-12,175
2016-10-13,175
2016-10-14,175
2016-10-15,175
2016-10-16,175
2016-10-17,175
2016-10-18,175
2016-10-19,175
2016-10-20,175
2016-10-21,175
2016-10-22,175
2016-10-23,175
2016-10-24,175
2016-10-25,175
2016-10-26,175
2016-10-27,176
2016-10-28,176
2016-10-29,176
2016-10-30,176
2016-10-31,176
2016-11-01,176
2016-11-02,176
2016-11-03,176
2016-11-04,176
2016-11-05,176
2016-11-06,176
2016-11-07,176
2016-11-08,176
2016-11-09,176
2016-11-10,176
2016-11-11,176
2016-11-12,176
2016-11-13,176
2016-11-14,176
2016-11-15,176
2016-12-07,176
2016-12-08,176
2016-12-09,176
2016-12-10,176
2016-12-11,176
2016-12-12,176
2016-12-13,176
2016-12-14,176
2016-12-15,176
2016-12-16,176
2016-12-17,176
2016-12-18,176
2016-12-19,176
2016-12-20,176
2016-12-21,176
2016-12-22,176
2016-12-23,176
2016-12-24,176
2016-12-25,179
2016-12-26,179
2016-12-27,179
2016-12-28,179
2016-12-29,179
2016-12-30,179
2016-12-31,179
2017-01-01,179
2017-01-02,179
2017-01-03,179
2017-01-04,179
2017-01-05,179
2017-01-06,179
2017-01-07,179
2017-01-08,179
2017-01-09,179
2017-01-10,179
2017-01-11,179
2017-01-12,179
2017-01-13,179
2017-01-14,179
2017-01-15,179
2017-01-16,179
2017-01-17,179
2017-01-18,179
2017-01-19,179
2017-01-20,179
2017-01-21,179
2017-01-22,179
2017-01-23,179
2017-01-27,179
2017-01-28,179
2017-01-29,179
2017-01-30,179
2017-01-31,179
2017-02-01,179
2017-02-02,179
2017-02-03,179
2017-02-04,179
2017-02-05,179
2017-02-06,179
2017-02-07,187
2017-02-08,187
2017-02-09,187
2017-02-10,187
2017-02-11,187
2017-02-12,187
2017-02-13,187
2017-02-14,187
2017-02-15,187
2017-02-16,187
2017-02-18,187
2017-02-19,187
2017-02-20,187
2017-02-21,187
2017-02-22,187
2017-02-23,187
2017-02-24,187
2017-02-25,187
2017-02-26,187
2017-02-27,187
2017-02-28,187
2017-03-01,187
2017-03-02,187
2017-03-03,187
2017-03-04,187
2017-03-05,187
2017-03-06,187
2017-03-07,187
2017-03-08,187
2017-03-09,187
2017-03-10,187
2017-03-11,187
2017-03-12,187
2017-03-13,187
2017-03-14,187
2017-03-15,187
2017-03-16,187
2017-03-17,187
2017-03-18,187
2017-03-19,187
2017-03-20,187
2017-03-21,187
2017-03-22,187
2017-03-23,187
2017-03-24,187
2017-03-25,187
2017-03-26,185
2017-03-27,185
2017-03-28,185
2017-03-29,185
2017-03-30,185
2017-03-31,185
2017-04-01,185
2017-04-02,185
2017-04-03,185
2017-04-04,185
2017-04-12,185
2017-04-13,185
2017-04-14,185
2017-04-15,185
2017-04-16,185
2017-04-17,185
2017-04-18,185
2017-04-19,185
2017-04-20,185
2017-04-21,185
2017-04-22,185
2017-04-23,185
2017-04-24,185
2017-04-25,185
2017-04-26,185
2017-04-27,185
2017-04-28,185
2017-04-29,185
2017-04-30,185
2017-05-01,185
2017-05-02,185
2017-05-03,185
2017-05-04,185
2017-05-05,185
2017-05-06,185
2017-05-07,185
2017-05-08,185
2017-05-09,185
2017-05-10,189
2017-05-11,189
2017-05-12,189
2017-05-13,189
2017-05-14,189
2017-05-15,189
2017-05-16,189
2017-05-17,189
2017-05-18,189
2017-05-19,189
2017-05-20,189
2017-05-21,189
2017-05-22,189
2017-05-23,189
2017-05-24,189
2017-05-25,189
2017-05-26,189
2017-05-27,189
2017-05-28,189
2017-05-29,189
2017-05-30,189
2017-05-31,189
2017-06-01,189
2017-06-02,189
2017-06-03,189
2017-06-04,189
2017-06-05,189
2017-06-06,189
2017-06-07,189
2017-06-08,189
2017-06-09,189
2017-06-10,189
2017-06-11,189
2017-06-12,189
2017-06-13,189
2017-06-14,189
2017-06-15,189
2017-06-16,189
2017-06-17,189
2017-06-18,189
2017-06-19,189
2017-06-20,189
2017-06-21,189
2017-06-22,189
2017-06-23,189
2017-06-24,189
2017-06-25,189
2017-06-26,189
2017-06-27,189
2017-06-28,189
2017-06-29,189
2017-06-30,189
2017-07-01,189
2017-07-02,189
2017-07-03,189
2017-07-04,189
2017-07-05,189
2017-07-06,189
2017-07-07,189
2017-07-08,189
2017-07-13,189
2017-07-14,189
2017-07-15,189
2017-07-16,189
2017-07-17,189
2017-07-18,189
2017-07-19,189
2017-07-20,189
2017-07-21,189
2017-07-22,189
2017-07-23,189
2017-07-24,189
2017-07-25,189
2017-07-26,189
2017-07-27,189
2017-07-28,189
2017-07-29,189
2017-07-30,189
2017-07-31,189
2017-08-01,189
2017-08-02,189
2017-08-03,189
