date_obj,Crier%20coat price
2017-12-19,19312
2017-12-20,19096
2017-12-21,19359
2017-12-22,19079
2017-12-23,18637
2017-12-24,18442
2017-12-25,18442
2017-12-26,18146
2017-12-27,17657
2017-12-28,17017
2017-12-29,16256
2017-12-30,16198
2017-12-31,16198
2018-01-01,16554
2018-01-02,17049
2018-01-03,17722
2018-01-04,18166
2018-01-05,18534
2018-01-06,18088
2018-01-07,18232
2018-01-08,17961
2018-01-09,17656
2018-01-10,17323
2018-01-11,16939
2018-01-12,16477
2018-01-13,15847
2018-01-14,15297
2018-01-15,15371
2018-01-16,16007
2018-01-17,16258
2018-01-18,15880
2018-01-19,15880
2018-01-20,15908
2018-01-21,15828
2018-01-22,15874
2018-01-23,16461
2018-01-24,16481
2018-01-25,16485
2018-01-26,16354
2018-01-27,16277
2018-01-28,16283
2018-01-29,16409
2018-01-30,15974
2018-01-31,15766
2018-02-01,15796
2018-02-02,15755
2018-02-03,15139
2018-02-04,14382
2018-02-05,13662
2018-02-06,13024
2018-02-07,12540
2018-02-08,12540
2018-02-09,12695
2018-02-10,12695
2018-02-11,12865
2018-02-12,13340
2018-02-13,13258
2018-02-14,12948
2018-02-15,12753
2018-02-16,12780
2018-02-17,12460
2018-02-18,12366
2018-02-19,12544
2018-02-20,11966
2018-02-21,11988
2018-02-22,12418
2018-02-23,12716
2018-02-24,12716
2018-02-25,12698
2018-02-26,12677
2018-02-27,12641
2018-02-28,12480
2018-03-01,12344
2018-03-02,12514
2018-03-03,12160
2018-03-04,12160
2018-03-05,12148
2018-03-06,11683
2018-03-07,11725
2018-03-08,11905
2018-03-09,12260
2018-03-10,12089
2018-03-11,12195
2018-03-12,12015
2018-03-13,11969
2018-03-14,12039
2018-03-15,11976
2018-03-16,11773
2018-03-17,11655
2018-03-18,11612
2018-03-19,11280
2018-03-20,11388
2018-03-21,11388
2018-03-23,11845
2018-03-24,12248
2018-03-25,12397
2018-03-26,12397
2018-03-27,12560
2018-03-28,12560
2018-03-29,13169
2018-03-30,13815
2018-03-31,14250
2018-04-01,14250
2018-04-02,14792
2018-04-03,14666
2018-04-04,14517
2018-04-05,14517
2018-04-06,14135
2018-04-07,14135
2018-04-08,14071
2018-04-09,13586
2018-04-10,13586
2018-04-11,12995
2018-04-12,13067
2018-04-13,13067
2018-04-14,13091
2018-04-15,13108
2018-04-16,13108
2018-04-17,12835
2018-04-18,12835
2018-04-19,12786
2018-04-20,12913
2018-04-21,13116
2018-04-22,13116
2018-04-23,13378
2018-04-24,13378
2018-04-25,13168
2018-04-26,13168
2018-04-27,13147
2018-04-28,13188
2018-04-29,12743
2018-04-30,12273
2018-05-01,11947
2018-05-03,11688
2018-05-04,11688
2018-05-05,11288
2018-05-07,10723
2018-05-08,10258
2018-05-09,9873
2018-05-10,9681
2018-05-11,9467
2018-05-12,9317
2018-05-13,9317
2018-05-14,9042
2018-05-15,9042
2018-05-16,8721
2018-05-17,8727
2018-05-18,9024
2018-05-19,8674
2018-05-20,8701
2018-05-21,8799
2018-05-22,8799
2018-05-23,8907
2018-05-24,8816
2018-05-25,8816
2018-05-26,9131
2018-05-27,9131
2018-05-28,9339
2018-05-29,9715
2018-05-30,9715
2018-05-31,9965
2018-06-01,9962
2018-06-02,10067
2018-06-03,10137
2018-06-04,10529
2018-06-05,10721
2018-06-06,10823
2018-06-07,10823
2018-06-08,11091
2018-06-09,11091
2018-06-10,11171
2018-06-11,11171
2018-06-12,11110
2018-06-13,11267
2018-06-14,11228
2018-06-15,11343
2018-06-16,11233
2018-06-17,11334
2018-06-18,11609
2018-06-19,11598
2018-06-20,11598
2018-06-21,11392
2018-06-22,11436
2018-06-23,11436
2018-06-24,11392
2018-06-25,11477
2018-06-26,11477
2018-06-27,11785
2018-06-28,12053
2018-06-29,12082
2018-06-30,11817
2018-07-01,11493
2018-07-02,11493
2018-07-03,11126
2018-07-04,11126
2018-07-05,11073
2018-07-06,11361
2018-07-07,11522
2018-07-08,11477
