date_obj,Mystic%20hat%20(dusk) price
2020-01-17,34368
2020-01-18,34368
2020-01-19,35104
2020-01-20,35104
2020-01-21,35104
2020-01-22,34747
2020-01-23,34747
2020-01-24,33426
2020-01-25,33426
2020-01-26,32330
2020-01-27,32330
2020-01-28,32330
2020-01-29,30977
2020-01-30,30977
2020-01-31,30977
2020-02-01,30211
2020-02-02,30211
2020-02-03,30211
2020-02-04,28821
2020-02-05,28821
2020-02-06,28264
2020-02-07,28264
2020-02-08,28264
2020-02-09,29441
2020-02-10,29441
2020-02-11,28828
2020-02-12,28828
2020-02-13,28414
2020-02-14,28414
2020-02-15,27388
2020-02-16,27388
2020-02-17,27967
2020-02-18,27967
2020-02-19,27967
2020-02-20,29061
2020-02-21,29061
2020-02-22,29061
2020-02-23,28916
2020-02-24,28916
2020-02-25,27769
2020-02-26,27769
2020-02-27,27769
2020-02-28,28345
2020-02-29,28345
2020-03-01,28345
2020-03-02,27432
2020-03-03,27432
2020-03-04,27432
2020-03-05,27903
2020-03-06,27903
2020-03-07,27903
2020-03-08,28816
2020-03-09,28816
2020-03-10,30197
2020-03-11,30197
2020-03-12,30197
2020-03-13,29928
2020-03-14,29928
2020-03-15,29928
2020-03-16,28523
2020-03-17,28523
2020-03-18,28624
2020-03-19,28624
2020-03-20,29222
2020-03-21,29222
2020-03-22,30157
2020-03-23,30157
2020-03-24,31383
2020-03-25,31383
2020-03-26,32068
2020-03-27,32068
2020-03-28,32068
2020-03-29,32270
2020-03-30,32270
2020-03-31,32992
2020-04-01,32992
2020-04-02,33928
2020-04-03,33928
2020-04-04,35579
2020-04-05,35579
2020-04-06,37358
2020-04-07,37358
2020-04-08,39226
2020-04-09,39226
2020-04-10,41069
2020-04-11,42865
2020-04-12,42865
2020-04-13,44508
2020-04-14,44508
2020-04-15,46522
2020-04-16,46522
2020-04-17,48488
2020-04-18,48488
2020-04-19,49638
2020-04-20,49638
2020-04-21,51455
2020-04-22,51455
2020-04-23,51727
2020-04-24,51727
2020-04-25,50258
2020-04-26,50258
2020-04-27,49572
2020-04-28,47769
2020-04-29,47769
2020-04-30,45553
2020-05-01,45553
2020-05-02,45351
2020-05-03,45351
2020-05-04,43728
2020-05-05,43728
2020-05-06,41727
2020-05-07,41727
2020-05-08,39818
2020-05-09,39818
2020-05-10,39121
2020-05-11,39121
2020-05-12,39121
2020-05-13,40237
