date_obj,Stretched%20hide price
2016-10-19,36545
2016-10-20,36545
2016-10-21,36545
2016-10-22,36545
2016-10-23,36545
2016-10-24,36545
2016-10-25,36545
2016-10-26,36545
2016-10-27,36545
2016-10-28,36545
2016-10-29,36545
2016-10-30,36545
2016-10-31,36545
2016-11-01,36545
2016-11-02,36545
2016-11-03,36545
2016-11-04,36545
2016-11-05,36545
2016-11-06,36545
2016-11-07,36545
2016-11-08,36545
2016-11-09,36545
2016-11-10,36545
2016-11-11,36545
2016-11-12,36545
2016-11-13,36545
2016-11-14,36545
2016-12-08,36545
2016-12-09,36545
2016-12-10,36545
2016-12-11,36545
2016-12-12,36545
2016-12-13,34776
2016-12-14,34776
2016-12-15,34776
2016-12-16,34776
2016-12-17,34776
2016-12-18,34776
2016-12-19,34776
2016-12-20,34776
2016-12-21,34776
2016-12-22,34776
2016-12-23,34776
2016-12-24,34776
2016-12-25,34776
2016-12-26,34776
2016-12-27,34776
2016-12-28,34776
2016-12-29,34776
2016-12-30,34776
2016-12-31,34776
2017-01-01,34776
2017-01-02,34776
2017-01-03,34776
2017-01-04,34776
2017-01-05,34776
2017-01-06,34776
2017-01-07,34776
2017-01-08,34776
2017-01-09,34776
2017-01-10,34776
2017-01-11,34776
2017-01-12,34776
2017-01-13,34776
2017-01-14,34776
2017-01-15,34776
2017-01-16,34776
2017-01-17,34776
2017-01-18,34776
2017-01-19,34776
2017-01-20,34776
2017-01-21,34776
2017-01-22,34776
2017-01-27,34776
2017-01-28,34776
2017-01-29,34776
2017-01-30,34776
2017-01-31,34776
2017-02-01,34776
2017-02-02,34776
2017-02-03,34776
2017-02-04,34776
2017-02-05,34776
2017-02-06,34776
2017-02-07,34776
2017-02-08,34776
2017-02-09,34776
2017-02-10,34776
2017-02-11,34776
2017-02-12,34776
2017-02-13,34776
2017-02-14,34776
2017-02-15,34776
2017-02-16,34776
2017-02-18,34776
2017-02-19,34776
2017-02-20,34776
2017-02-21,34776
2017-02-22,34776
2017-02-23,34776
2017-02-24,34776
2017-02-25,34776
2017-02-26,34776
2017-02-27,34776
2017-02-28,34776
2017-03-01,34776
2017-03-02,34776
2017-03-03,34776
2017-03-04,34776
2017-03-05,34776
2017-03-06,34776
2017-03-07,34776
2017-03-08,34776
2017-03-09,34776
2017-03-10,34776
2017-03-11,34776
2017-03-12,34776
2017-03-13,34776
2017-03-14,34776
2017-03-15,34776
2017-03-16,34776
2017-03-17,34776
2017-03-18,34776
2017-03-19,34776
2017-03-20,34776
2017-03-21,34776
2017-03-22,34776
2017-03-23,34776
2017-03-24,34776
2017-03-25,34776
2017-03-26,34776
2017-03-27,34776
2017-03-28,34776
2017-03-29,34776
2017-03-30,34776
2017-03-31,34776
2017-04-01,34776
2017-04-02,34776
2017-04-03,34776
2017-04-04,34776
2017-04-12,34776
2017-04-13,34776
2017-04-14,34776
2017-04-15,34776
2017-04-16,34776
2017-04-17,34776
2017-04-18,34776
2017-04-19,34776
2017-04-20,34776
2017-04-21,34776
2017-04-22,34776
2017-04-23,34776
2017-04-24,34776
2017-04-25,34776
2017-04-26,34776
2017-04-27,34776
2017-04-28,34776
2017-04-29,34776
2017-04-30,34776
2017-05-01,34776
2017-05-02,34776
2017-05-03,34776
2017-05-04,34776
2017-05-05,34776
2017-05-06,34776
2017-05-07,34776
2017-05-08,34776
2017-05-09,34776
2017-05-10,34776
2017-05-11,34776
2017-05-12,34776
2017-05-13,34776
2017-05-14,34776
2017-05-15,34776
2017-05-16,34776
2017-05-17,34776
2017-05-18,34776
2017-05-19,34776
2017-05-20,34776
2017-05-21,34776
2017-05-22,34776
2017-05-23,34776
2017-05-24,34776
2017-05-25,34776
2017-05-26,34776
2017-05-27,34776
2017-05-28,34776
2017-05-29,34776
2017-05-30,33077
2017-05-31,33077
2017-06-01,33077
2017-06-02,33077
2017-06-03,33077
2017-06-06,33077
2017-06-07,33077
2017-06-08,33077
2017-06-09,33077
2017-06-10,33077
2017-06-11,33077
2017-06-12,33077
2017-06-13,33077
2017-06-14,33077
2017-06-15,33077
2017-06-16,33077
2017-06-17,33077
2017-06-18,33077
2017-06-19,33077
2017-06-20,33077
2017-06-21,33077
2017-06-22,33077
2017-06-23,33077
2017-06-24,33077
2017-06-25,33077
2017-06-26,33077
2017-06-27,33077
2017-06-28,33077
2017-06-29,33077
2017-06-30,33077
2017-07-01,33077
2017-07-02,33077
2017-07-03,33077
2017-07-04,33077
2017-07-05,33077
2017-07-06,33077
2017-07-07,33077
2017-07-08,33077
2017-07-13,33077
2017-07-14,33077
2017-07-15,33077
2017-07-16,33077
2017-07-17,33077
2017-07-18,33077
2017-07-19,33077
2017-07-20,33077
2017-07-21,33077
2017-07-22,33077
2017-07-23,33077
2017-07-24,33077
