date_obj,Broken%20dragon%20hasta price
2020-04-15,37155
2020-04-16,37155
2020-04-17,37155
2020-04-18,36620
2020-04-19,36624
2020-04-20,36624
2020-04-21,36646
2020-04-22,36646
2020-04-23,36701
2020-04-24,36701
2020-04-25,36701
2020-04-26,36972
2020-04-27,36972
2020-04-28,37174
2020-04-29,37174
2020-04-30,36808
2020-05-01,36808
2020-05-02,36808
2020-05-03,36752
2020-05-04,36752
2020-05-05,36742
2020-05-06,36742
2020-05-07,36853
2020-05-08,36853
2020-05-09,36695
2020-05-10,36695
2020-05-11,36754
2020-05-12,36754
2020-05-13,36795
