date_obj,Snape%20grass%20seed price
2019-07-09,2225
2019-07-10,2238
2019-07-11,2219
2019-07-12,2175
2019-07-13,2139
2019-07-14,2138
2019-07-15,2116
2019-07-16,2143
2019-07-17,2190
2019-07-18,2243
2019-07-19,2184
2019-07-20,2108
2019-07-21,2029
2019-07-22,1996
2019-07-23,1978
2019-07-24,1939
2019-07-25,1885
2019-07-26,1827
2019-07-27,1788
2019-07-28,1744
2019-07-29,1715
2019-07-30,1776
2019-07-31,1838
2019-08-01,1883
2019-08-02,1951
2019-08-03,1990
2019-08-04,2037
2019-08-05,2073
2019-08-06,2138
2019-08-07,2204
2019-08-08,2276
2019-08-09,2316
2019-08-10,2307
2019-08-11,2206
2019-08-12,2117
2019-08-13,2061
2019-08-14,2057
2019-08-15,2052
2019-08-16,2091
2019-08-17,2027
2019-08-18,1936
2019-08-19,1857
2019-08-20,1863
2019-08-21,1895
2019-08-22,1919
2019-08-23,1965
2019-08-24,1893
2019-08-24,1893
2019-08-25,1831
2019-08-25,1831
2019-08-26,1772
2019-08-26,1772
2019-08-27,1797
2019-08-27,1797
2019-08-28,1833
2019-08-29,1904
2019-08-30,1985
2019-08-31,1998
2019-09-01,1978
2019-09-02,2004
2019-09-03,2072
2019-09-04,2150
2019-09-05,2221
2019-09-06,2266
2019-09-07,2238
2019-09-08,2170
2019-09-09,2190
2019-09-10,2238
2019-09-11,2243
2019-09-12,2271
2019-09-13,2272
2019-09-14,2257
2019-09-15,2175
2019-09-16,2119
2019-09-17,2142
2019-09-18,2188
2019-09-19,2207
2019-09-20,2237
2019-09-21,2220
2019-09-22,2136
2019-09-23,2114
2019-09-24,2187
2019-09-25,2193
2019-09-26,2130
2019-09-27,2068
2019-09-28,2077
2019-09-29,2008
2019-09-30,2054
2019-10-01,2117
2019-10-02,2183
2019-10-03,2212
2019-10-04,2269
2019-10-05,2250
2019-10-06,2245
2019-10-07,2205
2019-10-08,2283
2019-10-09,2344
2019-10-10,2395
2019-10-11,2394
2019-10-12,2378
2019-10-13,2419
2019-10-14,2489
2019-10-15,2523
2019-10-16,2613
2019-10-17,2665
2019-10-18,2689
2019-10-19,2702
2019-10-20,2666
2019-10-21,2639
2019-10-22,2644
2019-10-23,2621
2019-10-24,2609
2019-10-25,2615
2019-10-26,2544
2019-10-27,2491
2019-10-28,2405
2019-10-29,2367
2019-10-30,2368
2019-10-31,2357
2019-11-01,2356
2019-11-02,2325
2019-11-03,2223
2019-11-04,2184
2019-11-05,2209
2019-11-06,2177
2019-11-07,2172
2019-11-08,2132
2019-11-09,2059
2019-11-10,1965
2019-11-11,1934
2019-11-12,1911
2019-11-13,1969
2019-11-14,1976
2019-11-15,1989
2019-11-16,1984
2019-11-17,1953
2019-11-18,1907
2019-11-19,1896
2019-11-20,1846
2019-11-21,1850
2019-11-22,1852
2019-11-23,1848
2019-11-24,1814
2019-11-25,1762
2019-11-26,1744
2019-11-27,1775
2019-11-28,1759
2019-11-29,1787
2019-11-30,1778
2019-12-01,1777
2019-12-02,1737
2019-12-03,1717
2019-12-04,1755
2019-12-05,1841
2019-12-06,1814
2019-12-07,1838
2019-12-08,1901
2019-12-09,1933
2019-12-10,2001
2019-12-11,2087
2019-12-12,2172
2019-12-13,2232
2019-12-14,2267
2019-12-15,2294
2019-12-16,2270
2019-12-17,2219
2019-12-18,2265
2019-12-19,2214
2019-12-20,2261
2019-12-21,2236
2019-12-22,2148
2019-12-23,2112
2019-12-24,2046
2019-12-25,1980
2019-12-26,1932
2019-12-27,1844
2019-12-28,1776
2019-12-29,1729
2019-12-30,1683
2019-12-31,1709
2020-01-01,1794
2020-01-02,1884
2020-01-03,1979
2020-01-04,2078
2020-01-05,2182
2020-01-06,2291
2020-01-07,2406
2020-01-08,2527
2020-01-09,2654
2020-01-10,2787
2020-01-11,2927
2020-01-12,3074
2020-01-13,3228
2020-01-14,3383
2020-01-15,3550
2020-01-16,3712
2020-01-17,3804
2020-01-18,3721
2020-01-19,3726
2020-01-20,3699
2020-01-21,3645
2020-01-22,3601
2020-01-23,3505
2020-01-24,3358
2020-01-25,3245
2020-01-26,3202
2020-01-27,3168
2020-01-28,3089
2020-01-29,3116
2020-01-30,3136
2020-01-31,3167
2020-02-01,3251
2020-02-02,3219
2020-02-03,3222
2020-02-04,3215
2020-02-05,3180
2020-02-06,3159
2020-02-07,3091
2020-02-08,2995
2020-02-09,2999
2020-02-10,2952
2020-02-11,2912
2020-02-12,2928
2020-02-13,2848
2020-02-14,2822
2020-02-15,2827
2020-02-16,2789
2020-02-17,2810
2020-02-18,2884
2020-02-19,2965
2020-02-20,3006
2020-02-21,3074
2020-02-22,3132
2020-02-23,3132
2020-02-24,3194
2020-02-25,3249
2020-02-26,3270
2020-02-27,3293
2020-02-28,3269
2020-02-29,3265
2020-03-01,3223
2020-03-02,3211
2020-03-03,3188
2020-03-04,3137
2020-03-05,3182
2020-03-06,3172
2020-03-07,3166
2020-03-08,3143
2020-03-09,3122
2020-03-10,3131
2020-03-11,3138
2020-03-12,3096
2020-03-13,3070
2020-03-14,3022
2020-03-15,3024
2020-03-16,3020
2020-03-17,3052
2020-03-18,3105
2020-03-19,3158
2020-03-20,3174
2020-03-21,3207
2020-03-22,3167
2020-03-23,3172
2020-03-24,3142
2020-03-25,3119
2020-03-26,3092
2020-03-27,3077
2020-03-28,3070
2020-03-29,2964
2020-03-30,2928
2020-03-31,2907
2020-04-01,2901
2020-04-02,2883
2020-04-03,2927
2020-04-04,2969
2020-04-05,3015
2020-04-06,3108
2020-04-07,3247
2020-04-08,3379
2020-04-09,3510
2020-04-10,3590
2020-04-11,3617
2020-04-12,3562
2020-04-13,3512
2020-04-14,3461
2020-04-15,3430
2020-04-16,3518
2020-04-17,3625
2020-04-18,3743
2020-04-19,3816
2020-04-20,3842
2020-04-21,3926
2020-04-22,4050
2020-04-23,4156
2020-04-24,4128
2020-04-25,4097
2020-04-26,4015
2020-04-27,3856
2020-04-28,3778
2020-04-29,3801
2020-04-30,3909
2020-05-01,3919
2020-05-02,3940
2020-05-03,3845
2020-05-04,3779
2020-05-05,3778
2020-05-06,3825
2020-05-07,3779
2020-05-08,3769
2020-05-09,3676
2020-05-10,3521
2020-05-11,3360
2020-05-12,3204
2020-05-13,3100
