date_obj,Blue%20spiky%20vambraces price
2016-12-28,2979
2016-12-29,2979
2016-12-30,2979
2016-12-31,3039
2017-01-01,3039
2017-01-02,3039
2017-01-03,3039
2017-01-04,3039
2017-01-05,3039
2017-01-06,3045
2017-01-07,3045
2017-01-08,3045
2017-01-09,3045
2017-01-10,3045
2017-01-11,3045
2017-01-12,3051
2017-01-13,3051
2017-01-14,3051
2017-01-15,3051
2017-01-16,3051
2017-01-17,2997
2017-01-18,2997
2017-01-19,2997
2017-01-20,2997
2017-01-21,2997
2017-01-22,2992
2017-01-23,2992
2017-01-27,3035
2017-01-28,3035
2017-01-29,3035
2017-01-30,3035
2017-01-31,3035
2017-02-01,3047
2017-02-02,3047
2017-02-03,3047
2017-02-04,3047
2017-02-05,3047
2017-02-06,3051
2017-02-07,3051
2017-02-08,3051
2017-02-09,3051
2017-02-10,3051
2017-02-11,3034
2017-02-12,3034
2017-02-13,3034
2017-02-14,3034
2017-02-15,3034
2017-02-16,3034
2017-02-18,3053
2017-02-19,3053
2017-02-20,3053
2017-02-21,3053
2017-02-22,3024
2017-02-23,3024
2017-02-24,3024
2017-02-25,3024
2017-02-26,3024
2017-02-27,3024
2017-02-28,3043
2017-03-01,3043
2017-03-02,3043
2017-03-03,3043
2017-03-04,3043
2017-03-05,3043
2017-03-06,3049
2017-03-07,3049
2017-03-08,3049
2017-03-09,3049
2017-03-10,3049
2017-03-11,3049
2017-03-12,3089
2017-03-13,3089
2017-03-14,3089
2017-03-15,3089
2017-03-16,3089
2017-03-17,3068
2017-03-18,3068
2017-03-19,3068
2017-03-20,3068
2017-03-21,3068
2017-03-22,3054
2017-03-23,3054
2017-03-24,3054
2017-03-25,3054
2017-03-26,3054
2017-03-27,3054
2017-03-28,3071
2017-03-29,3071
2017-03-30,3071
2017-03-31,3071
2017-04-01,3071
2017-04-02,3071
2017-04-03,3138
2017-04-04,3138
2017-04-12,3000
2017-04-13,3000
2017-04-14,3000
2017-04-15,3106
2017-04-16,3106
2017-04-17,3106
2017-04-18,3106
2017-04-19,3106
2017-04-20,3038
2017-04-21,3038
2017-04-22,3038
2017-04-23,3038
2017-04-24,3038
2017-04-25,3038
2017-04-26,3006
2017-04-27,3006
2017-04-28,3006
2017-04-29,3006
2017-04-30,3006
2017-05-01,3006
2017-05-02,2959
2017-05-03,2959
2017-05-04,2959
2017-05-05,2959
2017-05-06,2959
2017-05-07,2978
2017-05-08,2978
2017-05-09,2978
2017-05-10,2978
2017-05-11,2978
2017-05-12,2978
2017-05-13,2922
2017-05-14,2922
2017-05-15,2922
2017-05-16,2922
2017-05-17,2922
2017-05-18,2922
2017-05-19,2922
2017-05-20,2968
2017-05-21,2968
2017-05-22,2968
2017-05-23,2968
2017-05-24,2968
2017-05-25,2968
2017-05-26,2968
2017-05-27,3009
2017-05-28,3009
2017-05-29,3009
2017-05-30,3009
2017-05-31,3009
2017-06-01,3009
2017-06-02,3009
2017-06-03,2972
2017-06-04,2972
2017-06-05,2972
2017-06-06,2972
2017-06-07,2972
2017-06-08,2852
2017-06-09,2852
2017-06-10,2852
2017-06-11,2852
2017-06-12,2845
2017-06-13,2845
2017-06-14,2845
2017-06-15,2845
2017-06-16,2845
2017-06-17,2845
2017-06-18,2862
2017-06-19,2862
2017-06-20,2862
2017-06-21,2862
2017-06-22,2862
2017-06-23,2862
2017-06-24,2862
2017-06-25,2856
2017-06-26,2856
2017-06-27,2856
2017-06-28,2856
2017-06-29,2856
2017-06-30,2812
2017-07-01,2812
2017-07-02,2812
2017-07-03,2812
2017-07-04,2812
2017-07-05,2812
2017-07-06,2708
2017-07-07,2708
2017-07-08,2708
2017-07-13,2708
2017-07-14,2708
2017-07-15,2708
2017-07-16,2708
2017-07-17,2708
2017-07-18,2708
2017-07-19,2708
2017-07-20,2696
2017-07-21,2696
2017-07-22,2696
2017-07-23,2696
2017-07-24,2696
2017-07-25,2696
2017-07-26,2762
2017-07-27,2762
2017-07-28,2762
2017-07-29,2762
2017-07-30,2762
2017-07-31,2762
2017-08-01,2762
2017-08-02,2747
2017-08-03,2747
2017-08-04,2747
2017-08-05,2747
2017-08-06,2747
2017-08-09,2783
2017-08-10,2783
2017-08-11,2783
2017-08-12,2783
2017-08-13,2783
2017-08-14,2783
2017-08-15,2821
2017-08-16,2821
2017-08-17,2821
2017-08-18,2821
2017-08-19,2821
2017-08-20,2821
2017-08-21,2859
2017-08-22,2859
2017-08-23,2859
2017-08-24,2859
2017-08-25,2859
2017-08-26,2859
2017-08-27,2859
2017-08-28,2914
2017-08-29,2914
2017-08-30,2914
2017-08-31,2914
2017-09-01,2914
2017-09-02,2914
2017-09-03,2914
2017-09-04,2968
2017-09-05,2968
2017-09-06,2968
2017-09-07,2968
2017-09-08,2968
2017-09-09,2968
2017-09-10,2992
2017-09-11,2992
2017-09-12,2992
2017-09-13,2992
2017-09-14,2992
2017-09-15,2992
2017-09-16,3073
2017-09-17,3073
2017-09-18,3073
2017-09-19,3073
2017-09-20,3073
2017-09-22,3100
2017-09-23,3100
2017-09-24,3100
2017-09-25,3100
2017-09-26,3100
2017-09-27,3100
2017-09-28,3057
2017-09-29,3057
2017-09-30,3057
2017-10-01,3057
2017-10-02,3057
2017-10-03,3057
2017-10-04,3050
2017-10-05,3050
2017-10-06,3050
2017-10-07,3050
2017-10-08,3050
2017-10-09,3050
2017-10-10,3033
2017-10-11,3033
2017-10-12,3033
2017-10-13,3033
2017-10-14,3033
2017-10-15,3033
2017-10-16,3033
2017-10-17,3033
2017-10-18,3021
2017-10-19,3021
2017-10-20,3021
2017-10-21,3021
2017-10-22,3021
2017-10-23,3021
2017-10-24,3021
2017-10-25,3019
2017-10-26,3019
2017-10-27,3019
2017-10-28,3019
2017-10-29,3019
2017-10-30,3019
2017-10-31,3019
2017-11-01,3019
2017-11-02,3047
2017-11-03,3047
2017-11-04,3047
2017-11-05,3047
2017-11-06,3047
2017-11-07,3047
2017-11-08,3088
2017-11-09,3088
2017-11-10,3088
2017-11-11,3088
2017-11-12,3088
2017-11-13,3088
2017-11-14,3088
2017-11-15,3068
2017-11-16,3068
2017-11-17,3068
2017-11-18,3068
2017-11-19,3068
2017-11-20,3068
2017-11-21,3068
2017-11-22,3068
2017-11-23,3006
2017-11-24,3006
2017-11-25,3006
2017-11-26,3006
2017-11-27,3006
2017-11-28,3006
2017-11-29,3006
2017-11-30,3006
2017-12-01,3052
2017-12-02,3052
2017-12-03,3052
2017-12-04,3052
2017-12-05,3052
2017-12-06,3052
2017-12-07,3052
2017-12-08,3052
2017-12-09,3018
2017-12-10,3018
2017-12-11,3018
2017-12-12,3018
2017-12-13,3018
2017-12-14,3018
2017-12-15,3018
2017-12-16,2885
2017-12-17,2885
2017-12-18,2885
2017-12-19,2885
2017-12-20,2885
2017-12-21,2885
2017-12-22,2885
2017-12-23,2901
2017-12-24,2901
2017-12-25,2901
2017-12-26,2901
2017-12-27,2901
2017-12-28,2901
2017-12-29,2901
2017-12-30,2929
2017-12-31,2929
2018-01-01,2929
2018-01-02,2929
2018-01-03,2929
2018-01-04,2929
2018-01-05,2892
2018-01-06,2892
2018-01-07,2892
2018-01-08,2892
2018-01-09,2892
2018-01-10,2892
2018-01-11,2834
2018-01-12,2834
2018-01-13,2834
2018-01-14,2834
2018-01-15,2834
2018-01-16,2834
2018-01-17,2813
2018-01-18,2813
2018-01-19,2813
2018-01-20,2813
2018-01-21,2813
2018-01-22,2813
