date_obj,Cocktail%20glass price
2016-11-12,226
2016-11-13,237
2016-11-14,243
2016-11-15,244
2016-12-07,355
2016-12-08,337
2016-12-09,320
2016-12-10,306
2016-12-11,317
2016-12-12,301
2016-12-13,285
2016-12-14,275
2016-12-15,275
2016-12-16,272
2016-12-17,264
2016-12-18,268
2016-12-19,265
2016-12-20,259
2016-12-21,254
2016-12-22,254
2016-12-23,263
2016-12-24,274
2016-12-25,288
2016-12-26,302
2016-12-27,309
2016-12-28,315
2016-12-29,319
2016-12-30,322
2016-12-31,312
2017-01-01,297
2017-01-02,288
2017-01-03,299
2017-01-04,287
2017-01-05,301
2017-01-06,302
2017-01-07,308
2017-01-08,310
2017-01-09,305
2017-01-10,308
2017-01-11,305
2017-01-12,310
2017-01-13,311
2017-01-14,307
2017-01-15,310
2017-01-16,306
2017-01-17,305
2017-01-18,306
2017-01-19,291
2017-01-20,291
2017-01-21,284
2017-01-22,298
2017-01-23,288
2017-01-27,267
2017-01-28,262
2017-01-29,253
2017-01-30,244
2017-01-31,240
2017-02-01,231
2017-02-02,221
2017-02-03,212
2017-02-04,201
2017-02-05,193
2017-02-06,184
2017-02-07,184
2017-02-08,184
2017-02-09,184
2017-02-10,185
2017-02-11,186
2017-02-12,187
2017-02-13,181
2017-02-14,181
2017-02-15,180
2017-02-16,174
2017-02-18,173
2017-02-19,172
2017-02-20,169
2017-02-21,174
2017-02-22,179
2017-02-23,176
2017-02-24,168
2017-02-25,167
2017-02-26,159
2017-02-27,151
2017-02-28,153
2017-03-01,154
2017-03-02,156
2017-03-03,151
2017-03-04,152
2017-03-05,156
2017-03-06,153
2017-03-07,145
2017-03-08,138
2017-03-09,138
2017-03-10,137
2017-03-11,141
2017-03-12,142
2017-03-13,147
2017-03-14,150
2017-03-15,155
2017-03-16,155
2017-03-17,158
2017-03-18,161
2017-03-19,165
2017-03-20,161
2017-03-21,158
2017-03-22,159
2017-03-23,164
2017-03-24,157
2017-03-25,157
2017-03-26,158
2017-03-27,154
2017-03-28,148
2017-03-29,140
2017-03-30,137
2017-03-31,142
2017-04-01,140
2017-04-02,133
2017-04-03,126
2017-04-04,119
2017-04-12,112
2017-04-13,118
2017-04-14,124
2017-04-15,131
2017-04-16,132
2017-04-17,131
2017-04-18,134
2017-04-19,135
2017-04-20,141
2017-04-21,148
2017-04-22,146
2017-04-23,150
2017-04-24,148
2017-04-25,147
2017-04-26,147
2017-04-27,149
2017-04-28,155
2017-04-29,158
2017-04-30,160
2017-05-01,163
2017-05-02,171
2017-05-03,175
2017-05-04,175
2017-05-05,179
2017-05-06,177
2017-05-07,176
2017-05-08,177
2017-05-09,168
2017-05-10,170
2017-05-11,174
2017-05-12,174
2017-05-13,176
2017-05-14,180
2017-05-15,188
2017-05-16,192
2017-05-17,195
2017-05-18,203
2017-05-19,205
2017-05-20,210
2017-05-21,210
2017-05-22,216
2017-05-23,218
2017-05-24,215
2017-05-25,211
2017-05-26,219
2017-05-27,220
2017-05-28,227
2017-05-29,215
2017-05-30,221
2017-05-31,224
2017-06-01,235
2017-06-02,240
2017-06-03,248
2017-06-04,241
2017-06-05,238
2017-06-06,232
2017-06-07,243
2017-06-08,256
2017-06-09,254
2017-06-10,242
2017-06-11,236
2017-06-12,227
2017-06-13,219
2017-06-14,215
2017-06-15,226
2017-06-16,218
2017-06-17,208
2017-06-18,199
2017-06-19,199
2017-06-20,194
2017-06-21,200
2017-06-22,201
2017-06-23,197
2017-06-24,193
2017-06-25,191
2017-06-26,197
2017-06-27,207
2017-06-28,218
2017-06-29,229
2017-06-30,241
2017-07-01,241
2017-07-02,254
2017-07-03,257
2017-07-04,259
2017-07-05,248
2017-07-06,238
2017-07-07,241
2017-07-08,253
2017-07-13,231
2017-07-14,219
2017-07-15,208
2017-07-16,197
2017-07-17,187
2017-07-18,177
2017-07-19,168
2017-07-20,159
2017-07-21,151
2017-07-22,149
2017-07-23,141
2017-07-24,133
2017-07-25,126
2017-07-26,121
2017-07-27,122
2017-07-28,121
2017-07-29,127
2017-07-30,123
2017-07-31,123
2017-08-01,125
2017-08-02,128
2017-08-03,130
2017-08-04,127
2017-08-05,134
2017-08-06,141
2017-08-09,157
2017-08-10,158
2017-08-11,154
2017-08-12,154
2017-08-13,155
2017-08-14,158
2017-08-15,158
2017-08-16,160
2017-08-17,165
2017-08-18,165
2017-08-19,158
2017-08-20,161
2017-08-21,156
2017-08-22,157
2017-08-23,162
2017-08-24,167
2017-08-25,173
2017-08-26,171
2017-08-27,178
2017-08-28,173
2017-08-29,166
2017-08-30,168
2017-08-31,164
2017-09-01,163
2017-09-02,157
2017-09-03,152
2017-09-04,159
2017-09-05,167
2017-09-06,176
2017-09-07,185
2017-09-08,185
2017-09-09,181
2017-09-10,184
2017-09-11,191
2017-09-12,191
2017-09-13,183
2017-09-14,183
2017-09-15,183
2017-09-16,182
2017-09-17,179
2017-09-18,178
2017-09-19,180
2017-09-20,181
2017-09-21,177
2017-09-22,174
2017-09-23,174
2017-09-24,178
2017-09-25,180
2017-09-26,179
2017-09-27,177
2017-09-28,186
2017-09-29,196
2017-09-30,206
2017-10-01,216
2017-10-02,216
2017-10-03,221
2017-10-04,216
2017-10-05,220
2017-10-06,221
2017-10-07,222
2017-10-08,217
2017-10-09,216
2017-10-10,226
2017-10-11,226
2017-10-12,220
2017-10-13,230
2017-10-14,230
2017-10-15,230
2017-10-16,219
2017-10-17,219
2017-10-18,217
2017-10-19,220
2017-10-20,210
2017-10-21,216
2017-10-22,206
2017-10-23,202
2017-10-24,202
2017-10-25,210
2017-10-26,214
2017-10-27,220
2017-10-28,220
2017-10-29,230
2017-10-30,224
2017-10-31,232
2017-11-01,232
2017-11-02,231
2017-11-03,240
2017-11-04,252
2017-11-05,259
2017-11-06,257
2017-11-07,255
2017-11-08,247
2017-11-09,247
2017-11-10,254
2017-11-11,260
2017-11-12,248
2017-11-13,235
2017-11-14,226
2017-11-15,218
2017-11-16,212
2017-11-17,213
2017-11-18,202
2017-11-19,195
2017-11-20,197
2017-11-21,187
2017-11-22,183
2017-11-23,174
2017-11-24,176
2017-11-25,180
2017-11-26,176
2017-11-27,176
2017-11-28,174
2017-11-29,176
2017-11-30,173
2017-12-01,178
2017-12-02,180
2017-12-03,183
2017-12-04,186
2017-12-05,184
2017-12-06,176
2017-12-07,177
2017-12-08,177
2017-12-09,174
2017-12-10,168
2017-12-11,167
2017-12-12,166
2017-12-13,168
2017-12-14,170
2017-12-15,169
2017-12-16,174
2017-12-17,174
2017-12-18,177
2017-12-19,181
2017-12-20,171
2017-12-21,168
2017-12-22,168
2017-12-23,165
2017-12-24,169
2017-12-25,162
2017-12-26,160
2017-12-27,166
2017-12-28,164
2017-12-29,171
2017-12-30,180
2017-12-31,188
2018-01-01,193
2018-01-02,187
2018-01-03,178
2018-01-04,180
2018-01-05,174
2018-01-06,175
2018-01-07,172
2018-01-08,171
2018-01-09,171
2018-01-10,167
2018-01-11,167
2018-01-12,172
2018-01-13,175
2018-01-14,176
2018-01-15,184
2018-01-16,194
2018-01-17,192
2018-01-18,186
2018-01-19,186
2018-01-20,191
2018-01-21,196
2018-01-22,205
2018-01-23,213
2018-01-24,219
2018-01-25,220
2018-01-26,225
2018-01-27,237
2018-01-28,246
2018-01-29,242
2018-01-30,254
2018-01-31,262
2018-02-01,275
2018-02-02,284
2018-02-03,274
2018-02-04,260
2018-02-05,250
2018-02-06,253
2018-02-07,248
2018-02-08,248
2018-02-09,243
2018-02-10,233
2018-02-11,237
2018-02-12,243
2018-02-13,230
2018-02-14,218
2018-02-15,207
2018-02-16,197
2018-02-17,189
2018-02-18,187
2018-02-19,190
2018-02-20,180
2018-02-21,171
2018-02-22,162
2018-02-23,154
2018-02-24,154
2018-02-25,152
2018-02-26,146
2018-02-27,141
2018-02-28,137
2018-03-01,138
2018-03-02,140
2018-03-03,146
2018-03-04,146
2018-03-05,151
2018-03-06,152
2018-03-07,149
2018-03-08,152
2018-03-09,157
2018-03-10,151
2018-03-11,144
2018-03-12,137
2018-03-13,132
2018-03-14,128
2018-03-15,133
2018-03-16,127
2018-03-17,124
2018-03-18,130
2018-03-20,137
2018-03-21,142
2018-03-23,142
2018-03-24,135
2018-03-25,130
2018-03-26,126
2018-03-27,128
2018-03-28,122
2018-03-29,127
2018-03-30,130
2018-03-31,134
2018-04-02,137
2018-04-03,142
2018-04-04,142
2018-04-05,142
2018-04-06,141
2018-04-07,141
2018-04-08,137
2018-04-09,135
2018-04-10,135
2018-04-11,135
2018-04-12,133
2018-04-13,133
2018-04-14,130
2018-04-15,131
2018-04-16,131
2018-04-17,128
2018-04-18,128
2018-04-19,122
2018-04-20,126
2018-04-21,132
2018-04-22,129
2018-04-23,124
2018-04-24,122
2018-04-25,119
2018-04-26,119
2018-04-27,118
2018-04-28,118
2018-04-29,112
2018-04-30,109
2018-05-01,113
2018-05-03,117
2018-05-04,123
2018-05-05,128
2018-05-07,122
2018-05-08,129
2018-05-09,136
2018-05-10,142
2018-05-11,144
2018-05-12,150
2018-05-13,150
2018-05-14,152
2018-05-15,154
2018-05-16,158
2018-05-17,163
2018-05-18,160
2018-05-19,155
2018-05-20,153
2018-05-21,153
2018-05-22,153
2018-05-23,159
2018-05-24,163
2018-05-25,159
2018-05-26,155
2018-05-27,155
2018-05-28,149
2018-05-29,155
2018-05-30,153
2018-05-31,146
2018-06-01,143
2018-06-02,150
2018-06-03,150
2018-06-04,158
2018-06-05,164
2018-06-06,163
2018-06-07,163
2018-06-08,157
2018-06-09,157
2018-06-10,159
2018-06-11,155
2018-06-12,161
2018-06-13,159
2018-06-14,162
2018-06-15,162
2018-06-16,160
2018-06-17,156
2018-06-18,151
2018-06-19,152
2018-06-20,152
2018-06-21,159
2018-06-22,159
2018-06-23,159
2018-06-24,162
2018-06-25,161
2018-06-26,157
2018-06-27,158
2018-06-28,154
2018-06-29,154
2018-06-30,150
2018-07-01,149
2018-07-02,149
2018-07-03,153
2018-07-04,159
2018-07-05,167
2018-07-06,176
2018-07-07,183
2018-07-08,193
2018-07-09,202
2018-07-10,194
2018-07-11,195
2018-07-12,186
2018-07-13,181
2018-07-14,188
2018-07-15,188
2018-07-16,183
2018-07-17,173
2018-07-18,165
2018-07-19,165
2018-07-20,163
2018-07-21,162
2018-07-22,162
2018-07-23,156
2018-07-24,149
2018-07-25,141
2018-07-26,140
2018-07-27,142
2018-07-28,143
2018-07-29,142
2018-07-30,138
2018-07-31,138
2018-08-01,132
2018-08-02,136
2018-08-03,137
2018-08-04,134
2018-08-05,140
2018-08-06,147
2018-08-07,148
2018-08-08,151
2018-08-09,151
2018-08-10,146
2018-08-11,152
