date_obj,Ale%20of%20the%20gods price
2017-10-24,2887810
2017-10-25,2920065
2017-10-26,2927835
2017-10-27,2951952
2017-10-28,2951952
2017-10-29,2868949
2017-10-30,2870537
2017-10-31,2848644
2017-11-01,2848644
2017-11-02,2838140
2017-11-03,2823361
2017-11-04,2845462
2017-11-05,2910874
2017-11-06,2987754
2017-11-07,2973209
2017-11-08,2952277
2017-11-09,2941710
2017-11-10,2946234
2017-11-11,2944950
2017-11-12,2934074
2017-11-13,2884346
2017-11-14,2846318
2017-11-15,2809294
2017-11-16,2766001
2017-11-17,2760681
2017-11-18,2760681
2017-11-19,2732206
2017-11-20,2729829
2017-11-21,2700780
2017-11-22,2665211
2017-11-23,2583915
2017-11-24,2583915
2017-11-25,2536393
2017-11-26,2519397
2017-11-27,2519397
2017-11-28,2487031
2017-11-29,2499770
2017-11-30,2465198
2017-12-01,2516260
2017-12-02,2565050
2017-12-03,2557434
2017-12-04,2542643
2017-12-05,2510649
2017-12-06,2457017
2017-12-07,2512513
2017-12-08,2585229
2017-12-09,2674649
2017-12-10,2777960
2017-12-11,2773883
2017-12-12,2832666
2017-12-13,2922997
2017-12-14,2932970
2017-12-15,2914699
2017-12-16,2924176
2017-12-17,2900805
2017-12-18,2897201
2017-12-19,2818320
2017-12-20,2754547
2017-12-21,2649113
2017-12-22,2671080
2017-12-23,2720354
2017-12-24,2792508
2017-12-25,2808861
2017-12-26,2819191
2017-12-27,2825711
2017-12-28,2849824
2017-12-29,2873234
2017-12-30,2808732
2017-12-31,2837840
2018-01-01,2767513
2018-01-02,2724898
2018-01-03,2671975
2018-01-04,2538600
2018-01-05,2420013
2018-01-06,2311730
2018-01-07,2210314
2018-01-08,2124176
2018-01-09,2038085
2018-01-10,1936569
2018-01-11,1919437
2018-01-12,1952982
2018-01-13,2020011
2018-01-14,2117079
2018-01-15,2146492
2018-01-16,2202309
2018-01-17,2183645
2018-01-18,2178554
2018-01-19,2178554
2018-01-20,2215854
2018-01-21,2198535
2018-01-22,2203812
2018-01-23,2216806
2018-01-24,2193643
2018-01-25,2207759
2018-01-26,2255979
2018-01-27,2298142
2018-01-28,2318098
2018-01-29,2353523
2018-01-30,2325538
2018-01-31,2345566
2018-02-01,2329073
2018-02-02,2353707
2018-02-03,2431971
2018-02-04,2438431
2018-02-05,2416576
2018-02-06,2395562
2018-02-07,2415316
2018-02-08,2415316
2018-02-09,2413688
2018-02-10,2403371
2018-02-11,2403513
2018-02-12,2420019
2018-02-13,2426765
2018-02-14,2421921
2018-02-15,2401739
2018-02-16,2383348
2018-02-17,2388511
2018-02-18,2416165
2018-02-19,2431612
2018-02-20,2435012
2018-02-21,2396319
2018-02-22,2342107
2018-02-23,2297513
2018-02-24,2277790
2018-02-25,2281128
2018-02-26,2277600
2018-02-27,2292978
2018-02-28,2352502
2018-03-01,2332512
2018-03-02,2353739
2018-03-03,2301792
2018-03-04,2301792
2018-03-05,2275989
2018-03-06,2280188
2018-03-07,2238482
2018-03-08,2205679
2018-03-09,2233864
2018-03-10,2211944
2018-03-11,2196794
2018-03-12,2251662
2018-03-13,2258022
2018-03-14,2324875
2018-03-15,2316361
2018-03-16,2311975
2018-03-17,2294325
2018-03-18,2312314
2018-03-19,2362952
2018-03-20,2353841
2018-03-22,2428117
2018-03-23,2483771
2018-03-24,2531870
2018-03-25,2531127
2018-03-26,2498473
2018-03-27,2587629
2018-03-28,2717011
2018-03-29,2849266
2018-03-30,2864579
2018-03-31,2776680
2018-04-01,2722615
2018-04-02,2756554
2018-04-03,2729402
2018-04-04,2695444
2018-04-05,2695444
2018-04-06,2686933
2018-04-07,2683963
2018-04-08,2679320
2018-04-09,2769310
2018-04-10,2744045
2018-04-11,2671761
2018-04-12,2665822
2018-04-13,2663455
2018-04-14,2658571
2018-04-15,2651332
2018-04-16,2674263
2018-04-17,2664768
2018-04-18,2726115
2018-04-19,2775718
2018-04-20,2816891
2018-04-21,2871169
2018-04-22,2893489
2018-04-23,2848330
2018-04-24,2812876
2018-04-25,2771564
2018-04-26,2795416
2018-04-27,2843433
2018-04-28,2835375
2018-04-29,2810043
2018-04-30,2847259
2018-05-01,2845204
2018-05-02,2857128
2018-05-03,2901713
2018-05-04,2936398
2018-05-05,2945961
2018-05-06,2945961
2018-05-07,2922631
2018-05-08,2900376
2018-05-09,2836992
2018-05-10,2773793
2018-05-11,2684030
2018-05-12,2579547
2018-05-13,2528365
2018-05-14,2459198
2018-05-15,2376911
2018-05-16,2266382
2018-05-17,2168747
2018-05-18,2119645
2018-05-19,2165910
2018-05-20,2186962
2018-05-21,2200902
2018-05-22,2200902
2018-05-23,2242235
2018-05-24,2243834
2018-05-25,2296697
2018-05-26,2322341
2018-05-27,2359811
2018-05-28,2365532
2018-05-29,2413067
2018-05-30,2432026
2018-05-31,2468778
2018-06-01,2480779
2018-06-02,2472454
2018-06-03,2495416
2018-06-04,2495917
2018-06-05,2531544
2018-06-06,2506305
2018-06-07,2460164
2018-06-08,2399279
2018-06-09,2304673
2018-06-10,2194039
2018-06-11,2111646
2018-06-12,2060628
2018-06-13,2039221
2018-06-14,2036284
2018-06-15,2097688
2018-06-16,2099451
2018-06-17,2042020
2018-06-18,2077065
2018-06-19,2126111
2018-06-20,2126111
2018-06-21,2178023
2018-06-22,2185664
2018-06-23,2185664
2018-06-24,2180628
2018-06-25,2231758
2018-06-26,2237350
2018-06-27,2229087
2018-06-28,2205472
2018-06-29,2168893
2018-06-30,2123577
2018-07-01,2111229
2018-07-02,2109462
2018-07-03,2109099
2018-07-04,2104261
2018-07-05,2109846
2018-07-06,2083791
2018-07-07,2102096
2018-07-08,2108669
2018-07-09,2141961
2018-07-10,2171610
2018-07-11,2227321
2018-07-12,2255530
2018-07-13,2293592
2018-07-14,2370538
2018-07-15,2461290
2018-07-16,2478061
2018-07-17,2553335
2018-07-18,2580155
2018-07-19,2618355
2018-07-20,2622727
2018-07-21,2661542
2018-07-22,2605995
2018-07-23,2534079
2018-07-24,2481061
2018-07-25,2411844
2018-07-26,2345712
2018-07-27,2308182
2018-07-28,2303992
2018-07-29,2285095
2018-07-30,2309408
2018-07-31,2259299
2018-08-01,2259299
2018-08-02,2213403
2018-08-03,2177361
2018-08-04,2182911
2018-08-05,2200777
2018-08-06,2233117
2018-08-07,2288320
2018-08-08,2325586
2018-08-09,2380212
2018-08-10,2368581
2018-08-11,2404775
2018-08-12,2469138
2018-08-14,2400923
2018-08-16,2358785
2018-08-17,2321626
2018-08-18,2299663
2018-08-19,2288845
2018-08-20,2277741
2018-08-21,2248906
2018-08-22,2234009
2018-08-23,2220086
2018-08-24,2243876
2018-08-25,2264178
2018-08-26,2336551
2018-08-27,2364744
2018-08-28,2335101
2018-08-29,2331503
2018-08-30,2334754
2018-08-31,2365340
2018-09-01,2427812
2018-09-02,2447083
2018-09-03,2411663
2018-09-04,2393783
2018-09-05,2455204
2018-09-06,2455204
2018-09-07,2545339
2018-09-08,2526417
2018-09-09,2510971
2018-09-10,2470061
2018-09-11,2415888
2018-09-12,2376846
2018-09-13,2340008
2018-09-14,2362985
2018-09-15,2456228
2018-09-16,2450558
2018-09-17,2397290
2018-09-18,2344364
2018-09-19,2336606
2018-09-20,2339778
2018-09-21,2371864
2018-09-22,2377130
2018-09-23,2402682
2018-09-24,2472914
2018-09-25,2474089
2018-09-26,2430018
2018-09-27,2427888
2018-09-28,2403995
2018-09-29,2353461
2018-09-30,2365371
2018-10-01,2360226
2018-10-02,2345151
2018-10-03,2376480
2018-10-04,2446175
2018-10-05,2504069
2018-10-06,2507843
2018-10-07,2549786
2018-10-08,2550233
2018-10-09,2584908
2018-10-10,2536444
2018-10-11,2509255
2018-10-12,2552575
2018-10-13,2565572
2018-10-14,2549302
2018-10-15,2552844
2018-10-16,2546487
2018-10-17,2526483
2018-10-18,2523867
2018-10-19,2542258
2018-10-20,2542258
2018-10-21,2547498
2018-10-22,2554175
2018-10-23,2552992
2018-10-24,2535049
2018-10-25,2486560
2018-10-26,2483603
2018-10-27,2475865
2018-10-28,2478262
2018-10-29,2437643
2018-10-30,2438348
2018-10-31,2425625
2018-11-01,2397347
2018-11-03,2453413
2018-11-04,2461133
2018-11-05,2430246
2018-11-06,2354027
2018-11-07,2325471
2018-11-08,2329154
2018-11-09,2326099
2018-11-10,2371099
2018-11-11,2377265
2018-11-12,2383586
2018-11-13,2422594
2018-11-14,2499705
2018-11-15,2563505
2018-11-16,2526948
2018-11-17,2514768
2018-11-18,2518412
2018-11-19,2520450
2018-11-20,2538922
2018-11-21,2543744
2018-11-22,2553388
2018-11-23,2558439
2018-11-24,2568841
2018-11-25,2575783
2018-11-26,2561998
2018-11-27,2579262
2018-11-28,2629620
2018-11-29,2683054
2018-12-01,2933682
2018-12-02,3023208
2018-12-03,2999158
2018-12-04,2986303
2018-12-05,3061395
2018-12-07,2940815
2018-12-09,2788631
2018-12-10,2774946
2018-12-11,2713614
2018-12-12,2678313
2018-12-13,2672723
2018-12-14,2728229
2018-12-15,2760685
2018-12-16,2723900
2018-12-17,2736327
2018-12-18,2748826
2018-12-19,2718875
2018-12-20,2701725
2018-12-21,2760275
2018-12-22,2787390
2018-12-23,2807585
2018-12-24,2821086
2018-12-25,2883170
2018-12-26,2866589
2018-12-27,2830428
2018-12-28,2841695
2018-12-29,2816246
2018-12-30,2748309
2018-12-31,2682250
2019-01-01,2601925
2019-01-02,2596153
2019-01-03,2594443
2019-01-04,2580969
2019-01-05,2581372
2019-01-06,2570241
2019-01-08,2612230
2019-01-10,2568930
2019-01-11,2458532
2019-01-12,2342139
2019-01-13,2225032
2019-01-14,2113780
2019-01-15,2051202
2019-01-16,2046575
2019-01-17,2086217
2019-01-18,2151310
2019-01-19,2126977
2019-01-20,2061520
2019-01-21,2067173
2019-01-22,2066762
2019-01-23,2080847
2019-01-24,2146672
2019-01-25,2238433
2019-01-26,2313908
2019-01-27,2302183
2019-01-28,2361332
2019-01-29,2391149
2019-01-30,2426705
2019-01-31,2408295
2019-02-01,2411750
2019-02-02,2396242
2019-02-03,2359721
2019-02-04,2317855
2019-02-05,2344003
2019-02-06,2292281
2019-02-07,2265569
2019-02-08,2258366
2019-02-09,2261797
2019-02-10,2241879
2019-02-11,2252881
2019-02-12,2202491
2019-02-13,2199279
2019-02-14,2195154
2019-02-15,2163891
2019-02-16,2096001
2019-02-17,2050264
2019-02-18,1960172
2019-02-19,1876396
2019-02-20,1847910
2019-02-21,1904072
2019-02-22,1925966
2019-02-23,1959308
2019-02-24,1963768
2019-02-25,1956501
2019-02-26,1924128
2019-02-27,1910226
2019-02-28,1888484
2019-03-01,1892928
2019-03-02,1826361
2019-03-03,1790027
2019-03-04,1812103
2019-03-05,1806199
2019-03-06,1819102
2019-03-07,1827345
2019-03-08,1844083
2019-03-09,1849845
2019-03-10,1840990
2019-03-11,1864010
2019-03-12,1888908
2019-03-13,1924662
2019-03-14,1967622
2019-03-15,2022546
2019-03-16,2074164
2019-03-17,2098256
2019-03-18,2080566
2019-03-19,2115371
2019-03-20,2143584
2019-03-21,2122379
2019-03-22,2151299
2019-03-23,2145218
2019-03-24,2088342
2019-03-25,2058487
2019-03-26,2030776
2019-03-27,2025570
2019-03-28,2019919
2019-03-29,1974216
2019-03-30,1957568
2019-03-31,1946541
2019-04-01,1926131
2019-04-02,1965029
2019-04-03,2034257
2019-04-04,1972281
2019-04-05,1968168
2019-04-06,2006592
2019-04-07,2017929
2019-04-08,2016174
2019-04-09,2055632
2019-04-10,2120622
2019-04-11,2076676
2019-04-12,2047236
2019-04-13,2003134
2019-04-14,1945221
2019-04-15,1910741
2019-04-16,1860479
2019-04-17,1814423
2019-04-18,1782689
2019-04-19,1757655
2019-04-20,1708800
2019-04-21,1687682
2019-04-22,1656889
2019-04-23,1640733
2019-04-24,1647640
2019-04-25,1672330
2019-04-26,1715769
2019-04-27,1749260
2019-04-28,1750498
2019-04-29,1750292
2019-04-30,1727816
2019-05-01,1740588
2019-05-02,1767218
2019-05-03,1805644
2019-05-04,1840315
2019-05-05,1848258
2019-05-06,1832888
2019-05-07,1805061
2019-05-08,1813182
2019-05-09,1824198
2019-05-10,1836346
2019-05-11,1838035
2019-05-12,1877772
2019-05-13,1859204
2019-05-14,1830741
2019-05-15,1811502
2019-05-16,1779563
2019-05-17,1778489
2019-05-18,1762107
2019-05-19,1746502
2019-05-20,1702426
2019-05-21,1669905
2019-05-22,1621781
2019-05-23,1601907
2019-05-24,1578016
2019-05-25,1565891
2019-05-26,1519021
2019-05-27,1490022
2019-05-28,1485280
2019-05-29,1522349
2019-05-30,1477777
2019-05-31,1422326
2019-06-01,1469799
2019-06-02,1543289
2019-06-03,1610005
2019-06-04,1616590
2019-06-05,1565362
2019-06-06,1562933
2019-06-07,1540137
2019-06-08,1506777
2019-06-09,1459839
2019-06-10,1409170
2019-06-11,1402570
2019-06-12,1440375
2019-06-13,1465846
2019-06-14,1509441
2019-06-15,1518588
2019-06-16,1563208
2019-06-17,1591074
2019-06-18,1617923
2019-06-19,1653104
2019-06-20,1661340
2019-06-21,1650685
2019-06-22,1640813
2019-06-23,1607499
2019-06-24,1588707
2019-06-25,1538669
2019-06-26,1482625
2019-06-27,1452401
2019-06-28,1461618
2019-06-29,1524201
2019-06-30,1572069
2019-07-01,1624584
2019-07-02,1645690
2019-07-03,1664604
2019-07-04,1706903
2019-07-05,1734590
2019-07-06,1819412
2019-07-07,1843046
2019-07-08,1827945
2019-07-09,1877295
2019-07-10,1902896
2019-07-11,1928828
2019-07-12,2008855
2019-07-13,2053621
2019-07-14,2086809
2019-07-15,2132465
2019-07-16,2135783
2019-07-17,2110528
2019-07-18,2068921
2019-07-19,2062533
2019-07-20,2059334
2019-07-21,2051567
2019-07-22,2046246
2019-07-23,2050670
2019-07-24,2016771
2019-07-25,1955028
2019-07-26,1920013
2019-07-27,1920636
2019-07-28,1891992
2019-07-29,1869404
2019-07-30,1813851
2019-07-31,1758711
2019-08-01,1752258
2019-08-02,1749470
2019-08-03,1702560
2019-08-04,1644124
2019-08-05,1588877
2019-08-06,1523856
2019-08-07,1463948
2019-08-08,1447461
2019-08-09,1430020
2019-08-10,1437926
2019-08-11,1441906
2019-08-12,1418196
2019-08-13,1424970
2019-08-14,1411892
2019-08-15,1394493
2019-08-16,1401042
2019-08-17,1395201
2019-08-18,1335362
2019-08-19,1289713
2019-08-20,1345681
2019-08-21,1386586
2019-08-22,1431389
2019-08-23,1501449
2019-08-24,1571956
2019-08-24,1571956
2019-08-25,1563100
2019-08-25,1563100
2019-08-26,1549377
2019-08-27,1528434
2019-08-27,1528434
2019-08-28,1501378
2019-08-29,1463511
2019-08-30,1450444
2019-08-31,1428693
2019-09-01,1394159
2019-09-02,1397446
2019-09-03,1393792
2019-09-04,1369660
2019-09-05,1308752
2019-09-06,1276012
2019-09-07,1298014
2019-09-08,1280579
2019-09-09,1291345
2019-09-10,1260112
2019-09-11,1234628
2019-09-12,1228207
2019-09-13,1218240
2019-09-14,1232239
2019-09-15,1265284
2019-09-16,1321928
2019-09-17,1364655
2019-09-18,1406153
2019-09-19,1422401
2019-09-20,1427280
2019-09-21,1411905
2019-09-22,1402384
2019-09-23,1404733
2019-09-24,1404733
2019-09-25,1363784
2019-09-26,1331341
2019-09-27,1323501
2019-09-28,1281995
2019-09-29,1217895
2019-09-30,1157000
2019-10-01,1120418
2019-10-02,1162275
2019-10-03,1181525
2019-10-04,1223942
2019-10-05,1280639
2019-10-06,1333431
2019-10-07,1323352
2019-10-08,1286121
2019-10-09,1262730
2019-10-10,1245285
2019-10-11,1229941
2019-10-12,1206869
2019-10-13,1196870
2019-10-14,1168490
2019-10-15,1165923
2019-10-16,1169850
2019-10-17,1174769
2019-10-18,1178195
2019-10-19,1174898
2019-10-20,1173260
2019-10-21,1170596
2019-10-22,1146037
2019-10-23,1130566
2019-10-24,1113747
2019-10-25,1147143
2019-10-26,1139222
2019-10-27,1134407
2019-10-28,1139573
2019-10-29,1135107
2019-10-30,1126943
2019-10-31,1126888
2019-11-01,1122590
2019-11-02,1114333
2019-11-03,1092843
2019-11-04,1090608
2019-11-05,1066264
2019-11-06,1073079
2019-11-07,1094319
2019-11-08,1094566
2019-11-09,1090140
2019-11-10,1100799
2019-11-11,1107005
2019-11-12,1082020
2019-11-13,1099327
2019-11-14,1105472
2019-11-15,1093241
2019-11-16,1113269
2019-11-17,1113269
2019-11-18,1158597
2019-11-19,1183502
2019-11-20,1237927
2019-11-21,1237927
2019-11-22,1272871
2019-11-23,1286116
2019-11-24,1316495
2019-11-25,1346815
2019-11-26,1380371
2019-11-27,1393620
2019-11-28,1399198
2019-11-29,1399230
2019-11-30,1392293
2019-12-01,1382920
2019-12-02,1406334
2019-12-03,1405488
2019-12-04,1389446
2019-12-05,1389446
2019-12-06,1366243
2019-12-07,1364573
2019-12-08,1367673
2019-12-09,1359216
2019-12-10,1335562
2019-12-11,1361790
2019-12-12,1409715
2019-12-13,1440093
2019-12-14,1460216
2019-12-15,1475880
2019-12-16,1490744
2019-12-17,1447437
2019-12-18,1425516
2019-12-19,1428739
2019-12-20,1455477
2019-12-21,1472816
2019-12-22,1481322
2019-12-23,1475302
2019-12-24,1478745
2019-12-25,1528188
2019-12-26,1598046
2019-12-27,1675660
2019-12-28,1705106
2019-12-29,1698228
2019-12-30,1671530
2019-12-31,1632349
2020-01-01,1574383
2020-01-02,1581674
2020-01-03,1589658
2020-01-04,1604048
2020-01-05,1601308
2020-01-06,1569664
2020-01-07,1557782
2020-01-08,1557504
2020-01-09,1519996
2020-01-10,1479424
2020-01-11,1443479
2020-01-12,1382255
2020-01-13,1317870
2020-01-14,1280517
2020-01-15,1278431
2020-01-16,1238367
2020-01-17,1207850
2020-01-18,1199546
2020-01-19,1189884
2020-01-20,1210277
2020-01-21,1194945
2020-01-22,1171732
2020-01-23,1164264
2020-01-24,1148788
2020-01-25,1118845
2020-01-26,1140130
2020-01-27,1151189
2020-01-28,1169634
2020-01-29,1173390
2020-01-30,1138852
2020-01-31,1137508
2020-02-01,1162391
2020-02-02,1140670
2020-02-03,1119971
2020-02-04,1116852
2020-02-05,1081033
2020-02-06,1039395
2020-02-07,988612
2020-02-08,940634
2020-02-09,895063
2020-02-10,856395
2020-02-11,850678
