date_obj,Dwarf%20cannon%20set price
2017-04-30,756435
2017-05-01,757439
2017-05-02,757532
2017-05-03,756245
2017-05-04,753543
2017-05-05,754155
2017-05-06,753307
2017-05-07,751935
2017-05-08,749716
2017-05-09,751062
2017-05-10,750617
2017-05-11,751614
2017-05-12,754046
2017-05-13,754063
2017-05-14,753950
2017-05-16,757829
2017-05-17,758477
2017-05-18,757105
2017-05-19,756502
2017-05-20,756507
2017-05-21,756843
2017-05-22,755272
2017-05-23,754971
2017-05-24,754750
2017-05-25,741748
2017-05-26,746504
2017-05-27,751965
2017-05-28,752715
2017-05-29,754667
2017-05-30,753989
2017-05-31,756403
2017-06-01,747648
2017-06-02,751577
2017-06-03,754382
2017-06-04,760481
2017-06-05,761316
2017-06-06,759408
2017-06-07,755254
2017-06-08,754258
2017-06-09,749089
2017-06-10,746235
2017-06-11,737666
2017-06-12,734907
2017-06-13,740332
2017-06-14,745184
2017-06-15,749514
2017-06-16,752261
2017-06-17,753633
2017-06-18,754044
2017-06-19,754085
2017-06-20,753397
2017-06-21,754991
2017-06-22,756028
2017-06-23,756847
2017-06-24,754668
2017-06-25,749833
2017-06-26,752795
2017-06-27,753278
2017-06-28,753275
2017-06-29,755965
2017-06-30,764242
2017-07-01,758629
2017-07-02,756992
2017-07-03,755285
2017-07-04,755086
2017-07-05,760785
2017-07-06,757703
2017-07-07,762941
2017-07-08,757738
2017-07-13,754797
2017-07-14,760441
2017-07-15,758301
2017-07-16,756047
2017-07-17,755693
2017-07-18,755679
2017-07-19,751293
2017-07-20,754545
2017-07-21,756890
2017-07-22,760888
2017-07-23,759522
2017-07-24,757954
2017-07-25,757179
2017-07-26,757442
2017-07-27,757683
2017-07-28,755478
2017-07-29,757848
2017-07-30,756917
2017-07-31,756345
2017-08-01,755934
2017-08-02,757146
2017-08-03,758217
2017-08-04,757366
2017-08-05,756942
2017-08-06,756114
2017-08-09,755624
2017-08-10,756192
2017-08-11,756752
2017-08-12,757273
2017-08-13,757188
2017-08-14,756867
2017-08-15,755882
2017-08-16,754441
2017-08-17,753686
2017-08-18,754296
2017-08-19,752898
2017-08-20,754562
2017-08-21,754826
2017-08-22,754442
2017-08-23,760173
2017-08-24,750643
2017-08-25,752607
2017-08-26,752952
2017-08-27,754403
2017-08-28,752361
2017-08-29,754095
2017-08-30,753676
2017-08-31,751623
2017-09-01,750995
2017-09-03,766911
2017-09-04,755154
2017-09-05,755927
2017-09-06,749144
2017-09-07,752598
2017-09-08,752423
2017-09-09,754588
2017-09-10,755300
2017-09-11,754597
2017-09-12,754608
2017-09-13,754446
2017-09-14,754780
2017-09-15,755978
2017-09-16,755200
2017-09-17,755672
2017-09-18,758103
2017-09-19,756920
2017-09-20,755715
2017-09-21,755089
2017-09-22,753901
2017-09-23,754009
2017-09-24,754302
2017-09-25,754504
2017-09-26,754776
2017-09-27,754677
2017-09-28,755153
2017-09-29,760199
2017-09-30,757246
2017-10-01,756935
2017-10-02,761346
2017-10-03,760776
2017-10-04,751354
2017-10-05,750341
2017-10-06,749428
2017-10-07,746831
2017-10-08,747258
2017-10-09,748583
2017-10-10,750185
2017-10-11,751928
2017-10-12,757395
2017-10-13,758225
2017-10-14,754580
2017-10-15,754249
2017-10-16,751608
2017-10-17,748513
2017-10-18,749843
2017-10-19,749795
2017-10-20,752055
2017-10-21,754782
2017-10-22,757706
2017-10-23,754474
2017-10-24,753739
2017-10-25,758068
2017-10-26,759563
2017-10-27,755318
2017-10-28,755120
2017-10-29,753641
2017-10-30,753293
2017-10-31,752447
2017-11-01,752885
2017-11-02,752989
2017-11-03,754627
2017-11-04,755218
2017-11-05,753403
2017-11-06,754083
2017-11-07,754532
2017-11-08,753747
2017-11-09,750768
2017-11-10,749668
2017-11-11,751348
2017-11-12,752438
2017-11-13,752216
2017-11-14,753136
2017-11-15,752637
2017-11-16,752187
2017-11-17,750831
2017-11-18,750163
2017-11-19,753309
2017-11-20,755499
2017-11-21,752643
2017-11-22,752483
2017-11-23,752054
2017-11-24,751892
2017-11-25,755689
2017-11-26,753033
2017-11-27,752555
2017-11-28,754117
2017-11-29,757457
2017-11-30,753569
2017-12-01,752985
2017-12-02,751333
2017-12-03,752591
2017-12-04,754534
2017-12-05,755673
2017-12-06,755083
2017-12-07,756537
2017-12-08,755380
2017-12-09,761684
2017-12-10,758502
2017-12-11,755712
2017-12-12,754545
2017-12-13,752651
2017-12-14,753474
2017-12-15,754952
2017-12-16,754779
2017-12-17,753412
2017-12-18,753418
2017-12-19,752957
2017-12-20,752865
2017-12-21,755643
2017-12-22,756036
2017-12-23,762639
2017-12-24,756149
2017-12-25,755932
2017-12-26,758646
2017-12-27,759370
2017-12-28,752255
2017-12-29,754019
2017-12-30,755277
2017-12-31,754945
2018-01-01,755671
2018-01-02,755952
2018-01-03,756814
2018-01-04,756155
2018-01-05,760429
2018-01-06,758129
2018-01-07,755806
2018-01-08,755074
2018-01-09,755377
2018-01-10,755740
2018-01-11,756184
2018-01-12,756457
2018-01-13,758932
2018-01-14,759817
2018-01-15,755919
2018-01-16,755618
2018-01-17,755306
2018-01-18,755306
2018-01-19,758671
2018-01-20,757467
2018-01-21,756337
2018-01-22,755171
2018-01-23,754774
2018-01-25,754608
2018-01-26,754639
2018-01-27,751492
2018-01-28,751240
2018-01-29,750724
2018-01-30,750990
2018-01-31,750948
2018-02-01,748069
2018-02-02,749985
2018-02-03,751298
2018-02-04,754600
2018-02-05,758474
2018-02-06,755559
2018-02-07,757897
2018-02-08,758307
2018-02-09,756951
2018-02-10,757134
2018-02-11,761402
2018-02-12,759185
2018-02-13,756716
2018-02-14,758658
2018-02-15,758492
2018-02-16,761503
2018-02-17,757291
2018-02-18,757823
2018-02-19,762293
2018-02-20,760722
2018-02-21,756642
2018-02-22,755355
2018-02-23,754167
2018-02-24,752746
2018-02-25,754355
2018-02-26,754842
2018-02-27,754526
2018-02-28,754473
2018-03-01,754001
2018-03-02,753040
2018-03-03,754038
2018-03-04,754207
2018-03-05,754183
2018-03-06,754295
2018-03-07,753214
2018-03-09,753580
2018-03-10,753099
2018-03-11,753094
2018-03-12,752732
2018-03-13,754100
2018-03-14,753943
2018-03-15,757662
2018-03-16,755224
2018-03-17,755092
2018-03-18,757055
2018-03-20,753920
2018-03-21,757226
2018-03-23,755617
2018-03-24,756528
2018-03-25,758122
2018-03-26,757397
2018-03-27,760025
2018-03-28,760053
2018-03-29,757928
2018-03-30,756416
2018-03-31,756541
2018-04-01,755793
2018-04-02,759611
2018-04-03,757455
2018-04-04,757124
2018-04-05,757716
2018-04-06,755825
2018-04-07,755700
2018-04-08,756054
2018-04-09,756104
2018-04-10,757546
2018-04-11,760158
2018-04-12,756662
2018-04-13,755734
2018-04-14,756049
2018-04-15,762195
2018-04-16,759917
2018-04-17,757017
2018-04-18,759646
2018-04-19,757768
2018-04-20,755178
2018-04-21,753024
2018-04-22,751581
2018-04-23,752301
2018-04-24,751585
2018-04-25,752976
2018-04-26,752730
2018-04-27,753992
2018-04-28,755053
2018-04-29,763215
2018-04-30,756765
2018-05-01,756486
2018-05-03,762112
2018-05-04,761787
2018-05-05,760344
2018-05-07,759381
2018-05-08,756720
2018-05-09,757294
2018-05-10,756975
2018-05-11,755480
2018-05-12,758352
2018-05-13,760259
2018-05-14,761622
2018-05-15,766150
2018-05-16,761601
2018-05-17,758890
2018-05-18,760726
2018-05-19,760781
2018-05-20,759687
2018-05-21,758029
2018-05-22,757024
2018-05-23,757287
2018-05-24,757276
2018-05-25,758711
2018-05-26,761857
2018-05-27,767378
2018-05-28,762399
2018-05-29,758280
2018-05-30,758055
2018-05-31,760181
2018-06-01,758575
2018-06-02,758667
2018-06-03,756416
2018-06-04,757466
2018-06-05,758440
2018-06-06,756415
2018-06-07,748613
2018-06-08,747647
2018-06-09,753159
2018-06-10,754845
2018-06-11,756368
2018-06-12,758409
2018-06-13,758652
2018-06-14,758168
2018-06-15,757515
2018-06-16,758353
2018-06-17,758471
2018-06-18,758106
2018-06-19,758133
2018-06-20,757829
2018-06-21,757426
2018-06-22,757304
2018-06-23,758570
2018-06-24,757759
2018-06-25,759958
2018-06-26,760757
2018-06-27,761549
2018-06-28,760514
2018-06-29,759946
2018-06-30,764320
2018-07-01,760921
2018-07-02,759029
2018-07-03,758153
2018-07-04,760717
2018-07-05,757733
2018-07-06,755099
2018-07-07,753270
2018-07-08,754476
2018-07-09,755980
2018-07-10,757700
2018-07-11,758700
2018-07-12,766227
2018-07-13,762255
2018-07-14,759457
2018-07-15,758816
2018-07-16,763669
2018-07-17,760380
2018-07-18,757486
2018-07-19,755045
2018-07-20,756309
