date_obj,Steel%20platelegs price
2016-10-31,449
2016-11-01,449
2016-11-02,445
2016-11-03,445
2016-11-04,445
2016-11-05,445
2016-11-06,445
2016-11-07,445
2016-11-08,446
2016-11-09,441
2016-11-10,443
2016-11-11,443
2016-11-12,442
2016-11-13,442
2016-11-14,443
2016-12-08,449
2016-12-09,453
2016-12-10,457
2016-12-11,460
2016-12-12,457
2016-12-13,452
2016-12-14,445
2016-12-15,445
2016-12-16,441
2016-12-17,448
2016-12-18,442
2016-12-19,439
2016-12-20,446
2016-12-21,451
2016-12-22,454
2016-12-23,450
2016-12-24,450
2016-12-25,453
2016-12-26,443
2016-12-27,429
2016-12-28,425
2016-12-29,425
2016-12-30,424
2016-12-31,422
2017-01-01,417
2017-01-02,425
2017-01-03,416
2017-01-04,419
2017-01-05,419
2017-01-06,421
2017-01-07,433
2017-01-08,433
2017-01-09,427
2017-01-10,420
2017-01-11,423
2017-01-12,425
2017-01-13,425
2017-01-14,428
2017-01-15,431
2017-01-16,430
2017-01-17,433
2017-01-18,438
2017-01-19,432
2017-01-20,437
2017-01-21,444
2017-01-22,446
2017-01-27,476
2017-01-28,469
2017-01-29,479
2017-01-30,475
2017-01-31,464
2017-02-01,446
2017-02-02,428
2017-02-03,429
2017-02-04,431
2017-02-05,431
2017-02-06,426
2017-02-07,420
2017-02-08,415
2017-02-09,415
2017-02-10,418
2017-02-11,426
2017-02-12,426
2017-02-13,418
2017-02-14,411
2017-02-15,420
2017-02-16,420
2017-02-18,411
2017-02-19,407
2017-02-20,419
2017-02-21,418
2017-02-22,415
2017-02-23,412
2017-02-24,412
2017-02-25,406
2017-02-27,406
2017-02-28,410
2017-03-01,407
2017-03-02,409
2017-03-03,409
2017-03-04,415
2017-03-05,414
2017-03-06,424
2017-03-07,429
2017-03-08,423
2017-03-09,426
2017-03-10,424
2017-03-11,420
2017-03-12,417
2017-03-13,426
2017-03-14,427
2017-03-15,434
2017-03-16,431
2017-03-17,424
2017-03-18,424
2017-03-19,414
2017-03-20,422
2017-03-21,429
2017-03-22,428
2017-03-23,432
2017-03-24,426
2017-03-25,426
2017-03-26,423
2017-03-27,433
2017-03-28,436
2017-03-29,437
2017-03-30,441
2017-03-31,443
2017-04-01,436
2017-04-02,436
2017-04-03,431
2017-04-04,447
2017-04-12,445
2017-04-13,450
2017-04-14,444
2017-04-15,455
2017-04-16,457
2017-04-17,456
2017-04-18,443
2017-04-19,461
2017-04-20,449
2017-04-21,438
2017-04-22,444
2017-04-23,440
2017-04-24,443
2017-04-25,436
2017-04-26,436
2017-04-27,444
2017-04-28,444
2017-04-29,450
2017-04-30,449
2017-05-01,445
2017-05-02,445
2017-05-03,439
2017-05-04,440
2017-05-05,445
2017-05-06,445
2017-05-07,447
2017-05-08,442
2017-05-09,439
2017-05-10,440
2017-05-11,449
2017-05-12,446
2017-05-13,442
2017-05-14,447
2017-05-15,439
2017-05-16,425
2017-05-17,417
2017-05-18,424
2017-05-19,424
2017-05-20,429
2017-05-21,429
2017-05-22,433
2017-05-23,441
2017-05-24,438
2017-05-25,436
2017-05-26,423
2017-05-27,428
2017-05-28,417
2017-05-29,411
2017-05-30,425
2017-05-31,434
2017-06-01,432
2017-06-02,426
2017-06-03,422
2017-06-06,419
2017-06-07,416
2017-06-08,416
2017-06-09,419
2017-06-10,421
2017-06-11,418
2017-06-12,422
2017-06-13,416
2017-06-14,415
2017-06-15,416
2017-06-16,412
2017-06-17,409
2017-06-18,417
2017-06-19,417
2017-06-20,418
2017-06-21,418
2017-06-22,420
2017-06-23,420
2017-06-24,422
2017-06-25,420
2017-06-26,417
2017-06-27,416
2017-06-28,423
2017-06-29,418
2017-06-30,417
2017-07-01,417
2017-07-02,423
2017-07-03,422
2017-07-04,433
2017-07-05,433
2017-07-06,432
2017-07-07,432
2017-07-08,438
2017-07-13,441
2017-07-14,437
2017-07-15,437
2017-07-16,441
2017-07-17,435
2017-07-18,432
2017-07-19,437
2017-07-20,446
2017-07-21,435
2017-07-22,432
2017-07-23,436
2017-07-24,435
2017-07-25,436
2017-07-26,435
2017-07-27,441
2017-07-28,434
2017-07-29,437
2017-07-30,435
2017-07-31,435
2017-08-01,443
2017-08-02,450
2017-08-03,432
2017-08-04,441
2017-08-05,445
2017-08-06,451
2017-08-09,436
2017-08-10,427
2017-08-11,429
2017-08-12,422
2017-08-13,410
2017-08-14,410
2017-08-15,418
2017-08-17,419
2017-08-18,419
2017-08-19,419
2017-08-20,417
2017-08-21,420
2017-08-22,420
2017-08-23,417
2017-08-24,406
2017-08-25,410
2017-08-26,408
2017-08-27,408
2017-08-28,408
2017-08-29,416
2017-08-30,415
2017-08-31,412
2017-09-01,414
2017-09-02,411
2017-09-03,411
2017-09-04,414
2017-09-05,416
2017-09-06,412
2017-09-07,417
2017-09-08,417
2017-09-09,420
2017-09-10,414
2017-09-11,420
2017-09-12,420
2017-09-13,421
2017-09-14,417
2017-09-15,417
2017-09-16,412
2017-09-17,424
2017-09-19,428
2017-09-20,411
2017-09-21,404
2017-09-22,411
2017-09-23,411
2017-09-24,409
2017-09-25,422
2017-09-26,417
2017-09-27,417
2017-09-28,415
2017-09-29,419
2017-09-30,417
2017-10-01,408
2017-10-02,417
2017-10-03,425
2017-10-04,425
2017-10-05,421
2017-10-06,425
2017-10-07,418
2017-10-08,407
2017-10-09,401
2017-10-10,415
2017-10-11,415
2017-10-12,421
2017-10-13,422
2017-10-14,431
2017-10-15,431
2017-10-16,427
2017-10-17,427
2017-10-18,428
2017-10-19,429
2017-10-20,435
2017-10-21,424
2017-10-22,422
2017-10-23,408
2017-10-24,405
2017-10-25,414
2017-10-26,416
2017-10-27,417
2017-10-28,417
2017-10-29,418
2017-10-30,420
2017-10-31,420
2017-11-01,420
2017-11-02,421
2017-11-03,413
2017-11-04,414
2017-11-05,412
2017-11-06,412
2017-11-07,412
2017-11-08,414
2017-11-09,414
2017-11-10,408
2017-11-11,408
2017-11-12,399
2017-11-13,411
2017-11-14,410
2017-11-15,412
2017-11-16,410
2017-11-17,409
2017-11-18,407
2017-11-19,410
2017-11-20,414
2017-11-21,415
2017-11-22,409
2017-11-23,416
2017-11-24,412
2017-11-25,417
2017-11-26,422
2017-11-27,422
2017-11-28,426
2017-11-29,433
2017-11-30,428
2017-12-01,432
2017-12-02,432
2017-12-03,428
2017-12-04,416
2017-12-05,422
2017-12-06,419
2017-12-07,415
2017-12-08,415
2017-12-09,415
2017-12-10,416
2017-12-11,419
2017-12-12,421
2017-12-13,422
2017-12-14,426
2017-12-15,429
