date_obj,Spiked%20manacles price
2019-11-02,771189
2019-11-03,781985
2019-11-04,785185
2019-11-05,811002
2019-11-06,839631
2019-11-07,845658
2019-11-08,881548
2019-11-09,923866
2019-11-10,947431
2019-11-11,945568
2019-11-12,939604
2019-11-13,941732
2019-11-14,941544
2019-11-15,945821
2019-11-16,968838
2019-11-17,969333
2019-11-18,972886
2019-11-19,976295
2019-11-20,1020290
2019-11-21,1059680
2019-11-22,1112248
2019-11-23,1165559
2019-11-24,1223837
2019-11-25,1282627
2019-11-26,1304027
2019-11-27,1345181
2019-11-28,1401802
2019-11-29,1399571
2019-11-30,1337041
2019-12-01,1291310
2019-12-02,1242920
2019-12-03,1201206
2019-12-04,1178021
2019-12-05,1144754
2019-12-06,1132456
2019-12-07,1128725
2019-12-08,1172373
2019-12-09,1185709
2019-12-10,1227019
2019-12-11,1239329
2019-12-12,1248851
2019-12-13,1231919
2019-12-14,1252123
2019-12-15,1292538
2019-12-16,1248831
2019-12-17,1223525
2019-12-18,1185152
2019-12-19,1147467
2019-12-20,1152265
2019-12-21,1156521
2019-12-22,1164997
2019-12-23,1156732
2019-12-24,1152349
2019-12-25,1179867
2019-12-26,1154305
2019-12-27,1139862
2019-12-28,1139370
2019-12-29,1147573
2019-12-30,1161925
2019-12-31,1220022
2020-01-01,1272195
2020-01-02,1332481
2020-01-03,1394877
2020-01-04,1434147
2020-01-05,1499624
2020-01-06,1538293
2020-01-07,1517140
2020-01-08,1506370
2020-01-09,1490210
2020-01-10,1528412
2020-01-11,1578232
2020-01-12,1630411
2020-01-13,1596895
2020-01-14,1606019
2020-01-15,1582218
2020-01-16,1594780
2020-01-17,1581921
2020-01-18,1617493
2020-01-19,1622330
2020-01-20,1599935
2020-01-21,1615141
2020-01-22,1683953
2020-01-23,1695851
2020-01-24,1666310
2020-01-25,1650760
2020-01-26,1606275
2020-01-27,1569392
2020-01-28,1536403
2020-01-29,1478292
2020-01-30,1435636
2020-01-31,1412511
2020-02-01,1348236
2020-02-02,1320339
2020-02-03,1262435
2020-02-04,1224616
2020-02-05,1209846
2020-02-06,1152869
2020-02-07,1124159
2020-02-08,1135077
2020-02-09,1137116
2020-02-10,1110587
2020-02-11,1072149
2020-02-12,1055287
2020-02-13,1074198
2020-02-14,1064747
2020-02-15,1069799
2020-02-16,1092317
2020-02-17,1139056
2020-02-18,1182924
2020-02-19,1168676
2020-02-20,1201947
2020-02-21,1236089
2020-02-22,1247064
2020-02-23,1232010
2020-02-24,1211361
2020-02-25,1188984
2020-02-26,1164758
2020-02-27,1147256
2020-02-28,1123671
2020-02-29,1112750
2020-03-01,1068799
2020-03-02,1068123
2020-03-03,1039581
2020-03-04,1036466
2020-03-05,1028466
2020-03-06,1021354
2020-03-07,1057319
2020-03-08,1099395
2020-03-09,1091007
2020-03-10,1089605
2020-03-11,1085788
2020-03-12,1104173
2020-03-13,1124774
2020-03-14,1154792
2020-03-15,1211190
2020-03-16,1203708
2020-03-17,1168021
2020-03-18,1143400
2020-03-19,1128066
2020-03-20,1130629
2020-03-21,1135030
2020-03-22,1179723
2020-03-23,1170313
2020-03-24,1159190
2020-03-25,1169409
2020-03-26,1145211
2020-03-27,1138224
2020-03-28,1145847
2020-03-29,1124716
2020-03-30,1105925
2020-03-31,1101788
2020-04-01,1143127
2020-04-02,1182235
2020-04-03,1185217
2020-04-04,1230401
2020-04-05,1182134
2020-04-06,1162585
2020-04-07,1143262
2020-04-08,1121820
2020-04-09,1155872
2020-04-10,1143821
2020-04-11,1118991
2020-04-12,1128032
2020-04-13,1104229
2020-04-14,1110968
2020-04-15,1096597
2020-04-16,1071246
2020-04-17,1056323
2020-04-18,1014868
2020-04-19,972984
2020-04-20,975738
2020-04-21,1001904
2020-04-22,1021952
2020-04-23,991159
2020-04-24,974650
2020-04-25,959616
2020-04-26,927593
2020-04-27,901762
2020-04-28,892638
2020-04-29,889508
2020-04-30,897953
2020-05-01,890243
2020-05-02,896621
2020-05-03,878230
2020-05-04,865173
2020-05-05,856229
2020-05-06,848750
2020-05-07,837777
2020-05-08,829454
2020-05-09,817115
2020-05-10,821401
2020-05-11,835259
2020-05-12,815440
2020-05-13,800762
