date_obj,Dragon%20crossbow%20(u) price
2018-05-12,1238162
2018-05-13,1238162
2018-05-14,1238162
2018-05-15,1238162
2018-05-16,1295967
2018-05-17,1295967
2018-05-18,1295967
2018-05-19,1295967
2018-05-20,1295967
2018-05-21,1352533
2018-05-22,1352533
2018-05-23,1352533
2018-05-24,1352533
2018-05-25,1352533
2018-05-26,1413314
2018-05-27,1413314
2018-05-28,1413314
2018-05-29,1413314
2018-05-30,1413314
2018-05-31,1476602
2018-06-01,1476602
2018-06-02,1476602
2018-06-03,1476602
2018-06-04,1476602
2018-06-05,1542054
2018-06-06,1542054
2018-06-07,1542054
2018-06-08,1542054
2018-06-09,1542054
2018-06-10,1542054
2018-06-11,1611601
2018-06-12,1611601
2018-06-13,1611601
2018-06-14,1611601
2018-06-15,1611601
2018-06-16,1611601
2018-06-17,1683361
2018-06-18,1683361
2018-06-19,1683361
2018-06-20,1683361
2018-06-21,1683361
2018-06-22,1683361
2018-06-23,1760633
2018-06-24,1760633
2018-06-25,1760633
2018-06-26,1760633
2018-06-27,1760633
2018-06-28,1760633
2018-06-29,1839766
2018-06-30,1839766
2018-07-01,1839766
2018-07-02,1839766
2018-07-03,1839766
2018-07-04,1839766
2018-07-05,1839766
2018-07-06,1914090
2018-07-07,1914090
2018-07-08,1914090
2018-07-09,1914090
2018-07-10,1914090
2018-07-11,1999067
2018-07-12,1999067
2018-07-13,1999067
2018-07-14,1999067
2018-07-15,1999067
2018-07-16,1999067
2018-07-17,2084610
2018-07-18,2084610
2018-07-19,2084610
2018-07-20,2084610
2018-07-21,2084610
2018-07-22,2084610
2018-07-23,2178952
2018-07-24,2178952
2018-07-25,2178952
2018-07-26,2178952
2018-07-27,2178952
2018-07-28,2178952
2018-07-29,2273282
2018-07-30,2273282
2018-07-31,2273282
2018-08-01,2273282
2018-08-02,2273282
2018-08-03,2273282
2018-08-04,2273282
2018-08-05,2370787
2018-08-06,2370787
2018-08-07,2370787
2018-08-08,2370787
2018-08-09,2370787
2018-08-10,2370787
2018-08-11,2476376
2018-08-12,2476376
2018-08-14,2476376
2018-08-16,2476376
2018-08-17,2583512
2018-08-18,2583512
2018-08-19,2583512
2018-08-20,2583512
2018-08-21,2583512
2018-08-22,2583512
2018-08-23,2695151
2018-08-24,2695151
2018-08-25,2695151
2018-08-26,2695151
2018-08-27,2695151
2018-08-28,2695151
2018-08-29,2816701
2018-08-30,2816701
2018-08-31,2816701
2018-09-01,2816701
2018-09-02,2816701
2018-09-03,2816701
2018-09-04,2940606
2018-09-05,2940606
2018-09-06,2940606
2018-09-07,2940606
2018-09-08,2940606
2018-09-09,2940606
2018-09-10,2940606
2018-09-11,3065881
2018-09-12,3065881
2018-09-13,3065881
2018-09-14,3065881
2018-09-15,3065881
2018-09-16,3065881
2018-09-17,3065881
2018-09-18,3065881
2018-09-19,3194941
2018-09-20,3194941
2018-09-21,3194941
2018-09-22,3194941
2018-09-23,3194941
2018-09-24,3194941
2018-09-25,3194941
2018-09-26,3333753
2018-09-27,3333753
2018-09-28,3333753
2018-09-29,3333753
2018-09-30,3333753
2018-10-02,3333753
2018-10-03,3333753
2018-10-04,3486076
2018-10-05,3486076
2018-10-06,3486076
2018-10-08,3486076
2018-10-09,3486076
2018-10-10,3486076
2018-10-11,3486076
2018-10-12,3642101
2018-10-13,3642101
2018-10-14,3642101
2018-10-15,3642101
2018-10-16,3642101
2018-10-17,3642101
2018-10-18,3803318
2018-10-19,3803318
2018-10-20,3803318
2018-10-21,3803318
2018-10-22,3803318
2018-10-23,3803318
2018-10-24,3803318
2018-10-25,3969805
2018-10-26,3969805
2018-10-27,3969805
2018-10-28,3969805
2018-10-29,3969805
2018-10-30,3969805
2018-10-31,4136392
2018-11-01,4136392
2018-11-03,4136392
2018-11-04,4136392
2018-11-05,4136392
2018-11-06,4312215
2018-11-07,4312215
2018-11-08,4312215
2018-11-09,4312215
2018-11-10,4312215
2018-11-11,4312215
2018-11-12,4502942
2018-11-13,4502942
2018-11-14,4502942
2018-11-15,4502942
2018-11-16,4502942
2018-11-17,4692930
2018-11-18,4692930
2018-11-19,4692930
2018-11-20,4692930
2018-11-21,4692930
2018-11-22,4896155
2018-11-23,4896155
2018-11-24,4896155
2018-11-25,4896155
2018-11-26,4896155
2018-11-27,5091171
2018-11-28,5091171
2018-11-29,5091171
2018-12-01,5091171
2018-12-02,5314973
2018-12-03,5314973
2018-12-04,5314973
2018-12-05,5314973
2018-12-07,5314973
2018-12-09,5537637
2018-12-10,5537637
2018-12-11,5537637
2018-12-12,5537637
2018-12-13,5789445
2018-12-14,5789445
2018-12-15,5789445
2018-12-16,5789445
2018-12-17,6036056
2018-12-18,6036056
2018-12-19,6036056
2018-12-20,6036056
2018-12-21,6036056
2018-12-22,6274840
2018-12-23,6274840
2018-12-24,6274840
2018-12-25,6274840
2018-12-26,6274840
2018-12-27,6537790
2018-12-28,6537790
2018-12-29,6537790
2018-12-30,6537790
2018-12-31,6537790
2019-01-01,6808291
2019-01-02,6808291
2019-01-03,6808291
2019-01-04,6808291
2019-01-05,6808291
2019-01-06,7086168
2019-01-08,7086168
2019-01-10,7086168
2019-01-11,7086168
2019-01-12,7086168
2019-01-13,7354371
2019-01-14,7354371
2019-01-15,7354371
2019-01-16,7354371
2019-01-17,7354371
2019-01-18,7354371
2019-01-19,7354371
2019-01-20,7354371
2019-01-21,7354371
2019-01-22,7354371
2019-01-23,7354371
2019-01-24,7354371
2019-01-25,7354371
2019-01-26,7354371
2019-01-27,7354371
2019-01-28,7354371
2019-01-29,7354371
2019-01-30,7354371
2019-01-31,7354371
2019-02-01,7335622
2019-02-02,7335622
2019-02-03,7335622
2019-02-04,7335622
2019-02-05,7335622
2019-02-06,7335622
2019-02-07,7335622
2019-02-08,7335622
2019-02-09,7335622
2019-02-10,7335622
2019-02-11,7335622
2019-02-12,7335622
2019-02-13,7335622
2019-02-14,7335622
2019-02-15,7335622
2019-02-16,7335622
2019-02-17,7335622
2019-02-18,7335622
2019-02-19,7335622
2019-02-20,7335622
2019-02-21,7080932
2019-02-22,7080932
2019-02-23,7080932
2019-02-24,7080932
2019-02-25,7080932
2019-02-26,7080932
2019-02-27,7080932
2019-02-28,7080932
2019-03-01,7080932
2019-03-02,7080932
2019-03-03,7080932
2019-03-04,7080932
2019-03-05,7080932
2019-03-06,7080932
2019-03-07,7080932
2019-03-08,7080932
2019-03-09,7080932
2019-03-10,7080932
2019-03-11,7080932
2019-03-12,7080932
2019-03-13,7080932
2019-03-14,7080932
2019-03-15,7080932
2019-03-16,6737149
2019-03-17,6737149
2019-03-18,6737149
2019-03-19,6737149
2019-03-20,6737149
2019-03-21,6737149
