date_obj,Ultracompost price
2018-12-24,1543
2018-12-25,1605
2018-12-26,1631
2018-12-27,1663
2018-12-28,1644
2018-12-29,1638
2018-12-30,1660
2018-12-31,1731
2019-01-01,1803
2019-01-02,1880
2019-01-03,1920
2019-01-04,1995
2019-01-05,1978
2019-01-06,1963
2019-01-08,1879
2019-01-10,1741
2019-01-11,1653
2019-01-12,1586
2019-01-13,1635
2019-01-14,1689
2019-01-15,1732
2019-01-16,1706
2019-01-17,1687
2019-01-18,1700
2019-01-19,1720
2019-01-20,1787
2019-01-21,1844
2019-01-22,1856
2019-01-23,1832
2019-01-24,1766
2019-01-25,1718
2019-01-26,1653
2019-01-27,1666
2019-01-28,1661
2019-01-29,1708
2019-01-30,1693
2019-01-31,1635
2019-02-01,1562
2019-02-02,1510
2019-02-03,1556
2019-02-04,1542
2019-02-05,1568
2019-02-06,1532
2019-02-07,1494
2019-02-08,1452
2019-02-09,1415
2019-02-10,1401
2019-02-11,1340
2019-02-12,1292
2019-02-13,1240
2019-02-14,1194
2019-02-15,1194
2019-02-16,1196
2019-02-17,1246
2019-02-18,1202
2019-02-19,1194
2019-02-20,1163
2019-02-21,1141
2019-02-22,1088
2019-02-23,1033
2019-02-24,988
2019-02-25,950
2019-02-26,905
2019-02-27,874
2019-02-28,862
2019-03-01,828
2019-03-02,787
2019-03-03,785
2019-03-04,750
2019-03-05,764
2019-03-06,793
2019-03-07,795
2019-03-08,820
2019-03-09,837
2019-03-10,876
2019-03-11,916
2019-03-12,918
2019-03-13,891
2019-03-14,891
2019-03-15,847
2019-03-16,829
2019-03-17,807
2019-03-18,780
2019-03-19,777
2019-03-20,751
2019-03-21,729
2019-03-22,699
2019-03-23,695
2019-03-24,718
2019-03-25,698
2019-03-26,716
2019-03-27,752
2019-03-28,766
2019-03-29,780
2019-03-30,814
2019-03-31,853
2019-04-01,893
2019-04-02,927
2019-04-03,917
2019-04-04,900
2019-04-05,861
2019-04-06,861
2019-04-07,897
2019-04-08,900
2019-04-09,863
2019-04-10,833
2019-04-11,798
2019-04-12,776
2019-04-13,772
2019-04-14,780
2019-04-15,809
2019-04-16,798
2019-04-17,803
2019-04-18,797
2019-04-19,777
2019-04-20,788
2019-04-21,781
2019-04-22,769
2019-04-23,752
2019-04-24,729
2019-04-25,713
2019-04-26,693
2019-04-27,692
2019-04-28,695
2019-04-29,707
2019-04-30,699
2019-05-01,693
2019-05-02,691
2019-05-03,688
2019-05-04,678
2019-05-05,681
2019-05-06,679
2019-05-07,686
2019-05-08,677
2019-05-09,676
2019-05-10,675
2019-05-11,690
2019-05-12,695
2019-05-13,716
2019-05-14,695
2019-05-15,681
2019-05-16,703
2019-05-17,694
2019-05-18,692
2019-05-19,704
2019-05-20,714
2019-05-21,707
2019-05-22,698
2019-05-23,685
2019-05-24,672
2019-05-25,682
2019-05-26,710
2019-05-27,738
2019-05-28,754
2019-05-29,761
2019-05-30,748
2019-05-31,744
2019-06-01,774
2019-06-02,788
2019-06-03,811
2019-06-04,845
2019-06-05,886
2019-06-06,895
2019-06-07,858
2019-06-08,823
2019-06-09,811
2019-06-10,820
2019-06-11,818
2019-06-12,800
2019-06-13,793
2019-06-14,779
2019-06-15,756
2019-06-16,739
2019-06-17,716
2019-06-18,707
2019-06-19,700
2019-06-20,711
2019-06-21,675
2019-06-22,649
2019-06-23,658
2019-06-24,662
2019-06-25,682
2019-06-26,657
2019-06-27,644
2019-06-28,640
2019-06-29,662
2019-06-30,695
2019-07-01,728
2019-07-02,696
2019-07-03,663
2019-07-04,636
2019-07-05,631
2019-07-06,657
2019-07-07,687
2019-07-08,711
2019-07-09,732
2019-07-10,749
2019-07-11,783
2019-07-12,791
2019-07-13,765
2019-07-14,773
2019-07-15,734
2019-07-16,710
2019-07-17,688
2019-07-18,665
2019-07-19,643
2019-07-20,654
2019-07-21,672
2019-07-22,692
2019-07-23,681
2019-07-24,707
2019-07-25,733
2019-07-26,702
2019-07-27,680
2019-07-28,701
2019-07-29,690
2019-07-30,685
2019-07-31,679
2019-08-01,686
2019-08-02,680
2019-08-03,658
2019-08-04,666
2019-08-05,681
2019-08-06,662
2019-08-07,653
2019-08-08,648
2019-08-09,677
2019-08-10,691
2019-08-11,720
2019-08-12,731
2019-08-13,741
2019-08-14,716
2019-08-15,701
2019-08-16,681
2019-08-17,671
2019-08-18,678
2019-08-19,696
2019-08-20,666
2019-08-21,643
2019-08-22,644
2019-08-23,645
2019-08-24,649
2019-08-24,649
2019-08-25,659
2019-08-25,659
2019-08-26,679
2019-08-26,679
2019-08-27,695
2019-08-27,695
2019-08-28,685
2019-08-29,663
2019-08-30,646
2019-08-31,634
2019-09-01,649
2019-09-02,666
2019-09-03,638
2019-09-04,626
2019-09-05,619
2019-09-06,611
2019-09-07,621
2019-09-08,645
2019-09-09,662
2019-09-10,649
2019-09-11,646
2019-09-12,658
2019-09-13,639
2019-09-14,630
2019-09-15,661
2019-09-16,695
2019-09-17,727
2019-09-18,754
2019-09-19,777
2019-09-20,767
2019-09-21,779
2019-09-22,805
2019-09-23,824
2019-09-24,823
2019-09-25,811
2019-09-26,783
2019-09-27,760
2019-09-28,768
2019-09-29,801
2019-09-30,820
2019-10-01,832
2019-10-02,829
2019-10-03,831
2019-10-04,834
2019-10-05,813
2019-10-06,834
2019-10-07,874
2019-10-08,901
2019-10-09,869
2019-10-10,879
2019-10-11,912
2019-10-12,935
2019-10-13,951
2019-10-14,960
2019-10-15,918
2019-10-16,888
2019-10-17,850
2019-10-18,816
2019-10-19,821
2019-10-20,852
2019-10-21,853
2019-10-22,862
2019-10-23,879
2019-10-24,867
2019-10-25,830
2019-10-26,828
2019-10-27,828
2019-10-28,813
2019-10-29,773
2019-10-30,758
2019-10-31,745
2019-11-01,757
2019-11-02,755
2019-11-03,763
2019-11-04,772
2019-11-05,780
2019-11-06,769
2019-11-07,752
2019-11-08,746
2019-11-09,738
2019-11-10,754
2019-11-11,758
2019-11-12,772
2019-11-13,780
2019-11-14,752
2019-11-15,723
2019-11-16,742
2019-11-17,753
2019-11-18,754
2019-11-19,758
2019-11-20,778
2019-11-21,794
2019-11-22,769
2019-11-23,754
2019-11-24,784
2019-11-25,813
2019-11-26,833
2019-11-27,855
2019-11-28,859
2019-11-29,848
2019-11-30,839
2019-12-01,818
2019-12-02,793
2019-12-03,801
2019-12-04,791
2019-12-05,808
2019-12-06,785
2019-12-07,806
2019-12-08,823
2019-12-09,859
2019-12-10,878
2019-12-11,920
2019-12-12,939
2019-12-13,939
2019-12-14,898
2019-12-15,887
2019-12-16,895
2019-12-17,915
2019-12-18,939
2019-12-19,975
2019-12-20,967
2019-12-21,978
2019-12-22,1015
2019-12-23,1007
2019-12-24,972
2019-12-25,935
2019-12-26,910
2019-12-27,934
2019-12-28,972
2019-12-29,1015
2019-12-30,1052
2019-12-31,1058
2020-01-01,1078
2020-01-02,1057
2020-01-03,1058
2020-01-04,1030
2020-01-05,1044
2020-01-06,1089
2020-01-07,1127
2020-01-08,1159
2020-01-09,1181
2020-01-10,1167
2020-01-11,1138
2020-01-12,1118
2020-01-13,1122
2020-01-14,1106
2020-01-15,1082
2020-01-16,1063
2020-01-17,1021
2020-01-18,979
2020-01-19,1003
2020-01-20,1031
2020-01-21,1065
2020-01-22,1057
2020-01-23,1024
2020-01-24,987
2020-01-25,951
2020-01-26,925
2020-01-27,937
2020-01-28,921
2020-01-29,933
2020-01-30,910
2020-01-31,884
2020-02-01,841
2020-02-02,800
2020-02-03,765
2020-02-04,738
2020-02-05,704
2020-02-06,692
2020-02-07,712
2020-02-08,743
2020-02-09,769
2020-02-10,790
2020-02-11,824
2020-02-12,825
2020-02-13,801
2020-02-14,814
2020-02-15,834
2020-02-16,832
2020-02-17,801
2020-02-18,800
