date_obj,Pirate's%20hook price
2016-04-07,6830025
2016-04-08,6830025
2016-04-09,6830025
2016-04-10,6830025
2016-04-11,6830025
2016-04-12,6830025
2016-04-14,6830025
2016-04-15,6830025
2016-04-16,6830025
2016-04-17,6830025
2016-04-18,6830025
2016-04-19,6830025
2016-04-20,6830025
2016-04-21,6830025
2016-04-22,6830025
2016-04-23,6830025
2016-04-24,6830025
2016-04-25,6830025
2016-04-26,6830025
2016-04-27,6830025
2016-04-28,6830025
2016-04-29,6830025
2016-04-30,6830025
2016-05-01,6830025
2016-05-02,6830025
2016-05-03,6830025
2016-05-04,6830025
2016-05-05,6830025
2016-05-06,6830025
2016-05-07,6830025
2016-05-08,6830025
2016-05-09,6830025
2016-05-10,6830025
2016-05-11,6830025
2016-05-12,6830025
2016-05-13,6830025
2016-05-14,6830025
2016-05-15,6830025
2016-05-16,6830025
2016-05-17,6830025
2016-05-18,6830025
2016-05-19,6830025
2016-05-22,6830025
2016-05-23,6830025
2016-05-24,6830025
2016-05-25,6830025
2016-05-26,6830025
2016-05-27,6830025
2016-05-28,6830025
2016-05-29,6830025
2016-05-30,6830025
2016-05-31,6830025
2016-06-01,6830025
2016-06-02,6830025
2016-06-03,6830025
2016-06-04,6830025
2016-06-05,6830025
2016-06-06,6830025
2016-06-07,6830025
2016-06-08,6830025
2016-06-09,6830025
2016-06-10,6830025
2016-06-11,6830025
2016-06-12,6830025
2016-06-13,6830025
2016-06-14,6830025
2016-06-15,6830025
2016-06-16,6830025
2016-06-17,6830025
2016-06-18,6830025
2016-06-19,6830025
2016-06-20,6830025
2016-06-21,6830025
2016-06-22,6830025
2016-06-23,6830025
2016-06-24,6830025
2016-06-25,6830025
2016-06-26,6830025
2016-06-27,6830025
2016-06-28,6830025
2016-06-29,6830025
2016-06-30,6830025
2016-07-01,6830025
2016-07-02,6830025
2016-07-03,6830025
2016-07-04,6830025
2016-07-05,6830025
2016-07-06,6830025
2016-07-07,6830025
2016-07-08,6830025
2016-07-09,6830025
2016-07-10,6830025
2016-07-11,6830025
2016-07-12,6830025
2016-07-13,6830025
2016-07-14,6830025
2016-07-15,6830025
2016-07-16,6830025
2016-07-17,6830025
2016-07-18,6830025
2016-07-23,6830025
2016-07-24,6830025
2016-07-25,6830025
2016-07-26,6830025
2016-07-27,6830025
2016-07-28,6830025
2016-07-29,6830025
2016-07-30,6830025
2016-07-31,6830025
2016-08-01,6830025
2016-08-02,6830025
2016-08-03,6830025
2016-08-04,6830025
2016-08-05,6830025
2016-08-06,6830025
2016-08-07,6830025
2016-08-08,6830025
2016-08-09,6830025
2016-08-10,6830025
2016-08-11,6830025
2016-08-12,6830025
2016-08-13,6830025
2016-08-14,6830025
2016-08-15,6830025
2016-08-16,6622655
2016-08-17,6622655
2016-08-18,6622655
2016-08-19,6622655
2016-08-20,6622655
2016-08-21,6622655
2016-08-22,6622655
2016-08-23,6622655
2016-08-24,6622655
2016-08-25,6622655
2016-08-26,6622655
2016-08-28,6622655
2016-08-31,6622655
2016-09-01,6622655
2016-09-02,6622655
2016-09-03,6622655
2016-09-04,6622655
2016-09-05,6622655
2016-09-06,6622655
2016-09-07,6622655
2016-09-08,6622655
2016-09-09,6622655
2016-09-10,6622655
2016-09-11,6622655
2016-09-12,6622655
2016-09-13,6622655
2016-09-14,6622655
2016-09-15,6622655
2016-09-16,6622655
2016-09-17,6622655
2016-09-18,6622655
2016-09-19,6622655
2016-09-20,6622655
2016-09-21,6622655
2016-09-22,6622655
2016-09-23,6622655
2016-09-24,6622655
2016-09-25,6622655
2016-09-26,6622655
2016-09-27,6622655
2016-09-28,6622655
2016-09-29,6622655
2016-09-30,6622655
2016-10-01,6622655
2016-10-02,6622655
2016-10-03,6622655
2016-10-04,6622655
2016-10-05,6622655
2016-10-06,6622655
2016-10-07,6622655
2016-10-08,6622655
2016-10-09,6622655
2016-10-10,6622655
2016-10-11,6622655
2016-10-12,6622655
2016-10-13,6622655
2016-10-14,6622655
2016-10-15,6622655
2016-10-16,6622655
2016-10-17,6622655
2016-10-18,6622655
2016-10-19,6622655
2016-10-20,6622655
2016-10-21,6622655
2016-10-22,6622655
2016-10-23,6622655
2016-10-24,6622655
2016-10-25,6622655
2016-10-26,6622655
2016-10-27,6622655
2016-10-28,6622655
2016-10-29,6622655
2016-10-30,6622655
2016-10-31,6622655
2016-11-01,6622655
2016-11-02,6622655
2016-11-03,6622655
2016-11-04,6622655
2016-11-05,6622655
2016-11-06,6622655
2016-11-07,6622655
2016-11-08,6622655
2016-11-09,6622655
2016-11-10,6622655
2016-11-11,6622655
2016-11-12,6622655
2016-11-13,6622655
2016-11-14,6622655
2016-12-07,6622655
2016-12-08,6622655
2016-12-09,6622655
2016-12-10,6622655
2016-12-11,6622655
2016-12-12,6622655
2016-12-13,6622655
2016-12-14,6622655
2016-12-15,6622655
2016-12-16,6622655
2016-12-17,6622655
2016-12-18,6622655
2016-12-19,6622655
2016-12-20,6622655
2016-12-21,6622655
2016-12-22,6622655
2016-12-23,6622655
2016-12-24,6622655
2016-12-25,6622655
2016-12-26,6622655
2016-12-27,6622655
2016-12-28,6622655
2016-12-29,6622655
2016-12-30,6622655
2016-12-31,6622655
2017-01-01,6622655
2017-01-02,6622655
2017-01-03,6622655
2017-01-04,6622655
2017-01-05,6622655
2017-01-06,6622655
2017-01-07,6622655
2017-01-08,6622655
2017-01-09,6622655
2017-01-10,6622655
2017-01-11,6622655
2017-01-12,6622655
2017-01-13,6622655
2017-01-14,6622655
2017-01-15,6622655
2017-01-16,6622655
2017-01-17,6622655
