date_obj,Oak%20bed%20(flatpack) price
2019-04-26,332
2019-04-27,348
2019-04-28,348
2019-04-29,348
2019-04-30,348
2019-05-01,348
2019-05-02,348
2019-05-03,348
2019-05-04,348
2019-05-05,348
2019-05-06,348
2019-05-07,348
2019-05-08,348
2019-05-09,348
2019-05-10,348
2019-05-11,348
2019-05-12,366
2019-05-13,366
2019-05-14,366
2019-05-15,366
2019-05-16,366
2019-05-17,366
2019-05-18,366
2019-05-19,366
2019-05-20,366
2019-05-21,366
2019-05-22,366
2019-05-23,366
2019-05-24,366
2019-05-25,384
2019-05-26,384
2019-05-27,384
2019-05-28,384
2019-05-29,384
2019-05-30,384
2019-05-31,384
2019-06-01,384
2019-06-02,384
2019-06-03,384
2019-06-04,384
2019-06-05,384
2019-06-06,384
2019-06-07,403
2019-06-08,403
2019-06-09,403
2019-06-10,403
2019-06-11,403
2019-06-12,403
2019-06-13,403
2019-06-14,403
2019-06-15,403
2019-06-16,403
2019-06-17,403
2019-06-18,403
2019-06-19,403
2019-06-20,403
2019-06-21,423
2019-06-22,423
2019-06-23,423
2019-06-24,423
2019-06-25,423
2019-06-26,423
2019-06-27,423
2019-06-28,423
2019-06-29,423
2019-06-30,423
2019-07-01,423
2019-07-02,423
2019-07-03,423
2019-07-04,423
2019-07-05,423
2019-07-06,423
2019-07-07,444
2019-07-08,444
2019-07-09,444
2019-07-10,444
2019-07-11,444
2019-07-12,444
2019-07-13,444
2019-07-14,444
2019-07-15,444
2019-07-16,444
2019-07-17,444
2019-07-18,444
2019-07-19,444
2019-07-20,444
2019-07-21,444
2019-07-22,466
2019-07-23,466
2019-07-24,466
2019-07-25,466
2019-07-26,466
2019-07-27,466
2019-07-28,466
2019-07-29,466
2019-07-30,466
2019-07-31,466
2019-08-01,466
2019-08-02,466
2019-08-03,466
2019-08-04,466
2019-08-05,466
2019-08-06,466
2019-08-07,487
2019-08-08,487
2019-08-09,487
2019-08-10,487
2019-08-11,487
2019-08-12,487
2019-08-13,487
2019-08-14,487
2019-08-15,487
