date_obj,Gilded%20d'hide%20vambraces price
2019-08-24,7396443
2019-08-24,7396443
2019-08-25,7396443
2019-08-25,7396443
2019-08-26,7608194
2019-08-26,7608194
2019-08-27,7608194
2019-08-27,7608194
2019-08-28,7608194
2019-08-29,7608194
2019-08-30,7727533
2019-08-31,7727533
2019-09-01,7727533
2019-09-02,7727533
2019-09-03,7746075
2019-09-04,7746075
2019-09-05,7746075
2019-09-06,7746075
2019-09-07,7651626
2019-09-08,7651626
2019-09-09,7651626
2019-09-10,7613153
2019-09-11,7613153
2019-09-12,7613153
2019-09-13,7613153
2019-09-14,7570671
2019-09-15,7570671
2019-09-16,7570671
2019-09-17,7549607
2019-09-18,7549607
2019-09-19,7549607
2019-09-20,7549607
2019-09-21,7589413
2019-09-22,7589413
2019-09-23,7589413
2019-09-24,7589413
2019-09-25,7589413
2019-09-26,7528917
2019-09-27,7528917
2019-09-28,7528917
2019-09-29,7528917
2019-09-30,7528917
2019-10-01,7660791
2019-10-02,7660791
2019-10-03,7660791
2019-10-04,7660791
2019-10-05,7660791
2019-10-06,7695876
2019-10-07,7695876
2019-10-08,7695876
2019-10-09,7695876
2019-10-10,7695876
2019-10-11,7768967
2019-10-12,7768967
2019-10-13,7768967
2019-10-14,7906319
2019-10-15,7906319
2019-10-16,7906319
2019-10-17,7906319
2019-10-18,8017227
2019-10-19,8017227
2019-10-20,8017227
2019-10-21,8017227
2019-10-22,7990665
2019-10-23,7990665
2019-10-24,7990665
2019-10-25,7990665
2019-10-26,8061068
2019-10-27,8061068
2019-10-28,8061068
2019-10-29,8061068
2019-10-30,8061068
2019-10-31,8121348
2019-11-01,8121348
2019-11-02,8121348
2019-11-03,8121348
2019-11-04,8267636
2019-11-05,8267636
2019-11-06,8267636
2019-11-07,8267636
2019-11-08,8267636
2019-11-09,8192951
2019-11-10,8192951
2019-11-11,8192951
2019-11-12,8192951
2019-11-13,8192951
2019-11-14,8100988
2019-11-15,8100988
2019-11-16,8100988
2019-11-17,8100988
2019-11-18,7918922
2019-11-19,7918922
2019-11-20,7918922
2019-11-21,7918922
2019-11-22,7918922
2019-11-23,8057201
2019-11-24,8057201
2019-11-25,8057201
2019-11-26,8057201
2019-11-27,8057201
2019-11-28,8290245
2019-11-29,8290245
2019-11-30,8290245
2019-12-01,8290245
2019-12-02,8290245
2019-12-03,8405622
2019-12-04,8405622
2019-12-05,8405622
2019-12-06,8405622
2019-12-07,8405622
2019-12-08,8405622
2019-12-09,8333311
2019-12-10,8333311
2019-12-11,8333311
2019-12-12,8333311
2019-12-13,8293044
2019-12-14,8293044
2019-12-15,8293044
2019-12-16,8293044
2019-12-17,8293044
2019-12-18,8236708
2019-12-19,8236708
2019-12-20,8236708
2019-12-21,8236708
2019-12-22,8203507
2019-12-23,8203507
2019-12-24,8203507
2019-12-25,8203507
2019-12-26,8203507
2019-12-27,8324606
2019-12-28,8324606
2019-12-29,8324606
2019-12-30,8324606
2019-12-31,8670932
2020-01-01,8670932
2020-01-02,8670932
2020-01-03,8670932
2020-01-04,8670932
2020-01-05,8511058
2020-01-06,8511058
2020-01-07,8511058
2020-01-08,8511058
2020-01-09,8460230
2020-01-10,8460230
2020-01-11,8460230
2020-01-12,8460230
2020-01-13,8460230
2020-01-14,8418027
2020-01-15,8418027
2020-01-16,8418027
2020-01-17,8418027
2020-01-18,8418027
2020-01-19,8326625
2020-01-20,8326625
2020-01-21,8326625
2020-01-22,8326625
2020-01-23,8326625
2020-01-24,8196959
2020-01-25,8196959
2020-01-26,8196959
2020-01-27,8196959
2020-01-28,8199838
2020-01-29,8199838
2020-01-30,8199838
2020-01-31,8199838
2020-02-01,8199838
2020-02-02,8184420
2020-02-03,8184420
2020-02-04,8184420
2020-02-05,8184420
2020-02-06,8261399
2020-02-07,8261399
2020-02-08,8261399
2020-02-09,8261399
2020-02-10,8261399
2020-02-11,8261399
2020-02-12,8377452
2020-02-13,8377452
2020-02-14,8377452
2020-02-15,8377452
2020-02-16,8377452
2020-02-17,8053016
2020-02-18,8053016
2020-02-19,8053016
2020-02-20,7751733
2020-02-21,7751733
2020-02-22,7751733
2020-02-23,7751733
2020-02-24,7673640
2020-02-25,7673640
2020-02-26,7673640
2020-02-27,7673640
2020-02-28,7721335
2020-02-29,7721335
2020-03-01,7721335
2020-03-02,7721335
2020-03-03,7721335
2020-03-04,7770847
2020-03-05,7770847
2020-03-06,7770847
2020-03-07,7770847
2020-03-08,7728362
2020-03-09,7728362
2020-03-10,7728362
2020-03-11,7693187
2020-03-12,7693187
2020-03-13,7693187
2020-03-14,7675314
2020-03-15,7675314
2020-03-16,7675314
2020-03-17,7675314
2020-03-18,7687733
2020-03-19,7687733
2020-03-20,7687733
2020-03-21,7698239
2020-03-22,7698239
2020-03-23,7698239
2020-03-24,7783723
2020-03-25,7783723
2020-03-26,7783723
2020-03-27,7666183
2020-03-28,7666183
2020-03-29,7666183
2020-03-30,7625009
2020-03-31,7625009
2020-04-01,7625009
2020-04-02,7519176
2020-04-03,7519176
2020-04-04,7519176
2020-04-05,7470958
2020-04-06,7470958
2020-04-07,7470958
2020-04-08,7405499
2020-04-09,7405499
2020-04-10,7405499
2020-04-11,7216157
2020-04-12,7216157
2020-04-13,7216157
2020-04-14,6947605
2020-04-15,6947605
2020-04-16,6717306
2020-04-17,6717306
2020-04-18,6458320
2020-04-19,6458320
2020-04-20,6136470
2020-04-21,6136470
2020-04-22,6136470
2020-04-23,5832964
2020-04-24,5832964
2020-04-25,5832964
2020-04-26,5639282
2020-04-27,5639282
2020-04-28,5400654
2020-04-29,5400654
2020-04-30,5400654
2020-05-01,5316887
2020-05-02,5316887
2020-05-03,5167134
2020-05-04,5167134
2020-05-05,5167134
2020-05-06,4914014
2020-05-07,4914014
2020-05-08,4914014
2020-05-09,4668313
2020-05-10,4668313
2020-05-11,4468926
2020-05-12,4468926
2020-05-13,4260831
