date_obj,Graahk%20top price
2016-10-02,11587
2016-10-03,11587
2016-10-04,11587
2016-10-05,11587
2016-10-06,11587
2016-10-07,11587
2016-10-08,11587
2016-10-09,11587
2016-10-10,11587
2016-10-11,11587
2016-10-12,11587
2016-10-13,11587
2016-10-14,11587
2016-10-15,11587
2016-10-16,11587
2016-10-17,11040
2016-10-18,11040
2016-10-19,11040
2016-10-20,11040
2016-10-21,11040
2016-10-22,11040
2016-10-23,11040
2016-10-24,11040
2016-10-25,11040
2016-10-26,11040
2016-10-27,11040
2016-10-28,11040
2016-10-29,11040
2016-10-30,11040
2016-10-31,11040
2016-11-01,10520
2016-11-02,10520
2016-11-03,10520
2016-11-04,10520
2016-11-05,10520
2016-11-06,10520
2016-11-07,10520
2016-11-08,10520
2016-11-09,10520
2016-11-10,10520
2016-11-11,10520
2016-11-12,10520
2016-11-13,10520
2016-11-14,10520
2016-11-15,10520
2016-12-07,9556
2016-12-08,9556
2016-12-09,9556
2016-12-10,9556
2016-12-11,9556
2016-12-12,9556
2016-12-13,9556
2016-12-14,9556
2016-12-15,9556
2016-12-16,9556
2016-12-17,9104
2016-12-18,9104
2016-12-19,9104
2016-12-20,9104
2016-12-21,9104
2016-12-22,9104
2016-12-23,9104
2016-12-24,9104
2016-12-25,9104
2016-12-26,9104
2016-12-27,9104
2016-12-28,9104
2016-12-29,9104
2016-12-30,9104
2016-12-31,9104
2017-01-01,9104
2017-01-02,8666
2017-01-03,8666
2017-01-04,8666
2017-01-05,8666
2017-01-06,8666
2017-01-07,8666
2017-01-08,8666
2017-01-09,8666
2017-01-10,8666
2017-01-11,8666
2017-01-12,8666
2017-01-13,8666
2017-01-14,8239
2017-01-15,8239
2017-01-16,8239
2017-01-17,8239
2017-01-18,8239
2017-01-19,8239
2017-01-20,8239
2017-01-21,8239
2017-01-22,8239
2017-01-23,8239
2017-01-27,7830
2017-01-28,7830
2017-01-29,7830
2017-01-30,7830
2017-01-31,7830
2017-02-01,7830
2017-02-02,7830
2017-02-03,7830
2017-02-04,7448
2017-02-05,7448
2017-02-06,7448
2017-02-07,7448
2017-02-08,7448
2017-02-09,7448
2017-02-10,7448
2017-02-11,7448
2017-02-12,7448
2017-02-13,7448
2017-02-14,7448
2017-02-15,7448
2017-02-16,7098
2017-02-18,7098
2017-02-19,7098
2017-02-20,7098
2017-02-21,7098
2017-02-22,7098
2017-02-23,7098
2017-02-24,7098
2017-02-25,7098
2017-02-26,7098
2017-02-27,7098
2017-02-28,6866
2017-03-01,6866
2017-03-02,6866
2017-03-03,6866
2017-03-04,6866
2017-03-05,6866
2017-03-06,6866
2017-03-07,6866
2017-03-08,6866
2017-03-09,6866
2017-03-10,6866
2017-03-11,6866
2017-03-12,6866
2017-03-13,6637
2017-03-14,6637
2017-03-15,6637
2017-03-16,6637
2017-03-17,6637
2017-03-18,6637
2017-03-19,6637
2017-03-20,6637
2017-03-21,6637
2017-03-22,6637
2017-03-23,6637
2017-03-24,6637
2017-03-25,6637
2017-03-26,6637
2017-03-27,6358
2017-03-28,6358
2017-03-29,6358
2017-03-30,6358
2017-03-31,6358
2017-04-01,6358
2017-04-02,6358
2017-04-03,6358
2017-04-04,6358
