date_obj,Skull%20piece price
2016-04-21,40405
2016-04-22,40405
2016-04-23,40405
2016-04-24,40405
2016-04-25,40405
2016-04-26,40405
2016-04-27,40405
2016-04-28,40405
2016-04-29,40405
2016-04-30,40405
2016-05-01,40405
2016-05-02,40405
2016-05-03,40405
2016-05-04,40405
2016-05-05,40405
2016-05-06,40405
2016-05-07,40405
2016-05-08,40405
2016-05-09,40405
2016-05-10,40405
2016-05-11,40405
2016-05-12,40405
2016-05-13,40405
2016-05-14,40405
2016-05-15,40405
2016-05-16,40405
2016-05-17,40405
2016-05-18,40405
2016-05-19,40405
2016-05-22,40405
2016-05-23,40405
2016-05-24,40405
2016-05-25,40405
2016-05-26,40405
2016-05-27,40405
2016-05-28,40405
2016-05-29,40405
2016-05-30,40405
2016-05-31,40405
2016-06-01,40405
2016-06-02,40405
2016-06-03,40405
2016-06-04,40405
2016-06-05,40405
2016-06-06,40405
2016-06-07,40405
2016-06-08,40405
2016-06-09,40405
2016-06-10,40405
2016-06-11,40405
2016-06-12,40405
2016-06-13,40405
2016-06-14,40405
2016-06-15,40405
2016-06-16,40405
2016-06-17,40405
2016-06-18,40405
2016-06-19,40405
2016-06-20,40405
2016-06-21,40405
2016-06-22,40405
2016-06-23,40405
2016-06-24,40405
2016-06-25,40405
2016-06-26,40405
2016-06-27,40405
2016-06-28,40405
2016-06-29,40405
2016-06-30,40405
2016-07-01,40405
2016-07-02,40405
2016-07-03,40405
2016-07-04,40405
2016-07-05,40405
2016-07-06,40405
2016-07-07,40405
2016-07-08,40405
2016-07-09,40405
2016-07-10,40405
2016-07-11,40405
2016-07-12,40405
2016-07-13,40405
2016-07-14,40405
2016-07-15,40405
2016-07-16,40405
2016-07-17,40405
2016-07-18,40405
2016-07-24,40405
2016-07-25,40405
2016-07-26,40405
2016-07-27,40405
2016-07-28,40405
2016-07-29,40405
2016-07-30,40405
2016-07-31,40405
2016-08-01,40405
2016-08-02,40405
2016-08-03,40405
2016-08-04,40405
2016-08-05,40405
2016-08-06,40405
2016-08-07,40405
2016-08-08,40405
2016-08-09,40405
2016-08-10,40405
2016-08-11,40405
2016-08-12,39340
2016-08-13,39340
2016-08-14,39340
2016-08-15,39340
2016-08-16,39340
2016-08-17,39340
2016-08-18,39340
2016-08-19,39340
2016-08-20,39340
2016-08-21,39340
2016-08-22,39340
2016-08-23,39340
2016-08-24,39340
2016-08-25,39340
2016-08-26,39340
2016-08-28,39340
2016-08-31,39340
2016-09-01,39340
2016-09-02,39340
2016-09-03,39340
2016-09-04,39340
2016-09-05,39340
2016-09-06,39340
2016-09-07,39340
2016-09-08,39340
2016-09-09,39340
2016-09-10,39340
2016-09-11,39340
2016-09-12,39340
2016-09-13,39340
2016-09-14,39340
2016-09-15,39340
2016-09-16,39340
2016-09-17,39340
2016-09-18,39340
2016-09-19,39340
2016-09-20,39340
2016-09-21,39340
2016-09-22,39340
2016-09-23,39340
2016-09-24,39340
2016-09-25,39340
2016-09-26,39340
2016-09-27,39340
2016-09-28,39340
2016-09-29,39340
2016-09-30,39340
2016-10-01,39340
2016-10-02,39340
2016-10-03,39340
2016-10-04,39340
2016-10-05,39340
2016-10-06,39340
2016-10-07,39340
2016-10-08,39340
2016-10-09,39340
2016-10-11,39340
2016-10-12,39340
2016-10-13,39340
2016-10-14,39340
2016-10-15,39340
2016-10-16,39340
2016-10-17,39340
2016-10-18,39340
2016-10-19,39340
2016-10-20,39340
2016-10-21,39340
2016-10-22,39340
2016-10-23,39340
2016-10-24,39340
2016-10-25,39340
2016-10-26,39340
2016-10-27,39340
2016-10-28,39340
2016-10-29,39340
2016-10-30,39340
2016-10-31,39340
2016-11-01,39340
2016-11-02,39340
2016-11-03,39340
2016-11-04,39340
2016-11-05,39340
2016-11-06,39340
2016-11-07,39340
2016-11-08,39340
2016-11-09,39340
2016-11-10,39340
2016-11-11,39340
2016-11-12,39340
2016-11-13,39340
2016-11-14,39340
2016-12-08,39340
2016-12-09,39340
2016-12-10,39340
2016-12-11,39340
2016-12-12,39340
2016-12-13,39340
2016-12-14,39340
2016-12-15,39340
2016-12-16,39340
2016-12-17,39340
2016-12-18,39340
2016-12-19,39340
2016-12-20,39340
2016-12-21,39340
2016-12-22,39340
2016-12-23,39340
2016-12-24,39340
2016-12-25,39340
2016-12-26,39340
2016-12-27,39340
2016-12-28,39340
2016-12-29,39340
2016-12-30,39340
2016-12-31,39340
2017-01-01,39340
2017-01-02,39340
2017-01-03,39340
2017-01-04,39340
2017-01-05,39340
2017-01-06,39340
2017-01-07,39340
2017-01-08,39340
2017-01-09,39340
2017-01-10,39340
2017-01-11,39340
2017-01-12,39340
2017-01-13,39340
2017-01-14,39340
2017-01-15,39340
2017-01-16,39340
2017-01-17,39340
2017-01-18,39340
2017-01-19,39340
2017-01-20,39340
2017-01-21,39340
2017-01-22,39340
2017-01-27,39340
2017-01-28,39340
2017-01-29,39340
2017-01-30,39340
2017-01-31,39340
2017-02-01,39340
2017-02-02,39340
2017-02-03,39437
2017-02-04,39437
2017-02-05,39437
2017-02-06,39437
2017-02-07,39437
2017-02-08,39437
2017-02-09,39437
2017-02-10,39437
2017-02-11,39437
2017-02-12,39437
2017-02-13,39437
2017-02-14,39437
2017-02-15,39437
2017-02-16,39437
2017-02-18,39437
2017-02-19,39437
2017-02-20,39437
2017-02-21,39437
2017-02-22,39437
2017-02-23,39437
2017-02-24,39437
2017-02-25,39437
2017-02-26,39437
2017-02-27,39437
2017-02-28,39437
2017-03-01,39437
2017-03-02,39437
2017-03-03,39437
2017-03-04,39437
2017-03-05,39437
2017-03-06,39437
2017-03-07,39437
2017-03-08,39437
2017-03-09,39437
2017-03-10,39437
2017-03-11,39437
2017-03-12,39437
2017-03-13,39437
2017-03-14,39437
2017-03-15,39437
2017-03-16,39437
2017-03-17,39437
2017-03-18,39437
2017-03-19,39437
2017-03-20,39437
2017-03-21,39437
2017-03-22,39437
2017-03-23,39437
2017-03-24,39437
2017-03-25,39437
2017-03-26,39437
2017-03-27,39437
2017-03-28,39437
2017-03-29,39437
2017-03-30,39437
2017-03-31,39437
2017-04-01,39437
2017-04-02,39437
2017-04-03,39437
2017-04-04,39437
2017-04-12,39437
2017-04-13,39437
2017-04-14,39437
2017-04-15,39437
2017-04-16,39437
2017-04-17,39437
2017-04-18,39437
2017-04-19,39437
2017-04-20,39437
2017-04-21,39437
2017-04-22,39437
2017-04-23,39437
2017-04-24,39437
2017-04-25,39437
2017-04-26,39437
2017-04-27,39437
2017-04-28,39437
2017-04-29,39437
2017-04-30,39437
2017-05-01,39437
2017-05-02,39437
2017-05-03,39437
2017-05-04,39437
2017-05-05,39437
2017-05-06,39437
2017-05-07,39437
2017-05-08,39437
2017-05-09,39437
2017-05-10,39437
2017-05-11,39437
2017-05-12,39437
2017-05-13,39437
2017-05-14,39437
2017-05-15,39437
2017-05-16,39437
2017-05-17,39437
2017-05-18,39437
2017-05-19,39437
2017-05-20,39437
2017-05-21,39437
2017-05-22,39437
2017-05-23,39437
2017-05-24,39437
2017-05-25,39437
2017-05-26,39437
2017-05-27,39437
2017-05-28,39437
2017-05-29,39437
2017-05-30,39437
2017-05-31,39437
2017-06-01,39437
2017-06-02,39437
2017-06-03,39437
2017-06-06,39437
2017-06-07,39437
2017-06-08,39437
2017-06-09,39437
2017-06-10,39437
2017-06-11,39437
2017-06-12,39437
2017-06-13,39437
2017-06-14,39437
2017-06-15,39437
2017-06-16,39437
2017-06-17,39437
2017-06-18,39437
2017-06-19,39437
2017-06-20,39437
2017-06-21,39437
2017-06-22,39437
2017-06-23,39032
2017-06-24,39032
2017-06-25,39032
2017-06-26,39032
2017-06-27,39032
2017-06-28,39032
2017-06-29,39032
2017-06-30,39032
2017-07-01,39032
2017-07-02,39032
2017-07-03,39032
2017-07-04,39032
2017-07-05,39032
2017-07-06,39032
2017-07-07,39032
2017-07-08,39032
2017-07-13,39032
2017-07-14,39032
2017-07-15,39032
2017-07-16,39032
2017-07-17,39032
2017-07-18,39032
2017-07-19,39032
2017-07-20,39032
2017-07-21,39032
2017-07-22,39032
2017-07-23,39032
2017-07-24,39032
2017-07-25,39032
2017-07-26,39032
2017-07-27,39032
2017-07-28,39032
2017-07-29,39032
