date_obj,Piscatoris%20teleport price
2017-01-31,2858
2017-02-01,2761
2017-02-02,2730
2017-02-03,2689
2017-02-04,2674
2017-02-05,2662
2017-02-06,2648
2017-02-07,2655
2017-02-08,2703
2017-02-09,2703
2017-02-10,2730
2017-02-11,2777
2017-02-12,2777
2017-02-13,2816
2017-02-14,2747
2017-02-15,2756
2017-02-16,2765
2017-02-18,2827
2017-02-19,2751
2017-02-20,2701
2017-02-21,2697
2017-02-22,2721
2017-02-23,2717
2017-02-24,2717
2017-02-25,2705
2017-02-26,2690
2017-02-27,2616
2017-02-28,2580
2017-03-01,2512
2017-03-02,2445
2017-03-03,2445
2017-03-04,2353
2017-03-05,2268
2017-03-06,2222
2017-03-07,2242
2017-03-08,2241
2017-03-09,2241
2017-03-10,2173
2017-03-11,2076
2017-03-12,1973
2017-03-13,1922
2017-03-14,1911
2017-03-15,1898
2017-03-16,1884
2017-03-17,1921
2017-03-18,1958
2017-03-19,1939
2017-03-20,1892
2017-03-21,1846
2017-03-22,1821
2017-03-23,1820
2017-03-24,1798
2017-03-25,1798
2017-03-26,1757
2017-03-27,1757
2017-03-28,1719
2017-03-29,1646
2017-03-30,1622
2017-03-31,1691
2017-04-01,1774
2017-04-02,1863
2017-04-03,1957
2017-04-04,2055
2017-04-12,2786
2017-04-13,2920
2017-04-14,2996
2017-04-15,2917
2017-04-16,2828
2017-04-17,2782
2017-04-18,2713
2017-04-19,2703
2017-04-20,2720
2017-04-21,2719
2017-04-22,2719
2017-04-23,2750
2017-04-24,2805
2017-04-25,2740
2017-04-26,2740
2017-04-27,2857
2017-04-28,2994
2017-04-29,3021
2017-04-30,2927
2017-05-01,2833
2017-05-02,2830
2017-05-03,2793
2017-05-04,2752
2017-05-05,2632
2017-05-06,2661
2017-05-07,2717
2017-05-08,2759
2017-05-09,2822
2017-05-10,2841
2017-05-11,2794
2017-05-12,2802
2017-05-13,2901
2017-05-14,2990
2017-05-15,3096
2017-05-16,3251
2017-05-17,3414
2017-05-18,3585
2017-05-19,3585
2017-05-20,3734
2017-05-21,3734
2017-05-22,3916
2017-05-23,4024
2017-05-24,4020
2017-05-25,3865
2017-05-26,3701
2017-05-27,3545
2017-05-28,3370
2017-05-29,3225
2017-05-30,3200
2017-05-31,3285
2017-06-01,3291
2017-06-02,3157
2017-06-03,3096
2017-06-06,3328
2017-06-07,3407
2017-06-08,3407
2017-06-09,3439
2017-06-10,3403
2017-06-11,3473
2017-06-12,3498
2017-06-13,3399
2017-06-14,3390
2017-06-15,3460
2017-06-16,3429
2017-06-17,3466
2017-06-18,3486
2017-06-19,3486
2017-06-20,3601
2017-06-21,3728
2017-06-22,3728
2017-06-23,3682
2017-06-24,3688
2017-06-25,3673
2017-06-26,3701
2017-06-27,3728
2017-06-28,3788
2017-06-29,3827
2017-06-30,3922
2017-07-01,3922
2017-07-02,3965
2017-07-03,4034
2017-07-04,4144
2017-07-05,4144
2017-07-06,4352
2017-07-07,4352
2017-07-08,4448
2017-07-13,5127
2017-07-14,5063
2017-07-15,5063
2017-07-16,5058
2017-07-17,4874
2017-07-18,4801
2017-07-19,4714
2017-07-20,4806
2017-07-21,5014
2017-07-22,4945
2017-07-23,4891
2017-07-24,4891
2017-07-25,4905
2017-07-26,5002
2017-07-27,5234
2017-07-28,5496
2017-07-29,5496
2017-07-30,5550
2017-07-31,5550
2017-08-01,5801
2017-08-02,6014
2017-08-03,5982
2017-08-04,5948
2017-08-05,5775
2017-08-06,5620
2017-08-09,5399
2017-08-10,5300
2017-08-11,5109
2017-08-12,5063
2017-08-13,5134
2017-08-14,5131
2017-08-15,5134
2017-08-17,5263
2017-08-18,5263
2017-08-19,5412
2017-08-20,5683
2017-08-22,6264
2017-08-23,6554
2017-08-24,6673
2017-08-25,6513
2017-08-26,6283
2017-08-27,6322
2017-08-28,6125
2017-08-29,5981
2017-08-30,5809
2017-08-31,5778
2017-09-01,5795
2017-09-02,5676
2017-09-03,5676
2017-09-04,5741
2017-09-05,5877
2017-09-06,5871
2017-09-07,5775
2017-09-08,5775
2017-09-09,5709
2017-09-10,5799
2017-09-11,5932
2017-09-12,5932
