date_obj,Torag's%20armour%20set price
2016-10-04,842726
2016-10-05,842726
2016-10-06,842726
2016-10-07,842726
2016-10-08,842726
2016-10-09,816450
2016-10-10,816450
2016-10-11,816450
2016-10-12,816450
2016-10-13,816450
2016-10-14,819480
2016-10-15,819480
2016-10-16,819480
2016-10-17,819480
2016-10-18,840815
2016-10-19,840815
2016-10-20,840815
2016-10-21,840815
2016-10-22,840815
2016-10-23,860493
2016-10-24,860493
2016-10-25,860493
2016-10-26,860493
2016-10-27,860493
2016-10-28,856620
2016-10-29,856620
2016-10-30,856620
2016-10-31,856620
2016-11-01,856620
2016-11-02,848884
2016-11-03,848884
2016-11-04,848884
2016-11-05,848884
2016-11-06,848884
2016-11-07,847897
2016-11-08,847897
2016-11-09,847897
2016-11-10,847897
2016-11-11,847897
2016-11-12,835715
2016-11-13,835715
2016-11-14,835715
2016-12-08,796604
2016-12-09,796604
2016-12-10,796604
2016-12-11,808605
2016-12-12,808605
2016-12-13,808605
2016-12-14,808605
2016-12-15,808605
2016-12-16,814766
2016-12-17,814766
2016-12-18,814766
2016-12-19,814766
2016-12-20,844042
2016-12-21,844042
2016-12-22,844042
2016-12-23,844042
2016-12-24,882663
2016-12-25,882663
2016-12-26,882663
2016-12-27,882663
2016-12-28,922119
2016-12-29,922119
2016-12-30,922119
2016-12-31,922119
2017-01-01,963617
2017-01-02,963617
2017-01-03,963617
2017-01-04,1003029
2017-01-05,1003029
2017-01-06,1003029
2017-01-07,1002613
2017-01-08,1002613
2017-01-09,1002613
2017-01-10,953878
2017-01-11,953878
2017-01-12,953878
2017-01-13,908575
2017-01-14,908575
2017-01-15,908575
2017-01-16,872745
2017-01-17,872745
2017-01-18,872745
2017-01-19,872745
2017-01-20,834404
2017-01-21,834404
2017-01-22,834404
2017-01-27,781422
2017-01-28,781422
2017-01-29,776048
2017-01-30,776048
2017-01-31,776048
2017-02-01,776048
2017-02-02,787130
2017-02-03,787130
2017-02-04,787130
2017-02-05,787130
2017-02-06,778937
2017-02-07,778937
2017-02-08,778937
2017-02-09,778937
2017-02-10,756830
2017-02-11,756830
2017-02-12,756830
2017-02-13,756830
2017-02-14,762395
2017-02-15,762395
2017-02-16,762395
2017-02-18,762395
2017-02-19,769256
2017-02-20,769256
2017-02-21,769256
2017-02-22,769256
2017-02-23,763177
2017-02-24,763177
2017-02-25,763177
2017-02-26,763177
2017-02-27,768088
2017-02-28,768088
2017-03-01,768088
2017-03-02,761896
2017-03-03,761896
2017-03-04,761896
2017-03-05,761896
2017-03-06,750922
2017-03-07,750922
2017-03-08,750922
2017-03-09,750922
2017-03-10,759757
2017-03-11,759757
2017-03-12,759757
2017-03-13,759757
2017-03-14,772999
2017-03-15,772999
2017-03-16,772999
2017-03-17,772999
2017-03-18,761888
2017-03-19,761888
2017-03-20,761888
2017-03-21,748219
2017-03-22,748219
2017-03-23,748219
2017-03-24,748219
2017-03-25,752139
2017-03-26,752139
2017-03-27,752139
2017-03-28,752139
2017-03-29,745808
2017-03-30,745808
2017-03-31,745808
2017-04-01,745808
2017-04-02,756811
2017-04-03,756811
2017-04-04,756811
2017-04-12,780302
2017-04-13,783018
2017-04-14,783018
2017-04-15,783018
2017-04-16,783018
2017-04-17,789769
2017-04-18,789769
2017-04-19,789769
2017-04-20,789769
2017-04-21,779979
2017-04-22,779979
2017-04-23,779979
2017-04-24,779979
2017-04-25,791727
2017-04-26,791727
2017-04-27,791727
2017-04-28,791727
2017-04-29,791575
2017-04-30,791575
2017-05-01,791575
2017-05-02,791575
2017-05-03,805309
2017-05-04,805309
2017-05-05,805309
2017-05-06,805309
2017-05-07,810243
2017-05-08,810243
2017-05-09,810243
2017-05-10,810243
2017-05-11,805541
2017-05-12,805541
2017-05-13,805541
2017-05-14,805541
2017-05-15,798348
2017-05-16,798348
2017-05-17,798348
2017-05-18,798348
2017-05-19,788198
2017-05-20,788198
2017-05-21,788198
2017-05-22,788198
