date_obj,Armadyl%20d'hide%20shield price
2019-08-22,1401402
2019-08-23,1401402
2019-08-24,1364717
2019-08-24,1364717
2019-08-25,1364717
2019-08-25,1364717
2019-08-26,1364717
2019-08-26,1364717
2019-08-27,1347394
2019-08-27,1347394
2019-08-28,1347394
2019-08-29,1347394
2019-08-30,1352435
2019-08-31,1352435
2019-09-01,1380432
2019-09-02,1380432
2019-09-03,1401418
2019-09-04,1401418
2019-09-05,1401418
2019-09-06,1396613
2019-09-07,1396613
2019-09-08,1374778
2019-09-09,1374778
2019-09-10,1374778
2019-09-11,1343793
2019-09-12,1343793
2019-09-13,1343793
2019-09-14,1307417
2019-09-15,1307417
2019-09-16,1294108
2019-09-17,1294108
2019-09-18,1293894
2019-09-19,1293894
2019-09-20,1293894
2019-09-21,1290141
2019-09-22,1290141
2019-09-23,1248539
2019-09-24,1248539
2019-09-25,1248539
2019-09-26,1219316
2019-09-27,1219316
2019-09-28,1219316
2019-09-29,1179669
2019-09-30,1179669
2019-10-01,1147752
2019-10-02,1147752
2019-10-03,1147752
2019-10-04,1149427
2019-10-05,1149427
2019-10-06,1143435
2019-10-07,1143435
2019-10-08,1132047
2019-10-09,1132047
2019-10-10,1132047
2019-10-11,1161467
2019-10-12,1161467
2019-10-13,1185475
2019-10-14,1185475
2019-10-15,1185475
2019-10-16,1161165
2019-10-17,1161165
2019-10-18,1161165
2019-10-19,1133740
2019-10-20,1133740
2019-10-21,1133740
2019-10-22,1080795
2019-10-23,1080795
2019-10-24,1034075
2019-10-25,1034075
2019-10-26,985124
2019-10-27,985124
2019-10-28,945136
2019-10-29,945136
2019-10-30,945136
2019-10-31,921860
2019-11-01,921860
2019-11-02,894572
2019-11-03,894572
2019-11-04,881837
2019-11-05,881837
2019-11-06,881837
2019-11-07,864275
2019-11-08,864275
2019-11-09,864275
2019-11-10,827089
2019-11-11,827089
2019-11-12,827089
2019-11-13,801326
2019-11-14,801326
2019-11-15,804295
2019-11-16,804295
2019-11-17,804295
2019-11-18,825431
2019-11-19,825431
2019-11-20,825431
2019-11-21,834418
2019-11-22,834418
2019-11-23,831916
2019-11-24,831916
2019-11-25,850458
2019-11-26,850458
2019-11-27,850458
2019-11-28,834980
2019-11-29,834980
2019-11-30,818832
2019-12-01,818832
2019-12-02,840867
2019-12-03,840867
2019-12-04,869610
2019-12-05,869610
2019-12-06,869610
2019-12-07,887856
2019-12-08,887856
2019-12-09,887856
2019-12-10,913095
2019-12-11,913095
2019-12-12,913095
2019-12-13,929817
2019-12-14,929817
2019-12-15,963990
2019-12-16,963990
2019-12-17,963990
2019-12-18,951775
2019-12-19,951775
2019-12-20,946519
2019-12-21,946519
2019-12-22,939782
2019-12-23,939782
2019-12-24,939782
2019-12-25,938699
2019-12-26,938699
2019-12-27,938699
2019-12-28,961602
2019-12-29,961602
2019-12-30,984568
2019-12-31,984568
2020-01-01,984568
2020-01-02,983696
2020-01-03,983696
2020-01-04,959682
2020-01-05,959682
2020-01-06,959682
2020-01-07,933931
2020-01-08,933931
2020-01-09,933931
2020-01-10,915743
2020-01-11,915743
2020-01-12,911449
2020-01-13,911449
2020-01-14,911449
2020-01-15,893134
2020-01-16,893134
2020-01-17,897176
2020-01-18,897176
2020-01-19,902709
2020-01-20,902709
2020-01-21,902709
2020-01-22,893241
2020-01-23,893241
2020-01-24,888916
2020-01-25,888916
2020-01-26,885486
2020-01-27,885486
2020-01-28,884777
2020-01-29,884777
2020-01-30,886368
2020-01-31,886368
2020-02-01,873130
2020-02-02,873130
2020-02-03,849616
2020-02-04,849616
2020-02-05,863637
2020-02-06,863637
2020-02-07,860519
2020-02-08,860519
2020-02-09,834454
2020-02-10,817102
2020-02-11,817102
2020-02-12,804682
2020-02-13,804682
2020-02-14,802708
2020-02-15,802708
2020-02-16,802708
2020-02-17,779146
2020-02-18,779146
2020-02-19,768349
2020-02-20,768349
2020-02-21,768349
2020-02-22,747356
2020-02-23,747356
2020-02-24,720665
2020-02-25,720665
2020-02-26,704612
2020-02-27,704612
2020-02-28,699642
2020-02-29,699642
2020-03-01,689404
2020-03-02,689404
2020-03-03,683618
2020-03-04,683618
2020-03-05,683618
2020-03-06,674118
2020-03-07,674118
2020-03-08,669309
2020-03-09,669309
2020-03-10,656974
2020-03-11,656974
2020-03-12,655186
2020-03-13,655186
2020-03-14,636236
2020-03-15,636236
2020-03-16,625584
2020-03-17,625584
2020-03-18,621499
2020-03-19,621499
2020-03-20,619351
2020-03-21,619351
2020-03-22,634162
2020-03-23,634162
2020-03-24,644171
2020-03-25,644171
2020-03-26,652693
2020-03-27,652693
2020-03-28,667022
2020-03-29,673327
2020-03-30,673327
2020-03-31,679703
2020-04-01,679703
2020-04-02,669881
2020-04-03,669881
2020-04-04,659876
2020-04-05,659876
2020-04-06,653657
2020-04-07,653657
2020-04-08,649732
2020-04-09,649732
2020-04-10,634717
2020-04-11,636361
2020-04-12,636361
2020-04-13,644323
2020-04-14,651475
2020-04-15,652259
2020-04-16,652259
2020-04-17,666658
2020-04-18,677605
2020-04-19,687961
2020-04-20,687961
2020-04-21,684501
2020-04-22,677412
2020-04-23,677412
2020-04-24,668266
2020-04-25,668266
2020-04-26,651544
2020-04-27,655441
2020-04-28,642401
2020-04-29,642401
2020-04-30,632805
2020-05-01,632805
2020-05-02,628529
2020-05-03,615621
2020-05-04,615621
2020-05-05,600282
2020-05-06,586984
2020-05-07,586984
2020-05-08,578107
2020-05-09,559193
2020-05-10,559193
2020-05-11,533457
2020-05-12,533457
2020-05-13,518797
