date_obj,Teak%20sapling price
2019-12-08,365
2019-12-09,365
2019-12-10,369
2019-12-11,369
2019-12-12,362
2019-12-13,362
2019-12-14,359
2019-12-15,364
2019-12-16,364
2019-12-17,365
2019-12-18,365
2019-12-19,364
2019-12-20,364
2019-12-21,367
2019-12-22,367
2019-12-23,371
2019-12-24,371
2019-12-25,364
2019-12-26,364
2019-12-27,354
2019-12-28,354
2019-12-29,345
2019-12-30,345
2019-12-31,341
2020-01-01,341
2020-01-02,335
2020-01-03,335
2020-01-04,333
2020-01-05,334
2020-01-06,334
2020-01-07,342
2020-01-08,342
2020-01-09,354
2020-01-10,358
2020-01-11,352
2020-01-12,346
2020-01-13,346
2020-01-14,352
2020-01-15,361
2020-01-16,359
2020-01-17,359
2020-01-18,362
2020-01-19,365
2020-01-20,365
2020-01-21,369
2020-01-22,369
2020-01-23,357
2020-01-24,342
2020-01-25,342
2020-01-26,325
2020-01-27,317
2020-01-28,317
2020-01-29,311
2020-01-30,311
2020-01-31,301
2020-02-01,301
2020-02-02,298
2020-02-03,298
2020-02-04,297
2020-02-05,297
2020-02-06,296
2020-02-07,296
2020-02-08,291
2020-02-09,291
2020-02-10,286
2020-02-11,286
2020-02-12,293
2020-02-13,293
2020-02-14,291
2020-02-15,291
2020-02-16,289
2020-02-17,293
2020-02-18,296
2020-02-19,296
2020-02-20,297
2020-02-21,297
2020-02-22,290
2020-02-23,290
2020-02-24,296
2020-02-25,296
2020-02-26,306
2020-02-27,306
2020-02-28,312
2020-02-29,312
2020-03-01,308
2020-03-02,308
2020-03-03,318
2020-03-04,318
2020-03-05,312
2020-03-06,311
2020-03-07,311
2020-03-08,309
2020-03-09,303
2020-03-10,310
2020-03-11,310
2020-03-12,312
2020-03-13,312
2020-03-14,314
2020-03-15,314
2020-03-16,327
2020-03-17,327
2020-03-18,326
2020-03-19,328
2020-03-20,326
2020-03-21,336
2020-03-22,346
2020-03-23,340
2020-03-24,339
2020-03-25,337
2020-03-26,330
2020-03-27,321
2020-03-28,320
2020-03-29,316
2020-03-30,307
2020-03-31,293
2020-04-01,283
2020-04-02,274
2020-04-03,274
2020-04-04,263
2020-04-05,250
2020-04-06,248
2020-04-07,258
2020-04-08,262
2020-04-09,266
2020-04-10,266
2020-04-11,270
2020-04-12,273
2020-04-13,278
2020-04-14,285
2020-04-15,295
2020-04-16,305
2020-04-17,312
2020-04-18,314
2020-04-19,315
2020-04-20,318
2020-04-21,327
2020-04-22,336
2020-04-23,338
2020-04-24,340
2020-04-25,342
2020-04-26,344
2020-04-27,347
2020-04-28,349
2020-04-29,356
2020-04-30,370
2020-05-01,371
2020-05-02,370
2020-05-03,362
2020-05-04,348
2020-05-05,342
2020-05-06,329
2020-05-07,322
2020-05-08,306
2020-05-09,296
2020-05-10,282
2020-05-11,277
2020-05-12,266
2020-05-13,256
