date_obj,Bandos%20d'hide%20shield price
2019-11-18,406012
2019-11-19,406012
2019-11-20,406012
2019-11-21,406012
2019-11-22,385711
2019-11-23,385711
2019-11-24,385711
2019-11-25,366425
2019-11-26,366425
2019-11-27,366425
2019-11-28,356122
2019-11-29,356122
2019-11-30,356122
2019-12-01,349061
2019-12-02,349061
2019-12-03,349061
2019-12-04,347588
2019-12-05,347588
2019-12-06,347588
2019-12-07,362475
2019-12-08,362475
2019-12-09,362475
2019-12-10,373362
2019-12-11,373362
2019-12-12,373362
2019-12-13,373362
2019-12-14,383308
2019-12-15,383308
2019-12-16,383308
2019-12-17,384349
2019-12-18,384349
2019-12-19,384349
2019-12-20,370749
2019-12-21,370749
2019-12-22,370749
2019-12-23,371435
2019-12-24,371435
2019-12-25,371435
2019-12-26,376501
2019-12-27,376501
2019-12-28,361961
2019-12-29,361961
2019-12-30,361961
2019-12-31,360701
2020-01-01,360701
2020-01-02,362988
2020-01-03,362988
2020-01-04,362988
2020-01-05,356267
2020-01-06,356267
2020-01-07,346093
2020-01-08,346093
2020-01-09,346093
2020-01-10,353805
2020-01-11,353805
2020-01-12,362812
2020-01-13,362812
2020-01-14,362812
2020-01-15,374999
2020-01-16,374999
2020-01-17,381019
2020-01-18,381019
2020-01-19,390667
2020-01-20,390667
2020-01-21,390667
2020-01-22,398990
2020-01-23,398990
2020-01-24,398990
2020-01-25,393416
2020-01-26,393416
2020-01-27,389709
2020-01-28,389709
2020-01-29,389709
2020-01-30,378816
2020-01-31,378816
2020-02-01,378816
2020-02-02,377621
2020-02-03,377621
2020-02-04,377621
2020-02-05,374049
2020-02-06,374049
2020-02-07,362027
2020-02-08,362027
2020-02-09,362027
2020-02-10,354432
2020-02-11,354432
2020-02-12,354432
2020-02-13,350349
2020-02-14,350349
2020-02-15,350444
2020-02-16,350444
2020-02-17,349658
2020-02-18,349658
2020-02-19,349658
2020-02-20,352928
2020-02-21,352928
2020-02-22,352928
2020-02-23,346885
2020-02-24,346885
2020-02-25,348271
2020-02-26,348271
2020-02-27,350730
2020-02-28,350730
2020-02-29,350730
2020-03-01,342612
2020-03-02,342612
2020-03-03,342612
2020-03-04,340197
2020-03-05,340197
2020-03-06,340197
2020-03-07,334650
2020-03-08,334650
2020-03-09,334650
2020-03-10,332885
2020-03-11,332885
2020-03-12,332885
2020-03-13,321920
2020-03-14,321920
2020-03-15,321920
2020-03-16,318930
2020-03-17,318930
2020-03-18,318930
2020-03-19,320128
2020-03-20,320128
2020-03-21,315852
2020-03-22,315852
2020-03-23,330179
2020-03-24,330179
2020-03-25,343158
2020-03-26,343158
2020-03-27,349832
2020-03-28,349832
2020-03-29,350059
2020-03-30,350059
2020-03-31,348281
2020-04-01,348281
2020-04-02,349607
2020-04-03,349607
2020-04-04,357319
2020-04-05,357319
2020-04-06,359926
2020-04-07,359926
2020-04-08,363937
2020-04-09,363937
2020-04-10,363937
2020-04-11,366934
2020-04-12,366934
2020-04-13,374805
2020-04-14,374805
2020-04-15,360812
2020-04-16,360812
2020-04-17,348285
2020-04-18,348285
2020-04-19,339211
2020-04-20,339211
2020-04-21,328201
2020-04-22,315234
2020-04-23,315234
2020-04-24,300250
2020-04-25,300250
2020-04-26,293001
2020-04-27,293001
2020-04-28,290346
2020-04-29,290346
2020-04-30,285906
2020-05-01,285906
2020-05-02,283912
2020-05-03,285677
2020-05-04,285677
2020-05-05,291482
2020-05-06,284771
2020-05-07,284771
2020-05-08,284771
2020-05-09,280697
2020-05-10,280697
2020-05-11,267732
2020-05-12,267732
2020-05-13,264108
