date_obj,Granite%20hammer price
2019-10-31,650330
2019-11-01,624907
2019-11-02,617320
2019-11-03,596367
2019-11-04,594737
2019-11-05,589368
2019-11-06,593019
2019-11-07,606536
2019-11-08,614909
2019-11-09,622707
2019-11-10,643855
2019-11-11,673723
2019-11-12,707410
2019-11-13,742781
2019-11-14,763467
2019-11-15,788428
2019-11-16,800638
2019-11-17,797639
2019-11-18,805315
2019-11-19,816043
2019-11-20,847556
2019-11-21,877929
2019-11-22,910371
2019-11-23,926916
2019-11-24,927604
2019-11-25,921815
2019-11-26,903952
2019-11-27,887637
2019-11-28,879584
2019-11-29,873131
2019-11-30,894015
2019-12-01,933179
2019-12-02,977651
2019-12-03,1010589
2019-12-04,1010346
2019-12-05,1010382
2019-12-06,1010140
2019-12-07,1032160
2019-12-08,1082426
2019-12-09,1120817
2019-12-10,1104693
2019-12-11,1125769
2019-12-12,1141460
2019-12-13,1115011
2019-12-14,1112493
2019-12-15,1092970
2019-12-16,1076446
2019-12-17,1066057
2019-12-18,1047185
2019-12-19,1053380
2019-12-20,1032820
2019-12-21,1031657
2019-12-22,1027874
2019-12-23,1012498
2019-12-24,996619
2019-12-25,988970
2019-12-26,996464
2019-12-27,1026335
2019-12-28,1070768
2019-12-29,1108806
2019-12-30,1162750
2019-12-31,1216056
2020-01-01,1272213
2020-01-02,1253437
2020-01-03,1227256
2020-01-04,1196467
2020-01-05,1150608
2020-01-06,1105838
2020-01-07,1064970
2020-01-08,1051331
2020-01-09,1045299
2020-01-10,1036222
2020-01-11,1030082
2020-01-12,1024584
2020-01-13,1022877
2020-01-14,1026282
2020-01-15,1048781
2020-01-16,1037233
2020-01-17,1035069
2020-01-18,1023477
2020-01-19,1016196
2020-01-20,1015320
2020-01-21,1010808
2020-01-22,1013192
2020-01-23,1013702
2020-01-24,1008939
2020-01-25,1004133
2020-01-26,1005415
2020-01-27,988074
2020-01-28,975230
2020-01-29,961637
2020-01-30,956105
2020-01-31,950514
2020-02-01,929232
2020-02-02,900356
2020-02-03,893996
2020-02-04,880851
2020-02-05,854107
2020-02-06,825471
2020-02-07,813697
2020-02-08,808180
2020-02-09,779686
2020-02-10,758979
2020-02-11,744669
2020-02-12,731388
2020-02-13,718221
2020-02-14,700781
2020-02-15,687695
2020-02-16,675253
2020-02-17,680719
2020-02-18,702504
2020-02-19,720093
2020-02-20,717873
2020-02-21,702415
2020-02-22,687752
2020-02-23,666490
2020-02-24,686555
2020-02-25,693604
2020-02-26,684648
2020-02-27,692385
2020-02-28,690104
2020-02-29,683841
2020-03-01,690536
2020-03-02,693055
2020-03-03,720042
2020-03-04,720764
2020-03-05,722402
2020-03-06,735788
2020-03-07,735292
2020-03-08,734971
2020-03-09,731209
2020-03-10,747165
2020-03-11,736640
2020-03-12,745823
2020-03-13,761513
2020-03-14,780022
2020-03-15,772254
2020-03-16,774638
2020-03-17,798648
2020-03-18,800711
2020-03-19,823955
2020-03-20,838169
2020-03-21,837076
2020-03-22,831247
2020-03-23,828192
2020-03-24,859429
2020-03-25,886695
2020-03-26,918608
2020-03-27,947621
2020-03-28,945800
2020-03-29,935434
2020-03-30,911672
2020-03-31,902119
2020-04-01,891160
2020-04-02,870929
2020-04-03,857139
2020-04-04,845888
2020-04-05,861656
2020-04-06,871219
2020-04-07,865427
2020-04-08,852012
2020-04-09,848861
2020-04-10,859531
2020-04-11,842981
2020-04-12,824646
2020-04-13,807665
2020-04-14,788513
2020-04-15,756914
2020-04-16,738856
2020-04-17,730988
2020-04-18,744702
2020-04-19,755844
2020-04-20,781738
2020-04-21,801834
2020-04-22,797445
2020-04-23,789423
2020-04-24,780735
2020-04-25,766513
2020-04-26,750046
2020-04-27,737457
2020-04-28,726079
2020-04-29,716804
2020-04-30,705947
2020-05-01,700969
2020-05-02,708431
2020-05-03,733868
2020-05-04,768953
2020-05-05,770041
2020-05-06,759634
2020-05-07,751124
2020-05-08,733611
2020-05-09,719370
2020-05-10,706609
2020-05-11,699829
2020-05-12,688534
2020-05-13,688439
