date_obj,Black%20d'hide%20body%20(t) price
2017-03-18,14172
2017-03-19,14031
2017-03-20,14031
2017-03-21,14326
2017-03-22,14326
2017-03-23,14326
2017-03-24,13984
2017-03-25,13984
2017-03-26,13984
2017-03-27,13784
2017-03-28,13784
2017-03-29,14194
2017-03-30,14194
2017-03-31,14663
2017-04-01,14663
2017-04-02,14663
2017-04-03,14816
2017-04-04,14816
2017-04-12,15100
2017-04-13,15159
2017-04-14,15159
2017-04-15,15159
2017-04-16,14971
2017-04-17,14971
2017-04-18,15460
2017-04-19,15460
2017-04-20,15460
2017-04-21,15854
2017-04-22,15854
2017-04-23,15854
2017-04-24,15465
2017-04-25,15465
2017-04-26,15094
2017-04-27,15094
2017-04-28,15188
2017-04-29,15188
2017-04-30,14897
2017-05-01,14897
2017-05-02,15031
2017-05-03,15031
2017-05-04,14728
2017-05-05,14728
2017-05-06,14447
2017-05-07,14447
2017-05-08,14254
2017-05-09,14254
2017-05-10,13796
2017-05-11,13796
2017-05-12,13576
2017-05-13,13576
2017-05-14,13456
2017-05-15,13456
2017-05-16,13508
2017-05-17,13508
2017-05-18,13475
2017-05-19,13475
2017-05-20,13547
2017-05-21,13547
2017-05-22,13547
2017-05-23,13519
2017-05-24,13519
2017-05-25,12849
2017-05-26,12849
2017-05-27,12228
2017-05-28,12228
2017-05-29,12228
2017-05-30,11735
2017-05-31,11735
2017-06-01,11614
2017-06-02,11614
2017-06-03,11367
2017-06-04,11367
2017-06-05,11226
2017-06-06,11184
2017-06-07,11184
2017-06-08,11184
2017-06-09,11076
2017-06-10,11092
2017-06-11,11092
2017-06-12,11375
2017-06-13,11375
2017-06-14,11183
2017-06-15,11183
2017-06-16,11183
2017-06-17,11148
2017-06-18,11148
2017-06-19,11471
2017-06-20,11471
2017-06-21,11817
2017-06-22,11817
2017-06-23,11817
2017-06-24,12400
2017-06-25,12400
2017-06-26,13011
2017-06-27,13011
2017-06-28,13507
2017-06-29,13507
2017-07-01,13896
2017-07-02,13896
2017-07-03,14408
2017-07-04,14408
2017-07-05,14408
2017-07-06,14533
2017-07-07,14533
2017-07-08,14533
2017-07-13,13943
2017-07-14,13817
2017-07-15,13817
2017-07-16,13817
2017-07-17,13420
2017-07-18,13420
2017-07-19,13420
2017-07-20,13492
2017-07-21,13492
2017-07-22,13513
2017-07-23,13513
2017-07-24,13768
2017-07-25,13768
2017-07-26,13464
2017-07-27,13464
2017-07-28,13185
2017-07-29,13185
2017-07-30,12932
2017-07-31,12932
2017-08-01,12932
2017-08-02,13167
2017-08-03,13167
2017-08-04,13167
2017-08-05,13763
2017-08-06,13763
2017-08-07,13763
2017-08-08,14001
2017-08-09,14001
2017-08-10,14024
2017-08-11,14024
2017-08-12,14024
2017-08-13,13861
2017-08-14,13861
2017-08-15,14175
2017-08-16,14175
2017-08-17,14441
2017-08-18,14441
2017-08-19,14441
2017-08-20,14235
2017-08-21,14235
2017-08-22,14184
2017-08-23,14184
2017-08-24,14043
2017-08-25,14043
2017-08-26,13995
2017-08-27,13995
2017-08-28,13549
2017-08-29,13549
2017-08-30,13168
2017-08-31,13168
2017-09-01,13168
2017-09-02,13301
2017-09-03,13301
2017-09-04,13301
2017-09-05,13174
2017-09-06,13174
2017-09-07,13778
2017-09-08,13778
2017-09-09,14404
2017-09-10,14404
2017-09-11,14842
2017-09-12,14842
2017-09-13,15185
2017-09-14,15185
2017-09-15,15312
2017-09-16,15312
2017-09-17,14707
2017-09-18,14707
2017-09-19,14728
2017-09-20,14728
2017-09-22,14846
2017-09-23,14846
2017-09-24,14854
2017-09-25,14854
2017-09-26,14945
2017-09-27,14945
2017-09-28,14791
2017-09-29,14791
2017-09-30,14720
2017-10-01,14720
2017-10-02,14679
2017-10-03,14679
2017-10-04,14679
2017-10-05,14556
2017-10-06,14556
2017-10-07,14441
2017-10-08,14441
2017-10-09,14129
2017-10-10,14129
2017-10-11,13450
2017-10-12,13450
2017-10-13,12941
2017-10-14,12941
2017-10-15,12906
2017-10-16,12906
2017-10-17,12635
2017-10-18,12635
2017-10-19,12631
2017-10-20,12631
2017-10-21,12794
2017-10-22,12794
2017-10-23,12604
2017-10-24,12604
2017-10-25,12305
2017-10-26,12305
2017-10-27,11879
2017-10-28,11879
2017-10-29,11930
2017-10-30,11930
2017-10-31,12010
2017-11-01,12010
2017-11-02,11803
2017-11-03,11803
2017-11-04,11723
2017-11-05,11723
2017-11-06,11835
2017-11-07,11835
2017-11-08,11835
2017-11-09,12084
2017-11-10,12084
2017-11-11,12084
2017-11-12,11806
2017-11-13,11806
2017-11-14,11806
2017-11-15,11569
2017-11-16,11569
2017-11-17,11238
2017-11-18,11238
2017-11-19,11278
2017-11-20,11278
2017-11-21,11432
2017-11-22,11432
2017-11-23,11572
2017-11-24,11572
2017-11-25,11361
2017-11-26,11361
2017-11-27,11723
2017-11-28,11723
2017-11-29,11838
2017-11-30,11838
2017-12-01,11761
2017-12-02,11761
2017-12-03,11669
2017-12-04,11669
2017-12-05,11193
2017-12-06,11193
2017-12-07,11164
2017-12-08,11164
2017-12-09,11354
2017-12-10,11806
2017-12-11,11806
2017-12-12,12317
2017-12-13,12317
2017-12-14,12911
2017-12-15,12911
2017-12-16,13538
2017-12-17,13538
2017-12-18,14056
2017-12-19,14056
2017-12-20,14624
2017-12-21,14624
2017-12-22,14898
2017-12-23,14898
2017-12-24,14898
2017-12-25,14816
2017-12-26,14816
2017-12-27,14230
2017-12-28,14230
2017-12-29,14230
2017-12-30,14189
2017-12-31,14189
2018-01-01,14030
2018-01-02,14030
2018-01-03,14036
2018-01-04,14036
2018-01-05,13809
2018-01-06,13809
2018-01-07,13297
2018-01-08,13297
2018-01-09,13034
2018-01-10,13034
2018-01-11,13083
2018-01-12,13083
2018-01-13,12933
2018-01-14,12933
2018-01-15,13080
2018-01-16,13080
2018-01-17,12830
2018-01-18,12830
2018-01-19,12458
2018-01-20,12458
2018-01-21,12030
2018-01-22,12030
2018-01-23,11668
2018-01-24,11668
2018-01-25,11344
2018-01-26,11344
2018-01-27,11112
2018-01-28,10861
2018-01-29,10861
2018-01-30,10585
2018-01-31,10585
2018-02-01,10866
2018-02-02,10866
2018-02-03,11064
2018-02-04,11064
2018-02-05,10876
2018-02-06,10594
2018-02-07,10487
2018-02-08,10487
2018-02-09,10574
2018-02-10,10574
2018-02-11,10417
2018-02-12,10617
2018-02-13,10617
2018-02-14,10788
2018-02-15,10937
2018-02-16,11201
2018-02-17,11654
2018-02-18,11654
2018-02-19,11577
2018-02-20,11577
2018-02-21,11452
2018-02-22,11452
2018-02-23,11261
2018-02-24,11261
2018-02-25,11452
2018-02-26,11452
2018-02-27,11441
2018-02-28,11441
2018-03-01,11793
2018-03-02,11744
2018-03-03,11448
2018-03-04,11448
2018-03-05,11235
2018-03-06,11235
2018-03-07,11371
2018-03-08,11371
2018-03-09,11370
2018-03-10,11370
2018-03-11,11208
2018-03-12,11208
2018-03-13,11448
2018-03-14,11448
2018-03-15,11763
2018-03-16,11763
2018-03-17,12247
2018-03-18,12247
2018-03-20,13484
2018-03-21,13484
2018-03-22,12933
2018-03-23,12933
2018-03-24,13371
2018-03-25,13371
2018-03-26,13521
2018-03-27,14169
2018-03-28,14169
2018-03-29,14727
2018-03-30,14727
2018-03-31,14813
2018-04-01,14813
2018-04-02,14435
2018-04-03,14435
2018-04-04,14547
2018-04-05,14547
2018-04-06,14705
2018-04-07,14705
2018-04-08,14745
2018-04-09,14745
2018-04-10,14274
2018-04-11,14274
2018-04-12,14282
2018-04-13,14282
2018-04-14,14282
2018-04-15,14180
2018-04-16,14180
2018-04-17,14354
2018-04-18,14354
2018-04-19,14147
2018-04-20,14147
2018-04-21,14232
2018-04-22,14232
2018-04-23,14327
2018-04-24,14327
2018-04-25,14747
2018-04-26,14747
2018-04-27,14850
2018-04-28,14850
2018-04-29,14754
2018-04-30,14754
2018-05-01,14420
2018-05-02,14420
2018-05-03,14305
2018-05-04,14305
2018-05-05,13982
2018-05-06,13982
2018-05-07,13982
2018-05-08,13681
2018-05-09,13553
2018-05-10,13553
2018-05-11,13578
2018-05-12,13571
2018-05-13,13571
2018-05-14,13484
2018-05-15,13484
2018-05-16,13387
2018-05-17,13387
2018-05-18,13101
2018-05-19,13041
2018-05-20,13041
2018-05-21,13302
2018-05-22,13302
2018-05-23,13651
2018-05-24,13651
2018-05-25,14158
2018-05-26,14318
2018-05-27,14318
2018-05-28,13774
2018-05-29,13873
2018-05-30,13873
2018-05-31,13554
2018-06-01,13479
2018-06-02,13564
2018-06-03,13564
2018-06-04,13473
2018-06-05,13479
2018-06-06,13941
2018-06-07,13941
2018-06-08,14497
2018-06-09,14497
2018-06-10,14928
2018-06-11,14928
2018-06-12,14744
2018-06-13,15142
2018-06-14,15142
2018-06-15,14423
2018-06-16,14423
2018-06-17,13738
2018-06-18,13738
2018-06-19,13425
2018-06-20,13425
2018-06-21,13931
2018-06-22,13931
2018-06-23,14376
2018-06-24,14376
2018-06-25,14304
2018-06-26,14304
2018-06-27,14530
2018-06-28,14530
2018-06-29,13932
2018-06-30,13932
2018-07-01,13620
2018-07-02,13620
2018-07-03,13256
2018-07-04,13256
2018-07-05,13346
2018-07-06,13515
2018-07-07,13515
2018-07-08,13312
2018-07-09,12824
2018-07-10,12824
2018-07-11,12843
2018-07-12,12843
2018-07-13,12645
2018-07-14,12877
2018-07-15,12877
2018-07-16,12928
2018-07-17,12780
2018-07-18,12780
2018-07-19,12670
2018-07-20,12670
2018-07-21,12605
2018-07-22,12750
2018-07-23,12685
2018-07-24,12685
2018-07-25,13198
