date_obj,Rune%20longsword price
2016-06-12,20088
2016-06-13,20157
2016-06-14,20192
2016-06-15,20497
2016-06-16,20461
2016-06-17,20413
2016-06-18,19938
2016-06-19,19710
2016-06-20,19555
2016-06-21,19609
2016-06-22,19923
2016-06-23,19930
2016-06-24,19982
2016-06-25,20051
2016-06-26,20021
2016-06-27,19684
2016-06-28,19869
2016-06-29,19936
2016-06-30,19920
2016-07-01,20174
2016-07-02,20213
2016-07-03,20320
2016-07-04,20233
2016-07-05,20022
2016-07-06,20320
2016-07-07,20344
2016-07-08,20507
2016-07-09,20460
2016-07-10,20257
2016-07-11,20063
2016-07-12,20040
2016-07-13,20469
2016-07-14,20610
2016-07-15,20360
2016-07-16,20307
2016-07-17,20304
2016-07-18,20443
2016-07-23,20361
2016-07-24,20440
2016-07-25,20444
2016-07-26,20431
2016-07-27,20465
2016-07-28,20354
2016-07-29,20519
2016-07-30,20561
2016-07-31,20599
2016-08-01,20624
2016-08-02,20661
2016-08-03,20738
2016-08-04,20900
2016-08-05,20928
2016-08-06,20903
2016-08-07,20863
2016-08-08,20817
2016-08-09,21016
2016-08-10,21109
2016-08-11,20958
2016-08-12,20724
2016-08-13,20658
2016-08-14,20754
2016-08-15,20686
2016-08-16,20597
2016-08-17,20629
2016-08-18,20074
2016-08-19,19976
2016-08-20,20431
2016-08-21,20437
2016-08-22,20549
2016-08-23,20622
2016-08-24,20556
2016-08-25,20682
2016-08-26,20659
2016-08-28,20697
2016-08-31,20851
2016-09-01,20942
2016-09-02,20943
2016-09-03,21051
2016-09-04,20931
2016-09-05,20834
2016-09-06,20834
2016-09-07,20747
2016-09-08,20895
2016-09-09,20927
2016-09-10,20934
2016-09-11,20946
2016-09-12,21050
2016-09-13,21129
2016-09-14,21246
2016-09-15,20991
2016-09-16,20860
2016-09-17,20626
2016-09-18,20378
2016-09-19,20340
2016-09-20,20396
2016-09-21,20299
2016-09-22,20424
2016-09-23,20613
2016-09-24,20207
2016-09-25,20442
2016-09-26,20513
2016-09-27,20362
2016-09-28,20288
2016-09-29,20057
2016-09-30,20187
2016-10-01,20249
2016-10-02,20358
2016-10-03,20405
2016-10-04,20574
2016-10-05,20565
2016-10-06,20649
2016-10-07,20719
2016-10-08,20516
2016-10-09,19908
2016-10-10,20084
2016-10-11,20287
2016-10-12,20501
2016-10-13,20732
2016-10-14,20722
2016-10-15,20664
2016-10-16,20634
2016-10-17,20861
2016-10-18,20675
2016-10-19,20482
