date_obj,Blue%20d'hide%20chaps%20(t) price
2016-06-04,2636
2016-06-05,2636
2016-06-06,2610
2016-06-07,2610
2016-06-08,2541
2016-06-09,2488
2016-06-10,2478
2016-06-11,2478
2016-06-12,2501
2016-06-13,2534
2016-06-14,2567
2016-06-15,2567
2016-06-16,2590
2016-06-17,2579
2016-06-18,2579
2016-06-19,2524
2016-06-20,2510
2016-06-21,2579
2016-06-22,2626
2016-06-23,2614
2016-06-24,2614
2016-06-25,2560
2016-06-26,2560
2016-06-27,2582
2016-06-28,2617
2016-06-29,2613
2016-06-30,2559
2016-07-01,2588
2016-07-02,2588
2016-07-03,2579
2016-07-04,2571
2016-07-05,2611
2016-07-06,2603
2016-07-07,2597
2016-07-08,2537
2016-07-09,2547
2016-07-10,2543
2016-07-11,2562
2016-07-12,2604
2016-07-13,2606
2016-07-14,2504
2016-07-15,2504
2016-07-16,2535
2016-07-17,2535
2016-07-18,2529
2016-07-23,2496
2016-07-24,2501
2016-07-25,2476
2016-07-26,2476
2016-07-27,2496
2016-07-28,2492
2016-07-29,2463
2016-07-30,2526
2016-07-31,2526
2016-08-01,2539
2016-08-02,2491
2016-08-03,2567
2016-08-04,2567
2016-08-05,2594
2016-08-06,2611
2016-08-07,2572
2016-08-08,2572
2016-08-09,2563
2016-08-10,2550
2016-08-11,2550
2016-08-12,2600
2016-08-13,2595
2016-08-14,2580
2016-08-15,2518
2016-08-16,2550
2016-08-17,2550
2016-08-18,2563
2016-08-19,2543
2016-08-20,2624
2016-08-21,2624
2016-08-22,2565
2016-08-23,2650
2016-08-24,2650
2016-08-25,2613
2016-08-26,2613
2016-08-28,2526
2016-08-31,2427
2016-09-01,2457
2016-09-02,2457
2016-09-03,2459
2016-09-04,2387
2016-09-05,2488
2016-09-06,2519
2016-09-07,2519
2016-09-08,2438
2016-09-09,2438
2016-09-10,2421
2016-09-11,2421
2016-09-12,2426
2016-09-13,2453
2016-09-14,2453
2016-09-15,2441
2016-09-16,2441
2016-09-17,2517
2016-09-18,2517
2016-09-19,2452
2016-09-20,2452
2016-09-21,2428
2016-09-22,2368
2016-09-23,2368
2016-09-24,2387
2016-09-25,2325
2016-09-26,2325
2016-09-27,2355
2016-09-28,2371
2016-09-29,2371
2016-09-30,2366
2016-10-01,2390
2016-10-02,2390
2016-10-03,2374
2016-10-04,2473
2016-10-05,2473
2016-10-06,2533
2016-10-07,2533
2016-10-08,2660
2016-10-09,2660
2016-10-10,2629
2016-10-11,2608
2016-10-12,2608
2016-10-13,2639
2016-10-14,2507
2016-10-15,2438
2016-10-16,2438
2016-10-17,2379
2016-10-18,2379
2016-10-19,2358
2016-10-20,2358
2016-10-21,2345
2016-10-22,2345
2016-10-23,2350
2016-10-24,2384
2016-10-25,2384
2016-10-26,2429
2016-10-27,2429
2016-10-28,2401
2016-10-29,2397
2016-10-30,2397
2016-10-31,2448
2016-11-01,2448
2016-11-02,2438
2016-11-03,2438
2016-11-04,2490
2016-11-05,2490
2016-11-06,2559
2016-11-07,2559
2016-11-08,2638
2016-11-09,2770
2016-11-10,2770
2016-11-11,2773
2016-11-12,2696
2016-11-13,2696
2016-11-14,2669
2016-11-15,2669
2016-12-07,2812
2016-12-08,2831
2016-12-09,2856
2016-12-10,2856
2016-12-11,2865
2016-12-12,2865
2016-12-13,2947
2016-12-14,2978
2016-12-15,2978
2016-12-16,2962
2016-12-17,2877
2016-12-18,2877
2016-12-19,2791
2016-12-20,2833
2016-12-21,2743
2016-12-22,2743
2016-12-23,2683
2016-12-24,2683
2016-12-25,2607
2016-12-26,2607
2016-12-27,2625
2016-12-28,2695
2016-12-29,2683
