date_obj,Empty%20oil%20lantern price
2017-03-26,5165
2017-03-27,5165
2017-03-28,5165
2017-03-29,4916
2017-03-30,4916
2017-03-31,4916
2017-04-01,4916
2017-04-02,4916
2017-04-03,4916
2017-04-04,4916
2017-04-12,100
2017-04-13,100
2017-04-14,100
2017-04-15,100
2017-04-16,100
2017-04-17,100
2017-04-18,100
2017-04-19,100
2017-04-20,100
2017-04-21,100
2017-04-22,100
2017-04-23,100
2017-04-24,100
2017-04-25,100
2017-04-26,100
2017-04-27,100
2017-04-28,100
2017-04-29,100
2017-04-30,100
2017-05-01,100
2017-05-02,100
2017-05-03,100
2017-05-04,100
2017-05-05,100
2017-05-06,100
2017-05-07,100
2017-05-08,100
2017-05-09,100
2017-05-10,100
2017-05-11,100
2017-05-12,100
2017-05-13,100
2017-05-14,100
2017-05-15,100
2017-05-16,100
2017-05-17,100
2017-05-18,100
2017-05-19,100
2017-05-20,100
2017-05-21,100
2017-05-22,100
2017-05-23,100
2017-05-24,100
2017-05-25,100
2017-05-26,100
2017-05-27,100
2017-05-28,100
2017-05-29,100
2017-05-30,100
2017-05-31,100
2017-06-01,100
2017-06-02,100
2017-06-03,100
2017-06-04,100
2017-06-05,100
2017-06-06,100
2017-06-07,100
2017-06-08,100
2017-06-09,100
2017-06-10,100
2017-06-11,100
2017-06-12,100
2017-06-13,100
2017-06-14,100
2017-06-15,100
2017-06-16,100
2017-06-17,100
2017-06-18,100
2017-06-19,100
2017-06-20,100
2017-06-21,97
2017-06-22,97
2017-06-23,97
2017-06-24,97
2017-06-25,97
2017-06-26,97
2017-06-27,97
2017-06-28,97
2017-06-29,97
2017-06-30,97
2017-07-01,97
2017-07-02,97
2017-07-03,97
2017-07-04,97
2017-07-05,97
2017-07-06,97
2017-07-07,97
2017-07-08,97
2017-07-13,97
2017-07-14,97
2017-07-15,97
2017-07-16,97
2017-07-17,97
2017-07-18,97
2017-07-19,97
2017-07-20,97
2017-07-21,97
2017-07-22,97
2017-07-23,97
2017-07-24,97
2017-07-25,92
2017-07-26,92
2017-07-27,92
2017-07-28,92
2017-07-29,92
2017-07-30,92
2017-07-31,92
2017-08-01,92
2017-08-02,92
2017-08-03,92
2017-08-04,92
2017-08-05,92
2017-08-06,92
2017-08-09,92
2017-08-10,92
2017-08-11,92
2017-08-12,92
2017-08-13,92
2017-08-14,92
2017-08-15,92
2017-08-16,92
2017-08-17,92
2017-08-18,92
2017-08-19,92
2017-08-20,92
2017-08-21,92
2017-08-22,92
2017-08-23,92
2017-08-24,92
2017-08-25,92
2017-08-26,92
2017-08-27,92
2017-08-28,92
2017-08-29,92
2017-08-30,92
2017-08-31,92
2017-09-01,92
2017-09-03,87
2017-09-04,87
2017-09-05,87
2017-09-06,87
2017-09-07,87
2017-09-08,87
2017-09-09,87
2017-09-10,87
2017-09-11,87
2017-09-12,87
2017-09-13,87
2017-09-14,87
2017-09-15,87
2017-09-16,87
2017-09-17,87
2017-09-18,87
2017-09-19,87
2017-09-20,87
2017-09-21,87
2017-09-22,87
2017-09-23,87
2017-09-24,87
2017-09-25,87
2017-09-26,87
2017-09-27,87
2017-09-28,87
2017-09-29,87
2017-09-30,87
2017-10-01,87
2017-10-02,87
2017-10-03,87
2017-10-04,87
2017-10-05,87
2017-10-06,87
2017-10-07,87
2017-10-08,87
2017-10-09,87
2017-10-10,87
2017-10-11,87
2017-10-12,87
2017-10-13,82
2017-10-14,82
2017-10-15,82
2017-10-16,82
2017-10-17,82
2017-10-18,82
2017-10-19,82
2017-10-20,82
2017-10-21,82
2017-10-22,82
2017-10-23,82
2017-10-24,82
2017-10-25,82
2017-10-26,82
2017-10-27,82
2017-10-28,82
2017-10-29,82
2017-10-30,82
2017-10-31,82
2017-11-01,82
2017-11-02,82
2017-11-03,82
2017-11-04,82
2017-11-05,82
2017-11-06,82
2017-11-07,82
2017-11-08,82
2017-11-09,82
2017-11-10,82
2017-11-11,82
2017-11-12,82
2017-11-13,82
2017-11-14,82
2017-11-15,82
2017-11-16,82
2017-11-17,82
2017-11-18,82
2017-11-19,82
2017-11-20,82
2017-11-21,82
2017-11-22,82
2017-11-23,82
2017-11-24,82
2017-11-25,82
2017-11-26,82
2017-11-27,82
2017-11-28,82
2017-11-29,77
2017-11-30,77
2017-12-01,77
2017-12-02,77
2017-12-03,77
2017-12-04,77
2017-12-05,77
2017-12-06,77
2017-12-07,77
2017-12-08,77
2017-12-09,77
2017-12-10,77
2017-12-11,77
2017-12-12,77
2017-12-13,77
2017-12-14,77
2017-12-15,77
2017-12-16,77
2017-12-17,77
2017-12-18,77
2017-12-19,77
2017-12-20,77
2017-12-21,77
2017-12-22,77
2017-12-23,77
2017-12-24,77
2017-12-25,77
2017-12-26,77
2017-12-27,77
2017-12-28,77
2017-12-29,77
2017-12-30,77
2017-12-31,77
2018-01-01,77
2018-01-02,77
2018-01-03,77
2018-01-04,77
2018-01-05,77
2018-01-06,77
2018-01-07,77
2018-01-08,77
2018-01-09,77
2018-01-10,77
2018-01-11,77
2018-01-12,74
2018-01-13,74
2018-01-14,74
2018-01-15,74
2018-01-16,74
2018-01-17,74
2018-01-18,74
2018-01-19,74
2018-01-20,74
2018-01-21,74
2018-01-22,74
2018-01-23,74
2018-01-25,74
2018-01-26,74
2018-01-27,74
2018-01-28,74
2018-01-29,74
2018-01-30,74
2018-01-31,74
2018-02-01,74
2018-02-02,74
2018-02-03,73
2018-02-04,73
2018-02-05,73
2018-02-06,73
2018-02-07,73
2018-02-08,73
2018-02-09,73
2018-02-10,73
2018-02-11,73
2018-02-12,73
2018-02-13,73
2018-02-14,73
2018-02-15,73
2018-02-16,73
2018-02-17,73
2018-02-18,73
2018-02-19,73
2018-02-20,73
2018-02-21,73
2018-02-22,69
2018-02-23,69
2018-02-24,69
2018-02-25,69
2018-02-26,69
2018-02-27,69
2018-02-28,69
2018-03-01,69
2018-03-02,69
2018-03-03,69
2018-03-04,69
2018-03-05,69
2018-03-06,69
2018-03-07,69
2018-03-09,69
2018-03-10,69
2018-03-11,69
2018-03-12,69
2018-03-13,69
2018-03-14,69
2018-03-15,69
2018-03-16,69
2018-03-17,69
2018-03-18,69
2018-03-20,66
2018-03-21,66
2018-03-23,66
2018-03-24,66
2018-03-25,66
2018-03-26,66
2018-03-27,66
2018-03-28,66
2018-03-29,66
2018-03-30,66
2018-03-31,66
2018-04-01,66
2018-04-02,66
2018-04-03,66
2018-04-04,66
2018-04-05,66
2018-04-06,66
2018-04-07,66
2018-04-08,66
2018-04-09,66
2018-04-10,66
2018-04-11,66
2018-04-12,66
2018-04-13,66
2018-04-14,66
2018-04-15,66
2018-04-16,66
2018-04-17,66
2018-04-18,66
2018-04-19,62
2018-04-20,62
2018-04-21,62
2018-04-22,62
2018-04-23,62
2018-04-24,62
2018-04-25,62
2018-04-26,62
2018-04-27,62
2018-04-28,62
2018-04-29,62
2018-04-30,62
2018-05-01,62
2018-05-03,62
2018-05-04,62
2018-05-05,62
2018-05-07,62
2018-05-08,62
2018-05-09,62
2018-05-10,62
2018-05-11,62
2018-05-12,62
2018-05-13,62
2018-05-14,62
2018-05-15,62
2018-05-16,62
2018-05-17,62
2018-05-18,58
2018-05-19,58
2018-05-20,58
2018-05-21,58
2018-05-22,58
2018-05-23,58
2018-05-24,58
2018-05-25,58
2018-05-26,58
2018-05-27,58
2018-05-28,58
2018-05-29,58
2018-05-30,58
2018-05-31,58
2018-06-01,58
2018-06-02,58
2018-06-03,58
2018-06-04,58
2018-06-05,58
2018-06-06,58
2018-06-07,58
2018-06-08,58
2018-06-09,58
2018-06-10,58
2018-06-11,56
2018-06-12,56
2018-06-13,56
2018-06-14,56
2018-06-15,56
2018-06-16,56
2018-06-17,56
2018-06-18,56
2018-06-19,56
2018-06-20,56
2018-06-22,56
2018-06-23,56
2018-06-24,56
2018-06-25,56
2018-06-26,56
2018-06-27,56
2018-06-28,56
2018-06-29,56
2018-06-30,56
2018-07-01,56
2018-07-02,56
2018-07-03,58
2018-07-04,58
2018-07-05,58
2018-07-06,58
2018-07-07,58
2018-07-08,58
2018-07-09,58
2018-07-10,58
2018-07-11,58
2018-07-12,58
2018-07-13,58
2018-07-14,58
2018-07-15,58
2018-07-16,58
2018-07-17,58
2018-07-18,58
2018-07-19,58
2018-07-20,58
2018-07-21,58
2018-07-22,58
2018-07-23,58
2018-07-24,58
2018-07-25,58
2018-07-26,58
2018-07-27,58
2018-07-28,58
2018-07-29,58
2018-07-30,58
2018-07-31,58
2018-08-01,58
2018-08-02,60
2018-08-03,60
2018-08-04,60
2018-08-05,60
2018-08-06,60
2018-08-07,60
2018-08-08,60
2018-08-09,60
2018-08-10,60
2018-08-11,60
2018-08-12,60
2018-08-14,60
2018-08-16,60
2018-08-17,60
2018-08-18,60
2018-08-19,60
2018-08-20,63
2018-08-21,63
2018-08-22,63
2018-08-23,63
2018-08-24,63
2018-08-25,63
2018-08-26,63
2018-08-27,63
2018-08-28,63
2018-08-29,63
2018-08-30,63
2018-08-31,63
2018-09-01,63
2018-09-02,63
2018-09-03,63
2018-09-04,63
2018-09-05,63
2018-09-06,63
2018-09-07,63
2018-09-08,63
2018-09-09,63
2018-09-10,63
2018-09-11,60
2018-09-12,60
2018-09-13,60
2018-09-14,60
2018-09-15,60
2018-09-16,60
