date_obj,Frog%20slippers price
2019-08-18,64244
2019-08-19,63311
2019-08-20,63311
2019-08-21,63583
2019-08-22,63426
2019-08-23,63426
2019-08-24,66035
2019-08-24,66035
2019-08-25,66035
2019-08-25,66035
2019-08-26,67318
2019-08-26,67318
2019-08-27,67318
2019-08-27,67318
2019-08-28,67971
2019-08-29,67971
2019-08-30,68707
2019-08-31,68707
2019-09-01,70978
2019-09-02,70978
2019-09-03,73154
2019-09-04,75874
2019-09-05,75874
2019-09-06,79290
2019-09-07,82697
2019-09-08,86337
2019-09-09,86337
2019-09-10,88181
2019-09-11,89144
2019-09-12,89144
2019-09-13,91883
2019-09-14,93022
2019-09-15,93022
2019-09-16,95210
2019-09-17,95210
2019-09-18,97060
2019-09-19,97060
2019-09-20,98909
2019-09-21,97069
2019-09-22,97069
2019-09-23,94783
2019-09-24,94783
2019-09-25,92927
2019-09-26,92723
2019-09-27,92723
2019-09-28,93497
2019-09-29,93497
2019-09-30,94859
2019-10-01,95506
2019-10-02,95506
2019-10-03,97161
2019-10-04,97161
2019-10-05,99197
2019-10-06,97693
2019-10-07,97693
2019-10-08,99137
2019-10-09,99137
2019-10-10,100394
2019-10-11,100394
2019-10-12,101875
2019-10-13,101206
2019-10-14,97631
2019-10-15,97631
2019-10-16,93801
2019-10-17,93801
2019-10-18,89292
2019-10-19,86773
2019-10-20,86773
2019-10-21,84555
2019-10-22,84555
2019-10-23,81887
2019-10-24,81887
2019-10-25,79862
2019-10-26,77702
2019-10-27,77702
2019-10-28,76629
2019-10-29,76629
2019-10-30,75297
2019-10-31,72860
2019-11-01,71088
2019-11-02,69292
2019-11-03,67711
2019-11-04,67711
2019-11-05,65469
2019-11-06,65469
2019-11-07,63682
2019-11-08,63682
2019-11-09,61428
2019-11-10,59699
2019-11-11,58697
2019-11-12,58697
2019-11-13,58118
2019-11-14,58118
2019-11-15,58538
2019-11-16,58729
2019-11-17,58729
2019-11-18,57601
2019-11-19,57601
2019-11-20,57847
2019-11-21,57847
2019-11-22,59534
2019-11-23,59534
2019-11-24,61167
2019-11-25,61167
2019-11-26,61503
2019-11-27,61503
2019-11-28,59753
2019-11-29,59753
2019-11-30,57953
2019-12-01,57953
2019-12-02,57282
2019-12-03,56640
2019-12-04,56640
2019-12-05,56946
2019-12-06,56946
2019-12-07,57986
2019-12-08,57986
2019-12-09,59630
2019-12-10,60802
2019-12-11,60802
2019-12-12,61964
2019-12-13,61964
2019-12-14,63477
2019-12-15,64768
2019-12-16,64768
2019-12-17,66399
2019-12-18,66399
2019-12-19,66994
2019-12-20,66994
2019-12-21,66957
2019-12-22,65366
2019-12-23,65366
2019-12-24,65190
2019-12-25,65190
2019-12-26,66568
2019-12-27,66002
2019-12-28,65981
2019-12-29,65981
2019-12-30,66503
2019-12-31,66503
2020-01-01,66371
2020-01-02,65594
2020-01-03,65594
2020-01-04,66620
2020-01-05,66620
2020-01-06,66408
2020-01-07,64533
2020-01-08,64533
2020-01-09,64087
2020-01-10,63898
2020-01-11,63028
2020-01-12,63028
2020-01-13,62447
2020-01-14,62447
2020-01-15,60915
2020-01-16,60864
2020-01-17,59418
2020-01-18,59418
2020-01-19,58389
2020-01-20,58389
2020-01-21,58313
2020-01-22,57891
2020-01-23,57838
2020-01-24,57658
2020-01-25,57658
2020-01-26,57277
2020-01-27,57277
2020-01-28,57078
2020-01-29,56565
2020-01-30,56565
2020-01-31,55827
2020-02-01,55827
2020-02-02,54433
2020-02-03,54433
2020-02-04,54069
2020-02-05,53352
2020-02-06,52360
2020-02-07,52360
2020-02-08,51072
2020-02-09,48923
2020-02-10,48081
2020-02-11,48081
2020-02-12,47501
2020-02-13,47501
2020-02-14,47340
2020-02-15,47340
2020-02-16,48862
2020-02-17,50102
2020-02-18,48890
2020-02-19,48890
2020-02-20,47807
2020-02-21,47807
2020-02-22,47388
2020-02-23,47388
2020-02-24,47388
2020-02-25,47388
2020-02-26,46400
2020-02-27,45540
2020-02-28,45362
2020-02-29,45362
2020-03-01,45404
2020-03-02,45404
2020-03-03,46390
2020-03-04,46390
2020-03-05,46964
2020-03-06,47229
2020-03-07,47229
2020-03-08,48187
2020-03-09,48530
2020-03-10,47715
2020-03-11,47715
2020-03-12,47534
2020-03-13,47787
2020-03-14,48530
2020-03-15,48530
2020-03-16,48061
2020-03-17,48061
2020-03-18,47767
2020-03-19,47120
2020-03-20,46144
2020-03-21,46142
2020-03-22,46466
2020-03-23,46874
2020-03-24,47366
2020-03-25,47716
2020-03-26,46636
2020-03-27,45237
2020-03-28,45307
2020-03-29,46364
2020-03-30,47370
2020-03-31,47200
2020-04-01,47863
2020-04-02,48002
2020-04-03,48002
2020-04-04,47902
2020-04-05,47902
2020-04-06,48931
2020-04-07,48931
2020-04-08,50264
2020-04-09,51328
2020-04-10,51328
2020-04-11,52655
2020-04-12,54004
2020-04-13,54004
2020-04-14,53945
2020-04-15,54092
2020-04-16,54092
2020-04-17,54473
2020-04-18,53226
2020-04-19,52888
2020-04-20,50980
2020-04-21,48916
2020-04-22,46570
2020-04-23,45006
2020-04-24,43810
2020-04-25,42392
2020-04-26,41377
2020-04-27,40908
2020-04-28,39962
2020-04-29,39585
2020-04-30,39401
2020-05-01,39401
2020-05-02,39726
2020-05-03,40086
2020-05-04,40086
2020-05-05,40833
2020-05-06,41083
2020-05-07,40387
2020-05-08,40387
2020-05-09,40747
2020-05-10,41106
2020-05-11,41106
2020-05-12,41535
2020-05-13,40965
