date_obj,Book%20of%20war%20page%20set price
2017-05-28,22178
2017-05-29,22178
2017-05-30,22178
2017-05-31,22178
2017-06-01,22178
2017-06-02,21347
2017-06-03,21347
2017-06-04,21347
2017-06-05,21347
2017-06-06,20279
2017-06-07,20279
2017-06-08,20279
2017-06-09,20279
2017-06-10,19854
2017-06-11,19854
2017-06-12,19854
2017-06-13,19854
2017-06-14,20348
2017-06-15,20348
2017-06-16,20348
2017-06-17,20348
2017-06-18,21126
2017-06-19,21126
2017-06-20,21126
2017-06-21,21126
2017-06-22,21126
2017-06-23,22001
2017-06-24,22001
2017-06-25,22001
2017-06-26,22001
2017-06-27,23053
2017-06-28,23053
2017-06-29,23053
2017-06-30,23053
2017-07-01,23053
2017-07-02,22676
2017-07-03,22676
2017-07-04,22676
2017-07-05,22676
2017-07-06,22676
2017-07-07,23384
2017-07-08,23384
2017-07-13,24443
2017-07-14,24443
2017-07-15,24443
2017-07-16,24443
2017-07-17,24233
2017-07-18,24233
2017-07-19,24233
2017-07-20,24233
2017-07-21,23735
2017-07-22,23735
2017-07-23,23735
2017-07-24,23735
2017-07-25,23391
2017-07-26,23391
2017-07-27,23391
2017-07-28,23391
2017-07-29,23391
2017-07-30,24425
2017-07-31,24425
2017-08-01,24425
2017-08-02,24425
2017-08-03,24425
2017-08-04,25367
2017-08-05,25367
2017-08-06,25367
2017-08-09,26490
2017-08-10,26490
2017-08-11,26490
2017-08-12,27113
2017-08-13,27113
2017-08-14,27113
2017-08-15,27113
2017-08-16,27113
2017-08-17,25900
2017-08-18,25900
2017-08-19,25900
2017-08-20,25900
2017-08-21,26374
2017-08-22,26374
2017-08-23,26374
2017-08-24,26374
2017-08-25,26374
2017-08-26,26304
2017-08-27,26304
2017-08-28,26304
2017-08-29,26304
2017-08-30,25417
2017-08-31,25417
2017-09-01,25417
2017-09-02,25417
2017-09-03,24173
2017-09-04,24173
2017-09-05,24173
2017-09-06,24173
2017-09-07,23298
2017-09-08,23298
2017-09-09,23298
2017-09-10,23298
2017-09-11,23298
2017-09-12,23288
2017-09-13,23288
2017-09-14,23288
2017-09-15,23288
2017-09-16,23288
2017-09-17,23770
2017-09-18,23770
2017-09-19,23770
2017-09-20,23770
2017-09-21,23770
2017-09-22,24228
2017-09-23,24228
2017-09-24,24228
2017-09-25,24228
2017-09-26,24228
2017-09-27,24228
2017-09-28,24529
2017-09-29,24529
2017-09-30,24529
2017-10-01,24529
2017-10-02,24274
2017-10-03,24274
2017-10-04,24274
2017-10-05,24274
2017-10-06,24274
2017-10-07,23112
2017-10-08,23112
2017-10-09,23112
2017-10-10,23112
2017-10-11,23112
2017-10-12,22085
2017-10-13,22085
2017-10-14,22085
2017-10-15,22085
2017-10-16,20980
2017-10-17,20980
2017-10-18,20980
2017-10-19,20980
2017-10-20,20980
2017-10-21,20980
2017-10-22,20030
2017-10-23,20030
2017-10-24,20030
2017-10-25,20030
2017-10-26,19593
2017-10-27,19593
2017-10-28,19593
2017-10-29,19593
2017-10-30,19851
2017-10-31,19851
2017-11-01,19851
2017-11-02,19851
2017-11-03,19851
2017-11-04,20433
2017-11-05,20433
2017-11-06,20433
2017-11-07,20433
2017-11-08,20433
2017-11-09,20433
2017-11-10,21007
2017-11-11,21007
2017-11-12,21007
2017-11-13,21007
2017-11-14,21007
2017-11-15,21483
2017-11-16,21483
2017-11-17,21483
2017-11-18,21483
2017-11-19,21483
2017-11-20,21121
2017-11-21,21121
2017-11-22,21121
2017-11-23,21121
2017-11-24,20414
2017-11-25,20414
2017-11-26,20414
2017-11-27,20414
2017-11-28,20766
2017-11-29,20766
2017-11-30,20766
2017-12-01,20766
2017-12-02,20766
2017-12-03,20547
2017-12-04,20547
2017-12-05,20547
2017-12-06,20547
2017-12-07,20547
2017-12-08,20782
2017-12-09,20782
2017-12-10,20782
2017-12-11,20782
2017-12-12,20782
2017-12-13,20719
2017-12-14,20719
2017-12-15,20719
2017-12-16,20719
2017-12-17,20719
2017-12-18,20152
2017-12-19,20152
2017-12-20,20152
2017-12-21,20152
2017-12-22,20152
2017-12-23,19144
2017-12-24,19144
2017-12-25,19144
2017-12-26,19144
2017-12-27,18237
2017-12-28,18237
2017-12-29,18237
2017-12-30,18237
2017-12-31,18493
2018-01-01,18493
2018-01-02,18493
2018-01-03,18493
2018-01-04,17586
2018-01-05,17586
2018-01-06,17586
2018-01-07,16819
2018-01-08,16819
2018-01-09,16819
2018-01-10,16819
2018-01-11,16819
2018-01-12,17224
2018-01-13,17224
2018-01-14,17224
2018-01-15,17224
2018-01-16,17904
2018-01-17,17904
2018-01-18,17904
2018-01-19,17904
2018-01-20,18592
2018-01-21,18592
2018-01-22,18592
2018-01-23,18592
2018-01-24,18703
2018-01-25,18703
2018-01-26,18703
2018-01-27,19364
2018-01-28,19364
2018-01-29,19184
2018-01-30,19184
2018-01-31,18807
2018-02-01,18807
2018-02-02,18807
2018-02-03,18673
2018-02-04,18673
2018-02-05,17919
2018-02-06,17919
2018-02-07,17023
2018-02-08,17023
2018-02-09,16760
2018-02-10,16760
2018-02-11,16627
2018-02-12,16627
2018-02-13,15970
2018-02-14,15970
2018-02-15,15797
2018-02-16,15797
2018-02-17,16199
2018-02-18,16199
2018-02-19,16419
2018-02-20,16419
2018-02-21,16419
2018-02-22,16286
2018-02-23,16286
2018-02-24,16530
2018-02-25,16530
2018-02-26,17084
2018-02-27,17084
2018-02-28,17084
2018-03-01,17399
2018-03-02,17399
2018-03-03,17157
2018-03-04,17157
2018-03-05,16299
2018-03-06,16299
2018-03-07,15553
2018-03-08,15553
2018-03-09,15601
2018-03-10,15601
2018-03-11,15265
2018-03-12,15265
2018-03-13,14936
2018-03-14,14936
2018-03-15,14936
2018-03-16,14725
2018-03-17,14725
2018-03-18,14392
2018-03-19,14392
2018-03-20,14699
2018-03-21,14699
2018-03-23,14725
2018-03-24,14725
2018-03-25,14428
2018-03-26,14428
2018-03-27,14289
2018-03-28,14289
2018-03-29,14148
2018-03-30,14148
2018-03-31,14326
2018-04-01,14326
2018-04-02,14251
2018-04-03,14251
2018-04-04,13613
2018-04-05,13613
2018-04-06,13613
2018-04-07,13497
2018-04-08,13497
2018-04-09,13410
2018-04-10,13410
2018-04-11,13410
2018-04-12,13465
2018-04-13,13465
2018-04-14,13465
2018-04-15,13566
2018-04-16,13566
2018-04-17,13566
2018-04-18,13281
2018-04-19,13281
2018-04-20,13281
2018-04-21,13524
2018-04-22,13524
2018-04-23,13524
2018-04-24,13878
2018-04-25,13878
2018-04-26,13878
2018-04-27,14194
2018-04-28,14194
2018-04-29,13704
2018-04-30,13704
2018-05-01,13704
2018-05-02,13820
2018-05-03,13820
2018-05-04,13820
2018-05-05,13726
2018-05-06,13726
2018-05-07,13726
2018-05-08,13831
2018-05-09,13831
2018-05-10,13542
2018-05-11,13542
2018-05-12,13369
2018-05-13,13369
2018-05-14,13369
2018-05-15,13483
2018-05-16,13483
2018-05-17,13628
2018-05-18,13628
2018-05-19,13403
2018-05-20,13403
2018-05-21,13309
2018-05-22,13309
2018-05-23,13730
2018-05-24,13730
2018-05-25,13730
2018-05-26,14071
2018-05-27,14071
2018-05-28,14422
2018-05-29,14422
2018-05-30,15089
2018-05-31,15089
2018-06-01,15788
2018-06-02,15788
2018-06-03,16520
2018-06-04,16520
2018-06-05,16712
2018-06-06,16712
2018-06-07,16712
2018-06-08,16368
2018-06-09,16368
2018-06-10,16211
2018-06-11,16211
2018-06-12,16211
2018-06-13,16173
2018-06-14,16173
2018-06-15,16183
2018-06-16,16183
2018-06-17,15974
2018-06-18,15974
2018-06-19,15908
2018-06-20,15908
2018-06-21,15675
2018-06-22,15675
2018-06-23,15687
2018-06-24,15687
2018-06-25,15322
2018-06-26,15322
2018-06-27,15267
2018-06-28,15267
2018-06-29,15621
2018-06-30,15621
2018-07-01,15630
2018-07-02,15630
2018-07-03,15630
2018-07-04,14907
2018-07-05,14907
2018-07-06,14334
2018-07-07,14334
2018-07-08,13925
2018-07-09,13925
2018-07-10,13909
2018-07-11,13909
2018-07-12,13909
2018-07-13,13213
2018-07-14,13213
2018-07-15,12947
2018-07-16,12947
2018-07-17,13295
2018-07-18,13295
2018-07-19,13295
2018-07-20,13375
2018-07-21,13375
2018-07-22,13498
2018-07-23,13498
2018-07-24,12980
2018-07-25,12980
2018-07-26,12967
2018-07-27,12967
2018-07-28,13113
2018-07-29,13113
2018-07-30,13093
2018-07-31,12761
2018-08-01,12761
2018-08-02,12416
2018-08-03,12416
2018-08-04,12304
2018-08-05,12304
2018-08-06,11915
2018-08-07,11915
2018-08-08,11538
2018-08-09,11538
2018-08-10,11876
2018-08-11,11876
2018-08-12,12184
2018-08-14,12753
2018-08-16,13176
2018-08-17,13176
2018-08-18,13338
2018-08-19,13338
2018-08-20,13350
2018-08-21,13350
2018-08-22,13876
2018-08-23,13876
2018-08-24,13321
2018-08-25,13642
2018-08-26,13642
2018-08-27,13562
2018-08-28,13440
2018-08-29,13440
2018-08-30,13434
2018-08-31,13434
2018-09-01,13627
2018-09-02,13627
2018-09-03,13625
2018-09-04,13568
2018-09-05,13568
2018-09-06,13732
2018-09-07,13732
2018-09-08,13585
2018-09-09,13585
2018-09-10,13524
2018-09-11,13524
2018-09-12,13944
2018-09-13,13944
2018-09-14,14530
2018-09-15,15239
2018-09-16,15239
2018-09-17,15952
2018-09-18,16703
2018-09-19,16703
2018-09-20,17508
2018-09-21,17508
2018-09-22,18306
2018-09-23,18306
2018-09-24,19122
2018-09-25,19122
2018-09-26,20070
2018-09-27,20070
2018-09-28,21009
2018-09-29,21009
2018-09-30,21634
2018-10-01,21634
2018-10-02,22089
2018-10-03,22089
2018-10-04,22778
2018-10-05,22778
2018-10-06,22888
2018-10-07,22888
2018-10-08,22457
2018-10-09,22457
2018-10-10,22253
2018-10-11,22253
2018-10-12,23282
2018-10-13,23282
2018-10-14,23726
2018-10-15,23726
2018-10-16,23822
2018-10-17,23822
2018-10-18,23858
2018-10-19,23858
2018-10-20,23858
2018-10-21,24567
2018-10-22,24567
2018-10-23,25294
2018-10-24,25294
2018-10-25,25398
2018-10-26,25398
2018-10-27,26178
2018-10-28,26178
2018-10-29,26531
2018-10-30,26531
2018-10-31,25801
2018-11-01,25801
2018-11-03,26919
2018-11-04,27271
2018-11-05,27437
2018-11-06,27437
2018-11-07,28596
2018-11-08,28596
2018-11-09,30011
2018-11-10,30700
2018-11-11,30700
2018-11-12,30956
2018-11-13,30956
2018-11-15,31908
2018-11-16,32438
2018-11-17,32438
2018-11-18,31889
2018-11-19,31889
2018-11-20,31836
2018-11-21,31836
2018-11-22,30244
2018-11-23,30244
2018-11-24,30610
2018-11-25,29297
2018-11-26,29297
2018-11-27,29423
2018-11-28,29287
2018-11-29,28413
2018-12-01,28879
2018-12-02,30244
2018-12-03,30244
2018-12-04,30896
2018-12-05,31480
2018-12-07,31927
2018-12-09,31929
2018-12-10,31502
2018-12-11,31502
2018-12-12,30480
2018-12-13,30377
2018-12-14,30377
2018-12-15,30457
2018-12-16,29613
2018-12-17,29613
2018-12-18,29826
2018-12-19,29826
2018-12-20,29770
2018-12-21,29770
2018-12-22,29186
2018-12-23,28956
2018-12-24,28785
2018-12-25,28785
2018-12-26,27702
2018-12-27,26842
2018-12-28,26842
2018-12-29,26703
2018-12-30,26703
2018-12-31,26707
2019-01-01,26707
2019-01-02,26695
2019-01-03,26695
2019-01-04,27314
2019-01-05,27272
2019-01-06,27405
2019-01-08,26653
2019-01-10,25783
2019-01-11,25783
2019-01-12,25579
2019-01-13,24321
2019-01-14,23823
2019-01-15,23414
2019-01-16,23414
2019-01-17,23186
2019-01-18,23186
2019-01-19,23490
2019-01-20,23037
2019-01-21,23037
2019-01-22,23436
2019-01-23,23441
2019-01-24,23441
2019-01-25,23385
2019-01-26,24128
2019-01-27,23578
2019-01-28,23578
2019-01-29,22399
2019-01-30,21815
2019-01-31,21815
2019-02-01,21798
2019-02-02,21798
2019-02-03,21851
2019-02-04,21851
2019-02-05,22212
2019-02-06,22212
2019-02-07,22400
2019-02-08,22400
2019-02-09,22711
2019-02-10,22856
2019-02-11,23648
2019-02-12,23648
2019-02-13,23545
2019-02-14,23545
2019-02-15,22367
2019-02-16,21248
2019-02-17,20519
2019-02-18,20291
2019-02-19,20291
2019-02-20,20058
2019-02-21,19847
2019-02-22,19847
2019-02-23,19985
2019-02-24,20492
2019-02-25,20208
2019-02-26,20208
2019-02-27,20131
2019-02-28,20131
2019-03-01,19893
2019-03-02,19893
2019-03-03,19500
2019-03-04,19395
2019-03-05,19462
2019-03-06,19055
2019-03-07,19055
2019-03-08,18106
2019-03-09,18106
2019-03-10,17656
2019-03-11,17656
2019-03-12,17855
2019-03-13,17855
2019-03-14,18631
2019-03-15,18631
2019-03-16,19542
2019-03-17,20394
2019-03-18,20394
2019-03-19,21353
2019-03-20,22373
2019-03-21,22373
2019-03-22,23405
2019-03-23,24444
