date_obj,Mystic%20robe%20bottom price
2016-12-14,54097
2016-12-15,53825
2016-12-16,54149
2016-12-17,53719
2016-12-18,53791
2016-12-19,53239
2016-12-20,53199
2016-12-21,54316
2016-12-22,54984
2016-12-23,54684
2016-12-24,54642
2016-12-25,54414
2016-12-26,54441
2016-12-27,54550
2016-12-28,54601
2016-12-29,54624
2016-12-30,54738
2016-12-31,54586
2017-01-01,54648
2017-01-02,54321
2017-01-03,54171
2017-01-04,53742
2017-01-05,53906
2017-01-06,53395
2017-01-07,53504
2017-01-08,53890
2017-01-09,54039
2017-01-10,53873
2017-01-11,53697
2017-01-12,54120
2017-01-13,54113
2017-01-14,54336
2017-01-15,55505
2017-01-16,56077
2017-01-17,54336
2017-01-18,54394
2017-01-19,53972
2017-01-20,54488
2017-01-21,54637
2017-01-22,53831
2017-01-27,53934
2017-01-28,53722
2017-01-29,53841
2017-01-30,53965
2017-01-31,54479
2017-02-01,54278
2017-02-02,54266
2017-02-03,54124
2017-02-04,54102
2017-02-05,53905
2017-02-06,54548
2017-02-07,54131
2017-02-08,54342
2017-02-09,54148
2017-02-10,54300
2017-02-11,53718
2017-02-12,54073
2017-02-13,54095
2017-02-14,53500
2017-02-15,53379
2017-02-16,54144
2017-02-18,54365
2017-02-19,54491
2017-02-20,54276
2017-02-21,54249
2017-02-22,54367
2017-02-23,54872
2017-02-24,55338
2017-02-25,54971
2017-02-26,54522
2017-02-27,54622
2017-02-28,54588
2017-03-01,54522
2017-03-02,55057
2017-03-03,55096
2017-03-04,54391
2017-03-05,54203
2017-03-06,55281
2017-03-07,55683
2017-03-08,55115
2017-03-09,54318
2017-03-10,53493
2017-03-11,53263
2017-03-12,53932
2017-03-13,54491
2017-03-14,55016
2017-03-15,54262
2017-03-16,54398
2017-03-17,54369
2017-03-18,54535
2017-03-19,54930
2017-03-20,54387
2017-03-21,54343
2017-03-22,54588
2017-03-23,54717
2017-03-24,54065
2017-03-25,54608
2017-03-26,54636
2017-03-27,54701
2017-03-28,54934
2017-03-29,54692
2017-03-30,55135
2017-03-31,54718
2017-04-01,55074
2017-04-02,54766
2017-04-03,54766
2017-04-04,55048
2017-04-12,54686
2017-04-13,54841
2017-04-14,54499
2017-04-15,54745
2017-04-16,54441
2017-04-17,55260
2017-04-18,55125
2017-04-19,55169
2017-04-20,53404
2017-04-21,52766
2017-04-22,51608
2017-04-23,50380
2017-04-24,49890
2017-04-25,48823
2017-04-26,49205
2017-04-27,49908
2017-04-28,52316
2017-04-29,53100
2017-04-30,53621
2017-05-01,54554
