date_obj,Thieving%20bag price
2019-11-17,11237
2019-11-18,11237
2019-11-19,11592
2019-11-20,11592
2019-11-21,11792
2019-11-22,11792
2019-11-23,12206
2019-11-24,12206
2019-11-25,12802
2019-11-26,12802
2019-11-27,13314
2019-11-28,13314
2019-11-29,13785
2019-11-30,13785
2019-12-01,14173
2019-12-02,14173
2019-12-03,14727
2019-12-04,14727
2019-12-05,14727
2019-12-06,15390
2019-12-07,15390
2019-12-08,15390
2019-12-09,15370
2019-12-10,15370
2019-12-11,15263
2019-12-12,15263
2019-12-13,15263
2019-12-14,14810
2019-12-15,14810
2019-12-16,15044
2019-12-17,15044
2019-12-18,15431
2019-12-19,15431
2019-12-20,14898
2019-12-21,14898
2019-12-22,14972
2019-12-23,14972
2019-12-24,14972
2019-12-25,14418
2019-12-26,14418
2019-12-27,13911
2019-12-28,13911
2019-12-29,14003
2019-12-30,14003
2019-12-31,14276
2020-01-01,14276
2020-01-02,14956
2020-01-03,14956
2020-01-04,14956
2020-01-05,15481
2020-01-06,15481
2020-01-07,15874
2020-01-08,15874
2020-01-09,15874
2020-01-10,16060
2020-01-11,16060
2020-01-12,15791
2020-01-13,15791
2020-01-14,15791
2020-01-15,15584
2020-01-16,15584
2020-01-17,15545
2020-01-18,15545
2020-01-19,15699
2020-01-20,15699
2020-01-21,15699
2020-01-22,15639
2020-01-23,15639
2020-01-24,15538
2020-01-25,15538
2020-01-26,15032
2020-01-27,15032
2020-01-28,15032
2020-01-29,14416
2020-01-30,14416
2020-01-31,14416
2020-02-01,13891
2020-02-02,13318
2020-02-03,13318
2020-02-04,13184
2020-02-05,13184
2020-02-06,13227
2020-02-07,13227
2020-02-08,13340
2020-02-09,13340
2020-02-10,13046
2020-02-11,13046
2020-02-12,12722
2020-02-13,12722
2020-02-14,12271
2020-02-15,12271
2020-02-16,12271
2020-02-17,11995
2020-02-18,11995
2020-02-19,11700
2020-02-20,11700
2020-02-21,11578
2020-02-22,11282
2020-02-23,11282
2020-02-24,11048
2020-02-25,11048
2020-02-26,10822
2020-02-27,10822
2020-02-28,10911
2020-02-29,10911
2020-03-01,10911
2020-03-02,11230
2020-03-03,11230
2020-03-04,11473
2020-03-05,11473
2020-03-06,11439
2020-03-07,11439
2020-03-08,10888
2020-03-09,10406
2020-03-10,9984
2020-03-11,9984
2020-03-12,9671
2020-03-13,9671
2020-03-14,9217
2020-03-15,9217
2020-03-16,9047
2020-03-17,9047
2020-03-18,8706
2020-03-19,8706
2020-03-20,8434
2020-03-21,8434
2020-03-22,8389
2020-03-23,8389
2020-03-24,8231
2020-03-25,8231
2020-03-26,8238
2020-03-27,8238
2020-03-28,8163
2020-03-29,8125
2020-03-30,7960
2020-03-31,7960
2020-04-01,8031
2020-04-02,8117
2020-04-03,8117
2020-04-04,8263
2020-04-05,8263
2020-04-06,8396
2020-04-07,8396
2020-04-08,8543
2020-04-09,8543
2020-04-10,8672
2020-04-11,8822
2020-04-12,8822
2020-04-13,9053
2020-04-14,9053
2020-04-15,9113
2020-04-16,9113
2020-04-17,8870
2020-04-18,8707
2020-04-19,8565
2020-04-20,8565
2020-04-21,8279
2020-04-22,8113
2020-04-23,8113
2020-04-24,8101
2020-04-25,8101
2020-04-26,8023
2020-04-27,7776
2020-04-28,7631
2020-04-29,7631
2020-04-30,7399
2020-05-01,7399
2020-05-02,7195
2020-05-03,6993
2020-05-04,6993
2020-05-05,6751
2020-05-06,6465
2020-05-07,6465
2020-05-08,6169
2020-05-09,5932
2020-05-10,5932
2020-05-11,5724
2020-05-12,5724
2020-05-13,5674
