date_obj,Adamant%20scimitar price
2017-06-25,1400
2017-06-26,1420
2017-06-27,1401
2017-06-28,1399
2017-06-29,1390
2017-06-30,1392
2017-07-01,1393
2017-07-02,1395
2017-07-03,1347
2017-07-04,1310
2017-07-05,1297
2017-07-06,1323
2017-07-07,1380
2017-07-08,1434
2017-07-09,1454
2017-07-13,1500
2017-07-14,1528
2017-07-15,1534
2017-07-16,1506
2017-07-17,1467
2017-07-18,1459
2017-07-19,1440
2017-07-20,1445
2017-07-21,1460
2017-07-22,1470
2017-07-23,1511
2017-07-24,1539
2017-07-25,1594
2017-07-26,1611
2017-07-27,1593
2017-07-28,1637
2017-07-29,1650
2017-07-30,1633
2017-07-31,1629
2017-08-01,1629
2017-08-02,1616
2017-08-03,1610
2017-08-04,1592
2017-08-05,1589
2017-08-06,1589
2017-08-07,1553
2017-08-08,1529
2017-08-09,1467
2017-08-10,1431
2017-08-11,1446
2017-08-12,1489
2017-08-13,1530
2017-08-14,1558
2017-08-15,1548
2017-08-16,1579
2017-08-17,1587
2017-08-18,1593
2017-08-19,1627
2017-08-20,1656
2017-08-21,1688
2017-08-22,1679
2017-08-23,1657
2017-08-24,1669
2017-08-25,1627
2017-08-26,1563
2017-08-27,1508
2017-08-28,1467
2017-08-29,1477
2017-08-30,1495
2017-08-31,1479
2017-09-01,1477
2017-09-02,1492
2017-09-03,1483
2017-09-04,1482
2017-09-05,1459
2017-09-06,1469
2017-09-07,1468
2017-09-08,1467
2017-09-09,1477
2017-09-10,1452
2017-09-11,1470
2017-09-12,1459
2017-09-13,1508
2017-09-14,1533
2017-09-15,1539
2017-09-16,1518
2017-09-17,1520
2017-09-18,1515
2017-09-19,1508
2017-09-20,1513
2017-09-21,1511
2017-09-22,1497
2017-09-23,1459
2017-09-24,1454
2017-09-25,1476
2017-09-26,1473
2017-09-27,1472
2017-09-28,1513
2017-09-29,1543
2017-09-30,1621
2017-10-01,1668
2017-10-02,1604
2017-10-03,1550
2017-10-04,1505
2017-10-05,1475
2017-10-06,1474
2017-10-07,1459
2017-10-08,1436
2017-10-09,1386
2017-10-10,1391
2017-10-11,1406
2017-10-12,1436
2017-10-13,1437
2017-10-14,1428
2017-10-15,1415
2017-10-16,1415
2017-10-17,1404
2017-10-18,1405
2017-10-19,1409
2017-10-20,1428
2017-10-21,1478
2017-10-22,1460
2017-10-23,1429
2017-10-24,1393
2017-10-25,1408
2017-10-26,1405
2017-10-27,1429
2017-10-28,1392
2017-10-29,1428
2017-10-30,1427
2017-10-31,1425
2017-11-01,1424
2017-11-02,1431
2017-11-03,1444
2017-11-04,1433
2017-11-05,1441
2017-11-06,1443
2017-11-07,1427
2017-11-08,1419
2017-11-09,1425
2017-11-10,1432
2017-11-11,1436
2017-11-12,1428
2017-11-13,1429
2017-11-14,1386
2017-11-15,1427
2017-11-16,1434
2017-11-17,1438
2017-11-18,1440
2017-11-19,1431
2017-11-20,1438
2017-11-21,1425
2017-11-22,1412
2017-11-23,1428
2017-11-24,1425
2017-11-25,1411
2017-11-26,1420
2017-11-27,1452
2017-11-28,1489
2017-11-29,1511
